,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
1956,ESPORTSTMNT04/1130299,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130299?gameHash=499a21480080a722&amp;tab=overview,TRA,2020,,0,2020-02-03 15:19:45,1,10.02,1,Blue,top,Lenom,1907 Fenerbahçe Academy,Irelia,Olaf,Syndra,Lucian,LeBlanc,Cassiopeia,2855,1,1,1,6,18,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3783,0.5464,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,16641,349.7233,0.178267,22,0.4623,10,0.2102,4,58.0,1.2189,19331,13231,278.0595,0.251783,16358.0,,453.0,384.0,69,48,7,9.5201,3108.0,4389.0,84.0,3028.0,4604.0,79.0,80.0,-215.0,5.0,4728.0,6592.0,128.0,4577.0,7122.0,126.0,151.0,-530.0,2.0
1957,ESPORTSTMNT04/1130299,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130299?gameHash=499a21480080a722&amp;tab=overview,TRA,2020,,0,2020-02-03 15:19:45,1,10.02,2,Blue,jng,RedHand,1907 Fenerbahçe Academy,Jarvan IV,Olaf,Syndra,Lucian,LeBlanc,Cassiopeia,2855,1,2,3,14,18,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3783,0.5464,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9199,193.324,0.0985442,15,0.3152,26,0.5464,14,83.0,1.7443,14009,7909,166.2137,0.150508,13300.0,,192.0,43.0,149,82,12,4.035,2874.0,2915.0,52.0,2623.0,2415.0,48.0,251.0,500.0,4.0,4369.0,4911.0,89.0,3946.0,4021.0,76.0,423.0,890.0,13.0
1958,ESPORTSTMNT04/1130299,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130299?gameHash=499a21480080a722&amp;tab=overview,TRA,2020,,0,2020-02-03 15:19:45,1,10.02,3,Blue,mid,Midkid,1907 Fenerbahçe Academy,Rumble,Olaf,Syndra,Lucian,LeBlanc,Cassiopeia,2855,1,5,0,8,18,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3783,0.5464,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,28924,607.8599,0.309848,23,0.4834,7,0.1471,9,71.0,1.4921,18543,12443,261.4991,0.236788,17775.0,,349.0,321.0,28,19,2,7.3345,3125.0,4714.0,77.0,3297.0,4759.0,90.0,-172.0,-45.0,-13.0,4891.0,7381.0,129.0,5327.0,7680.0,149.0,-436.0,-299.0,-20.0
1959,ESPORTSTMNT04/1130299,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130299?gameHash=499a21480080a722&amp;tab=overview,TRA,2020,,0,2020-02-03 15:19:45,1,10.02,4,Blue,bot,Neos,1907 Fenerbahçe Academy,Senna,Olaf,Syndra,Lucian,LeBlanc,Cassiopeia,2855,1,7,1,11,18,8,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3783,0.5464,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,33118,696.0,0.35477600000000004,16,0.3363,10,0.2102,3,67.0,1.4081,19664,13564,285.0578,0.25811999999999996,16975.0,,382.0,341.0,41,27,8,8.028,3735.0,3241.0,82.0,3125.0,3010.0,85.0,610.0,231.0,-3.0,5454.0,5361.0,133.0,4770.0,5244.0,134.0,684.0,117.0,-1.0
1960,ESPORTSTMNT04/1130299,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130299?gameHash=499a21480080a722&amp;tab=overview,TRA,2020,,0,2020-02-03 15:19:45,1,10.02,5,Blue,sup,Sparz,1907 Fenerbahçe Academy,Leona,Olaf,Syndra,Lucian,LeBlanc,Cassiopeia,2855,1,3,3,7,18,8,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3783,0.5464,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5467,114.8932,0.05856519999999999,69,1.4501,27,0.5674,18,147.0,3.0893,11502,5402,113.5271,0.102801,11700.0,,56.0,56.0,0,0,0,1.1769,2842.0,3365.0,17.0,1944.0,2494.0,12.0,898.0,871.0,5.0,3692.0,4498.0,24.0,2885.0,3527.0,19.0,807.0,971.0,5.0
1961,ESPORTSTMNT04/1130299,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130299?gameHash=499a21480080a722&amp;tab=overview,TRA,2020,,0,2020-02-03 15:19:45,1,10.02,6,Red,top,Mayhem,5 Ronin Academy,Gnar,Akali,Lee Sin,Qiyana,Miss Fortune,Aphelios,2855,0,1,2,6,8,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1681,0.5464,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,23531,494.5219,0.26464,23,0.4834,9,0.1891,6,55.0,1.1559,15269,9169,192.6935,0.20889899999999997,13950.0,,332.0,323.0,9,4,1,6.9772,3028.0,4604.0,79.0,3108.0,4389.0,84.0,-80.0,215.0,-5.0,4577.0,7122.0,126.0,4728.0,6592.0,128.0,-151.0,530.0,-2.0
1962,ESPORTSTMNT04/1130299,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130299?gameHash=499a21480080a722&amp;tab=overview,TRA,2020,,0,2020-02-03 15:19:45,1,10.02,7,Red,jng,Chosen,5 Ronin Academy,Rek'Sai,Akali,Lee Sin,Qiyana,Miss Fortune,Aphelios,2855,0,1,4,4,8,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1681,0.5464,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8257,173.5271,0.0928619,40,0.8406,11,0.2312,20,71.0,1.4921,11967,5867,123.2995,0.133671,10775.0,,182.0,22.0,160,113,0,3.8249,2623.0,2415.0,48.0,2874.0,2915.0,52.0,-251.0,-500.0,-4.0,3946.0,4021.0,76.0,4369.0,4911.0,89.0,-423.0,-890.0,-13.0
1963,ESPORTSTMNT04/1130299,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130299?gameHash=499a21480080a722&amp;tab=overview,TRA,2020,,0,2020-02-03 15:19:45,1,10.02,8,Red,mid,Umut,5 Ronin Academy,Azir,Akali,Lee Sin,Qiyana,Miss Fortune,Aphelios,2855,0,4,2,2,8,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1681,0.5464,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,27468,577.2609,0.308917,17,0.3573,19,0.3993,7,77.0,1.6182,20167,14067,295.6287,0.320488,17975.0,,499.0,444.0,55,44,1,10.4869,3297.0,4759.0,90.0,3125.0,4714.0,77.0,172.0,45.0,13.0,5327.0,7680.0,149.0,4891.0,7381.0,129.0,436.0,299.0,20.0
1964,ESPORTSTMNT04/1130299,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130299?gameHash=499a21480080a722&amp;tab=overview,TRA,2020,,0,2020-02-03 15:19:45,1,10.02,9,Red,bot,Boncuk,5 Ronin Academy,Xayah,Akali,Lee Sin,Qiyana,Miss Fortune,Aphelios,2855,0,1,4,6,8,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1681,0.5464,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,20919,439.6287,0.235264,14,0.2942,7,0.1471,6,32.0,0.6725,17468,11368,238.9072,0.258998,17250.0,,413.0,365.0,48,44,0,8.6795,3125.0,3010.0,85.0,3735.0,3241.0,82.0,-610.0,-231.0,3.0,4770.0,5244.0,134.0,5454.0,5361.0,133.0,-684.0,-117.0,1.0
1965,ESPORTSTMNT04/1130299,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130299?gameHash=499a21480080a722&amp;tab=overview,TRA,2020,,0,2020-02-03 15:19:45,1,10.02,10,Red,sup,Invoker,5 Ronin Academy,Rakan,Akali,Lee Sin,Qiyana,Miss Fortune,Aphelios,2855,0,1,6,7,8,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1681,0.5464,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8742,183.7198,0.0983164,67,1.4081,13,0.2732,23,96.0,2.0175,9521,3421,71.8949,0.0779441,8525.0,,38.0,38.0,0,0,0,0.7986,1944.0,2494.0,12.0,2842.0,3365.0,17.0,-898.0,-871.0,-5.0,2885.0,3527.0,19.0,3692.0,4498.0,24.0,-807.0,-971.0,-5.0
