,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
1524,ESPORTSTMNT04/1130177,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130177?gameHash=1f92cbefd9a965e0,TCL,2020,Winter,0,2020-02-01 12:41:30,1,10.02,1,Blue,top,HiRit,1907 Fenerbahçe Esports,Sett,Rumble,Olaf,Xayah,Elise,Rek'Sai,1970,1,7,2,6,26,14,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.7919,1.2183,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,16641,506.8325,0.21381999999999998,17,0.5178,2,0.0609,6,31.0,0.9442,13177,8883,270.5482,0.201955,11783.0,,231.0,215.0,16,1,4,7.0355,3413.0,4756.0,75.0,3091.0,4270.0,59.0,322.0,486.0,16.0,4928.0,7232.0,119.0,6009.0,7197.0,113.0,-1081.0,35.0,6.0
1525,ESPORTSTMNT04/1130177,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130177?gameHash=1f92cbefd9a965e0,TCL,2020,Winter,0,2020-02-01 12:41:30,1,10.02,2,Blue,jng,Mojito,1907 Fenerbahçe Esports,Gragas,Rumble,Olaf,Xayah,Elise,Rek'Sai,1970,1,1,4,15,26,14,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7919,1.2183,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12055,367.1574,0.154895,35,1.066,13,0.3959,15,83.0,2.5279,10493,6199,188.802,0.140932,9800.0,,175.0,21.0,154,92,17,5.3299,3154.0,3102.0,62.0,3038.0,2694.0,51.0,116.0,408.0,11.0,5108.0,5317.0,102.0,4361.0,3713.0,72.0,747.0,1604.0,30.0
1526,ESPORTSTMNT04/1130177,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130177?gameHash=1f92cbefd9a965e0,TCL,2020,Winter,0,2020-02-01 12:41:30,1,10.02,3,Blue,mid,Blue,1907 Fenerbahçe Esports,Yasuo,Rumble,Olaf,Xayah,Elise,Rek'Sai,1970,1,9,3,9,26,14,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7919,1.2183,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,19684,599.5127,0.25292,15,0.4569,12,0.3655,6,49.0,1.4924,16175,11881,361.8579,0.27011799999999997,15450.0,,285.0,253.0,32,25,0,8.6802,3316.0,5066.0,91.0,3663.0,4958.0,94.0,-347.0,108.0,-3.0,5355.0,7136.0,131.0,5763.0,7564.0,144.0,-408.0,-428.0,-13.0
1527,ESPORTSTMNT04/1130177,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130177?gameHash=1f92cbefd9a965e0,TCL,2020,Winter,0,2020-02-01 12:41:30,1,10.02,4,Blue,bot,Luger,1907 Fenerbahçe Esports,Varus,Rumble,Olaf,Xayah,Elise,Rek'Sai,1970,1,9,3,10,26,14,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7919,1.2183,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,22269,678.2437,0.286135,8,0.2437,12,0.3655,4,33.0,1.0051,16814,12520,381.3198,0.284646,15250.0,,313.0,290.0,23,16,3,9.533,3560.0,3340.0,83.0,3155.0,3512.0,77.0,405.0,-172.0,6.0,6475.0,5326.0,133.0,4360.0,5312.0,100.0,2115.0,14.0,33.0
1528,ESPORTSTMNT04/1130177,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130177?gameHash=1f92cbefd9a965e0,TCL,2020,Winter,0,2020-02-01 12:41:30,1,10.02,5,Blue,sup,Wendelbo,1907 Fenerbahçe Esports,Braum,Rumble,Olaf,Xayah,Elise,Rek'Sai,1970,1,0,2,23,26,14,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7919,1.2183,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7178,218.6193,0.0922302,50,1.5228,8,0.2437,15,91.0,2.7716,8796,4502,137.1168,0.102349,8325.0,,31.0,31.0,0,0,0,0.9442,2224.0,2644.0,12.0,1992.0,2110.0,16.0,232.0,534.0,-4.0,3525.0,4216.0,19.0,2988.0,2919.0,21.0,537.0,1297.0,-2.0
1529,ESPORTSTMNT04/1130177,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130177?gameHash=1f92cbefd9a965e0,TCL,2020,Winter,0,2020-02-01 12:41:30,1,10.02,6,Red,top,Mayhem,5 Ronin,Aatrox,Akali,Lucian,Senna,Aphelios,Nautilus,1970,0,2,5,7,14,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4264,1.2183,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,11163,339.9898,0.209394,11,0.335,1,0.0305,1,19.0,0.5787,11729,7435,226.4467,0.23164400000000002,10830.0,,210.0,204.0,6,1,0,6.3959,3091.0,4270.0,59.0,3413.0,4756.0,75.0,-322.0,-486.0,-16.0,6009.0,7197.0,113.0,4928.0,7232.0,119.0,1081.0,-35.0,-6.0
1530,ESPORTSTMNT04/1130177,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130177?gameHash=1f92cbefd9a965e0,TCL,2020,Winter,0,2020-02-01 12:41:30,1,10.02,7,Red,jng,Chosen,5 Ronin,Jarvan IV,Akali,Lucian,Senna,Aphelios,Nautilus,1970,0,2,6,9,14,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4264,1.2183,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4538,138.2132,0.08512310000000001,10,0.3046,10,0.3046,10,27.0,0.8223,8649,4355,132.6396,0.135678,7750.0,,124.0,14.0,110,79,0,3.7766,3038.0,2694.0,51.0,3154.0,3102.0,62.0,-116.0,-408.0,-11.0,4361.0,3713.0,72.0,5108.0,5317.0,102.0,-747.0,-1604.0,-30.0
1531,ESPORTSTMNT04/1130177,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130177?gameHash=1f92cbefd9a965e0,TCL,2020,Winter,0,2020-02-01 12:41:30,1,10.02,8,Red,mid,Umut,5 Ronin,Syndra,Akali,Lucian,Senna,Aphelios,Nautilus,1970,0,5,2,6,14,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4264,1.2183,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,19247,586.203,0.361032,13,0.3959,4,0.1218,5,31.0,0.9442,13034,8740,266.1929,0.272304,12810.0,,290.0,270.0,20,16,0,8.8325,3663.0,4958.0,94.0,3316.0,5066.0,91.0,347.0,-108.0,3.0,5763.0,7564.0,144.0,5355.0,7136.0,131.0,408.0,428.0,13.0
1532,ESPORTSTMNT04/1130177,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130177?gameHash=1f92cbefd9a965e0,TCL,2020,Winter,0,2020-02-01 12:41:30,1,10.02,9,Red,bot,Boncuk,5 Ronin,Miss Fortune,Akali,Lucian,Senna,Aphelios,Nautilus,1970,0,3,5,8,14,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4264,1.2183,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13598,414.1523,0.255069,10,0.3046,7,0.2132,6,21.0,0.6396,12349,8055,245.3299,0.250961,11725.0,,261.0,236.0,25,25,0,7.9492,3155.0,3512.0,77.0,3560.0,3340.0,83.0,-405.0,172.0,-6.0,4360.0,5312.0,100.0,6475.0,5326.0,133.0,-2115.0,-14.0,-33.0
1533,ESPORTSTMNT04/1130177,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130177?gameHash=1f92cbefd9a965e0,TCL,2020,Winter,0,2020-02-01 12:41:30,1,10.02,10,Red,sup,Invoker,5 Ronin,Thresh,Akali,Lucian,Senna,Aphelios,Nautilus,1970,0,2,8,8,14,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4264,1.2183,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4765,145.1269,0.08938120000000001,40,1.2183,15,0.4569,18,66.0,2.0102,7806,3512,106.9645,0.10941300000000001,7840.0,,45.0,45.0,0,0,0,1.3706,1992.0,2110.0,16.0,2224.0,2644.0,12.0,-232.0,-534.0,4.0,2988.0,2919.0,21.0,3525.0,4216.0,19.0,-537.0,-1297.0,2.0
