,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
25416,ESPORTSTMNT06/1180936,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180936?gameHash=7e503a313fd08aa2&amp;tab=overview,EM,2020,Spring,0,2020-04-22 19:35:44,1,10.07,1,Blue,top,Szygenda,AGO ROGUE,Aatrox,Xerath,Yasuo,Aphelios,Yuumi,Riven,1759,1,3,1,2,7,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2388,0.3411,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13647,465.5031,0.264882,16,0.5458,3,0.1023,6,25.0,0.8528,11592,7728,263.6043,0.23418899999999998,10450.0,,256.0,243.0,13,5,4,8.7322,3450.0,4965.0,83.0,2694.0,4102.0,65.0,756.0,863.0,18.0,5308.0,7758.0,130.0,4305.0,6331.0,107.0,1003.0,1427.0,23.0
25417,ESPORTSTMNT06/1180936,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180936?gameHash=7e503a313fd08aa2&amp;tab=overview,EM,2020,Spring,0,2020-04-22 19:35:44,1,10.07,2,Blue,jng,Zanzarah,AGO ROGUE,Gragas,Xerath,Yasuo,Aphelios,Yuumi,Riven,1759,1,0,2,3,7,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2388,0.3411,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4363,148.8232,0.08468389999999999,26,0.8869,15,0.5117,8,67.0,2.2854,8946,5082,173.3485,0.154005,8550.0,,163.0,32.0,131,66,13,5.56,3076.0,3507.0,63.0,3014.0,3128.0,58.0,62.0,379.0,5.0,4771.0,5408.0,94.0,4313.0,4657.0,85.0,458.0,751.0,9.0
25418,ESPORTSTMNT06/1180936,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180936?gameHash=7e503a313fd08aa2&amp;tab=overview,EM,2020,Spring,0,2020-04-22 19:35:44,1,10.07,3,Blue,mid,Czekolad,AGO ROGUE,Azir,Xerath,Yasuo,Aphelios,Yuumi,Riven,1759,1,1,0,3,7,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2388,0.3411,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,17056,581.7851,0.331049,15,0.5117,4,0.1364,8,27.0,0.921,13494,9630,328.4821,0.29182600000000003,12850.0,,305.0,277.0,28,20,8,10.4036,4028.0,5036.0,98.0,3579.0,4937.0,88.0,449.0,99.0,10.0,7040.0,8228.0,159.0,5391.0,7897.0,143.0,1649.0,331.0,16.0
25419,ESPORTSTMNT06/1180936,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180936?gameHash=7e503a313fd08aa2&amp;tab=overview,EM,2020,Spring,0,2020-04-22 19:35:44,1,10.07,4,Blue,bot,Woolite,AGO ROGUE,Senna,Xerath,Yasuo,Aphelios,Yuumi,Riven,1759,1,3,0,3,7,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2388,0.3411,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9763,333.0188,0.189496,30,1.0233,20,0.6822,4,78.0,2.6606,9161,5297,180.6822,0.16052,7000.0,,53.0,45.0,8,4,0,1.8078,2143.0,2680.0,5.0,3248.0,2995.0,84.0,-1105.0,-315.0,-79.0,4025.0,4332.0,15.0,4852.0,4995.0,127.0,-827.0,-663.0,-112.0
25420,ESPORTSTMNT06/1180936,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180936?gameHash=7e503a313fd08aa2&amp;tab=overview,EM,2020,Spring,0,2020-04-22 19:35:44,1,10.07,5,Blue,sup,Mystiques,AGO ROGUE,Maokai,Xerath,Yasuo,Aphelios,Yuumi,Riven,1759,1,0,0,5,7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2388,0.3411,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6692,228.2661,0.129889,21,0.7163,7,0.2388,10,45.0,1.535,9126,5262,179.4883,0.15946,9000.0,,161.0,157.0,4,0,0,5.4918,2867.0,3058.0,68.0,2087.0,2628.0,3.0,780.0,430.0,65.0,4781.0,5054.0,110.0,3133.0,4153.0,13.0,1648.0,901.0,97.0
25421,ESPORTSTMNT06/1180936,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180936?gameHash=7e503a313fd08aa2&amp;tab=overview,EM,2020,Spring,0,2020-04-22 19:35:44,1,10.07,6,Red,top,Alois,Defusekids,Camille,Sett,Rek'Sai,Varus,Thresh,Renekton,1759,0,1,1,1,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1023,0.3411,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5222,178.1239,0.123964,12,0.4093,1,0.0341,3,17.0,0.5799,11168,7304,249.1416,0.267604,11258.0,,262.0,243.0,19,11,1,8.9369,2694.0,4102.0,65.0,3450.0,4965.0,83.0,-756.0,-863.0,-18.0,4305.0,6331.0,107.0,5308.0,7758.0,130.0,-1003.0,-1427.0,-23.0
25422,ESPORTSTMNT06/1180936,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180936?gameHash=7e503a313fd08aa2&amp;tab=overview,EM,2020,Spring,0,2020-04-22 19:35:44,1,10.07,7,Red,jng,Hades,Defusekids,Trundle,Sett,Rek'Sai,Varus,Thresh,Renekton,1759,0,0,2,2,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1023,0.3411,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2912,99.3292,0.06912760000000001,12,0.4093,11,0.3752,12,41.0,1.3985,7886,4022,137.1916,0.147359,7700.0,,148.0,20.0,128,92,12,5.0483,3014.0,3128.0,58.0,3076.0,3507.0,63.0,-62.0,-379.0,-5.0,4313.0,4657.0,85.0,4771.0,5408.0,94.0,-458.0,-751.0,-9.0
25423,ESPORTSTMNT06/1180936,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180936?gameHash=7e503a313fd08aa2&amp;tab=overview,EM,2020,Spring,0,2020-04-22 19:35:44,1,10.07,8,Red,mid,Chapapi,Defusekids,Kassadin,Sett,Rek'Sai,Varus,Thresh,Renekton,1759,0,1,2,0,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1023,0.3411,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,9867,336.5662,0.234231,15,0.5117,6,0.2047,7,29.0,0.9892,10948,7084,241.6373,0.259544,10825.0,,276.0,254.0,22,15,4,9.4144,3579.0,4937.0,88.0,4028.0,5036.0,98.0,-449.0,-99.0,-10.0,5391.0,7897.0,143.0,7040.0,8228.0,159.0,-1649.0,-331.0,-16.0
25424,ESPORTSTMNT06/1180936,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180936?gameHash=7e503a313fd08aa2&amp;tab=overview,EM,2020,Spring,0,2020-04-22 19:35:44,1,10.07,9,Red,bot,Goose,Defusekids,Ezreal,Sett,Rek'Sai,Varus,Thresh,Renekton,1759,0,1,1,1,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1023,0.3411,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15023,512.4389,0.356629,15,0.5117,5,0.1706,6,25.0,0.8528,10554,6690,228.1978,0.245108,9333.0,,261.0,243.0,18,18,0,8.9028,3248.0,2995.0,84.0,2143.0,2680.0,5.0,1105.0,315.0,79.0,4852.0,4995.0,127.0,4025.0,4332.0,15.0,827.0,663.0,112.0
25425,ESPORTSTMNT06/1180936,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180936?gameHash=7e503a313fd08aa2&amp;tab=overview,EM,2020,Spring,0,2020-04-22 19:35:44,1,10.07,10,Red,sup,Nightmares,Defusekids,Karma,Sett,Rek'Sai,Varus,Thresh,Renekton,1759,0,0,1,3,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1023,0.3411,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9101,310.4377,0.216047,38,1.2962,12,0.4093,10,58.0,1.9784,6058,2194,74.838,0.0803848,5700.0,,38.0,38.0,0,0,0,1.2962,2087.0,2628.0,3.0,2867.0,3058.0,68.0,-780.0,-430.0,-65.0,3133.0,4153.0,13.0,4781.0,5054.0,110.0,-1648.0,-901.0,-97.0
