,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
18864,ESPORTSTMNT06/1190179,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190179?gameHash=940e13e6389aceac,EM,2020,Spring,0,2020-04-06 16:37:20,1,10.07,1,Blue,top,Robocop,eSuba,Aatrox,Rumble,Pantheon,Ziggs,Lulu,Karma,2367,1,1,3,11,16,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4056,0.6591,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,16054,406.9455,0.165981,17,0.4309,2,0.0507,3,24.0,0.6084,12522,7418,188.0355,0.186945,12050.0,,241.0,221.0,20,17,0,6.109,3300.0,4581.0,83.0,3509.0,4867.0,76.0,-209.0,-286.0,7.0,4516.0,6449.0,113.0,4996.0,6973.0,114.0,-480.0,-524.0,-1.0
18865,ESPORTSTMNT06/1190179,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190179?gameHash=940e13e6389aceac,EM,2020,Spring,0,2020-04-06 16:37:20,1,10.07,2,Blue,jng,Jejky,eSuba,Ekko,Rumble,Pantheon,Ziggs,Lulu,Karma,2367,1,3,1,9,16,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4056,0.6591,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15838,401.4702,0.163748,22,0.5577,6,0.1521,7,56.0,1.4195,14447,9343,236.8314,0.23546,13375.0,,259.0,88.0,171,84,36,6.5653,3194.0,3347.0,68.0,2785.0,2695.0,54.0,409.0,652.0,14.0,5515.0,5784.0,110.0,4153.0,4285.0,80.0,1362.0,1499.0,30.0
18866,ESPORTSTMNT06/1190179,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190179?gameHash=940e13e6389aceac,EM,2020,Spring,0,2020-04-06 16:37:20,1,10.07,3,Blue,mid,Random,eSuba,LeBlanc,Rumble,Pantheon,Ziggs,Lulu,Karma,2367,1,8,2,5,16,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4056,0.6591,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,26594,674.1191,0.274953,10,0.2535,6,0.1521,6,34.0,0.8619,14940,9836,249.3283,0.247885,15010.0,,256.0,224.0,32,20,12,6.4892,3379.0,4766.0,92.0,3660.0,5270.0,96.0,-281.0,-504.0,-4.0,5131.0,7946.0,137.0,6021.0,8168.0,162.0,-890.0,-222.0,-25.0
18867,ESPORTSTMNT06/1190179,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190179?gameHash=940e13e6389aceac,EM,2020,Spring,0,2020-04-06 16:37:20,1,10.07,4,Blue,bot,Dany,eSuba,Senna,Rumble,Pantheon,Ziggs,Lulu,Karma,2367,1,3,0,9,16,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4056,0.6591,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,32208,816.4259,0.332996,44,1.1153,20,0.507,5,106.0,2.6869,11895,6791,172.142,0.17114300000000002,10975.0,,93.0,78.0,15,12,0,2.3574,2321.0,2680.0,9.0,3554.0,3045.0,85.0,-1233.0,-365.0,-76.0,3814.0,4413.0,19.0,5307.0,4982.0,138.0,-1493.0,-569.0,-119.0
18868,ESPORTSTMNT06/1190179,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190179?gameHash=940e13e6389aceac,EM,2020,Spring,0,2020-04-06 16:37:20,1,10.07,5,Blue,sup,Rufus,eSuba,Tahm Kench,Rumble,Pantheon,Ziggs,Lulu,Karma,2367,1,1,4,10,16,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4056,0.6591,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6028,152.801,0.06232290000000001,14,0.3549,4,0.1014,14,34.0,0.8619,11396,6292,159.493,0.158567,10160.0,,174.0,170.0,4,4,0,4.4106,2913.0,3095.0,74.0,1957.0,2988.0,1.0,956.0,107.0,73.0,4715.0,4767.0,110.0,2767.0,4604.0,2.0,1948.0,163.0,108.0
18869,ESPORTSTMNT06/1190179,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190179?gameHash=940e13e6389aceac,EM,2020,Spring,0,2020-04-06 16:37:20,1,10.07,6,Red,top,Kektz,ASUS ROG ELITE,Ornn,Wukong,Sett,Renekton,Azir,Lee Sin,2367,0,4,5,6,10,16,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2535,0.6591,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,22155,561.597,0.223912,19,0.4816,4,0.1014,5,36.0,0.9125,12790,7686,194.8289,0.211247,11775.0,,232.0,228.0,4,0,0,5.8809,3509.0,4867.0,76.0,3300.0,4581.0,83.0,209.0,286.0,-7.0,4996.0,6973.0,114.0,4516.0,6449.0,113.0,480.0,524.0,1.0
18870,ESPORTSTMNT06/1190179,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190179?gameHash=940e13e6389aceac,EM,2020,Spring,0,2020-04-06 16:37:20,1,10.07,7,Red,jng,SpeeDy,ASUS ROG ELITE,Jarvan IV,Wukong,Sett,Renekton,Azir,Lee Sin,2367,0,1,4,4,10,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2535,0.6591,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4232,107.275,0.0427712,8,0.2028,18,0.4563,8,46.0,1.166,10196,5092,129.0748,0.139949,9200.0,,168.0,40.0,128,92,4,4.2586,2785.0,2695.0,54.0,3194.0,3347.0,68.0,-409.0,-652.0,-14.0,4153.0,4285.0,80.0,5515.0,5784.0,110.0,-1362.0,-1499.0,-30.0
18871,ESPORTSTMNT06/1190179,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190179?gameHash=940e13e6389aceac,EM,2020,Spring,0,2020-04-06 16:37:20,1,10.07,8,Red,mid,Kashtelan,ASUS ROG ELITE,Ryze,Wukong,Sett,Renekton,Azir,Lee Sin,2367,0,0,5,8,10,16,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2535,0.6591,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,31080,787.8327,0.314114,17,0.4309,5,0.1267,5,45.0,1.1407,16218,11114,281.7237,0.30546799999999996,15575.0,,398.0,351.0,47,23,11,10.0887,3660.0,5270.0,96.0,3379.0,4766.0,92.0,281.0,504.0,4.0,6021.0,8168.0,162.0,5131.0,7946.0,137.0,890.0,222.0,25.0
18872,ESPORTSTMNT06/1190179,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190179?gameHash=940e13e6389aceac,EM,2020,Spring,0,2020-04-06 16:37:20,1,10.07,9,Red,bot,Nikola,ASUS ROG ELITE,Varus,Wukong,Sett,Renekton,Azir,Lee Sin,2367,0,4,2,2,10,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2535,0.6591,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,29717,753.2826,0.30033899999999997,16,0.4056,10,0.2535,6,48.0,1.2167,14866,9762,247.4525,0.268307,13050.0,,345.0,311.0,34,33,0,8.7452,3554.0,3045.0,85.0,2321.0,2680.0,9.0,1233.0,365.0,76.0,5307.0,4982.0,138.0,3814.0,4413.0,19.0,1493.0,569.0,119.0
18873,ESPORTSTMNT06/1190179,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190179?gameHash=940e13e6389aceac,EM,2020,Spring,0,2020-04-06 16:37:20,1,10.07,10,Red,sup,Stefan,ASUS ROG ELITE,Yuumi,Wukong,Sett,Renekton,Azir,Lee Sin,2367,0,1,0,8,10,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2535,0.6591,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11761,298.1242,0.11886400000000001,18,0.4563,2,0.0507,6,34.0,0.8619,7834,2730,69.2015,0.07502819999999999,6635.0,,9.0,9.0,0,0,0,0.2281,1957.0,2988.0,1.0,2913.0,3095.0,74.0,-956.0,-107.0,-73.0,2767.0,4604.0,2.0,4715.0,4767.0,110.0,-1948.0,-163.0,-108.0
