,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
2916,ESPORTSTMNT01/1294260,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1294260?gameHash=246841d34c9660aa&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 05:09:46,1,10.02,1,Blue,top,Paz,V3 Esports,Sett,Syndra,Elise,Jarvan IV,Soraka,Senna,1381,1,1,0,7,19,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8255,0.9993,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6764,293.874,0.163555,10,0.4345,1,0.0434,3,14.0,0.6083,8074,4981,216.4084,0.158915,5825.0,,148.0,143.0,5,1,0,6.4301,2890.0,4497.0,68.0,3480.0,4927.0,85.0,-590.0,-430.0,-17.0,4335.0,6774.0,100.0,5797.0,6980.0,130.0,-1462.0,-206.0,-30.0
2917,ESPORTSTMNT01/1294260,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1294260?gameHash=246841d34c9660aa&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 05:09:46,1,10.02,2,Blue,jng,Bugi,V3 Esports,Ekko,Syndra,Elise,Jarvan IV,Soraka,Senna,1381,1,2,0,14,19,4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.8255,0.9993,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9013,391.5858,0.217937,16,0.6951,7,0.3041,7,39.0,1.6944,9209,6116,265.7205,0.195125,7825.0,,150.0,27.0,123,75,13,6.517,3027.0,2984.0,53.0,3067.0,3263.0,62.0,-40.0,-279.0,-9.0,5246.0,5828.0,96.0,4712.0,4897.0,89.0,534.0,931.0,7.0
2918,ESPORTSTMNT01/1294260,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1294260?gameHash=246841d34c9660aa&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 05:09:46,1,10.02,3,Blue,mid,Ace,V3 Esports,Nocturne,Syndra,Elise,Jarvan IV,Soraka,Senna,1381,1,1,3,7,19,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8255,0.9993,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6619,287.5742,0.160049,11,0.4779,10,0.4345,5,34.0,1.4772,8023,4930,214.1926,0.157288,7275.0,,153.0,153.0,0,0,0,6.6474,3386.0,4792.0,92.0,3423.0,4538.0,84.0,-37.0,254.0,8.0,5161.0,6596.0,130.0,5393.0,7087.0,130.0,-232.0,-491.0,0.0
2919,ESPORTSTMNT01/1294260,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1294260?gameHash=246841d34c9660aa&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 05:09:46,1,10.02,4,Blue,bot,Archer,V3 Esports,Aphelios,Syndra,Elise,Jarvan IV,Soraka,Senna,1381,1,11,1,6,19,4,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.8255,0.9993,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15713,682.6792,0.379945,9,0.391,6,0.2607,2,29.0,1.26,13476,10383,451.1079,0.331256,11550.0,,217.0,201.0,16,12,4,9.428,3879.0,3626.0,93.0,3046.0,2900.0,73.0,833.0,726.0,20.0,7320.0,6115.0,151.0,4254.0,4107.0,100.0,3066.0,2008.0,51.0
2920,ESPORTSTMNT01/1294260,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1294260?gameHash=246841d34c9660aa&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 05:09:46,1,10.02,5,Blue,sup,Raina,V3 Esports,Nautilus,Syndra,Elise,Jarvan IV,Soraka,Senna,1381,1,4,0,12,19,4,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8255,0.9993,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3247,141.0717,0.07851339999999998,27,1.1731,13,0.5648,8,62.0,2.6937,8027,4934,214.3664,0.157416,7250.0,,31.0,31.0,0,0,0,1.3469,2851.0,2932.0,15.0,2073.0,2796.0,12.0,778.0,136.0,3.0,5167.0,4519.0,22.0,3007.0,3801.0,18.0,2160.0,718.0,4.0
2921,ESPORTSTMNT01/1294260,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1294260?gameHash=246841d34c9660aa&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 05:09:46,1,10.02,6,Red,top,uinyan,AXIZ,Kayle,Akali,Lucian,Pantheon,Yasuo,LeBlanc,1381,0,1,2,0,4,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1738,0.9993,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9262,402.4041,0.30948600000000004,9,0.391,3,0.1303,5,20.0,0.8689,9396,6303,273.845,0.30779,9075.0,,217.0,205.0,12,5,1,9.428,3480.0,4927.0,85.0,2890.0,4497.0,68.0,590.0,430.0,17.0,5797.0,6980.0,130.0,4335.0,6774.0,100.0,1462.0,206.0,30.0
2922,ESPORTSTMNT01/1294260,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1294260?gameHash=246841d34c9660aa&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 05:09:46,1,10.02,7,Red,jng,Hoglet,AXIZ,Rek'Sai,Akali,Lucian,Pantheon,Yasuo,LeBlanc,1381,0,0,4,3,4,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1738,0.9993,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4000,173.7871,0.133659,20,0.8689,8,0.3476,9,42.0,1.8248,6804,3711,161.231,0.18122,6800.0,,124.0,16.0,108,75,12,5.3874,3067.0,3263.0,62.0,3027.0,2984.0,53.0,40.0,279.0,9.0,4712.0,4897.0,89.0,5246.0,5828.0,96.0,-534.0,-931.0,-7.0
2923,ESPORTSTMNT01/1294260,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1294260?gameHash=246841d34c9660aa&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 05:09:46,1,10.02,8,Red,mid,Gariaru,AXIZ,Ryze,Akali,Lucian,Pantheon,Yasuo,LeBlanc,1381,0,1,4,1,4,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1738,0.9993,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8659,376.2056,0.289337,13,0.5648,3,0.1303,8,16.0,0.6951,7889,4796,208.3707,0.23420100000000002,7775.0,,188.0,170.0,18,12,0,8.168,3423.0,4538.0,84.0,3386.0,4792.0,92.0,37.0,-254.0,-8.0,5393.0,7087.0,130.0,5161.0,6596.0,130.0,232.0,491.0,0.0
2924,ESPORTSTMNT01/1294260,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1294260?gameHash=246841d34c9660aa&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 05:09:46,1,10.02,9,Red,bot,Hide,AXIZ,Ashe,Akali,Lucian,Pantheon,Yasuo,LeBlanc,1381,0,2,5,1,4,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1738,0.9993,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6901,299.8262,0.230594,8,0.3476,1,0.0434,1,16.0,0.6951,7371,4278,185.8653,0.208907,7125.0,,164.0,160.0,4,4,0,7.1253,3046.0,2900.0,73.0,3879.0,3626.0,93.0,-833.0,-726.0,-20.0,4254.0,4107.0,100.0,7320.0,6115.0,151.0,-3066.0,-2008.0,-51.0
2925,ESPORTSTMNT01/1294260,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1294260?gameHash=246841d34c9660aa&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 05:09:46,1,10.02,10,Red,sup,Corporal,AXIZ,Braum,Akali,Lucian,Pantheon,Yasuo,LeBlanc,1381,0,0,4,2,4,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1738,0.9993,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1105,48.0087,0.036923199999999996,34,1.4772,4,0.1738,10,46.0,1.9986,4483,1390,60.391,0.0678829,4450.0,,29.0,29.0,0,0,0,1.26,2073.0,2796.0,12.0,2851.0,2932.0,15.0,-778.0,-136.0,-3.0,3007.0,3801.0,18.0,5167.0,4519.0,22.0,-2160.0,-718.0,-4.0
