,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
4980,ESPORTSTMNT02/1281267,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281267?gameHash=c6002b67aaa23586&amp;tab=overview,LLA,2020,Opening,0,2020-02-15 21:49:47,1,10.03,1,Blue,top,Zerito,Furious Gaming,Irelia,Ekko,Lucian,Renekton,Mordekaiser,Zoe,2352,0,1,5,4,10,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2551,0.6888,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11036,281.5306,0.165037,19,0.4847,4,0.102,6,34.0,0.8673,13964,8890,226.7857,0.214113,14608.0,,319.0,292.0,27,20,0,8.1378,3100.0,4198.0,84.0,3023.0,4225.0,73.0,77.0,-27.0,11.0,4659.0,6313.0,126.0,4554.0,6686.0,123.0,105.0,-373.0,3.0
4981,ESPORTSTMNT02/1281267,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281267?gameHash=c6002b67aaa23586&amp;tab=overview,LLA,2020,Opening,0,2020-02-15 21:49:47,1,10.03,2,Blue,jng,Zelt,Furious Gaming,Lee Sin,Ekko,Lucian,Renekton,Mordekaiser,Zoe,2352,0,3,2,6,10,17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2551,0.6888,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8327,212.4235,0.124525,21,0.5357,7,0.1786,12,37.0,0.9439,11837,6763,172.5255,0.16288699999999998,11525.0,,198.0,39.0,159,109,13,5.051,3372.0,3490.0,66.0,3247.0,2920.0,60.0,125.0,570.0,6.0,4589.0,4909.0,88.0,4609.0,4324.0,83.0,-20.0,585.0,5.0
4982,ESPORTSTMNT02/1281267,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281267?gameHash=c6002b67aaa23586&amp;tab=overview,LLA,2020,Opening,0,2020-02-15 21:49:47,1,10.03,3,Blue,mid,Emp,Furious Gaming,Ryze,Ekko,Lucian,Renekton,Mordekaiser,Zoe,2352,0,5,2,4,10,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2551,0.6888,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,27534,702.398,0.411754,22,0.5612,4,0.102,13,42.0,1.0714,17116,12042,307.1939,0.290025,15525.0,,327.0,285.0,42,34,0,8.3418,3364.0,4996.0,91.0,3235.0,5030.0,87.0,129.0,-34.0,4.0,5462.0,7117.0,133.0,4533.0,6750.0,117.0,929.0,367.0,16.0
4983,ESPORTSTMNT02/1281267,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281267?gameHash=c6002b67aaa23586&amp;tab=overview,LLA,2020,Opening,0,2020-02-15 21:49:47,1,10.03,4,Blue,bot,Zeicro,Furious Gaming,Aphelios,Ekko,Lucian,Renekton,Mordekaiser,Zoe,2352,0,1,4,7,10,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2551,0.6888,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,15531,396.199,0.23225700000000002,17,0.4337,22,0.5612,7,56.0,1.4286,15162,10088,257.3469,0.242966,13925.0,,371.0,332.0,39,31,0,9.4643,3643.0,3038.0,85.0,3732.0,3098.0,88.0,-89.0,-60.0,-3.0,5463.0,5383.0,136.0,6688.0,5943.0,145.0,-1225.0,-560.0,-9.0
4984,ESPORTSTMNT02/1281267,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281267?gameHash=c6002b67aaa23586&amp;tab=overview,LLA,2020,Opening,0,2020-02-15 21:49:47,1,10.03,5,Blue,sup,Baula,Furious Gaming,Nautilus,Ekko,Lucian,Renekton,Mordekaiser,Zoe,2352,0,0,4,7,10,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2551,0.6888,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4442,113.3163,0.06642739999999998,79,2.0153,17,0.4337,27,123.0,3.1378,8811,3737,95.3316,0.0900091,8525.0,,51.0,51.0,0,0,0,1.301,2490.0,2889.0,12.0,2495.0,2678.0,14.0,-5.0,211.0,-2.0,3748.0,4302.0,28.0,3903.0,4163.0,27.0,-155.0,139.0,1.0
4985,ESPORTSTMNT02/1281267,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281267?gameHash=c6002b67aaa23586&amp;tab=overview,LLA,2020,Opening,0,2020-02-15 21:49:47,1,10.03,6,Red,top,Jisu,All Knights,Aatrox,Pantheon,Sett,Elise,LeBlanc,Syndra,2352,1,4,4,3,17,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4337,0.6888,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,16147,411.9133,0.20628600000000002,14,0.3571,12,0.3061,2,42.0,1.0714,15654,10580,269.898,0.22436599999999998,14250.0,,328.0,300.0,28,16,5,8.3673,3023.0,4225.0,73.0,3100.0,4198.0,84.0,-77.0,27.0,-11.0,4554.0,6686.0,123.0,4659.0,6313.0,126.0,-105.0,373.0,-3.0
4986,ESPORTSTMNT02/1281267,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281267?gameHash=c6002b67aaa23586&amp;tab=overview,LLA,2020,Opening,0,2020-02-15 21:49:47,1,10.03,7,Red,jng,Pancake,All Knights,Jarvan IV,Pantheon,Sett,Elise,LeBlanc,Syndra,2352,1,1,2,15,17,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4337,0.6888,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8482,216.3776,0.10836199999999999,15,0.3827,14,0.3571,14,65.0,1.6582,12534,7460,190.3061,0.158203,10950.0,,189.0,21.0,168,110,8,4.8214,3247.0,2920.0,60.0,3372.0,3490.0,66.0,-125.0,-570.0,-6.0,4609.0,4324.0,83.0,4589.0,4909.0,88.0,20.0,-585.0,-5.0
4987,ESPORTSTMNT02/1281267,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281267?gameHash=c6002b67aaa23586&amp;tab=overview,LLA,2020,Opening,0,2020-02-15 21:49:47,1,10.03,8,Red,mid,Plugo,All Knights,Rumble,Pantheon,Sett,Elise,LeBlanc,Syndra,2352,1,3,1,11,17,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4337,0.6888,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,27048,690.0,0.345551,23,0.5867,5,0.1276,11,53.0,1.352,13563,8489,216.5561,0.180024,12175.0,,257.0,249.0,8,5,0,6.5561,3235.0,5030.0,87.0,3364.0,4996.0,91.0,-129.0,34.0,-4.0,4533.0,6750.0,117.0,5462.0,7117.0,133.0,-929.0,-367.0,-16.0
4988,ESPORTSTMNT02/1281267,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281267?gameHash=c6002b67aaa23586&amp;tab=overview,LLA,2020,Opening,0,2020-02-15 21:49:47,1,10.03,9,Red,bot,Alive,All Knights,Xayah,Pantheon,Sett,Elise,LeBlanc,Syndra,2352,1,8,2,6,17,10,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4337,0.6888,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,21606,551.1735,0.276027,14,0.3571,25,0.6378,3,62.0,1.5816,20592,15518,395.8673,0.329081,20335.0,,438.0,378.0,60,60,0,11.1735,3732.0,3098.0,88.0,3643.0,3038.0,85.0,89.0,60.0,3.0,6688.0,5943.0,145.0,5463.0,5383.0,136.0,1225.0,560.0,9.0
4989,ESPORTSTMNT02/1281267,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281267?gameHash=c6002b67aaa23586&amp;tab=overview,LLA,2020,Opening,0,2020-02-15 21:49:47,1,10.03,10,Red,sup,Newbie,All Knights,Rakan,Pantheon,Sett,Elise,LeBlanc,Syndra,2352,1,1,1,15,17,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4337,0.6888,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4992,127.3469,0.06377519999999999,83,2.1173,16,0.4082,28,125.0,3.1888,10182,5108,130.3061,0.10832699999999999,8600.0,,42.0,38.0,4,0,0,1.0714,2495.0,2678.0,14.0,2490.0,2889.0,12.0,5.0,-211.0,2.0,3903.0,4163.0,27.0,3748.0,4302.0,28.0,155.0,-139.0,-1.0
