,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
9624,ESPORTSTMNT03/1323620,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1323620?gameHash=f14d5a6974b81745,PCS,2020,Spring,0,2020-03-06 11:25:33,1,10.04,1,Blue,top,Ziv,ahq eSports Club,Vladimir,Elise,Senna,Ornn,Braum,Aatrox,2006,1,1,4,6,13,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3888,0.7478,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15604,466.7198,0.28515,12,0.3589,11,0.329,8,42.0,1.2562,11460,7092,212.1236,0.188577,10650.0,,236.0,223.0,13,9,4,7.0588,3173.0,4590.0,81.0,3106.0,4283.0,71.0,67.0,307.0,10.0,4864.0,6812.0,123.0,4790.0,6865.0,110.0,74.0,-53.0,13.0
9625,ESPORTSTMNT03/1323620,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1323620?gameHash=f14d5a6974b81745,PCS,2020,Spring,0,2020-03-06 11:25:33,1,10.04,2,Blue,jng,Kongyue,ahq eSports Club,Rek'Sai,Elise,Senna,Ornn,Braum,Aatrox,2006,1,2,2,3,13,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3888,0.7478,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5837,174.5862,0.10666600000000001,35,1.0469,14,0.4187,16,87.0,2.6022,11246,6878,205.7228,0.182887,11175.0,,206.0,26.0,180,103,20,6.1615,3063.0,3273.0,68.0,2956.0,2842.0,53.0,107.0,431.0,15.0,4954.0,5640.0,109.0,4675.0,4947.0,92.0,279.0,693.0,17.0
9626,ESPORTSTMNT03/1323620,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1323620?gameHash=f14d5a6974b81745,PCS,2020,Spring,0,2020-03-06 11:25:33,1,10.04,3,Blue,mid,Uniboy,ahq eSports Club,Zoe,Elise,Senna,Ornn,Braum,Aatrox,2006,1,2,0,5,13,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3888,0.7478,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12772,382.014,0.233398,21,0.6281,5,0.1496,10,40.0,1.1964,11652,7284,217.8664,0.193682,10800.0,,248.0,232.0,16,8,4,7.4177,3182.0,4733.0,86.0,3196.0,4895.0,87.0,-14.0,-162.0,-1.0,4847.0,7245.0,134.0,5213.0,7992.0,148.0,-366.0,-747.0,-14.0
9627,ESPORTSTMNT03/1323620,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1323620?gameHash=f14d5a6974b81745,PCS,2020,Spring,0,2020-03-06 11:25:33,1,10.04,4,Blue,bot,Wako,ahq eSports Club,Miss Fortune,Elise,Senna,Ornn,Braum,Aatrox,2006,1,6,2,6,13,12,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3888,0.7478,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,17329,518.3151,0.316673,16,0.4786,15,0.4487,5,48.0,1.4357,17119,12751,381.3858,0.339047,14825.0,,348.0,310.0,38,25,4,10.4088,3455.0,3422.0,81.0,3304.0,3042.0,76.0,151.0,380.0,5.0,5880.0,5800.0,137.0,5881.0,5428.0,125.0,-1.0,372.0,12.0
9628,ESPORTSTMNT03/1323620,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1323620?gameHash=f14d5a6974b81745,PCS,2020,Spring,0,2020-03-06 11:25:33,1,10.04,5,Blue,sup,Ysera,ahq eSports Club,Nautilus,Elise,Senna,Ornn,Braum,Aatrox,2006,1,2,4,3,13,12,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3888,0.7478,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3180,95.1147,0.0581119,53,1.5852,10,0.2991,14,95.0,2.8415,7971,3603,107.7667,0.0958063,7300.0,,30.0,30.0,0,0,0,0.8973,2886.0,2355.0,17.0,2049.0,1962.0,14.0,837.0,393.0,3.0,4032.0,3462.0,24.0,3679.0,3429.0,25.0,353.0,33.0,-1.0
9629,ESPORTSTMNT03/1323620,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1323620?gameHash=f14d5a6974b81745,PCS,2020,Spring,0,2020-03-06 11:25:33,1,10.04,6,Red,top,Rock,Alpha Esports,Gangplank,Aphelios,Sett,Syndra,Renekton,Mordekaiser,2006,0,2,1,7,12,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3589,0.7478,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14146,423.1107,0.277095,17,0.5085,2,0.0598,9,23.0,0.6879,11692,7324,219.0628,0.228041,11208.0,,225.0,221.0,4,4,0,6.7298,3106.0,4283.0,71.0,3173.0,4590.0,81.0,-67.0,-307.0,-10.0,4790.0,6865.0,110.0,4864.0,6812.0,123.0,-74.0,53.0,-13.0
9630,ESPORTSTMNT03/1323620,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1323620?gameHash=f14d5a6974b81745,PCS,2020,Spring,0,2020-03-06 11:25:33,1,10.04,7,Red,jng,catjug,Alpha Esports,Lee Sin,Aphelios,Sett,Syndra,Renekton,Mordekaiser,2006,0,1,4,4,12,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3589,0.7478,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6197,185.3539,0.12138800000000001,15,0.4487,12,0.3589,10,41.0,1.2263,10159,5791,173.2104,0.18031,10075.0,,196.0,24.0,172,113,16,5.8624,2956.0,2842.0,53.0,3063.0,3273.0,68.0,-107.0,-431.0,-15.0,4675.0,4947.0,92.0,4954.0,5640.0,109.0,-279.0,-693.0,-17.0
9631,ESPORTSTMNT03/1323620,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1323620?gameHash=f14d5a6974b81745,PCS,2020,Spring,0,2020-03-06 11:25:33,1,10.04,8,Red,mid,assassin,Alpha Esports,LeBlanc,Aphelios,Sett,Syndra,Renekton,Mordekaiser,2006,0,4,2,3,12,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3589,0.7478,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12706,380.0399,0.248888,8,0.2393,9,0.2692,6,33.0,0.987,11434,7066,211.346,0.22000799999999998,11050.0,,259.0,239.0,20,12,8,7.7468,3196.0,4895.0,87.0,3182.0,4733.0,86.0,14.0,162.0,1.0,5213.0,7992.0,148.0,4847.0,7245.0,134.0,366.0,747.0,14.0
9632,ESPORTSTMNT03/1323620,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1323620?gameHash=f14d5a6974b81745,PCS,2020,Spring,0,2020-03-06 11:25:33,1,10.04,9,Red,bot,Atlen,Alpha Esports,Ezreal,Aphelios,Sett,Syndra,Renekton,Mordekaiser,2006,0,3,3,7,12,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3589,0.7478,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,14435,431.7547,0.282756,10,0.2991,7,0.2094,4,25.0,0.7478,13410,9042,270.4487,0.281531,13383.0,,279.0,275.0,4,4,0,8.345,3304.0,3042.0,76.0,3455.0,3422.0,81.0,-151.0,-380.0,-5.0,5881.0,5428.0,125.0,5880.0,5800.0,137.0,1.0,-372.0,-12.0
9633,ESPORTSTMNT03/1323620,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1323620?gameHash=f14d5a6974b81745,PCS,2020,Spring,0,2020-03-06 11:25:33,1,10.04,10,Red,sup,Kino,Alpha Esports,Blitzcrank,Aphelios,Sett,Syndra,Renekton,Mordekaiser,2006,0,2,3,5,12,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3589,0.7478,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3567,106.6899,0.06987130000000001,57,1.7049,13,0.3888,21,91.0,2.7218,7262,2894,86.5603,0.0901108,7250.0,,42.0,42.0,0,0,0,1.2562,2049.0,1962.0,14.0,2886.0,2355.0,17.0,-837.0,-393.0,-3.0,3679.0,3429.0,25.0,4032.0,3462.0,24.0,-353.0,-33.0,1.0
