,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
33360,ESPORTSTMNT01/1405100,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405100?gameHash=b51533995508163a,CK,2020,Summer,0,2020-06-18 04:50:31,1,10.11,1,Blue,top,TaNa,Jin Air Green Wings,Ornn,Akali,Trundle,Kalista,Sylas,Aatrox,2220,0,0,2,3,4,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1081,0.4595,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,11362,307.0811,0.199923,15,0.4054,12,0.3243,3,38.0,1.027,12509,7705,208.2432,0.232514,12075.0,,315.0,299.0,16,12,0,8.5135,3291.0,5006.0,90.0,3083.0,4524.0,76.0,208.0,482.0,14.0,5050.0,7782.0,135.0,4745.0,7426.0,128.0,305.0,356.0,7.0
33361,ESPORTSTMNT01/1405100,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405100?gameHash=b51533995508163a,CK,2020,Summer,0,2020-06-18 04:50:31,1,10.11,2,Blue,jng,UmTi,Jin Air Green Wings,Lee Sin,Akali,Trundle,Kalista,Sylas,Aatrox,2220,0,2,4,2,4,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1081,0.4595,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6825,184.4595,0.120091,27,0.7297,21,0.5676,14,81.0,2.1892,11084,6280,169.7297,0.18950999999999998,10725.0,,211.0,53.0,158,97,15,5.7027,3067.0,3224.0,66.0,3165.0,3551.0,68.0,-98.0,-327.0,-2.0,4670.0,5421.0,99.0,4799.0,5612.0,103.0,-129.0,-191.0,-4.0
33362,ESPORTSTMNT01/1405100,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405100?gameHash=b51533995508163a,CK,2020,Summer,0,2020-06-18 04:50:31,1,10.11,3,Blue,mid,Yaharong,Jin Air Green Wings,Rumble,Akali,Trundle,Kalista,Sylas,Aatrox,2220,0,1,2,1,4,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1081,0.4595,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14126,381.7838,0.24855700000000003,15,0.4054,0,0.0,8,25.0,0.6757,12508,7704,208.2162,0.23248400000000002,11950.0,,287.0,275.0,12,12,0,7.7568,3282.0,4772.0,91.0,3200.0,4756.0,81.0,82.0,16.0,10.0,5150.0,7177.0,133.0,4879.0,7196.0,130.0,271.0,-19.0,3.0
33363,ESPORTSTMNT01/1405100,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405100?gameHash=b51533995508163a,CK,2020,Summer,0,2020-06-18 04:50:31,1,10.11,4,Blue,bot,Light,Jin Air Green Wings,Ezreal,Akali,Trundle,Kalista,Sylas,Aatrox,2220,0,0,2,2,4,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1081,0.4595,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,19462,526.0,0.342448,6,0.1622,14,0.3784,1,29.0,0.7838,13639,8835,238.7838,0.26661599999999996,13275.0,,364.0,352.0,12,12,0,9.8378,2894.0,3100.0,69.0,3738.0,3490.0,87.0,-844.0,-390.0,-18.0,4802.0,5649.0,128.0,6482.0,5592.0,140.0,-1680.0,57.0,-12.0
33364,ESPORTSTMNT01/1405100,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405100?gameHash=b51533995508163a,CK,2020,Summer,0,2020-06-18 04:50:31,1,10.11,5,Blue,sup,Senan,Jin Air Green Wings,Yuumi,Akali,Trundle,Kalista,Sylas,Aatrox,2220,0,1,3,2,4,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1081,0.4595,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5057,136.6757,0.08898160000000001,65,1.7568,7,0.1892,25,82.0,2.2162,7418,2614,70.6486,0.0788749,7375.0,,36.0,36.0,0,0,0,0.973,2030.0,2681.0,17.0,2576.0,2201.0,13.0,-546.0,480.0,4.0,3148.0,3850.0,26.0,4234.0,3793.0,20.0,-1086.0,57.0,6.0
33365,ESPORTSTMNT01/1405100,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405100?gameHash=b51533995508163a,CK,2020,Summer,0,2020-06-18 04:50:31,1,10.11,6,Red,top,Chasy,Awesome Spear,Camille,Varus,Syndra,Sett,Nidalee,Zoe,2220,1,0,2,7,13,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3514,0.4595,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,12185,329.3243,0.1882,18,0.4865,8,0.2162,8,43.0,1.1622,13300,8496,229.6216,0.195135,12333.0,,309.0,281.0,28,8,13,8.3514,3083.0,4524.0,76.0,3291.0,5006.0,90.0,-208.0,-482.0,-14.0,4745.0,7426.0,128.0,5050.0,7782.0,135.0,-305.0,-356.0,-7.0
33366,ESPORTSTMNT01/1405100,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405100?gameHash=b51533995508163a,CK,2020,Summer,0,2020-06-18 04:50:31,1,10.11,7,Red,jng,Crush,Awesome Spear,Graves,Varus,Syndra,Sett,Nidalee,Zoe,2220,1,1,1,8,13,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3514,0.4595,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6993,189.0,0.10800799999999999,16,0.4324,14,0.3784,16,63.0,1.7027,12447,7643,206.5676,0.175543,11675.0,,224.0,36.0,188,120,19,6.0541,3165.0,3551.0,68.0,3067.0,3224.0,66.0,98.0,327.0,2.0,4799.0,5612.0,103.0,4670.0,5421.0,99.0,129.0,191.0,4.0
33367,ESPORTSTMNT01/1405100,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405100?gameHash=b51533995508163a,CK,2020,Summer,0,2020-06-18 04:50:31,1,10.11,8,Red,mid,Crow,Awesome Spear,Galio,Varus,Syndra,Sett,Nidalee,Zoe,2220,1,1,1,8,13,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3514,0.4595,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14440,390.2703,0.223029,26,0.7027,5,0.1351,16,44.0,1.1892,12459,7655,206.8919,0.175818,12800.0,,264.0,263.0,1,0,1,7.1351,3200.0,4756.0,81.0,3282.0,4772.0,91.0,-82.0,-16.0,-10.0,4879.0,7196.0,130.0,5150.0,7177.0,133.0,-271.0,19.0,-3.0
33368,ESPORTSTMNT01/1405100,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405100?gameHash=b51533995508163a,CK,2020,Summer,0,2020-06-18 04:50:31,1,10.11,9,Red,bot,Prince,Awesome Spear,Aphelios,Varus,Syndra,Sett,Nidalee,Zoe,2220,1,8,0,3,13,4,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3514,0.4595,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,24202,654.1081,0.373805,16,0.4324,23,0.6216,4,61.0,1.6486,19586,14782,399.5135,0.339518,18250.0,,421.0,357.0,64,38,25,11.3784,3738.0,3490.0,87.0,2894.0,3100.0,69.0,844.0,390.0,18.0,6482.0,5592.0,140.0,4802.0,5649.0,128.0,1680.0,-57.0,12.0
33369,ESPORTSTMNT01/1405100,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405100?gameHash=b51533995508163a,CK,2020,Summer,0,2020-06-18 04:50:31,1,10.11,10,Red,sup,Zzus,Awesome Spear,Thresh,Varus,Syndra,Sett,Nidalee,Zoe,2220,1,3,0,10,13,4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3514,0.4595,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6925,187.1622,0.106958,60,1.6216,8,0.2162,18,90.0,2.4324,9767,4963,134.1351,0.11398599999999999,8800.0,,28.0,28.0,0,0,0,0.7568,2576.0,2201.0,13.0,2030.0,2681.0,17.0,546.0,-480.0,-4.0,4234.0,3793.0,20.0,3148.0,3850.0,26.0,1086.0,-57.0,-6.0
