,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
25620,ESPORTSTMNT06/1190891,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190891?gameHash=ab897de2675bfcc1,EM,2020,Spring,0,2020-04-23 15:26:36,1,10.07,1,Blue,top,Send0o,BT Excel,Gangplank,Kalista,Syndra,Jarvan IV,Yuumi,Nautilus,1987,0,0,1,3,5,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.151,0.4529,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,21921,661.9326,0.319357,19,0.5737,5,0.151,9,47.0,1.4192,13873,9544,288.1933,0.28971399999999997,13958.0,,309.0,293.0,16,7,0,9.3306,3190.0,4443.0,68.0,3447.0,4905.0,76.0,-257.0,-462.0,-8.0,4966.0,7195.0,110.0,5348.0,7814.0,128.0,-382.0,-619.0,-18.0
25621,ESPORTSTMNT06/1190891,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190891?gameHash=ab897de2675bfcc1,EM,2020,Spring,0,2020-04-23 15:26:36,1,10.07,2,Blue,jng,Taxer,BT Excel,Gragas,Kalista,Syndra,Jarvan IV,Yuumi,Nautilus,1987,0,1,2,3,5,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.151,0.4529,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10586,319.6578,0.154223,36,1.0871,11,0.3322,12,67.0,2.0232,9325,4996,150.8606,0.15165499999999998,9610.0,,161.0,35.0,126,80,5,4.8616,3082.0,2730.0,53.0,3847.0,3365.0,55.0,-765.0,-635.0,-2.0,4757.0,4507.0,82.0,5188.0,5254.0,89.0,-431.0,-747.0,-7.0
25622,ESPORTSTMNT06/1190891,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190891?gameHash=ab897de2675bfcc1,EM,2020,Spring,0,2020-04-23 15:26:36,1,10.07,3,Blue,mid,Special,BT Excel,LeBlanc,Kalista,Syndra,Jarvan IV,Yuumi,Nautilus,1987,0,1,2,2,5,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.151,0.4529,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12976,391.8269,0.18904200000000002,11,0.3322,5,0.151,6,30.0,0.9059,11156,6827,206.15,0.20723699999999998,10800.0,,234.0,222.0,12,8,4,7.0659,3023.0,4144.0,72.0,3264.0,4471.0,72.0,-241.0,-327.0,0.0,4573.0,6551.0,114.0,5383.0,7559.0,129.0,-810.0,-1008.0,-15.0
25623,ESPORTSTMNT06/1190891,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190891?gameHash=ab897de2675bfcc1,EM,2020,Spring,0,2020-04-23 15:26:36,1,10.07,4,Blue,bot,Deadly,BT Excel,Varus,Kalista,Syndra,Jarvan IV,Yuumi,Nautilus,1987,0,3,1,2,5,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.151,0.4529,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,19181,579.1948,0.279439,10,0.302,14,0.4227,3,34.0,1.0267,13521,9192,277.5642,0.279028,13000.0,,329.0,310.0,19,18,0,9.9346,3538.0,3110.0,83.0,3084.0,3027.0,74.0,454.0,83.0,9.0,5460.0,5090.0,142.0,5364.0,5032.0,124.0,96.0,58.0,18.0
25624,ESPORTSTMNT06/1190891,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190891?gameHash=ab897de2675bfcc1,EM,2020,Spring,0,2020-04-23 15:26:36,1,10.07,5,Blue,sup,kaSing,BT Excel,Braum,Kalista,Syndra,Jarvan IV,Yuumi,Nautilus,1987,0,0,4,3,5,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.151,0.4529,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3977,120.0906,0.05793909999999999,51,1.54,14,0.4227,15,86.0,2.5969,6713,2384,71.9879,0.0723659,6575.0,,36.0,36.0,0,0,0,1.0871,2144.0,2545.0,13.0,2036.0,2427.0,12.0,108.0,118.0,1.0,3271.0,3574.0,22.0,3246.0,4405.0,22.0,25.0,-831.0,0.0
25625,ESPORTSTMNT06/1190891,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190891?gameHash=ab897de2675bfcc1,EM,2020,Spring,0,2020-04-23 15:26:36,1,10.07,6,Red,top,Shemek,GamersOrigin,Ornn,Senna,Thresh,Sett,Renekton,Fiora,1987,1,0,0,5,10,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.302,0.4529,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9801,295.9537,0.192124,15,0.4529,1,0.0302,4,25.0,0.7549,11600,7271,219.5571,0.198639,10350.0,,257.0,249.0,8,4,0,7.7604,3447.0,4905.0,76.0,3190.0,4443.0,68.0,257.0,462.0,8.0,5348.0,7814.0,128.0,4966.0,7195.0,110.0,382.0,619.0,18.0
25626,ESPORTSTMNT06/1190891,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190891?gameHash=ab897de2675bfcc1,EM,2020,Spring,0,2020-04-23 15:26:36,1,10.07,7,Red,jng,bluerzor,GamersOrigin,Trundle,Senna,Thresh,Sett,Renekton,Fiora,1987,1,3,1,6,10,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.302,0.4529,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6624,200.0201,0.129847,12,0.3624,19,0.5737,10,57.0,1.7212,10831,6502,196.3362,0.17763099999999998,10300.0,,159.0,44.0,115,69,22,4.8012,3847.0,3365.0,55.0,3082.0,2730.0,53.0,765.0,635.0,2.0,5188.0,5254.0,89.0,4757.0,4507.0,82.0,431.0,747.0,7.0
25627,ESPORTSTMNT06/1190891,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190891?gameHash=ab897de2675bfcc1,EM,2020,Spring,0,2020-04-23 15:26:36,1,10.07,8,Red,mid,toucouille,GamersOrigin,Azir,Senna,Thresh,Sett,Renekton,Fiora,1987,1,4,0,3,10,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.302,0.4529,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14850,448.4147,0.291097,15,0.4529,9,0.2718,4,44.0,1.3286,13826,9497,286.774,0.25945300000000004,12700.0,,278.0,244.0,34,13,10,8.3946,3264.0,4471.0,72.0,3023.0,4144.0,72.0,241.0,327.0,0.0,5383.0,7559.0,129.0,4573.0,6551.0,114.0,810.0,1008.0,15.0
25628,ESPORTSTMNT06/1190891,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190891?gameHash=ab897de2675bfcc1,EM,2020,Spring,0,2020-04-23 15:26:36,1,10.07,9,Red,bot,SMILEY,GamersOrigin,Aphelios,Senna,Thresh,Sett,Renekton,Fiora,1987,1,3,2,3,10,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.302,0.4529,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,18340,553.7997,0.359509,14,0.4227,12,0.3624,4,44.0,1.3286,14389,10060,303.7745,0.274834,13200.0,,319.0,273.0,46,25,13,9.6326,3084.0,3027.0,74.0,3538.0,3110.0,83.0,-454.0,-83.0,-9.0,5364.0,5032.0,124.0,5460.0,5090.0,142.0,-96.0,-58.0,-18.0
25629,ESPORTSTMNT06/1190891,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190891?gameHash=ab897de2675bfcc1,EM,2020,Spring,0,2020-04-23 15:26:36,1,10.07,10,Red,sup,HustlinbeasT,GamersOrigin,Taric,Senna,Thresh,Sett,Renekton,Fiora,1987,1,0,2,7,10,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.302,0.4529,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1399,42.2446,0.0274238,52,1.5702,10,0.302,18,85.0,2.5667,7603,3274,98.8626,0.08944260000000001,6750.0,,34.0,33.0,1,0,0,1.0267,2036.0,2427.0,12.0,2144.0,2545.0,13.0,-108.0,-118.0,-1.0,3246.0,4405.0,22.0,3271.0,3574.0,22.0,-25.0,831.0,0.0
