,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
22812,6110-7621,partial,https://lpl.qq.com/es/stats.shtml?bmid=6110,LDL,2020,Spring,0,2020-04-16 09:26:00,1,10.06,1,Blue,top,demon,Bilibili Gaming Junior,Aatrox,Aphelios,Renekton,Varus,Irelia,Qiyana,2729,0,2,6,10,22,28,0.0,0.0,0.0,0.0,0.0,,,,0.4837,1.0993,,,,,,,,,,,,,,,,,,,,,,,,,,24638,541.6929,0.21470300000000003,20,0.4397,6,0.1319,5,52.0,1.1433,15874,10031,220.5423,0.21579,15980.0,,302.0,221.0,81,55,12,6.6398,,,,,,,,,,,,,,,,,,
22813,6110-7621,partial,https://lpl.qq.com/es/stats.shtml?bmid=6110,LDL,2020,Spring,0,2020-04-16 09:26:00,1,10.06,2,Blue,jng,l3est16,Bilibili Gaming Junior,Trundle,Aphelios,Renekton,Varus,Irelia,Qiyana,2729,0,4,5,16,22,28,0.0,0.0,0.0,0.0,0.0,,,,0.4837,1.0993,,,,,,,,,,,,,,,,,,,,,,,,,,14398,316.5555,0.125468,11,0.2418,13,0.2858,13,56.0,1.2312,13929,8086,177.7794,0.173949,13825.0,,199.0,59.0,140,71,24,4.3752,,,,,,,,,,,,,,,,,,
22814,6110-7621,partial,https://lpl.qq.com/es/stats.shtml?bmid=6110,LDL,2020,Spring,0,2020-04-16 09:26:00,1,10.06,3,Blue,mid,HanXuan,Bilibili Gaming Junior,Zoe,Aphelios,Renekton,Varus,Irelia,Qiyana,2729,0,6,5,10,22,28,1.0,0.0,0.0,0.0,0.0,,,,0.4837,1.0993,,,,,,,,,,,,,,,,,,,,,,,,,,33645,739.7215,0.293192,15,0.3298,5,0.1099,8,25.0,0.5497,17719,11876,261.1066,0.255479,17300.0,,323.0,289.0,34,30,4,7.1015,,,,,,,,,,,,,,,,,,
22815,6110-7621,partial,https://lpl.qq.com/es/stats.shtml?bmid=6110,LDL,2020,Spring,0,2020-04-16 09:26:00,1,10.06,4,Blue,bot,Wings,Bilibili Gaming Junior,Senna,Aphelios,Renekton,Varus,Irelia,Qiyana,2729,0,9,4,5,22,28,2.0,1.0,1.0,0.0,0.0,,,,0.4837,1.0993,,,,,,,,,,,,,,,,,,,,,,,,,,25820,567.6805,0.225003,52,1.1433,29,0.6376,5,131.0,2.8802,15890,10047,220.8941,0.21613400000000002,17225.0,,171.0,123.0,48,30,4,3.7596,,,,,,,,,,,,,,,,,,
22816,6110-7621,partial,https://lpl.qq.com/es/stats.shtml?bmid=6110,LDL,2020,Spring,0,2020-04-16 09:26:00,1,10.06,5,Blue,sup,Yui,Bilibili Gaming Junior,Maokai,Aphelios,Renekton,Varus,Irelia,Qiyana,2729,0,1,8,12,22,28,0.0,0.0,0.0,0.0,0.0,,,,0.4837,1.0993,,,,,,,,,,,,,,,,,,,,,,,,,,16253,357.3397,0.14163299999999998,24,0.5277,2,0.044,13,35.0,0.7695,12288,6445,141.7003,0.138648,12800.0,,235.0,230.0,5,3,1,5.1667,,,,,,,,,,,,,,,,,,
22817,6110-7621,partial,https://lpl.qq.com/es/stats.shtml?bmid=6110,LDL,2020,Spring,0,2020-04-16 09:26:00,1,10.06,6,Red,top,Sleepy,EDG Youth Team,Sett,Wukong,Rumble,Kalista,Olaf,Jarvan IV,2729,1,6,5,12,28,22,1.0,0.0,0.0,0.0,0.0,,,,0.6156,1.0993,,,,,,,,,,,,,,,,,,,,,,,,,,40759,896.1305,0.237913,9,0.1979,12,0.2638,5,40.0,0.8794,18257,12414,272.9351,0.23468200000000003,18240.0,,311.0,280.0,31,21,8,6.8377,,,,,,,,,,,,,,,,,,
22818,6110-7621,partial,https://lpl.qq.com/es/stats.shtml?bmid=6110,LDL,2020,Spring,0,2020-04-16 09:26:00,1,10.06,7,Red,jng,Youdang,EDG Youth Team,Gragas,Wukong,Rumble,Kalista,Olaf,Jarvan IV,2729,1,6,6,13,28,22,0.0,0.0,0.0,0.0,0.0,,,,0.6156,1.0993,,,,,,,,,,,,,,,,,,,,,,,,,,30516,670.9271,0.178124,38,0.8355,12,0.2638,16,84.0,1.8468,14472,8629,189.7178,0.163129,13750.0,,191.0,47.0,144,79,12,4.1993,,,,,,,,,,,,,,,,,,
22819,6110-7621,partial,https://lpl.qq.com/es/stats.shtml?bmid=6110,LDL,2020,Spring,0,2020-04-16 09:26:00,1,10.06,8,Red,mid,0909,EDG Youth Team,Yasuo,Wukong,Rumble,Kalista,Olaf,Jarvan IV,2729,1,7,7,10,28,22,0.0,0.0,0.0,0.0,0.0,,,,0.6156,1.0993,,,,,,,,,,,,,,,,,,,,,,,,,,27370,601.7589,0.15975999999999999,16,0.3518,6,0.1319,15,37.0,0.8135,17868,12025,264.3826,0.22732800000000003,17275.0,,333.0,279.0,54,32,10,7.3214,,,,,,,,,,,,,,,,,,
22820,6110-7621,partial,https://lpl.qq.com/es/stats.shtml?bmid=6110,LDL,2020,Spring,0,2020-04-16 09:26:00,1,10.06,9,Red,bot,GENTLE,EDG Youth Team,Miss Fortune,Wukong,Rumble,Kalista,Olaf,Jarvan IV,2729,1,9,2,14,28,22,1.0,0.0,0.0,0.0,0.0,,,,0.6156,1.0993,,,,,,,,,,,,,,,,,,,,,,,,,,48050,1056.4309,0.280471,16,0.3518,15,0.3298,3,47.0,1.0333,20699,14856,326.6251,0.280846,18525.0,,361.0,325.0,36,29,0,7.937,,,,,,,,,,,,,,,,,,
22821,6110-7621,partial,https://lpl.qq.com/es/stats.shtml?bmid=6110,LDL,2020,Spring,0,2020-04-16 09:26:00,1,10.06,10,Red,sup,Sloth,EDG Youth Team,Yuumi,Wukong,Rumble,Kalista,Olaf,Jarvan IV,2729,1,0,2,24,28,22,0.0,0.0,0.0,0.0,0.0,,,,0.6156,1.0993,,,,,,,,,,,,,,,,,,,,,,,,,,24624,541.3851,0.143732,59,1.2972,4,0.0879,21,96.0,2.1107,10816,4973,109.3368,0.0940153,10562.0,,28.0,28.0,0,0,0,0.6156,,,,,,,,,,,,,,,,,,
