,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
2940,ESPORTSTMNT01/1304020,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304020?gameHash=99508a2da285eb4c&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 06:19:31,1,10.02,1,Blue,top,RayFarky,Burning Core,Sett,Elise,Rumble,Mordekaiser,Miss Fortune,Kayle,2068,1,7,2,6,20,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5803,0.7253,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15976,463.5203,0.280852,15,0.4352,13,0.3772,5,43.0,1.2476,14547,10053,291.6731,0.2566,14658.0,,251.0,238.0,13,4,0,7.2824,3759.0,5149.0,92.0,3256.0,4283.0,75.0,503.0,866.0,17.0,5660.0,7153.0,136.0,4947.0,7040.0,117.0,713.0,113.0,19.0
2941,ESPORTSTMNT01/1304020,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304020?gameHash=99508a2da285eb4c&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 06:19:31,1,10.02,2,Blue,jng,Once,Burning Core,Gragas,Elise,Rumble,Mordekaiser,Miss Fortune,Kayle,2068,1,2,0,13,20,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5803,0.7253,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11600,336.5571,0.203924,34,0.9865,18,0.5222,9,76.0,2.205,12169,7675,222.6789,0.195901,10075.0,,189.0,25.0,164,109,14,5.4836,3044.0,2984.0,57.0,2826.0,2666.0,54.0,218.0,318.0,3.0,4629.0,4521.0,82.0,4011.0,3807.0,78.0,618.0,714.0,4.0
2942,ESPORTSTMNT01/1304020,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304020?gameHash=99508a2da285eb4c&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 06:19:31,1,10.02,3,Blue,mid,Roki,Burning Core,Viktor,Elise,Rumble,Mordekaiser,Miss Fortune,Kayle,2068,1,7,0,8,20,5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5803,0.7253,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15779,457.8046,0.277389,17,0.4932,6,0.1741,7,29.0,0.8414,13804,9310,270.1161,0.23763499999999999,11645.0,,284.0,259.0,25,21,4,8.2398,3289.0,5068.0,92.0,3348.0,4714.0,86.0,-59.0,354.0,6.0,5074.0,7522.0,145.0,5531.0,7736.0,148.0,-457.0,-214.0,-3.0
2943,ESPORTSTMNT01/1304020,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304020?gameHash=99508a2da285eb4c&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 06:19:31,1,10.02,4,Blue,bot,Yuhi,Burning Core,Aphelios,Elise,Rumble,Mordekaiser,Miss Fortune,Kayle,2068,1,4,0,8,20,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5803,0.7253,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,10408,301.9729,0.182969,16,0.4642,16,0.4642,7,40.0,1.1605,13321,8827,256.1025,0.225306,11375.0,,260.0,239.0,21,12,4,7.5435,2536.0,2361.0,50.0,4266.0,3252.0,91.0,-1730.0,-891.0,-41.0,4221.0,4689.0,97.0,6150.0,6089.0,148.0,-1929.0,-1400.0,-51.0
2944,ESPORTSTMNT01/1304020,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304020?gameHash=99508a2da285eb4c&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 06:19:31,1,10.02,5,Blue,sup,Proud,Burning Core,Thresh,Elise,Rumble,Mordekaiser,Miss Fortune,Kayle,2068,1,0,3,14,20,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5803,0.7253,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3121,90.5513,0.054866,51,1.4797,21,0.6093,18,101.0,2.9304,7807,3313,96.1219,0.08455800000000001,7700.0,,43.0,43.0,0,0,0,1.2476,2024.0,2247.0,15.0,2637.0,2745.0,12.0,-613.0,-498.0,3.0,3146.0,3278.0,25.0,3567.0,3246.0,19.0,-421.0,32.0,6.0
2945,ESPORTSTMNT01/1304020,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304020?gameHash=99508a2da285eb4c&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 06:19:31,1,10.02,6,Red,top,uinyan,AXIZ,Gangplank,Akali,Lucian,Jarvan IV,Yasuo,Cassiopeia,2068,0,0,2,4,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1451,0.7253,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12094,350.8897,0.358458,17,0.4932,10,0.2901,6,36.0,1.0445,12943,8449,245.1354,0.253217,12108.0,,276.0,266.0,10,2,4,8.0077,3256.0,4283.0,75.0,3759.0,5149.0,92.0,-503.0,-866.0,-17.0,4947.0,7040.0,117.0,5660.0,7153.0,136.0,-713.0,-113.0,-19.0
2946,ESPORTSTMNT01/1304020,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304020?gameHash=99508a2da285eb4c&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 06:19:31,1,10.02,7,Red,jng,Hoglet,AXIZ,Rek'Sai,Akali,Lucian,Jarvan IV,Yasuo,Cassiopeia,2068,0,0,5,4,5,20,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1451,0.7253,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4578,132.824,0.135689,35,1.0155,20,0.5803,12,72.0,2.089,8675,4181,121.3056,0.1253,8575.0,,162.0,29.0,133,96,11,4.7002,2826.0,2666.0,54.0,3044.0,2984.0,57.0,-218.0,-318.0,-3.0,4011.0,3807.0,78.0,4629.0,4521.0,82.0,-618.0,-714.0,-4.0
2947,ESPORTSTMNT01/1304020,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304020?gameHash=99508a2da285eb4c&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 06:19:31,1,10.02,8,Red,mid,Gariaru,AXIZ,Ryze,Akali,Lucian,Jarvan IV,Yasuo,Cassiopeia,2068,0,0,3,4,5,20,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1451,0.7253,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7190,208.6074,0.213106,19,0.5513,5,0.1451,8,43.0,1.2476,13263,8769,254.4197,0.262808,13025.0,,328.0,295.0,33,18,4,9.5164,3348.0,4714.0,86.0,3289.0,5068.0,92.0,59.0,-354.0,-6.0,5531.0,7736.0,148.0,5074.0,7522.0,145.0,457.0,214.0,3.0
2948,ESPORTSTMNT01/1304020,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304020?gameHash=99508a2da285eb4c&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 06:19:31,1,10.02,9,Red,bot,Hide,AXIZ,Syndra,Akali,Lucian,Jarvan IV,Yasuo,Cassiopeia,2068,0,4,4,1,5,20,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1451,0.7253,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,7956,230.8317,0.23581,17,0.4932,16,0.4642,6,48.0,1.3926,13586,9092,263.7911,0.272488,12550.0,,287.0,271.0,16,16,0,8.3269,4266.0,3252.0,91.0,2536.0,2361.0,50.0,1730.0,891.0,41.0,6150.0,6089.0,148.0,4221.0,4689.0,97.0,1929.0,1400.0,51.0
2949,ESPORTSTMNT01/1304020,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304020?gameHash=99508a2da285eb4c&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 06:19:31,1,10.02,10,Red,sup,Corporal,AXIZ,Leona,Akali,Lucian,Jarvan IV,Yasuo,Cassiopeia,2068,0,1,6,4,5,20,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1451,0.7253,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1921,55.735,0.0569371,70,2.0309,12,0.3482,21,99.0,2.8723,7370,2876,83.4429,0.0861875,6825.0,,30.0,30.0,0,0,0,0.8704,2637.0,2745.0,12.0,2024.0,2247.0,15.0,613.0,498.0,-3.0,3567.0,3246.0,19.0,3146.0,3278.0,25.0,421.0,-32.0,-6.0
