,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
1272,ESPORTSTMNT02/1271458,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271458?gameHash=6eb722ed67737852,VCS,2020,Spring,0,2020-01-31 13:28:19,1,10.01,1,Blue,top,Kiaya,GAM Esports,Sett,Rek'Sai,Renekton,Elise,Rumble,Zoe,1273,1,3,0,10,23,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0841,1.414,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,7450,351.139,0.16505699999999998,10,0.4713,2,0.0943,3,23.0,1.0841,10169,7296,343.8806,0.229989,8250.0,,184.0,176.0,8,0,3,8.6724,4182.0,4780.0,88.0,2399.0,3440.0,44.0,1783.0,1340.0,44.0,7063.0,7508.0,131.0,3602.0,5584.0,71.0,3461.0,1924.0,60.0
1273,ESPORTSTMNT02/1271458,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271458?gameHash=6eb722ed67737852,VCS,2020,Spring,0,2020-01-31 13:28:19,1,10.01,2,Blue,jng,Levi,GAM Esports,Qiyana,Rek'Sai,Renekton,Elise,Rumble,Zoe,1273,1,4,1,12,23,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0841,1.414,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10145,478.1618,0.22476500000000002,19,0.8955,10,0.4713,7,46.0,2.1681,9048,6175,291.0448,0.194654,7400.0,,138.0,25.0,113,50,29,6.5043,3517.0,3488.0,63.0,2662.0,2377.0,51.0,855.0,1111.0,12.0,6115.0,6197.0,100.0,4371.0,4586.0,73.0,1744.0,1611.0,27.0
1274,ESPORTSTMNT02/1271458,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271458?gameHash=6eb722ed67737852,VCS,2020,Spring,0,2020-01-31 13:28:19,1,10.01,3,Blue,mid,Dia1,GAM Esports,Cassiopeia,Rek'Sai,Renekton,Elise,Rumble,Zoe,1273,1,9,2,7,23,7,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0841,1.414,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10888,513.1815,0.241227,11,0.5185,0,0.0,7,25.0,1.1783,11189,8316,391.956,0.262139,9800.0,,204.0,175.0,29,16,9,9.6151,4756.0,4760.0,83.0,3144.0,4489.0,86.0,1612.0,271.0,-3.0,7649.0,8212.0,137.0,4685.0,6786.0,129.0,2964.0,1426.0,8.0
1275,ESPORTSTMNT02/1271458,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271458?gameHash=6eb722ed67737852,VCS,2020,Spring,0,2020-01-31 13:28:19,1,10.01,4,Blue,bot,Blazes,GAM Esports,Aphelios,Rek'Sai,Renekton,Elise,Rumble,Zoe,1273,1,7,0,2,23,7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0841,1.414,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11421,538.3032,0.253035,8,0.3771,10,0.4713,2,30.0,1.414,9995,7122,335.6795,0.224504,6975.0,,208.0,198.0,10,4,6,9.8036,3297.0,3425.0,92.0,3357.0,3082.0,90.0,-60.0,343.0,2.0,5874.0,6322.0,142.0,6246.0,5041.0,118.0,-372.0,1281.0,24.0
1276,ESPORTSTMNT02/1271458,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271458?gameHash=6eb722ed67737852,VCS,2020,Spring,0,2020-01-31 13:28:19,1,10.01,5,Blue,sup,Palette,GAM Esports,Nautilus,Rek'Sai,Renekton,Elise,Rumble,Zoe,1273,1,0,4,12,23,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0841,1.414,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5232,246.5986,0.115916,26,1.2255,5,0.2357,10,45.0,2.121,5687,2814,132.6316,0.08871380000000001,4500.0,,28.0,28.0,0,0,0,1.3197,2094.0,2825.0,14.0,2122.0,2728.0,15.0,-28.0,97.0,-1.0,3520.0,4462.0,17.0,3138.0,4030.0,23.0,382.0,432.0,-6.0
1277,ESPORTSTMNT02/1271458,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271458?gameHash=6eb722ed67737852,VCS,2020,Spring,0,2020-01-31 13:28:19,1,10.01,6,Red,top,LL,CERBERUS Esports,Mordekaiser,Akali,Lee Sin,Gragas,Leona,Braum,1273,0,0,6,1,7,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3299,1.414,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,5036,237.3606,0.184936,5,0.2357,0,0.0,2,10.0,0.4713,5310,2437,114.8625,0.141431,5200.0,,114.0,114.0,0,0,0,5.3731,2399.0,3440.0,44.0,4182.0,4780.0,88.0,-1783.0,-1340.0,-44.0,3602.0,5584.0,71.0,7063.0,7508.0,131.0,-3461.0,-1924.0,-60.0
1278,ESPORTSTMNT02/1271458,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271458?gameHash=6eb722ed67737852,VCS,2020,Spring,0,2020-01-31 13:28:19,1,10.01,7,Red,jng,XuHao,CERBERUS Esports,Jarvan IV,Akali,Lee Sin,Gragas,Leona,Braum,1273,0,0,5,6,7,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3299,1.414,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3217,151.6261,0.11813699999999999,7,0.3299,5,0.2357,7,20.0,0.9427,5831,2958,139.4187,0.17166099999999998,5825.0,,93.0,13.0,80,62,0,4.3833,2662.0,2377.0,51.0,3517.0,3488.0,63.0,-855.0,-1111.0,-12.0,4371.0,4586.0,73.0,6115.0,6197.0,100.0,-1744.0,-1611.0,-27.0
1279,ESPORTSTMNT02/1271458,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271458?gameHash=6eb722ed67737852,VCS,2020,Spring,0,2020-01-31 13:28:19,1,10.01,8,Red,mid,Yado,CERBERUS Esports,Orianna,Akali,Lee Sin,Gragas,Leona,Braum,1273,0,1,7,3,7,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3299,1.414,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8124,382.9065,0.298336,10,0.4713,3,0.1414,4,19.0,0.8955,6863,3990,188.0597,0.231542,6035.0,,179.0,171.0,8,8,0,8.4368,3144.0,4489.0,86.0,4756.0,4760.0,83.0,-1612.0,-271.0,3.0,4685.0,6786.0,129.0,7649.0,8212.0,137.0,-2964.0,-1426.0,-8.0
1280,ESPORTSTMNT02/1271458,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271458?gameHash=6eb722ed67737852,VCS,2020,Spring,0,2020-01-31 13:28:19,1,10.01,9,Red,bot,Artemis,CERBERUS Esports,Senna,Akali,Lee Sin,Gragas,Leona,Braum,1273,0,5,3,1,7,23,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3299,1.414,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8715,410.762,0.32004,7,0.3299,4,0.1885,1,17.0,0.8013,8693,5820,274.3126,0.337725,8575.0,,172.0,168.0,4,0,0,8.1068,3357.0,3082.0,90.0,3297.0,3425.0,92.0,60.0,-343.0,-2.0,6246.0,5041.0,118.0,5874.0,6322.0,142.0,372.0,-1281.0,-24.0
1281,ESPORTSTMNT02/1271458,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271458?gameHash=6eb722ed67737852,VCS,2020,Spring,0,2020-01-31 13:28:19,1,10.01,10,Red,sup,Ronop,CERBERUS Esports,Tahm Kench,Akali,Lee Sin,Gragas,Leona,Braum,1273,0,1,2,1,7,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3299,1.414,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2139,100.817,0.0785502,22,1.0369,8,0.3771,8,33.0,1.5554,4900,2027,95.5381,0.11764100000000001,4450.0,,31.0,31.0,0,0,0,1.4611,2122.0,2728.0,15.0,2094.0,2825.0,14.0,28.0,-97.0,1.0,3138.0,4030.0,23.0,3520.0,4462.0,17.0,-382.0,-432.0,6.0
