,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
732,ESPORTSTMNT02/1270475,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270475?gameHash=530d5d95b0087d2e&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-25 00:20:02,1,10.01,1,Blue,top,Revenge,FlyQuest Academy,Aatrox,Elise,Lucian,Aphelios,Mordekaiser,Ryze,1857,1,8,1,4,23,7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7431,0.9693,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14974,483.8126,0.22451100000000002,13,0.42,5,0.1616,4,34.0,1.0985,14475,10411,336.3813,0.260255,13350.0,,269.0,230.0,39,3,20,8.6914,3203.0,4435.0,83.0,3350.0,5065.0,92.0,-147.0,-630.0,-9.0,5949.0,7813.0,138.0,4875.0,7104.0,130.0,1074.0,709.0,8.0
733,ESPORTSTMNT02/1270475,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270475?gameHash=530d5d95b0087d2e&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-25 00:20:02,1,10.01,2,Blue,jng,Fanatiik,FlyQuest Academy,Qiyana,Elise,Lucian,Aphelios,Mordekaiser,Ryze,1857,1,1,3,12,23,7,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.7431,0.9693,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8566,276.769,0.128433,35,1.1309,17,0.5493,12,87.0,2.811,10321,6257,202.1648,0.156414,10025.0,,173.0,33.0,140,96,5,5.5897,3275.0,2596.0,59.0,3029.0,2924.0,61.0,246.0,-328.0,-2.0,4805.0,4331.0,92.0,4168.0,4196.0,80.0,637.0,135.0,12.0
734,ESPORTSTMNT02/1270475,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270475?gameHash=530d5d95b0087d2e&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-25 00:20:02,1,10.01,3,Blue,mid,Triple,FlyQuest Academy,Rumble,Elise,Lucian,Aphelios,Mordekaiser,Ryze,1857,1,2,1,13,23,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7431,0.9693,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,20350,657.5121,0.305116,15,0.4847,3,0.0969,5,29.0,0.937,11817,7753,250.5008,0.19381099999999998,10975.0,,218.0,202.0,16,9,4,7.0436,3643.0,4920.0,89.0,3235.0,4735.0,89.0,408.0,185.0,0.0,5438.0,7081.0,125.0,5032.0,7368.0,145.0,406.0,-287.0,-20.0
735,ESPORTSTMNT02/1270475,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270475?gameHash=530d5d95b0087d2e&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-25 00:20:02,1,10.01,4,Blue,bot,MasH,FlyQuest Academy,Kai'Sa,Elise,Lucian,Aphelios,Mordekaiser,Ryze,1857,1,9,0,8,23,7,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7431,0.9693,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,16359,528.5622,0.245277,13,0.42,5,0.1616,4,35.0,1.1309,15677,11613,375.2181,0.290302,13900.0,,308.0,265.0,43,28,13,9.9515,3659.0,3063.0,79.0,3559.0,3013.0,88.0,100.0,50.0,-9.0,6241.0,5554.0,135.0,5164.0,4534.0,119.0,1077.0,1020.0,16.0
736,ESPORTSTMNT02/1270475,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270475?gameHash=530d5d95b0087d2e&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-25 00:20:02,1,10.01,5,Blue,sup,JayJ,FlyQuest Academy,Thresh,Elise,Lucian,Aphelios,Mordekaiser,Ryze,1857,1,3,2,11,23,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7431,0.9693,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6447,208.3037,0.0966625,47,1.5186,8,0.2585,12,85.0,2.7464,8033,3969,128.2391,0.0992191,6700.0,,31.0,31.0,0,0,0,1.0016,2317.0,2784.0,14.0,2163.0,2605.0,19.0,154.0,179.0,-5.0,3400.0,4092.0,22.0,3117.0,3428.0,25.0,283.0,664.0,-3.0
737,ESPORTSTMNT02/1270475,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270475?gameHash=530d5d95b0087d2e&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-25 00:20:02,1,10.01,6,Red,top,Deus,CLG Academy,Ornn,Akali,Cassiopeia,Senna,Varus,Fiora,1857,0,1,1,3,7,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2262,0.9693,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8238,266.1712,0.199096,12,0.3877,2,0.0646,4,25.0,0.8078,10477,6413,207.2052,0.242209,10580.0,,257.0,241.0,16,13,0,8.3037,3350.0,5065.0,92.0,3203.0,4435.0,83.0,147.0,630.0,9.0,4875.0,7104.0,130.0,5949.0,7813.0,138.0,-1074.0,-709.0,-8.0
738,ESPORTSTMNT02/1270475,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270475?gameHash=530d5d95b0087d2e&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-25 00:20:02,1,10.01,7,Red,jng,Fragas,CLG Academy,Jarvan IV,Akali,Cassiopeia,Senna,Varus,Fiora,1857,0,0,5,6,7,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2262,0.9693,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5296,171.1147,0.127994,12,0.3877,7,0.2262,14,31.0,1.0016,7840,3776,122.0032,0.14261600000000002,7400.0,,129.0,15.0,114,77,11,4.168,3029.0,2924.0,61.0,3275.0,2596.0,59.0,-246.0,328.0,2.0,4168.0,4196.0,80.0,4805.0,4331.0,92.0,-637.0,-135.0,-12.0
739,ESPORTSTMNT02/1270475,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270475?gameHash=530d5d95b0087d2e&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-25 00:20:02,1,10.01,8,Red,mid,Tuesday,CLG Academy,Orianna,Akali,Cassiopeia,Senna,Varus,Fiora,1857,0,2,2,1,7,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2262,0.9693,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15658,505.9128,0.378423,7,0.2262,4,0.1292,6,18.0,0.5816,10751,6687,216.0582,0.252558,10350.0,,258.0,237.0,21,13,4,8.336,3235.0,4735.0,89.0,3643.0,4920.0,89.0,-408.0,-185.0,0.0,5032.0,7368.0,145.0,5438.0,7081.0,125.0,-406.0,287.0,20.0
740,ESPORTSTMNT02/1270475,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270475?gameHash=530d5d95b0087d2e&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-25 00:20:02,1,10.01,9,Red,bot,Wind,CLG Academy,Miss Fortune,Akali,Cassiopeia,Senna,Varus,Fiora,1857,0,3,7,2,7,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2262,0.9693,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8805,284.4911,0.212799,10,0.3231,11,0.3554,1,35.0,1.1309,10698,6634,214.3457,0.250556,9725.0,,239.0,235.0,4,4,0,7.7221,3559.0,3013.0,88.0,3659.0,3063.0,79.0,-100.0,-50.0,9.0,5164.0,4534.0,119.0,6241.0,5554.0,135.0,-1077.0,-1020.0,-16.0
741,ESPORTSTMNT02/1270475,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270475?gameHash=530d5d95b0087d2e&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-25 00:20:02,1,10.01,10,Red,sup,Fill,CLG Academy,Nautilus,Akali,Cassiopeia,Senna,Varus,Fiora,1857,0,1,8,4,7,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2262,0.9693,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3380,109.2084,0.0816879,45,1.454,14,0.4523,14,75.0,2.4233,7031,2967,95.8643,0.112062,6950.0,,39.0,39.0,0,0,0,1.2601,2163.0,2605.0,19.0,2317.0,2784.0,14.0,-154.0,-179.0,5.0,3117.0,3428.0,25.0,3400.0,4092.0,22.0,-283.0,-664.0,3.0
