,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
2208,ESPORTSTMNT01/1302595,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302595?gameHash=314d39ea940b354f,LCK,2020,Spring,0,2020-02-05 06:34:49,1,10.02,1,Blue,top,Roach,T1,Sett,Syndra,Taliyah,Lucian,LeBlanc,Thresh,2441,0,4,3,5,14,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3441,0.8357,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,12909,317.3044,0.167665,23,0.5653,9,0.2212,9,53.0,1.3027,14112,8857,217.7059,0.194215,13025.0,,275.0,261.0,14,6,0,6.7595,3191.0,4944.0,88.0,3541.0,4810.0,81.0,-350.0,134.0,7.0,5063.0,7375.0,128.0,5188.0,7068.0,126.0,-125.0,307.0,2.0
2209,ESPORTSTMNT01/1302595,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302595?gameHash=314d39ea940b354f,LCK,2020,Spring,0,2020-02-05 06:34:49,1,10.02,2,Blue,jng,Cuzz,T1,Gragas,Syndra,Taliyah,Lucian,LeBlanc,Thresh,2441,0,2,2,3,14,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3441,0.8357,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14566,358.0336,0.189186,49,1.2044,18,0.4424,13,102.0,2.5072,12739,7484,183.9574,0.164107,11875.0,,245.0,30.0,215,150,3,6.0221,3502.0,3861.0,81.0,2908.0,2915.0,62.0,594.0,946.0,19.0,5499.0,6435.0,125.0,4316.0,4525.0,94.0,1183.0,1910.0,31.0
2210,ESPORTSTMNT01/1302595,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302595?gameHash=314d39ea940b354f,LCK,2020,Spring,0,2020-02-05 06:34:49,1,10.02,3,Blue,mid,Faker,T1,Rumble,Syndra,Taliyah,Lucian,LeBlanc,Thresh,2441,0,0,4,7,14,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3441,0.8357,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,17516,430.5449,0.227501,24,0.5899,9,0.2212,10,46.0,1.1307,14293,9038,222.1549,0.198184,14000.0,,343.0,325.0,18,11,0,8.431,3365.0,4959.0,93.0,3642.0,5057.0,106.0,-277.0,-98.0,-13.0,5463.0,8027.0,151.0,5685.0,8310.0,175.0,-222.0,-283.0,-24.0
2211,ESPORTSTMNT01/1302595,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302595?gameHash=314d39ea940b354f,LCK,2020,Spring,0,2020-02-05 06:34:49,1,10.02,4,Blue,bot,Teddy,T1,Miss Fortune,Syndra,Taliyah,Lucian,LeBlanc,Thresh,2441,0,6,2,5,14,20,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3441,0.8357,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,27266,670.2007,0.354136,18,0.4424,24,0.5899,4,68.0,1.6714,21173,15918,391.2659,0.349052,19750.0,,493.0,444.0,49,37,0,12.118,3372.0,3330.0,94.0,3205.0,3161.0,85.0,167.0,169.0,9.0,5239.0,5826.0,153.0,4964.0,5465.0,140.0,275.0,361.0,13.0
2212,ESPORTSTMNT01/1302595,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302595?gameHash=314d39ea940b354f,LCK,2020,Spring,0,2020-02-05 06:34:49,1,10.02,5,Blue,sup,Effort,T1,Leona,Syndra,Taliyah,Lucian,LeBlanc,Thresh,2441,0,2,9,4,14,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3441,0.8357,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4736,116.4113,0.0615121,78,1.9172,18,0.4424,31,124.0,3.0479,9562,4307,105.8664,0.09444069999999999,9300.0,,40.0,40.0,0,0,0,0.9832,2111.0,2324.0,12.0,2301.0,2817.0,12.0,-190.0,-493.0,0.0,3397.0,3782.0,19.0,3299.0,3841.0,22.0,98.0,-59.0,-3.0
2213,ESPORTSTMNT01/1302595,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302595?gameHash=314d39ea940b354f,LCK,2020,Spring,0,2020-02-05 06:34:49,1,10.02,6,Red,top,Nuguri,DAMWON Gaming,Mordekaiser,Rek'Sai,Elise,Akali,Orianna,Nautilus,2441,1,8,5,6,20,14,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4916,0.8357,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,23491,577.4109,0.288445,16,0.3933,4,0.0983,4,33.0,0.8111,17468,12213,300.1966,0.24862199999999998,17650.0,,323.0,281.0,42,25,4,7.9394,3541.0,4810.0,81.0,3191.0,4944.0,88.0,350.0,-134.0,-7.0,5188.0,7068.0,126.0,5063.0,7375.0,128.0,125.0,-307.0,-2.0
2214,ESPORTSTMNT01/1302595,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302595?gameHash=314d39ea940b354f,LCK,2020,Spring,0,2020-02-05 06:34:49,1,10.02,7,Red,jng,Canyon,DAMWON Gaming,Lee Sin,Rek'Sai,Elise,Akali,Orianna,Nautilus,2441,1,1,3,12,20,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4916,0.8357,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6004,147.5789,0.073723,32,0.7866,17,0.4179,18,64.0,1.5731,11593,6338,155.7886,0.129021,11025.0,,188.0,24.0,164,132,0,4.6211,2908.0,2915.0,62.0,3502.0,3861.0,81.0,-594.0,-946.0,-19.0,4316.0,4525.0,94.0,5499.0,6435.0,125.0,-1183.0,-1910.0,-31.0
2215,ESPORTSTMNT01/1302595,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302595?gameHash=314d39ea940b354f,LCK,2020,Spring,0,2020-02-05 06:34:49,1,10.02,8,Red,mid,ShowMaker,DAMWON Gaming,Ryze,Rek'Sai,Elise,Akali,Orianna,Nautilus,2441,1,5,1,7,20,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4916,0.8357,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,21826,536.485,0.26800100000000004,26,0.6391,20,0.4916,12,95.0,2.3351,18004,12749,313.3716,0.259534,15800.0,,428.0,390.0,38,21,8,10.5203,3642.0,5057.0,106.0,3365.0,4959.0,93.0,277.0,98.0,13.0,5685.0,8310.0,175.0,5463.0,8027.0,151.0,222.0,283.0,24.0
2216,ESPORTSTMNT01/1302595,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302595?gameHash=314d39ea940b354f,LCK,2020,Spring,0,2020-02-05 06:34:49,1,10.02,9,Red,bot,Nuclear,DAMWON Gaming,Aphelios,Rek'Sai,Elise,Akali,Orianna,Nautilus,2441,1,6,2,7,20,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4916,0.8357,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,26146,642.671,0.321046,17,0.4179,24,0.5899,8,56.0,1.3765,19196,13941,342.671,0.2838,16850.0,,418.0,374.0,44,40,4,10.2745,3205.0,3161.0,85.0,3372.0,3330.0,94.0,-167.0,-169.0,-9.0,4964.0,5465.0,140.0,5239.0,5826.0,153.0,-275.0,-361.0,-13.0
2217,ESPORTSTMNT01/1302595,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302595?gameHash=314d39ea940b354f,LCK,2020,Spring,0,2020-02-05 06:34:49,1,10.02,10,Red,sup,Hoit,DAMWON Gaming,Braum,Rek'Sai,Elise,Akali,Orianna,Nautilus,2441,1,0,3,15,20,14,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4916,0.8357,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3973,97.6567,0.0487844,72,1.7698,20,0.4916,21,115.0,2.8267,9137,3882,95.4199,0.0790232,8325.0,,44.0,44.0,0,0,0,1.0815,2301.0,2817.0,12.0,2111.0,2324.0,12.0,190.0,493.0,0.0,3299.0,3841.0,22.0,3397.0,3782.0,19.0,-98.0,59.0,3.0
