,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
1512,ESPORTSTMNT04/1130166,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130166?gameHash=1cff679b64acb047,TCL,2020,Winter,0,2020-02-01 11:44:19,1,10.02,1,Blue,top,Juuzou,Dark Passage,Gangplank,Elise,Nautilus,Jarvan IV,Gragas,Aatrox,1618,1,4,2,5,13,11,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4821,0.89,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9394,348.356,0.19955,12,0.445,4,0.1483,6,17.0,0.6304,12219,8643,320.5068,0.268929,10458.0,,229.0,225.0,4,1,0,8.492,3376.0,4432.0,76.0,2969.0,4290.0,73.0,407.0,142.0,3.0,5575.0,7155.0,131.0,4844.0,7219.0,129.0,731.0,-64.0,2.0
1513,ESPORTSTMNT04/1130166,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130166?gameHash=1cff679b64acb047,TCL,2020,Winter,0,2020-02-01 11:44:19,1,10.02,2,Blue,jng,Kituruken,Dark Passage,Rek'Sai,Elise,Nautilus,Jarvan IV,Gragas,Aatrox,1618,1,3,2,4,13,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4821,0.89,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4306,159.6786,0.0914691,21,0.7787,7,0.2596,10,49.0,1.8171,9165,5589,207.2559,0.1739,7625.0,,129.0,23.0,106,67,0,4.7837,2792.0,2494.0,52.0,2655.0,2521.0,51.0,137.0,-27.0,1.0,4286.0,4069.0,78.0,3900.0,3690.0,75.0,386.0,379.0,3.0
1514,ESPORTSTMNT04/1130166,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130166?gameHash=1cff679b64acb047,TCL,2020,Winter,0,2020-02-01 11:44:19,1,10.02,3,Blue,mid,WaenA,Dark Passage,Zoe,Elise,Nautilus,Jarvan IV,Gragas,Aatrox,1618,1,2,2,7,13,11,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4821,0.89,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,17324,642.4227,0.368001,14,0.5192,3,0.1112,6,29.0,1.0754,9819,6243,231.508,0.19425,8375.0,,196.0,184.0,12,12,0,7.2682,3209.0,4938.0,87.0,3200.0,4790.0,83.0,9.0,148.0,4.0,5019.0,7798.0,140.0,4786.0,7471.0,133.0,233.0,327.0,7.0
1515,ESPORTSTMNT04/1130166,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130166?gameHash=1cff679b64acb047,TCL,2020,Winter,0,2020-02-01 11:44:19,1,10.02,4,Blue,bot,Black,Dark Passage,Aphelios,Elise,Nautilus,Jarvan IV,Gragas,Aatrox,1618,1,4,2,4,13,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4821,0.89,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12929,479.4438,0.27464099999999997,8,0.2967,11,0.4079,2,37.0,1.3721,12009,8433,312.7194,0.262395,10150.0,,230.0,196.0,34,21,3,8.529,4067.0,3143.0,84.0,3244.0,3270.0,91.0,823.0,-127.0,-7.0,6136.0,5104.0,134.0,5100.0,5274.0,148.0,1036.0,-170.0,-14.0
1516,ESPORTSTMNT04/1130166,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130166?gameHash=1cff679b64acb047,TCL,2020,Winter,0,2020-02-01 11:44:19,1,10.02,5,Blue,sup,Absolute,Dark Passage,Rakan,Elise,Nautilus,Jarvan IV,Gragas,Aatrox,1618,1,0,3,9,13,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4821,0.89,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3123,115.8096,0.0663395,28,1.0383,11,0.4079,10,65.0,2.4104,6807,3231,119.8146,0.10052699999999999,6650.0,,39.0,39.0,0,0,0,1.4462,2020.0,2731.0,15.0,1927.0,2543.0,10.0,93.0,188.0,5.0,3344.0,3938.0,21.0,2790.0,3541.0,15.0,554.0,397.0,6.0
1517,ESPORTSTMNT04/1130166,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130166?gameHash=1cff679b64acb047,TCL,2020,Winter,0,2020-02-01 11:44:19,1,10.02,6,Red,top,StarScreen,İstanbul Wildcats,Mordekaiser,Akali,Sett,LeBlanc,Irelia,Syndra,1618,0,1,2,3,11,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4079,0.89,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6607,245.0062,0.23046599999999998,13,0.4821,8,0.2967,5,27.0,1.0012,10108,6532,242.225,0.231748,9975.0,,240.0,227.0,13,11,0,8.8999,2969.0,4290.0,73.0,3376.0,4432.0,76.0,-407.0,-142.0,-3.0,4844.0,7219.0,129.0,5575.0,7155.0,131.0,-731.0,64.0,-2.0
1518,ESPORTSTMNT04/1130166,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130166?gameHash=1cff679b64acb047,TCL,2020,Winter,0,2020-02-01 11:44:19,1,10.02,7,Red,jng,Ferret,İstanbul Wildcats,Sylas,Akali,Sett,LeBlanc,Irelia,Syndra,1618,0,0,3,2,11,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4079,0.89,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2376,88.1088,0.08287989999999999,9,0.3337,8,0.2967,9,36.0,1.335,6540,2964,109.9135,0.105153,6275.0,,112.0,15.0,97,73,4,4.1533,2655.0,2521.0,51.0,2792.0,2494.0,52.0,-137.0,27.0,-1.0,3900.0,3690.0,75.0,4286.0,4069.0,78.0,-386.0,-379.0,-3.0
1519,ESPORTSTMNT04/1130166,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130166?gameHash=1cff679b64acb047,TCL,2020,Winter,0,2020-02-01 11:44:19,1,10.02,8,Red,mid,Serin,İstanbul Wildcats,Fiora,Akali,Sett,LeBlanc,Irelia,Syndra,1618,0,5,3,3,11,13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4079,0.89,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9209,341.4957,0.321229,12,0.445,3,0.1112,6,17.0,0.6304,11025,7449,276.2299,0.264284,10283.0,,212.0,204.0,8,8,0,7.8616,3200.0,4790.0,83.0,3209.0,4938.0,87.0,-9.0,-148.0,-4.0,4786.0,7471.0,133.0,5019.0,7798.0,140.0,-233.0,-327.0,-7.0
1520,ESPORTSTMNT04/1130166,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130166?gameHash=1cff679b64acb047,TCL,2020,Winter,0,2020-02-01 11:44:19,1,10.02,9,Red,bot,Kaori,İstanbul Wildcats,Miss Fortune,Akali,Sett,LeBlanc,Irelia,Syndra,1618,0,5,2,1,11,13,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4079,0.89,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8181,303.3745,0.28536999999999996,9,0.3337,5,0.1854,4,17.0,0.6304,12229,8653,320.8776,0.307002,11600.0,,294.0,246.0,48,40,4,10.9023,3244.0,3270.0,91.0,4067.0,3143.0,84.0,-823.0,127.0,7.0,5100.0,5274.0,148.0,6136.0,5104.0,134.0,-1036.0,170.0,14.0
1521,ESPORTSTMNT04/1130166,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130166?gameHash=1cff679b64acb047,TCL,2020,Winter,0,2020-02-01 11:44:19,1,10.02,10,Red,sup,Pbd,İstanbul Wildcats,Braum,Akali,Sett,LeBlanc,Irelia,Syndra,1618,0,0,3,10,11,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4079,0.89,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2295,85.1051,0.0800544,36,1.335,1,0.0371,13,49.0,1.8171,6164,2588,95.9703,0.0918125,5775.0,,27.0,27.0,0,0,0,1.0012,1927.0,2543.0,10.0,2020.0,2731.0,15.0,-93.0,-188.0,-5.0,2790.0,3541.0,15.0,3344.0,3938.0,21.0,-554.0,-397.0,-6.0
