,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
696,ESPORTSTMNT02/1260525,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1260525?gameHash=b7c7d8531c0b1859&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-24 23:23:15,1,10.01,1,Blue,top,Brandini,Evil Geniuses Academy,Kennen,Irelia,Mordekaiser,Tahm Kench,Ryze,Orianna,1757,0,1,5,2,5,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1707,1.1269,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,9561,326.4997,0.271588,12,0.4098,5,0.1707,4,22.0,0.7513,8847,4987,170.3017,0.20006400000000002,8785.0,,186.0,176.0,10,7,0,6.3517,3477.0,4438.0,80.0,3104.0,4585.0,77.0,373.0,-147.0,3.0,5080.0,6581.0,117.0,4754.0,6838.0,112.0,326.0,-257.0,5.0
697,ESPORTSTMNT02/1260525,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1260525?gameHash=b7c7d8531c0b1859&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-24 23:23:15,1,10.01,2,Blue,jng,Svenskeren,Evil Geniuses Academy,Lee Sin,Irelia,Mordekaiser,Tahm Kench,Ryze,Orianna,1757,0,1,5,1,5,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1707,1.1269,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3271,111.7018,0.0929156,18,0.6147,9,0.3073,12,37.0,1.2635,8049,4189,143.0507,0.168051,8075.0,,142.0,23.0,119,95,0,4.8492,3035.0,3018.0,62.0,2890.0,3079.0,49.0,145.0,-61.0,13.0,4301.0,4654.0,84.0,4338.0,4770.0,74.0,-37.0,-116.0,10.0
698,ESPORTSTMNT02/1260525,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1260525?gameHash=b7c7d8531c0b1859&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-24 23:23:15,1,10.01,3,Blue,mid,Kumo,Evil Geniuses Academy,Ornn,Irelia,Mordekaiser,Tahm Kench,Ryze,Orianna,1757,0,3,7,1,5,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1707,1.1269,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8569,292.6238,0.24341,15,0.5122,4,0.1366,9,23.0,0.7854,10621,6761,230.8822,0.27123,10725.0,,184.0,182.0,2,1,0,6.2834,3191.0,4659.0,78.0,3948.0,4950.0,88.0,-757.0,-291.0,-10.0,5234.0,7343.0,126.0,6212.0,8127.0,143.0,-978.0,-784.0,-17.0
699,ESPORTSTMNT02/1260525,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1260525?gameHash=b7c7d8531c0b1859&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-24 23:23:15,1,10.01,4,Blue,bot,Deftly,Evil Geniuses Academy,Aphelios,Irelia,Mordekaiser,Tahm Kench,Ryze,Orianna,1757,0,0,4,2,5,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1707,1.1269,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10916,372.7718,0.310078,9,0.3073,6,0.2049,3,17.0,0.5805,11072,7212,246.2834,0.289323,10125.0,,264.0,248.0,16,12,0,9.0154,3092.0,3078.0,81.0,3615.0,3095.0,75.0,-523.0,-17.0,6.0,6023.0,5464.0,145.0,5995.0,5949.0,133.0,28.0,-485.0,12.0
700,ESPORTSTMNT02/1260525,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1260525?gameHash=b7c7d8531c0b1859&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-24 23:23:15,1,10.01,5,Blue,sup,Matt,Evil Geniuses Academy,Nautilus,Irelia,Mordekaiser,Tahm Kench,Ryze,Orianna,1757,0,0,7,1,5,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1707,1.1269,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2887,98.5885,0.0820077,33,1.1269,6,0.2049,15,54.0,1.8441,5638,1778,60.7171,0.0713314,5445.0,,25.0,25.0,0,0,0,0.8537,1931.0,2592.0,11.0,2129.0,2775.0,12.0,-198.0,-183.0,-1.0,2968.0,4133.0,16.0,3283.0,3917.0,19.0,-315.0,216.0,-3.0
701,ESPORTSTMNT02/1260525,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1260525?gameHash=b7c7d8531c0b1859&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-24 23:23:15,1,10.01,6,Red,top,Lourlo,Dignitas Academy,Aatrox,Akali,Rumble,Lucian,Pantheon,Renekton,1757,1,2,1,13,28,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9562,1.1269,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,10502,358.634,0.14835399999999999,14,0.4781,5,0.1707,5,36.0,1.2294,10010,6150,210.0171,0.180766,9225.0,,184.0,166.0,18,9,4,6.2834,3104.0,4585.0,77.0,3477.0,4438.0,80.0,-373.0,147.0,-3.0,4754.0,6838.0,112.0,5080.0,6581.0,117.0,-326.0,257.0,-5.0
702,ESPORTSTMNT02/1260525,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1260525?gameHash=b7c7d8531c0b1859&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-24 23:23:15,1,10.01,7,Red,jng,Akaadian,Dignitas Academy,Elise,Akali,Rumble,Lucian,Pantheon,Renekton,1757,1,2,1,11,28,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9562,1.1269,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7650,261.2408,0.10806600000000001,33,1.1269,14,0.4781,8,80.0,2.7319,9009,5149,175.8338,0.151344,7950.0,,145.0,20.0,125,76,4,4.9516,2890.0,3079.0,49.0,3035.0,3018.0,62.0,-145.0,61.0,-13.0,4338.0,4770.0,74.0,4301.0,4654.0,84.0,37.0,116.0,-10.0
703,ESPORTSTMNT02/1260525,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1260525?gameHash=b7c7d8531c0b1859&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-24 23:23:15,1,10.01,8,Red,mid,Damonte,Dignitas Academy,Zoe,Akali,Rumble,Lucian,Pantheon,Renekton,1757,1,11,2,12,28,5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9562,1.1269,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,28013,956.6192,0.39571999999999996,17,0.5805,6,0.2049,10,39.0,1.3318,13048,9188,313.7621,0.270059,11700.0,,234.0,221.0,13,13,0,7.9909,3948.0,4950.0,88.0,3191.0,4659.0,78.0,757.0,291.0,10.0,6212.0,8127.0,143.0,5234.0,7343.0,126.0,978.0,784.0,17.0
704,ESPORTSTMNT02/1260525,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1260525?gameHash=b7c7d8531c0b1859&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-24 23:23:15,1,10.01,9,Red,bot,Fenix,Dignitas Academy,Miss Fortune,Akali,Rumble,Lucian,Pantheon,Renekton,1757,1,12,1,6,28,5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9562,1.1269,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,20652,705.2476,0.291736,10,0.3415,9,0.3073,3,40.0,1.366,13799,9939,339.4081,0.292133,12125.0,,259.0,227.0,32,21,4,8.8446,3615.0,3095.0,75.0,3092.0,3078.0,81.0,523.0,17.0,-6.0,5995.0,5949.0,133.0,6023.0,5464.0,145.0,-28.0,485.0,-12.0
705,ESPORTSTMNT02/1260525,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1260525?gameHash=b7c7d8531c0b1859&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-24 23:23:15,1,10.01,10,Red,sup,Olleh,Dignitas Academy,Thresh,Akali,Rumble,Lucian,Pantheon,Renekton,1757,1,1,0,20,28,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9562,1.1269,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3973,135.6744,0.0561237,41,1.4001,13,0.4439,13,83.0,2.8344,7456,3596,122.8002,0.105698,6175.0,,35.0,35.0,0,0,0,1.1952,2129.0,2775.0,12.0,1931.0,2592.0,11.0,198.0,183.0,1.0,3283.0,3917.0,19.0,2968.0,4133.0,16.0,315.0,-216.0,3.0
