,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
276,5660-7262,complete,https://lpl.qq.com/es/stats.shtml?bmid=5660,LPL,2020,Spring,0,2020-01-15 12:30:00,1,10.1,1,Blue,top,TheShy,Invictus Gaming,Kennen,Pantheon,Elise,Lucian,Rakan,Leona,1426,1,4,0,4,14,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5891,0.6732,,,,,,,,,,,,,,,,,,,,,,,,,,13372,562.6367,0.335575,8,0.3366,3,0.1262,1,17.0,0.7153,11277,8092,340.4769,0.257671,10325.0,,226.0,218.0,8,0,5,9.5091,3349.0,4602.0,83.0,3254.0,4588.0,86.0,95.0,14.0,-3.0,6216.0,8178.0,134.0,4999.0,7277.0,138.0,1217.0,901.0,-4.0
277,5660-7262,complete,https://lpl.qq.com/es/stats.shtml?bmid=5660,LPL,2020,Spring,0,2020-01-15 12:30:00,1,10.1,2,Blue,jng,Leyan,Invictus Gaming,Qiyana,Pantheon,Elise,Lucian,Rakan,Leona,1426,1,4,0,4,14,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5891,0.6732,,,,,,,,,,,,,,,,,,,,,,,,,,9193,386.8022,0.230702,14,0.5891,9,0.3787,2,45.0,1.8934,9466,6281,264.2777,0.200006,9475.0,,160.0,19.0,141,98,4,6.7321,3143.0,3146.0,66.0,2855.0,2903.0,55.0,288.0,243.0,11.0,5036.0,5261.0,98.0,4298.0,4750.0,89.0,738.0,511.0,9.0
278,5660-7262,complete,https://lpl.qq.com/es/stats.shtml?bmid=5660,LPL,2020,Spring,0,2020-01-15 12:30:00,1,10.1,3,Blue,mid,Rookie,Invictus Gaming,Ekko,Pantheon,Elise,Lucian,Rakan,Leona,1426,1,5,0,5,14,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5891,0.6732,,,,,,,,,,,,,,,,,,,,,,,,,,12562,528.5554,0.31524800000000003,9,0.3787,6,0.2525,6,32.0,1.3464,10423,7238,304.5442,0.23047800000000002,9000.0,,204.0,189.0,15,12,3,8.5835,3682.0,5086.0,93.0,3045.0,4632.0,78.0,637.0,454.0,15.0,6117.0,8427.0,149.0,4529.0,7274.0,119.0,1588.0,1153.0,30.0
279,5660-7262,complete,https://lpl.qq.com/es/stats.shtml?bmid=5660,LPL,2020,Spring,0,2020-01-15 12:30:00,1,10.1,4,Blue,bot,Puff,Invictus Gaming,Varus,Pantheon,Elise,Lucian,Rakan,Leona,1426,1,1,1,3,14,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5891,0.6732,,,,,,,,,,,,,,,,,,,,,,,,,,2991,125.8485,0.0750602,11,0.4628,15,0.6311,3,36.0,1.5147,9969,6784,285.4418,0.216023,9975.0,,243.0,234.0,9,5,0,10.2244,3464.0,2988.0,95.0,3755.0,3672.0,96.0,-291.0,-684.0,-1.0,5467.0,5130.0,154.0,5227.0,5456.0,142.0,240.0,-326.0,12.0
280,5660-7262,complete,https://lpl.qq.com/es/stats.shtml?bmid=5660,LPL,2020,Spring,0,2020-01-15 12:30:00,1,10.1,5,Blue,sup,Southwind,Invictus Gaming,Braum,Pantheon,Elise,Lucian,Rakan,Leona,1426,1,0,1,5,14,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5891,0.6732,,,,,,,,,,,,,,,,,,,,,,,,,,1730,72.791,0.043414999999999995,28,1.1781,8,0.3366,11,57.0,2.3983,6194,3009,126.6059,0.09582180000000001,6100.0,,29.0,29.0,0,0,0,1.2202,2061.0,2963.0,13.0,2494.0,2461.0,16.0,-433.0,502.0,-3.0,3497.0,4245.0,23.0,3501.0,3565.0,23.0,-4.0,680.0,0.0
281,5660-7262,complete,https://lpl.qq.com/es/stats.shtml?bmid=5660,LPL,2020,Spring,0,2020-01-15 12:30:00,1,10.1,6,Red,top,Natural,Dominus Esports,Irelia,Akali,Aphelios,Orianna,Gragas,Renekton,1426,0,0,4,0,2,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0842,0.6732,,,,,,,,,,,,,,,,,,,,,,,,,,5119,215.3857,0.22792600000000002,11,0.4628,1,0.0421,3,15.0,0.6311,7713,4528,190.5189,0.228834,7333.0,,215.0,215.0,0,0,0,9.0463,3254.0,4588.0,86.0,3349.0,4602.0,83.0,-95.0,-14.0,3.0,4999.0,7277.0,138.0,6216.0,8178.0,134.0,-1217.0,-901.0,4.0
282,5660-7262,complete,https://lpl.qq.com/es/stats.shtml?bmid=5660,LPL,2020,Spring,0,2020-01-15 12:30:00,1,10.1,7,Red,jng,bless,Dominus Esports,Jarvan IV,Akali,Aphelios,Orianna,Gragas,Renekton,1426,0,0,4,1,2,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0842,0.6732,,,,,,,,,,,,,,,,,,,,,,,,,,2783,117.0968,0.12391500000000001,8,0.3366,4,0.1683,8,20.0,0.8415,6174,2989,125.7644,0.151063,5670.0,,123.0,12.0,111,86,0,5.1753,2855.0,2903.0,55.0,3143.0,3146.0,66.0,-288.0,-243.0,-11.0,4298.0,4750.0,89.0,5036.0,5261.0,98.0,-738.0,-511.0,-9.0
283,5660-7262,complete,https://lpl.qq.com/es/stats.shtml?bmid=5660,LPL,2020,Spring,0,2020-01-15 12:30:00,1,10.1,8,Red,mid,xiye,Dominus Esports,Rumble,Akali,Aphelios,Orianna,Gragas,Renekton,1426,0,1,1,0,2,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0842,0.6732,,,,,,,,,,,,,,,,,,,,,,,,,,7288,306.648,0.324502,11,0.4628,3,0.1262,6,18.0,0.7574,7620,4435,186.6059,0.224135,7550.0,,186.0,186.0,0,0,0,7.8261,3045.0,4632.0,78.0,3682.0,5086.0,93.0,-637.0,-454.0,-15.0,4529.0,7274.0,119.0,6117.0,8427.0,149.0,-1588.0,-1153.0,-30.0
284,5660-7262,complete,https://lpl.qq.com/es/stats.shtml?bmid=5660,LPL,2020,Spring,0,2020-01-15 12:30:00,1,10.1,9,Red,bot,GALA,Dominus Esports,Miss Fortune,Akali,Aphelios,Orianna,Gragas,Renekton,1426,0,0,2,2,2,14,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0842,0.6732,,,,,,,,,,,,,,,,,,,,,,,,,,4887,205.6241,0.21759699999999998,10,0.4208,3,0.1262,4,13.0,0.547,8841,5656,237.9804,0.28583600000000003,9200.0,,218.0,208.0,10,8,0,9.1725,3755.0,3672.0,96.0,3464.0,2988.0,95.0,291.0,684.0,1.0,5227.0,5456.0,142.0,5467.0,5130.0,154.0,-240.0,326.0,-12.0
285,5660-7262,complete,https://lpl.qq.com/es/stats.shtml?bmid=5660,LPL,2020,Spring,0,2020-01-15 12:30:00,1,10.1,10,Red,sup,Mark,Dominus Esports,Nautilus,Akali,Aphelios,Orianna,Gragas,Renekton,1426,0,1,3,1,2,14,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0842,0.6732,,,,,,,,,,,,,,,,,,,,,,,,,,2382,100.2244,0.10605999999999999,33,1.3885,14,0.5891,11,59.0,2.4825,5364,2179,91.683,0.11013099999999999,5225.0,,38.0,38.0,0,0,0,1.5989,2494.0,2461.0,16.0,2061.0,2963.0,13.0,433.0,-502.0,3.0,3501.0,3565.0,23.0,3497.0,4245.0,23.0,4.0,-680.0,0.0
