,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
6408,ESPORTSTMNT05/1400828,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400828?gameHash=556e52c95199e4fb,LCL,2020,Spring,0,2020-02-22 13:49:52,1,10.03,1,Blue,top,Aoi Haru,Dragon Army,Ornn,Elise,Pantheon,Soraka,Yasuo,Gragas,1785,0,0,3,6,12,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4034,1.042,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9577,321.916,0.216205,9,0.3025,1,0.0336,4,11.0,0.3697,8723,4806,161.5462,0.185367,7900.0,,210.0,205.0,5,1,0,7.0588,2846.0,4500.0,68.0,2981.0,4474.0,72.0,-135.0,26.0,-4.0,4280.0,7218.0,106.0,5304.0,7468.0,125.0,-1024.0,-250.0,-19.0
6409,ESPORTSTMNT05/1400828,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400828?gameHash=556e52c95199e4fb,LCL,2020,Spring,0,2020-02-22 13:49:52,1,10.03,2,Blue,jng,ItsCortez,Dragon Army,Jarvan IV,Elise,Pantheon,Soraka,Yasuo,Gragas,1785,0,3,2,8,12,19,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4034,1.042,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6847,230.1513,0.154574,9,0.3025,8,0.2689,10,35.0,1.1765,8920,5003,168.1681,0.192965,8650.0,,140.0,41.0,99,83,0,4.7059,2819.0,2584.0,50.0,2956.0,3280.0,63.0,-137.0,-696.0,-13.0,4492.0,4683.0,79.0,4357.0,5080.0,81.0,135.0,-397.0,-2.0
6410,ESPORTSTMNT05/1400828,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400828?gameHash=556e52c95199e4fb,LCL,2020,Spring,0,2020-02-22 13:49:52,1,10.03,3,Blue,mid,Paranoia,Dragon Army,Zoe,Elise,Pantheon,Soraka,Yasuo,Gragas,1785,0,6,7,1,12,19,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4034,1.042,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,13841,465.2437,0.31246599999999997,11,0.3697,3,0.1008,5,20.0,0.6723,10630,6713,225.6471,0.258919,10375.0,,196.0,189.0,7,7,0,6.5882,3294.0,4448.0,67.0,3369.0,4666.0,90.0,-75.0,-218.0,-23.0,5671.0,6786.0,110.0,5245.0,7334.0,135.0,426.0,-548.0,-25.0
6411,ESPORTSTMNT05/1400828,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400828?gameHash=556e52c95199e4fb,LCL,2020,Spring,0,2020-02-22 13:49:52,1,10.03,4,Blue,bot,LeX,Dragon Army,Ezreal,Elise,Pantheon,Soraka,Yasuo,Gragas,1785,0,1,3,7,12,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4034,1.042,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,10250,344.5378,0.231398,12,0.4034,7,0.2353,6,28.0,0.9412,10605,6688,224.8067,0.25795500000000005,10450.0,,242.0,234.0,8,8,0,8.1345,3035.0,3232.0,77.0,3514.0,3739.0,91.0,-479.0,-507.0,-14.0,4867.0,5695.0,127.0,6061.0,5955.0,146.0,-1194.0,-260.0,-19.0
6412,ESPORTSTMNT05/1400828,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400828?gameHash=556e52c95199e4fb,LCL,2020,Spring,0,2020-02-22 13:49:52,1,10.03,5,Blue,sup,Dimonko,Dragon Army,Braum,Elise,Pantheon,Soraka,Yasuo,Gragas,1785,0,2,4,7,12,19,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4034,1.042,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3781,127.0924,0.0853576,36,1.2101,7,0.2353,10,58.0,1.9496,6634,2717,91.3277,0.10479400000000001,6500.0,,36.0,36.0,0,0,0,1.2101,2115.0,2453.0,12.0,1974.0,1914.0,11.0,141.0,539.0,1.0,3094.0,4014.0,20.0,3586.0,3623.0,19.0,-492.0,391.0,1.0
6413,ESPORTSTMNT05/1400828,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400828?gameHash=556e52c95199e4fb,LCL,2020,Spring,0,2020-02-22 13:49:52,1,10.03,6,Red,top,Doxy,Gambit Esports,Sett,LeBlanc,Karthus,Miss Fortune,Ziggs,Nautilus,1785,1,2,1,7,19,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6387,1.042,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14130,474.958,0.2202,11,0.3697,9,0.3025,5,41.0,1.3782,12188,8271,278.0168,0.21835900000000003,11100.0,,220.0,208.0,12,1,4,7.395,2981.0,4474.0,72.0,2846.0,4500.0,68.0,135.0,-26.0,4.0,5304.0,7468.0,125.0,4280.0,7218.0,106.0,1024.0,250.0,19.0
6414,ESPORTSTMNT05/1400828,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400828?gameHash=556e52c95199e4fb,LCL,2020,Spring,0,2020-02-22 13:49:52,1,10.03,7,Red,jng,Diamondprox,Gambit Esports,Lee Sin,LeBlanc,Karthus,Miss Fortune,Ziggs,Nautilus,1785,1,4,2,8,19,12,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6387,1.042,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5795,194.7899,0.0903084,15,0.5042,10,0.3361,8,42.0,1.4118,10186,6269,210.7227,0.16550499999999999,9075.0,,142.0,20.0,122,55,20,4.7731,2956.0,3280.0,63.0,2819.0,2584.0,50.0,137.0,696.0,13.0,4357.0,5080.0,81.0,4492.0,4683.0,79.0,-135.0,397.0,2.0
6415,ESPORTSTMNT05/1400828,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400828?gameHash=556e52c95199e4fb,LCL,2020,Spring,0,2020-02-22 13:49:52,1,10.03,8,Red,mid,Sencux,Gambit Esports,Diana,LeBlanc,Karthus,Miss Fortune,Ziggs,Nautilus,1785,1,3,4,11,19,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6387,1.042,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,17706,595.1597,0.275928,12,0.4034,3,0.1008,6,28.0,0.9412,12485,8568,288.0,0.2262,11600.0,,257.0,222.0,35,19,16,8.6387,3369.0,4666.0,90.0,3294.0,4448.0,67.0,75.0,218.0,23.0,5245.0,7334.0,135.0,5671.0,6786.0,110.0,-426.0,548.0,25.0
6416,ESPORTSTMNT05/1400828,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400828?gameHash=556e52c95199e4fb,LCL,2020,Spring,0,2020-02-22 13:49:52,1,10.03,9,Red,bot,Lodik,Gambit Esports,Aphelios,LeBlanc,Karthus,Miss Fortune,Ziggs,Nautilus,1785,1,9,0,3,19,12,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6387,1.042,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,21508,722.958,0.335177,10,0.3361,8,0.2689,6,31.0,1.042,14745,10828,363.9664,0.28586500000000004,13750.0,,277.0,260.0,17,12,0,9.3109,3514.0,3739.0,91.0,3035.0,3232.0,77.0,479.0,507.0,14.0,6061.0,5955.0,146.0,4867.0,5695.0,127.0,1194.0,260.0,19.0
6417,ESPORTSTMNT05/1400828,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400828?gameHash=556e52c95199e4fb,LCL,2020,Spring,0,2020-02-22 13:49:52,1,10.03,10,Red,sup,Edward,Gambit Esports,Thresh,LeBlanc,Karthus,Miss Fortune,Ziggs,Nautilus,1785,1,1,5,12,19,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6387,1.042,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5030,169.0756,0.0783868,38,1.2773,7,0.2353,14,67.0,2.2521,7859,3942,132.5042,0.104071,7150.0,,27.0,27.0,0,0,0,0.9076,1974.0,1914.0,11.0,2115.0,2453.0,12.0,-141.0,-539.0,-1.0,3586.0,3623.0,19.0,3094.0,4014.0,20.0,492.0,-391.0,-1.0
6418,ESPORTSTMNT05/1400828,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400828?gameHash=556e52c95199e4fb,LCL,2020,Spring,0,2020-02-22 13:49:52,1,10.03,100,Blue,team,,Dragon Army,,Elise,Pantheon,Soraka,Yasuo,Gragas,1785,0,12,19,29,12,19,1.0,0.0,0.0,0.0,1.0,,,,0.4034,1.042,0.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,3.0,44296,1488.9412,,77,2.5882,26,0.8739,35,152.0,5.1092,45512,25927,871.4958,,43875.0,-0.182289,,705.0,119,99,0,27.6975,14109.0,17217.0,274.0,14794.0,18073.0,327.0,-685.0,-856.0,-53.0,22404.0,28396.0,442.0,24553.0,29460.0,506.0,-2149.0,-1064.0,-64.0
