,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
62076,ESPORTSTMNT06/1310228,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1310228?gameHash=b5a45a4a4fbf9119,EM,2020,Summer,0,2020-08-18 15:40:27,1,10.16,1,Blue,top,Frozen,EGN Esports,Shen,Heimerdinger,Ziggs,Lux,Elise,Karthus,1541,0,1,3,2,8,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3115,0.9345,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6932,269.9027,0.199407,9,0.3504,2,0.0779,2,17.0,0.6619,8324,4905,190.9799,0.217798,8300.0,,187.0,183.0,4,4,0,7.281,2981.0,4447.0,69.0,3202.0,4433.0,83.0,-221.0,14.0,-14.0,4285.0,6515.0,99.0,5394.0,7066.0,133.0,-1109.0,-551.0,-34.0
62077,ESPORTSTMNT06/1310228,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1310228?gameHash=b5a45a4a4fbf9119,EM,2020,Summer,0,2020-08-18 15:40:27,1,10.16,2,Blue,jng,ReAt1vo,EGN Esports,Rek'Sai,Heimerdinger,Ziggs,Lux,Elise,Karthus,1541,0,2,3,3,8,16,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3115,0.9345,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6774,263.7508,0.19486199999999998,7,0.2726,13,0.5062,5,30.0,1.1681,8203,4784,186.2687,0.212425,7900.0,,148.0,19.0,129,91,7,5.7625,3458.0,3471.0,63.0,3007.0,3229.0,61.0,451.0,242.0,2.0,5292.0,5514.0,98.0,4551.0,5160.0,88.0,741.0,354.0,10.0
62078,ESPORTSTMNT06/1310228,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1310228?gameHash=b5a45a4a4fbf9119,EM,2020,Summer,0,2020-08-18 15:40:27,1,10.16,3,Blue,mid,Heroic,EGN Esports,Sylas,Heimerdinger,Ziggs,Lux,Elise,Karthus,1541,0,1,4,2,8,16,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3115,0.9345,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7281,283.4912,0.20944699999999997,10,0.3894,8,0.3115,4,22.0,0.8566,8036,4617,179.7664,0.20500900000000002,7400.0,,192.0,188.0,4,4,0,7.4757,3135.0,4198.0,75.0,3272.0,4353.0,87.0,-137.0,-155.0,-12.0,5060.0,6964.0,128.0,5769.0,7564.0,146.0,-709.0,-600.0,-18.0
62079,ESPORTSTMNT06/1310228,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1310228?gameHash=b5a45a4a4fbf9119,EM,2020,Summer,0,2020-08-18 15:40:27,1,10.16,4,Blue,bot,Worst,EGN Esports,Miss Fortune,Heimerdinger,Ziggs,Lux,Elise,Karthus,1541,0,4,3,1,8,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3115,0.9345,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,10566,411.3952,0.303944,10,0.3894,4,0.1557,3,26.0,1.0123,9718,6299,245.2563,0.279699,9325.0,,221.0,209.0,12,12,0,8.6048,3297.0,3135.0,78.0,3258.0,3346.0,82.0,39.0,-211.0,-4.0,5704.0,5740.0,119.0,5682.0,5951.0,131.0,22.0,-211.0,-12.0
62080,ESPORTSTMNT06/1310228,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1310228?gameHash=b5a45a4a4fbf9119,EM,2020,Summer,0,2020-08-18 15:40:27,1,10.16,5,Blue,sup,Slayer,EGN Esports,Blitzcrank,Heimerdinger,Ziggs,Lux,Elise,Karthus,1541,0,0,3,5,8,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3115,0.9345,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3210,124.9838,0.09233960000000001,37,1.4406,6,0.2336,11,58.0,2.2583,5335,1916,74.6009,0.08507,5205.0,,34.0,34.0,0,0,0,1.3238,1955.0,2342.0,11.0,2227.0,2587.0,20.0,-272.0,-245.0,-9.0,3030.0,3335.0,15.0,3882.0,3778.0,27.0,-852.0,-443.0,-12.0
62081,ESPORTSTMNT06/1310228,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1310228?gameHash=b5a45a4a4fbf9119,EM,2020,Summer,0,2020-08-18 15:40:27,1,10.16,6,Red,top,Phones,Team GamerLegion,Renekton,Twisted Fate,Volibear,Ornn,Morgana,Nautilus,1541,1,3,1,8,16,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.623,0.9345,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14104,549.1499,0.28862600000000005,13,0.5062,6,0.2336,6,36.0,1.4017,10525,7106,276.6775,0.21409499999999998,9600.0,,204.0,204.0,0,0,0,7.9429,3202.0,4433.0,83.0,2981.0,4447.0,69.0,221.0,-14.0,14.0,5394.0,7066.0,133.0,4285.0,6515.0,99.0,1109.0,551.0,34.0
62082,ESPORTSTMNT06/1310228,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1310228?gameHash=b5a45a4a4fbf9119,EM,2020,Summer,0,2020-08-18 15:40:27,1,10.16,7,Red,jng,Rabble,Team GamerLegion,Gragas,Twisted Fate,Volibear,Ornn,Morgana,Nautilus,1541,1,4,1,6,16,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.623,0.9345,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8246,321.0642,0.168747,19,0.7398,6,0.2336,7,37.0,1.4406,9477,6058,235.8728,0.18251900000000001,8075.0,,155.0,18.0,137,83,1,6.035,3007.0,3229.0,61.0,3458.0,3471.0,63.0,-451.0,-242.0,-2.0,4551.0,5160.0,88.0,5292.0,5514.0,98.0,-741.0,-354.0,-10.0
62083,ESPORTSTMNT06/1310228,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1310228?gameHash=b5a45a4a4fbf9119,EM,2020,Summer,0,2020-08-18 15:40:27,1,10.16,8,Red,mid,Nite,Team GamerLegion,Ryze,Twisted Fate,Volibear,Ornn,Morgana,Nautilus,1541,1,5,2,5,16,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.623,0.9345,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10048,391.2265,0.20562399999999997,12,0.4672,5,0.1947,7,36.0,1.4017,11648,8229,320.4023,0.24793,11050.0,,260.0,237.0,23,17,5,10.1233,3272.0,4353.0,87.0,3135.0,4198.0,75.0,137.0,155.0,12.0,5769.0,7564.0,146.0,5060.0,6964.0,128.0,709.0,600.0,18.0
62084,ESPORTSTMNT06/1310228,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1310228?gameHash=b5a45a4a4fbf9119,EM,2020,Summer,0,2020-08-18 15:40:27,1,10.16,9,Red,bot,Hjarnan,Team GamerLegion,Jhin,Twisted Fate,Volibear,Ornn,Morgana,Nautilus,1541,1,3,1,8,16,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.623,0.9345,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,12702,494.562,0.25993499999999997,10,0.3894,1,0.0389,3,21.0,0.8177,11311,7892,307.281,0.237777,9925.0,,227.0,215.0,12,8,0,8.8384,3258.0,3346.0,82.0,3297.0,3135.0,78.0,-39.0,211.0,4.0,5682.0,5951.0,131.0,5704.0,5740.0,119.0,-22.0,211.0,12.0
62085,ESPORTSTMNT06/1310228,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1310228?gameHash=b5a45a4a4fbf9119,EM,2020,Summer,0,2020-08-18 15:40:27,1,10.16,10,Red,sup,Visdom,Team GamerLegion,Thresh,Twisted Fate,Volibear,Ornn,Morgana,Nautilus,1541,1,1,3,11,16,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.623,0.9345,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3766,146.6321,0.0770679,42,1.6353,8,0.3115,20,68.0,2.6476,7325,3906,152.0831,0.11767999999999999,6925.0,,38.0,38.0,0,0,0,1.4796,2227.0,2587.0,20.0,1955.0,2342.0,11.0,272.0,245.0,9.0,3882.0,3778.0,27.0,3030.0,3335.0,15.0,852.0,443.0,12.0
