,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
33960,ESPORTSTMNT01/1405328,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405328?gameHash=a7d8e690f5b4d68a&amp;tab=overview,CK,2020,Summer,0,2020-06-19 07:03:28,1,10.11,1,Blue,top,Lapis,ESC Shane,Ornn,Wukong,Twisted Fate,Sett,Gangplank,Zoe,1736,0,2,6,0,3,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1037,0.8641,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9635,333.0069,0.22448200000000001,12,0.4147,2,0.0691,3,19.0,0.6567,9241,5424,187.4654,0.22693600000000003,9075.0,,184.0,183.0,1,0,0,6.3594,2825.0,4094.0,71.0,4581.0,4987.0,88.0,-1756.0,-893.0,-17.0,4815.0,6822.0,108.0,6905.0,7365.0,135.0,-2090.0,-543.0,-27.0
33961,ESPORTSTMNT01/1405328,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405328?gameHash=a7d8e690f5b4d68a&amp;tab=overview,CK,2020,Summer,0,2020-06-19 07:03:28,1,10.11,2,Blue,jng,Lia,ESC Shane,Lee Sin,Wukong,Twisted Fate,Sett,Gangplank,Zoe,1736,0,0,6,0,3,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1037,0.8641,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,1960,67.7419,0.0456653,18,0.6221,7,0.2419,13,27.0,0.9332,6929,3112,107.5576,0.13020299999999999,6600.0,,126.0,11.0,115,93,4,4.3548,2921.0,3092.0,61.0,3786.0,4215.0,66.0,-865.0,-1123.0,-5.0,4217.0,4640.0,86.0,6061.0,6478.0,98.0,-1844.0,-1838.0,-12.0
33962,ESPORTSTMNT01/1405328,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405328?gameHash=a7d8e690f5b4d68a&amp;tab=overview,CK,2020,Summer,0,2020-06-19 07:03:28,1,10.11,3,Blue,mid,Gone,ESC Shane,Azir,Wukong,Twisted Fate,Sett,Gangplank,Zoe,1736,0,0,6,1,3,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1037,0.8641,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12546,433.6175,0.292304,12,0.4147,3,0.1037,4,22.0,0.7604,10255,6438,222.5115,0.269362,10100.0,,264.0,256.0,8,8,0,9.1244,3347.0,4497.0,85.0,3482.0,4136.0,72.0,-135.0,361.0,13.0,5036.0,7031.0,136.0,6479.0,7381.0,131.0,-1443.0,-350.0,5.0
33963,ESPORTSTMNT01/1405328,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405328?gameHash=a7d8e690f5b4d68a&amp;tab=overview,CK,2020,Summer,0,2020-06-19 07:03:28,1,10.11,4,Blue,bot,Bini,ESC Shane,Aphelios,Wukong,Twisted Fate,Sett,Gangplank,Zoe,1736,0,0,2,0,3,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1037,0.8641,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,11687,403.9286,0.272291,15,0.5184,5,0.1728,6,34.0,1.1751,10672,6855,236.924,0.28680900000000004,9800.0,,293.0,290.0,3,3,0,10.1267,3655.0,3638.0,96.0,3188.0,3124.0,81.0,467.0,514.0,15.0,5469.0,5700.0,150.0,5253.0,5977.0,141.0,216.0,-277.0,9.0
33964,ESPORTSTMNT01/1405328,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405328?gameHash=a7d8e690f5b4d68a&amp;tab=overview,CK,2020,Summer,0,2020-06-19 07:03:28,1,10.11,5,Blue,sup,Harp,ESC Shane,Karma,Wukong,Twisted Fate,Sett,Gangplank,Zoe,1736,0,1,2,1,3,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1037,0.8641,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7093,245.1498,0.165257,40,1.3825,10,0.3456,16,66.0,2.2811,5889,2072,71.6129,0.08669,5350.0,,13.0,13.0,0,0,0,0.4493,2362.0,2447.0,2.0,2266.0,2636.0,11.0,96.0,-189.0,-9.0,3274.0,3641.0,4.0,3290.0,4240.0,17.0,-16.0,-599.0,-13.0
33965,ESPORTSTMNT01/1405328,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405328?gameHash=a7d8e690f5b4d68a&amp;tab=overview,CK,2020,Summer,0,2020-06-19 07:03:28,1,10.11,6,Red,top,SoaR,OZ Gaming,Aatrox,Varus,Syndra,Kalista,Rek'Sai,Graves,1736,1,4,1,10,22,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.7604,0.8641,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12746,440.53,0.17841500000000002,16,0.553,9,0.3111,7,39.0,1.3479,12418,8601,297.2696,0.213918,11735.0,,229.0,197.0,32,11,5,7.9147,4581.0,4987.0,88.0,2825.0,4094.0,71.0,1756.0,893.0,17.0,6905.0,7365.0,135.0,4815.0,6822.0,108.0,2090.0,543.0,27.0
33966,ESPORTSTMNT01/1405328,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405328?gameHash=a7d8e690f5b4d68a&amp;tab=overview,CK,2020,Summer,0,2020-06-19 07:03:28,1,10.11,7,Red,jng,BroCColi,OZ Gaming,Trundle,Varus,Syndra,Kalista,Rek'Sai,Graves,1736,1,2,0,12,22,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7604,0.8641,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,5700,197.0046,0.0797872,11,0.3802,21,0.7258,10,61.0,2.1083,11400,7583,262.0853,0.188599,8950.0,,184.0,44.0,140,81,10,6.3594,3786.0,4215.0,66.0,2921.0,3092.0,61.0,865.0,1123.0,5.0,6061.0,6478.0,98.0,4217.0,4640.0,86.0,1844.0,1838.0,12.0
33967,ESPORTSTMNT01/1405328,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405328?gameHash=a7d8e690f5b4d68a&amp;tab=overview,CK,2020,Summer,0,2020-06-19 07:03:28,1,10.11,8,Red,mid,Crown,OZ Gaming,Corki,Varus,Syndra,Kalista,Rek'Sai,Graves,1736,1,10,2,6,22,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7604,0.8641,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,27512,950.8756,0.385106,16,0.553,6,0.2074,7,40.0,1.3825,14909,11092,383.3641,0.275873,13458.0,,265.0,232.0,33,20,10,9.159,3482.0,4136.0,72.0,3347.0,4497.0,85.0,135.0,-361.0,-13.0,6479.0,7381.0,131.0,5036.0,7031.0,136.0,1443.0,350.0,-5.0
33968,ESPORTSTMNT01/1405328,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405328?gameHash=a7d8e690f5b4d68a&amp;tab=overview,CK,2020,Summer,0,2020-06-19 07:03:28,1,10.11,9,Red,bot,Pilot,OZ Gaming,Ezreal,Varus,Syndra,Kalista,Rek'Sai,Graves,1736,1,5,0,4,22,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7604,0.8641,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,18175,628.1682,0.254409,14,0.4839,2,0.0691,4,31.0,1.0714,13033,9216,318.5253,0.229214,10400.0,,266.0,251.0,15,0,13,9.1935,3188.0,3124.0,81.0,3655.0,3638.0,96.0,-467.0,-514.0,-15.0,5253.0,5977.0,141.0,5469.0,5700.0,150.0,-216.0,277.0,-9.0
33969,ESPORTSTMNT01/1405328,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405328?gameHash=a7d8e690f5b4d68a&amp;tab=overview,CK,2020,Summer,0,2020-06-19 07:03:28,1,10.11,10,Red,sup,Motive,OZ Gaming,Yuumi,Varus,Syndra,Kalista,Rek'Sai,Graves,1736,1,1,0,16,22,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7604,0.8641,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7307,252.5461,0.10228200000000001,27,0.9332,3,0.1037,5,59.0,2.0392,7532,3715,128.3986,0.09239630000000001,6575.0,,23.0,23.0,0,0,0,0.7949,2266.0,2636.0,11.0,2362.0,2447.0,2.0,-96.0,189.0,9.0,3290.0,4240.0,17.0,3274.0,3641.0,4.0,16.0,599.0,13.0
33970,ESPORTSTMNT01/1405328,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405328?gameHash=a7d8e690f5b4d68a&amp;tab=overview,CK,2020,Summer,0,2020-06-19 07:03:28,1,10.11,100,Blue,team,,ESC Shane,,Wukong,Twisted Fate,Sett,Gangplank,Zoe,1736,0,3,22,2,3,22,0.0,0.0,0.0,0.0,0.0,,,,0.1037,0.8641,1.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,0.0,3.0,42921,1483.4447,,97,3.3525,27,0.9332,42,168.0,5.8065,42986,23901,826.0714,,40925.0,-0.22148299999999999,,753.0,127,104,4,30.4147,15110.0,17768.0,315.0,17303.0,19098.0,318.0,-2193.0,-1330.0,-3.0,22811.0,27834.0,484.0,27988.0,31441.0,522.0,-5177.0,-3607.0,-38.0
33971,ESPORTSTMNT01/1405328,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405328?gameHash=a7d8e690f5b4d68a&amp;tab=overview,CK,2020,Summer,0,2020-06-19 07:03:28,1,10.11,200,Red,team,,OZ Gaming,,Varus,Syndra,Kalista,Rek'Sai,Graves,1736,1,22,3,48,22,3,1.0,0.0,0.0,0.0,1.0,,,,0.7604,0.8641,0.0,3.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,10.0,1.0,1.0,1.0,3.0,0.0,71440,2469.1244,,84,2.9032,41,1.4171,33,230.0,7.9493,59292,40207,1389.6429,,51118.0,0.22148299999999999,,747.0,220,112,38,33.4217,17303.0,19098.0,318.0,15110.0,17768.0,315.0,2193.0,1330.0,3.0,27988.0,31441.0,522.0,22811.0,27834.0,484.0,5177.0,3607.0,38.0
34044,ESPORTSTMNT01/1405358,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405358?gameHash=ef4f1298dcd08003,CK,2020,Summer,0,2020-06-19 08:24:00,2,10.11,1,Blue,top,SoaR,OZ Gaming,Malphite,Sett,Kalista,Karma,Twisted Fate,Galio,2423,0,2,4,4,8,22,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1981,0.7429,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14112,349.4511,0.157279,14,0.3467,8,0.1981,10,35.0,0.8667,14910,9691,239.9752,0.27197,15070.0,,307.0,298.0,9,6,0,7.6021,3522.0,4421.0,84.0,3237.0,4305.0,68.0,285.0,116.0,16.0,5918.0,7302.0,136.0,4988.0,7183.0,118.0,930.0,119.0,18.0
34045,ESPORTSTMNT01/1405358,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405358?gameHash=ef4f1298dcd08003,CK,2020,Summer,0,2020-06-19 08:24:00,2,10.11,2,Blue,jng,BroCColi,OZ Gaming,Olaf,Sett,Kalista,Karma,Twisted Fate,Galio,2423,0,3,5,3,8,22,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1981,0.7429,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,9773,242.0058,0.10892,16,0.3962,19,0.4705,16,72.0,1.7829,11170,5951,147.3628,0.167015,11150.0,,186.0,37.0,149,99,5,4.6059,3497.0,3724.0,63.0,2859.0,3201.0,53.0,638.0,523.0,10.0,5191.0,5797.0,92.0,4571.0,4527.0,72.0,620.0,1270.0,20.0
34046,ESPORTSTMNT01/1405358,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405358?gameHash=ef4f1298dcd08003,CK,2020,Summer,0,2020-06-19 08:24:00,2,10.11,3,Blue,mid,Crown,OZ Gaming,Zoe,Sett,Kalista,Karma,Twisted Fate,Galio,2423,0,1,6,3,8,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1981,0.7429,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,22589,559.3644,0.251755,28,0.6934,8,0.1981,14,74.0,1.8324,12522,7303,180.8419,0.204956,12750.0,,264.0,248.0,16,12,0,6.5374,3227.0,4446.0,83.0,3325.0,4800.0,90.0,-98.0,-354.0,-7.0,4934.0,7043.0,125.0,5819.0,7657.0,135.0,-885.0,-614.0,-10.0
34047,ESPORTSTMNT01/1405358,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405358?gameHash=ef4f1298dcd08003,CK,2020,Summer,0,2020-06-19 08:24:00,2,10.11,4,Blue,bot,Pilot,OZ Gaming,Ezreal,Sett,Kalista,Karma,Twisted Fate,Galio,2423,0,2,3,3,8,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1981,0.7429,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,33209,822.3442,0.370116,19,0.4705,6,0.1486,6,34.0,0.8419,15740,10521,260.5283,0.29526199999999997,16250.0,,403.0,351.0,52,52,0,9.9794,3021.0,2789.0,77.0,3410.0,3077.0,88.0,-389.0,-288.0,-11.0,4845.0,5209.0,130.0,6455.0,6100.0,148.0,-1610.0,-891.0,-18.0
34048,ESPORTSTMNT01/1405358,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405358?gameHash=ef4f1298dcd08003,CK,2020,Summer,0,2020-06-19 08:24:00,2,10.11,5,Blue,sup,Motive,OZ Gaming,Yuumi,Sett,Kalista,Karma,Twisted Fate,Galio,2423,0,0,4,6,8,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1981,0.7429,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10043,248.6917,0.11193,50,1.2381,5,0.1238,18,65.0,1.6096,7385,2166,53.636,0.0607974,7400.0,,24.0,24.0,0,0,0,0.5943,1961.0,2312.0,11.0,2270.0,2480.0,13.0,-309.0,-168.0,-2.0,2942.0,3511.0,15.0,3368.0,3933.0,18.0,-426.0,-422.0,-3.0
