,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
2484,ESPORTSTMNT01/1293765,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293765?gameHash=53412e36eb2eab86,CK,2020,Spring,0,2020-02-07 04:38:25,1,10.02,1,Blue,top,Slugger,Element Mystic,Gangplank,Olaf,Syndra,Aphelios,Nautilus,LeBlanc,1850,0,0,5,1,3,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0973,0.7784,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,20150,653.5135,0.335219,13,0.4216,2,0.0649,5,27.0,0.8757,11096,7046,228.5189,0.291354,10833.0,,252.0,237.0,15,5,0,8.173,3265.0,4524.0,78.0,3361.0,5009.0,93.0,-96.0,-485.0,-15.0,4981.0,6753.0,119.0,6130.0,7792.0,132.0,-1149.0,-1039.0,-13.0
2485,ESPORTSTMNT01/1293765,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293765?gameHash=53412e36eb2eab86,CK,2020,Spring,0,2020-02-07 04:38:25,1,10.02,2,Blue,jng,Ganknam,Element Mystic,Elise,Olaf,Syndra,Aphelios,Nautilus,LeBlanc,1850,0,1,5,2,3,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0973,0.7784,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8749,283.7514,0.14555,28,0.9081,10,0.3243,11,64.0,2.0757,7401,3351,108.6811,0.138573,7525.0,,126.0,17.0,109,90,4,4.0865,2447.0,2198.0,42.0,2855.0,2775.0,55.0,-408.0,-577.0,-13.0,3875.0,3382.0,62.0,4278.0,4389.0,79.0,-403.0,-1007.0,-17.0
2486,ESPORTSTMNT01/1293765,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293765?gameHash=53412e36eb2eab86,CK,2020,Spring,0,2020-02-07 04:38:25,1,10.02,3,Blue,mid,Scarlet,Element Mystic,Zoe,Olaf,Syndra,Aphelios,Nautilus,LeBlanc,1850,0,1,3,2,3,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0973,0.7784,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,14875,482.4324,0.24746300000000002,14,0.4541,6,0.1946,7,28.0,0.9081,9842,5792,187.8486,0.239504,9825.0,,253.0,241.0,12,12,0,8.2054,3148.0,4333.0,83.0,3117.0,4535.0,80.0,31.0,-202.0,3.0,4866.0,6955.0,131.0,6090.0,7371.0,123.0,-1224.0,-416.0,8.0
2487,ESPORTSTMNT01/1293765,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293765?gameHash=53412e36eb2eab86,CK,2020,Spring,0,2020-02-07 04:38:25,1,10.02,4,Blue,bot,Shark,Element Mystic,Varus,Olaf,Syndra,Aphelios,Nautilus,LeBlanc,1850,0,1,4,2,3,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0973,0.7784,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10711,347.3838,0.17819000000000002,4,0.1297,10,0.3243,0,23.0,0.7459,10410,6360,206.2703,0.262989,10100.0,,254.0,232.0,22,16,0,8.2378,3080.0,3006.0,78.0,3545.0,3175.0,94.0,-465.0,-169.0,-16.0,4959.0,4903.0,116.0,5724.0,5099.0,133.0,-765.0,-196.0,-17.0
2488,ESPORTSTMNT01/1293765,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293765?gameHash=53412e36eb2eab86,CK,2020,Spring,0,2020-02-07 04:38:25,1,10.02,5,Blue,sup,Execute,Element Mystic,Braum,Olaf,Syndra,Aphelios,Nautilus,LeBlanc,1850,0,0,4,3,3,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0973,0.7784,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5625,182.4324,0.0935784,66,2.1405,3,0.0973,20,72.0,2.3351,5684,1634,52.9946,0.0675791,5350.0,,23.0,23.0,0,0,0,0.7459,2031.0,2969.0,12.0,2112.0,3085.0,12.0,-81.0,-116.0,0.0,3085.0,3944.0,17.0,3595.0,5086.0,23.0,-510.0,-1142.0,-6.0
2489,ESPORTSTMNT01/1293765,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293765?gameHash=53412e36eb2eab86,CK,2020,Spring,0,2020-02-07 04:38:25,1,10.02,6,Red,top,TaNa,Jin Air Green Wings,Mordekaiser,Akali,Lucian,Sett,Renekton,Pantheon,1850,1,9,0,4,21,3,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6811,0.7784,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14542,471.6324,0.229062,20,0.6486,6,0.1946,12,41.0,1.3297,14669,10619,344.4,0.265651,12900.0,,274.0,258.0,16,8,1,8.8865,3361.0,5009.0,93.0,3265.0,4524.0,78.0,96.0,485.0,15.0,6130.0,7792.0,132.0,4981.0,6753.0,119.0,1149.0,1039.0,13.0
2490,ESPORTSTMNT01/1293765,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293765?gameHash=53412e36eb2eab86,CK,2020,Spring,0,2020-02-07 04:38:25,1,10.02,7,Red,jng,UmTi,Jin Air Green Wings,Lee Sin,Akali,Lucian,Sett,Renekton,Pantheon,1850,1,2,2,8,21,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6811,0.7784,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8102,262.7676,0.127621,19,0.6162,15,0.4865,9,56.0,1.8162,9691,5641,182.9514,0.141123,8950.0,,159.0,18.0,141,90,4,5.1568,2855.0,2775.0,55.0,2447.0,2198.0,42.0,408.0,577.0,13.0,4278.0,4389.0,79.0,3875.0,3382.0,62.0,403.0,1007.0,17.0
2491,ESPORTSTMNT01/1293765,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293765?gameHash=53412e36eb2eab86,CK,2020,Spring,0,2020-02-07 04:38:25,1,10.02,8,Red,mid,Yaharong,Jin Air Green Wings,Diana,Akali,Lucian,Sett,Renekton,Pantheon,1850,1,5,0,12,21,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6811,0.7784,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,21947,711.7946,0.345704,16,0.5189,14,0.4541,9,41.0,1.3297,14696,10646,345.2757,0.266326,13175.0,,272.0,244.0,28,20,8,8.8216,3117.0,4535.0,80.0,3148.0,4333.0,83.0,-31.0,202.0,-3.0,6090.0,7371.0,123.0,4866.0,6955.0,131.0,1224.0,416.0,-8.0
2492,ESPORTSTMNT01/1293765,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293765?gameHash=53412e36eb2eab86,CK,2020,Spring,0,2020-02-07 04:38:25,1,10.02,9,Red,bot,Light,Jin Air Green Wings,Senna,Akali,Lucian,Sett,Renekton,Pantheon,1850,1,5,0,12,21,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6811,0.7784,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14250,462.1622,0.224462,12,0.3892,20,0.6486,4,52.0,1.6865,13635,9585,310.8649,0.239785,11675.0,,265.0,253.0,12,8,0,8.5946,3545.0,3175.0,94.0,3080.0,3006.0,78.0,465.0,169.0,16.0,5724.0,5099.0,133.0,4959.0,4903.0,116.0,765.0,196.0,17.0
2493,ESPORTSTMNT01/1293765,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293765?gameHash=53412e36eb2eab86,CK,2020,Spring,0,2020-02-07 04:38:25,1,10.02,10,Red,sup,Senan,Jin Air Green Wings,Tahm Kench,Akali,Lucian,Sett,Renekton,Pantheon,1850,1,0,1,10,21,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6811,0.7784,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4644,150.6162,0.07315110000000001,42,1.3622,8,0.2595,15,66.0,2.1405,7532,3482,112.9297,0.0871144,6875.0,,39.0,35.0,4,4,0,1.2649,2112.0,3085.0,12.0,2031.0,2969.0,12.0,81.0,116.0,0.0,3595.0,5086.0,23.0,3085.0,3944.0,17.0,510.0,1142.0,6.0
