,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
6432,ESPORTSTMNT05/1400849,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400849?gameHash=616cd48430afab53,LCL,2020,Spring,0,2020-02-22 14:53:30,1,10.03,1,Blue,top,Smurf,Elements Pro Gaming,Ornn,Karthus,LeBlanc,Syndra,Jarvan IV,Sejuani,2322,1,4,1,4,14,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3618,0.646,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,12642,326.6667,0.161384,17,0.4393,12,0.3101,5,48.0,1.2403,13013,8001,206.7442,0.185504,12525.0,,218.0,214.0,4,1,0,5.6331,2971.0,3893.0,69.0,3286.0,4795.0,88.0,-315.0,-902.0,-19.0,5063.0,6224.0,114.0,4743.0,7509.0,134.0,320.0,-1285.0,-20.0
6433,ESPORTSTMNT05/1400849,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400849?gameHash=616cd48430afab53,LCL,2020,Spring,0,2020-02-22 14:53:30,1,10.03,2,Blue,jng,Kreox,Elements Pro Gaming,Rek'Sai,Karthus,LeBlanc,Syndra,Jarvan IV,Sejuani,2322,1,3,5,5,14,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3618,0.646,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,13501,348.863,0.17235,16,0.4134,17,0.4393,17,60.0,1.5504,13121,8109,209.5349,0.18800799999999998,12150.0,,215.0,45.0,170,85,23,5.5556,3195.0,3477.0,67.0,2798.0,2904.0,58.0,397.0,573.0,9.0,5226.0,5591.0,103.0,4180.0,4751.0,82.0,1046.0,840.0,21.0
6434,ESPORTSTMNT05/1400849,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400849?gameHash=616cd48430afab53,LCL,2020,Spring,0,2020-02-22 14:53:30,1,10.03,3,Blue,mid,Kira,Elements Pro Gaming,Anivia,Karthus,LeBlanc,Syndra,Jarvan IV,Sejuani,2322,1,5,3,5,14,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3618,0.646,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,20611,532.584,0.263114,20,0.5168,12,0.3101,9,61.0,1.5762,16328,11316,292.4031,0.262367,14575.0,,348.0,279.0,69,32,29,8.9922,3337.0,5022.0,93.0,3226.0,4738.0,87.0,111.0,284.0,6.0,5252.0,7926.0,154.0,5582.0,7790.0,146.0,-330.0,136.0,8.0
6435,ESPORTSTMNT05/1400849,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400849?gameHash=616cd48430afab53,LCL,2020,Spring,0,2020-02-22 14:53:30,1,10.03,4,Blue,bot,Kinzu,Elements Pro Gaming,Xayah,Karthus,LeBlanc,Syndra,Jarvan IV,Sejuani,2322,1,2,1,8,14,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3618,0.646,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,23454,606.0465,0.299406,20,0.5168,9,0.2326,9,52.0,1.3437,16984,11972,309.354,0.277577,16000.0,,372.0,322.0,50,34,9,9.6124,3379.0,3415.0,92.0,3182.0,2814.0,83.0,197.0,601.0,9.0,5084.0,5992.0,138.0,5075.0,5223.0,142.0,9.0,769.0,-4.0
6436,ESPORTSTMNT05/1400849,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400849?gameHash=616cd48430afab53,LCL,2020,Spring,0,2020-02-22 14:53:30,1,10.03,5,Blue,sup,Jestkui Max,Elements Pro Gaming,Nautilus,Karthus,LeBlanc,Syndra,Jarvan IV,Sejuani,2322,1,0,1,6,14,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3618,0.646,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8127,210.0,0.103747,50,1.292,10,0.2584,15,97.0,2.5065,8745,3733,96.4599,0.08654400000000001,7675.0,,36.0,36.0,0,0,0,0.9302,2120.0,2730.0,14.0,2118.0,2680.0,13.0,2.0,50.0,1.0,3230.0,3751.0,20.0,3385.0,4268.0,24.0,-155.0,-517.0,-4.0
6437,ESPORTSTMNT05/1400849,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400849?gameHash=616cd48430afab53,LCL,2020,Spring,0,2020-02-22 14:53:30,1,10.03,6,Red,top,NoNholy,CrowCrowd,Sett,Soraka,Elise,Aphelios,Olaf,Gragas,2322,0,2,4,3,11,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2842,0.646,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,13684,353.5917,0.16728800000000002,22,0.5685,3,0.0775,9,34.0,0.8786,12303,7291,188.3979,0.217371,11575.0,,258.0,250.0,8,4,0,6.6667,3286.0,4795.0,88.0,2971.0,3893.0,69.0,315.0,902.0,19.0,4743.0,7509.0,134.0,5063.0,6224.0,114.0,-320.0,1285.0,20.0
6438,ESPORTSTMNT05/1400849,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400849?gameHash=616cd48430afab53,LCL,2020,Spring,0,2020-02-22 14:53:30,1,10.03,7,Red,jng,Rein,CrowCrowd,Warwick,Soraka,Elise,Aphelios,Olaf,Gragas,2322,0,2,4,4,11,14,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2842,0.646,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,5793,149.6899,0.07081989999999999,9,0.2326,4,0.1034,9,29.0,0.7494,11966,6954,179.6899,0.207323,11900.0,,189.0,59.0,130,100,0,4.8837,2798.0,2904.0,58.0,3195.0,3477.0,67.0,-397.0,-573.0,-9.0,4180.0,4751.0,82.0,5226.0,5591.0,103.0,-1046.0,-840.0,-21.0
6439,ESPORTSTMNT05/1400849,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400849?gameHash=616cd48430afab53,LCL,2020,Spring,0,2020-02-22 14:53:30,1,10.03,8,Red,mid,XoNix,CrowCrowd,Zoe,Soraka,Elise,Aphelios,Olaf,Gragas,2322,0,4,4,3,11,14,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2842,0.646,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,25066,647.7003,0.30643400000000004,17,0.4393,3,0.0775,8,31.0,0.801,11646,6634,171.4212,0.19778199999999999,11300.0,,242.0,234.0,8,8,0,6.2532,3226.0,4738.0,87.0,3337.0,5022.0,93.0,-111.0,-284.0,-6.0,5582.0,7790.0,146.0,5252.0,7926.0,154.0,330.0,-136.0,-8.0
6440,ESPORTSTMNT05/1400849,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400849?gameHash=616cd48430afab53,LCL,2020,Spring,0,2020-02-22 14:53:30,1,10.03,9,Red,bot,Haninger,CrowCrowd,Miss Fortune,Soraka,Elise,Aphelios,Olaf,Gragas,2322,0,3,1,5,11,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2842,0.646,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,31631,817.3385,0.386692,13,0.3359,15,0.3876,6,42.0,1.0853,14652,9640,249.0956,0.287407,14200.0,,340.0,316.0,24,16,4,8.7855,3182.0,2814.0,83.0,3379.0,3415.0,92.0,-197.0,-601.0,-9.0,5075.0,5223.0,142.0,5084.0,5992.0,138.0,-9.0,-769.0,4.0
6441,ESPORTSTMNT05/1400849,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400849?gameHash=616cd48430afab53,LCL,2020,Spring,0,2020-02-22 14:53:30,1,10.03,10,Red,sup,Skash,CrowCrowd,Braum,Soraka,Elise,Aphelios,Olaf,Gragas,2322,0,0,1,9,11,14,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2842,0.646,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5625,145.3488,0.06876610000000001,54,1.3953,18,0.4651,18,105.0,2.7132,8035,3023,78.1137,0.09011799999999999,7550.0,,42.0,42.0,0,0,0,1.0853,2118.0,2680.0,13.0,2120.0,2730.0,14.0,-2.0,-50.0,-1.0,3385.0,4268.0,24.0,3230.0,3751.0,20.0,155.0,517.0,4.0
