,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
972,ESPORTSTMNT02/1270837,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270837?gameHash=66974bf071ea38eb,LCS,2020,Spring,0,2020-01-26 19:20:42,1,10.01,1,Blue,top,Huni,Dignitas,Gangplank,Qiyana,Irelia,Ornn,Jarvan IV,LeBlanc,1687,1,1,0,1,12,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4268,0.4979,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10801,384.1494,0.208542,9,0.3201,3,0.1067,5,20.0,0.7113,13067,9350,332.543,0.282615,12648.0,,275.0,247.0,28,14,10,9.7807,3124.0,4023.0,79.0,2973.0,4516.0,73.0,151.0,-493.0,6.0,5686.0,6867.0,126.0,4592.0,6868.0,117.0,1094.0,-1.0,9.0
973,ESPORTSTMNT02/1270837,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270837?gameHash=66974bf071ea38eb,LCS,2020,Spring,0,2020-01-26 19:20:42,1,10.01,2,Blue,jng,Grig,Dignitas,Lee Sin,Qiyana,Irelia,Ornn,Jarvan IV,LeBlanc,1687,1,1,1,3,12,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4268,0.4979,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3587,127.5756,0.0692565,18,0.6402,6,0.2134,10,41.0,1.4582,7511,3794,134.9378,0.114677,6675.0,,121.0,10.0,111,65,4,4.3035,2873.0,3051.0,60.0,2821.0,2711.0,54.0,52.0,340.0,6.0,4064.0,4657.0,78.0,4481.0,4076.0,70.0,-417.0,581.0,8.0
974,ESPORTSTMNT02/1270837,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270837?gameHash=66974bf071ea38eb,LCS,2020,Spring,0,2020-01-26 19:20:42,1,10.01,3,Blue,mid,Froggen,Dignitas,Orianna,Qiyana,Irelia,Ornn,Jarvan IV,LeBlanc,1687,1,5,1,4,12,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4268,0.4979,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,20708,736.5027,0.39982199999999996,13,0.4624,5,0.1778,5,34.0,1.2092,11649,7932,282.1103,0.239754,11425.0,,252.0,232.0,20,20,0,8.9627,3208.0,4553.0,87.0,3407.0,4960.0,96.0,-199.0,-407.0,-9.0,5513.0,7162.0,140.0,5560.0,7482.0,154.0,-47.0,-320.0,-14.0
975,ESPORTSTMNT02/1270837,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270837?gameHash=66974bf071ea38eb,LCS,2020,Spring,0,2020-01-26 19:20:42,1,10.01,4,Blue,bot,Johnsun,Dignitas,Senna,Qiyana,Irelia,Ornn,Jarvan IV,LeBlanc,1687,1,5,0,4,12,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4268,0.4979,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13961,496.5382,0.269554,17,0.6046,16,0.5691,8,55.0,1.9561,13009,9292,330.4801,0.280862,11050.0,,243.0,239.0,4,0,4,8.6426,3358.0,3324.0,91.0,3364.0,3261.0,93.0,-6.0,63.0,-2.0,5641.0,5549.0,135.0,5960.0,5837.0,146.0,-319.0,-288.0,-11.0
976,ESPORTSTMNT02/1270837,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270837?gameHash=66974bf071ea38eb,LCS,2020,Spring,0,2020-01-26 19:20:42,1,10.01,5,Blue,sup,aphromoo,Dignitas,Braum,Qiyana,Irelia,Ornn,Jarvan IV,LeBlanc,1687,1,0,0,6,12,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4268,0.4979,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2736,97.3088,0.052825699999999996,32,1.1381,7,0.249,9,57.0,2.0273,6433,2716,96.5975,0.0820926,5075.0,,27.0,27.0,0,0,0,0.9603,2014.0,2359.0,11.0,2062.0,2840.0,11.0,-48.0,-481.0,0.0,3087.0,3775.0,18.0,2983.0,3872.0,15.0,104.0,-97.0,3.0
977,ESPORTSTMNT02/1270837,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270837?gameHash=66974bf071ea38eb,LCS,2020,Spring,0,2020-01-26 19:20:42,1,10.01,6,Red,top,Kumo,Evil Geniuses,Aatrox,Rumble,Akali,Lucian,Elise,Olaf,1687,0,0,3,0,2,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0711,0.4979,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4170,148.3106,0.104779,16,0.5691,3,0.1067,7,27.0,0.9603,8380,4663,165.8447,0.20088699999999998,8150.0,,201.0,184.0,17,8,0,7.1488,2973.0,4516.0,73.0,3124.0,4023.0,79.0,-151.0,493.0,-6.0,4592.0,6868.0,117.0,5686.0,6867.0,126.0,-1094.0,1.0,-9.0
978,ESPORTSTMNT02/1270837,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270837?gameHash=66974bf071ea38eb,LCS,2020,Spring,0,2020-01-26 19:20:42,1,10.01,7,Red,jng,Svenskeren,Evil Geniuses,Gragas,Rumble,Akali,Lucian,Elise,Olaf,1687,0,1,5,0,2,12,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0711,0.4979,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9190,326.8524,0.23091599999999998,12,0.4268,10,0.3557,11,45.0,1.6005,7344,3627,128.9982,0.156255,7225.0,,118.0,16.0,102,84,0,4.1968,2821.0,2711.0,54.0,2873.0,3051.0,60.0,-52.0,-340.0,-6.0,4481.0,4076.0,70.0,4064.0,4657.0,78.0,417.0,-581.0,-8.0
979,ESPORTSTMNT02/1270837,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270837?gameHash=66974bf071ea38eb,LCS,2020,Spring,0,2020-01-26 19:20:42,1,10.01,8,Red,mid,Jiizuke,Evil Geniuses,Azir,Rumble,Akali,Lucian,Elise,Olaf,1687,0,0,2,1,2,12,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0711,0.4979,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9124,324.505,0.229258,12,0.4268,4,0.1423,5,27.0,0.9603,9898,6181,219.834,0.266286,9875.0,,269.0,237.0,32,15,8,9.5673,3407.0,4960.0,96.0,3208.0,4553.0,87.0,199.0,407.0,9.0,5560.0,7482.0,154.0,5513.0,7162.0,140.0,47.0,320.0,14.0
980,ESPORTSTMNT02/1270837,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270837?gameHash=66974bf071ea38eb,LCS,2020,Spring,0,2020-01-26 19:20:42,1,10.01,9,Red,bot,Bang,Evil Geniuses,Aphelios,Rumble,Akali,Lucian,Elise,Olaf,1687,0,1,0,0,2,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0711,0.4979,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12854,457.1666,0.322981,17,0.6046,9,0.3201,9,31.0,1.1025,10886,7169,254.9733,0.30885100000000004,10775.0,,275.0,269.0,6,6,0,9.7807,3364.0,3261.0,93.0,3358.0,3324.0,91.0,6.0,-63.0,2.0,5960.0,5837.0,146.0,5641.0,5549.0,135.0,319.0,288.0,11.0
981,ESPORTSTMNT02/1270837,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270837?gameHash=66974bf071ea38eb,LCS,2020,Spring,0,2020-01-26 19:20:42,1,10.01,10,Red,sup,Zeyzal,Evil Geniuses,Tahm Kench,Rumble,Akali,Lucian,Elise,Olaf,1687,0,0,2,0,2,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0711,0.4979,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4460,158.6248,0.11206600000000001,39,1.3871,5,0.1778,15,65.0,2.3118,5289,1572,55.9099,0.06772130000000001,4675.0,,27.0,27.0,0,0,0,0.9603,2062.0,2840.0,11.0,2014.0,2359.0,11.0,48.0,481.0,0.0,2983.0,3872.0,15.0,3087.0,3775.0,18.0,-104.0,97.0,-3.0
