,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
1536,ESPORTSTMNT02/1271500,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271500?gameHash=abbdae6c3e7b4006,VCS,2020,Spring,0,2020-02-01 12:45:36,1,10.01,1,Blue,top,Coated,Lowkey Esports.Vietnam,Aatrox,Jarvan IV,Gragas,Sett,Cassiopeia,Miss Fortune,1296,1,1,1,8,12,6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5556,0.8333,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8445,390.9722,0.195409,9,0.4167,2,0.0926,3,14.0,0.6481,8284,5365,248.3796,0.19336099999999998,5925.0,,157.0,134.0,23,11,7,7.2685,3562.0,4693.0,77.0,2942.0,3932.0,61.0,620.0,761.0,16.0,5560.0,7733.0,131.0,4515.0,6917.0,111.0,1045.0,816.0,20.0
1537,ESPORTSTMNT02/1271500,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271500?gameHash=abbdae6c3e7b4006,VCS,2020,Spring,0,2020-02-01 12:45:36,1,10.01,2,Blue,jng,DNK,Lowkey Esports.Vietnam,Olaf,Jarvan IV,Gragas,Sett,Cassiopeia,Miss Fortune,1296,1,5,1,3,12,6,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5556,0.8333,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,7302,338.0556,0.168961,6,0.2778,9,0.4167,7,25.0,1.1574,8842,5923,274.213,0.213473,7700.0,,119.0,26.0,93,45,19,5.5093,3751.0,3580.0,66.0,2976.0,3089.0,52.0,775.0,491.0,14.0,5343.0,4792.0,89.0,4345.0,4681.0,84.0,998.0,111.0,5.0
1538,ESPORTSTMNT02/1271500,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271500?gameHash=abbdae6c3e7b4006,VCS,2020,Spring,0,2020-02-01 12:45:36,1,10.01,3,Blue,mid,Artifact,Lowkey Esports.Vietnam,Ryze,Jarvan IV,Gragas,Sett,Cassiopeia,Miss Fortune,1296,1,3,3,4,12,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5556,0.8333,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13020,602.7778,0.30127,7,0.3241,6,0.2778,1,15.0,0.6944,9343,6424,297.4074,0.231531,9225.0,,200.0,183.0,17,16,1,9.2593,3597.0,4607.0,76.0,3460.0,4674.0,83.0,137.0,-67.0,-7.0,5678.0,7882.0,142.0,5220.0,7198.0,136.0,458.0,684.0,6.0
1539,ESPORTSTMNT02/1271500,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271500?gameHash=abbdae6c3e7b4006,VCS,2020,Spring,0,2020-02-01 12:45:36,1,10.01,4,Blue,bot,Celebrity,Lowkey Esports.Vietnam,Aphelios,Jarvan IV,Gragas,Sett,Cassiopeia,Miss Fortune,1296,1,3,1,4,12,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5556,0.8333,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,11369,526.3426,0.26306799999999997,8,0.3704,5,0.2315,5,24.0,1.1111,10025,7106,328.9815,0.25611300000000004,7875.0,,190.0,181.0,9,0,4,8.7963,3358.0,3125.0,88.0,3021.0,3020.0,77.0,337.0,105.0,11.0,6417.0,5323.0,142.0,4511.0,4955.0,120.0,1906.0,368.0,22.0
1540,ESPORTSTMNT02/1271500,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271500?gameHash=abbdae6c3e7b4006,VCS,2020,Spring,0,2020-02-01 12:45:36,1,10.01,5,Blue,sup,Venus,Lowkey Esports.Vietnam,Braum,Jarvan IV,Gragas,Sett,Cassiopeia,Miss Fortune,1296,1,0,0,7,12,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5556,0.8333,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3081,142.6389,0.0712914,24,1.1111,11,0.5093,8,48.0,2.2222,5847,2928,135.5556,0.105521,4600.0,,34.0,34.0,0,0,0,1.5741,1984.0,2286.0,13.0,1970.0,2140.0,9.0,14.0,146.0,4.0,3584.0,3688.0,22.0,3080.0,3015.0,18.0,504.0,673.0,4.0
1541,ESPORTSTMNT02/1271500,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271500?gameHash=abbdae6c3e7b4006,VCS,2020,Spring,0,2020-02-01 12:45:36,1,10.01,6,Red,top,Zica,FTV Esports,Camille,Senna,Akali,Lucian,Renekton,Mordekaiser,1296,0,0,4,5,6,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2778,0.8333,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5915,273.8426,0.273539,7,0.3241,0,0.0,1,9.0,0.4167,6612,3693,170.9722,0.199352,6300.0,,155.0,143.0,12,4,0,7.1759,2942.0,3932.0,61.0,3562.0,4693.0,77.0,-620.0,-761.0,-16.0,4515.0,6917.0,111.0,5560.0,7733.0,131.0,-1045.0,-816.0,-20.0
1542,ESPORTSTMNT02/1271500,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271500?gameHash=abbdae6c3e7b4006,VCS,2020,Spring,0,2020-02-01 12:45:36,1,10.01,7,Red,jng,Kuroko,FTV Esports,Elise,Senna,Akali,Lucian,Renekton,Mordekaiser,1296,0,2,3,0,6,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2778,0.8333,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,3760,174.0741,0.173881,17,0.787,7,0.3241,8,34.0,1.5741,5880,2961,137.0833,0.159833,5210.0,,96.0,10.0,86,56,12,4.4444,2976.0,3089.0,52.0,3751.0,3580.0,66.0,-775.0,-491.0,-14.0,4345.0,4681.0,84.0,5343.0,4792.0,89.0,-998.0,-111.0,-5.0
1543,ESPORTSTMNT02/1271500,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271500?gameHash=abbdae6c3e7b4006,VCS,2020,Spring,0,2020-02-01 12:45:36,1,10.01,8,Red,mid,Victory,FTV Esports,Irelia,Senna,Akali,Lucian,Renekton,Mordekaiser,1296,0,2,2,0,6,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2778,0.8333,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4437,205.4167,0.20518899999999998,8,0.3704,1,0.0463,3,14.0,0.6481,7848,4929,228.1944,0.266081,7333.0,,194.0,183.0,11,9,0,8.9815,3460.0,4674.0,83.0,3597.0,4607.0,76.0,-137.0,67.0,7.0,5220.0,7198.0,136.0,5678.0,7882.0,142.0,-458.0,-684.0,-6.0
1544,ESPORTSTMNT02/1271500,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271500?gameHash=abbdae6c3e7b4006,VCS,2020,Spring,0,2020-02-01 12:45:36,1,10.01,9,Red,bot,Aomine,FTV Esports,Kai'Sa,Senna,Akali,Lucian,Renekton,Mordekaiser,1296,0,2,1,2,6,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2778,0.8333,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,5688,263.3333,0.26304099999999997,8,0.3704,5,0.2315,2,28.0,1.2963,8150,5231,242.1759,0.282385,7400.0,,172.0,171.0,1,1,0,7.963,3021.0,3020.0,77.0,3358.0,3125.0,88.0,-337.0,-105.0,-11.0,4511.0,4955.0,120.0,6417.0,5323.0,142.0,-1906.0,-368.0,-22.0
1545,ESPORTSTMNT02/1271500,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271500?gameHash=abbdae6c3e7b4006,VCS,2020,Spring,0,2020-02-01 12:45:36,1,10.01,10,Red,sup,1Ground,FTV Esports,Leona,Senna,Akali,Lucian,Renekton,Mordekaiser,1296,0,0,2,3,6,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2778,0.8333,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1824,84.4444,0.0843507,23,1.0648,7,0.3241,12,40.0,1.8519,4630,1711,79.213,0.0923489,4550.0,,27.0,27.0,0,0,0,1.25,1970.0,2140.0,9.0,1984.0,2286.0,13.0,-14.0,-146.0,-4.0,3080.0,3015.0,18.0,3584.0,3688.0,22.0,-504.0,-673.0,-4.0
