,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
684,ESPORTSTMNT05/1390213,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390213?gameHash=046907e6a70adc65&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 21:18:04,1,10.01,1,Blue,top,Bwipo,Fnatic,Swain,Lucian,Mordekaiser,Jarvan IV,Ornn,Yasuo,2554,0,1,6,1,2,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047,0.3994,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,16024,376.4448,0.269969,22,0.5168,9,0.2114,12,38.0,0.8927,11783,6297,147.9327,0.170098,11350.0,,226.0,217.0,9,8,0,5.3093,2851.0,4413.0,67.0,3175.0,4603.0,77.0,-324.0,-190.0,-10.0,4416.0,7217.0,118.0,5024.0,7266.0,127.0,-608.0,-49.0,-9.0
685,ESPORTSTMNT05/1390213,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390213?gameHash=046907e6a70adc65&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 21:18:04,1,10.01,2,Blue,jng,Selfmade,Fnatic,Qiyana,Lucian,Mordekaiser,Jarvan IV,Ornn,Yasuo,2554,0,0,2,0,2,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047,0.3994,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10159,238.6609,0.171157,29,0.6813,15,0.3524,10,78.0,1.8324,10688,5202,122.2083,0.140521,9625.0,,195.0,28.0,167,116,0,4.581,2838.0,3071.0,56.0,3097.0,3074.0,66.0,-259.0,-3.0,-10.0,3975.0,4516.0,79.0,4446.0,4742.0,93.0,-471.0,-226.0,-14.0
686,ESPORTSTMNT05/1390213,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390213?gameHash=046907e6a70adc65&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 21:18:04,1,10.01,3,Blue,mid,Nemesis,Fnatic,Diana,Lucian,Mordekaiser,Jarvan IV,Ornn,Yasuo,2554,0,0,3,0,2,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047,0.3994,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,13361,313.8841,0.22510300000000003,14,0.3289,11,0.2584,8,36.0,0.8457,15274,9788,229.9452,0.264396,15300.0,,371.0,355.0,16,8,4,8.7157,3321.0,4943.0,92.0,3303.0,5146.0,89.0,18.0,-203.0,3.0,5278.0,7446.0,146.0,5124.0,8050.0,148.0,154.0,-604.0,-2.0
687,ESPORTSTMNT05/1390213,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390213?gameHash=046907e6a70adc65&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 21:18:04,1,10.01,4,Blue,bot,Rekkles,Fnatic,Aphelios,Lucian,Mordekaiser,Jarvan IV,Ornn,Yasuo,2554,0,1,1,1,2,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047,0.3994,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15824,371.7463,0.266599,15,0.3524,28,0.6578,3,72.0,1.6915,18343,12857,302.0439,0.347294,17705.0,,457.0,423.0,34,28,0,10.7361,3296.0,3057.0,90.0,3293.0,3182.0,90.0,3.0,-125.0,0.0,5109.0,5498.0,142.0,5609.0,5596.0,147.0,-500.0,-98.0,-5.0
688,ESPORTSTMNT05/1390213,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390213?gameHash=046907e6a70adc65&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 21:18:04,1,10.01,5,Blue,sup,Hylissang,Fnatic,Braum,Lucian,Mordekaiser,Jarvan IV,Ornn,Yasuo,2554,0,0,3,1,2,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.047,0.3994,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,3987,93.6648,0.0671721,73,1.715,14,0.3289,20,108.0,2.5372,8362,2876,67.5646,0.07769169999999999,7950.0,,38.0,38.0,0,0,0,0.8927,1979.0,2782.0,12.0,1920.0,2434.0,11.0,59.0,348.0,1.0,2913.0,3768.0,17.0,3014.0,3776.0,19.0,-101.0,-8.0,-2.0
689,ESPORTSTMNT05/1390213,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390213?gameHash=046907e6a70adc65&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 21:18:04,1,10.01,6,Red,top,Alphari,Origen,Gangplank,Akali,Pantheon,Senna,Olaf,Aatrox,2554,1,6,1,7,15,2,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3524,0.3994,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,36019,846.1785,0.44701899999999994,24,0.5638,5,0.1175,9,35.0,0.8222,19110,13624,320.0626,0.289193,15858.0,,345.0,322.0,23,20,3,8.1049,3175.0,4603.0,77.0,2851.0,4413.0,67.0,324.0,190.0,10.0,5024.0,7266.0,127.0,4416.0,7217.0,118.0,608.0,49.0,9.0
690,ESPORTSTMNT05/1390213,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390213?gameHash=046907e6a70adc65&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 21:18:04,1,10.01,7,Red,jng,Xerxe,Origen,Gragas,Akali,Pantheon,Senna,Olaf,Aatrox,2554,1,1,0,8,15,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3524,0.3994,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10832,254.4714,0.134432,51,1.1981,19,0.4464,19,106.0,2.4902,11869,6383,149.953,0.135493,11275.0,,196.0,29.0,167,119,11,4.6045,3097.0,3074.0,66.0,2838.0,3071.0,56.0,259.0,3.0,10.0,4446.0,4742.0,93.0,3975.0,4516.0,79.0,471.0,226.0,14.0
691,ESPORTSTMNT05/1390213,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390213?gameHash=046907e6a70adc65&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 21:18:04,1,10.01,8,Red,mid,Nukeduck,Origen,LeBlanc,Akali,Pantheon,Senna,Olaf,Aatrox,2554,1,1,0,7,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3524,0.3994,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,13901,326.5701,0.17252,20,0.4699,13,0.3054,9,53.0,1.2451,14259,8773,206.1002,0.186224,13775.0,,300.0,284.0,16,12,0,7.0478,3303.0,5146.0,89.0,3321.0,4943.0,92.0,-18.0,203.0,-3.0,5124.0,8050.0,148.0,5278.0,7446.0,146.0,-154.0,604.0,2.0
692,ESPORTSTMNT05/1390213,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390213?gameHash=046907e6a70adc65&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 21:18:04,1,10.01,9,Red,bot,Upset,Origen,Xayah,Akali,Pantheon,Senna,Olaf,Aatrox,2554,1,7,0,5,15,2,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3524,0.3994,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15305,359.5536,0.189945,15,0.3524,19,0.4464,1,70.0,1.6445,19837,14351,337.1417,0.304625,16925.0,,431.0,367.0,64,34,8,10.1253,3293.0,3182.0,90.0,3296.0,3057.0,90.0,-3.0,125.0,0.0,5609.0,5596.0,147.0,5109.0,5498.0,142.0,500.0,98.0,5.0
693,ESPORTSTMNT05/1390213,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390213?gameHash=046907e6a70adc65&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 21:18:04,1,10.01,10,Red,sup,Destiny,Origen,Rakan,Akali,Pantheon,Senna,Olaf,Aatrox,2554,1,0,1,12,15,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3524,0.3994,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,4519,106.1629,0.0560837,68,1.5975,21,0.4933,22,128.0,3.007,9465,3979,93.4769,0.0844648,8850.0,,45.0,45.0,0,0,0,1.0572,1920.0,2434.0,11.0,1979.0,2782.0,12.0,-59.0,-348.0,-1.0,3014.0,3776.0,19.0,2913.0,3768.0,17.0,101.0,8.0,2.0
