,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
61776,ESPORTSTMNT06/1310169,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1310169?gameHash=b916947565bcd14e,EM,2020,Summer,0,2020-08-17 15:28:04,1,10.16,1,Blue,top,Bando,LDLC OL,Gangplank,Ashe,Lucian,Ezreal,Ekko,Tahm Kench,1620,1,2,1,3,11,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4074,0.6667,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,14035,519.8148,0.317046,8,0.2963,3,0.1111,4,19.0,0.7037,11324,7744,286.8148,0.222479,10433.0,,202.0,202.0,0,0,0,7.4815,3560.0,4998.0,64.0,3194.0,4554.0,81.0,366.0,444.0,-17.0,5781.0,7101.0,103.0,4781.0,7205.0,130.0,1000.0,-104.0,-27.0
61777,ESPORTSTMNT06/1310169,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1310169?gameHash=b916947565bcd14e,EM,2020,Summer,0,2020-08-17 15:28:04,1,10.16,2,Blue,jng,TynX,LDLC OL,Shyvana,Ashe,Lucian,Ezreal,Ekko,Tahm Kench,1620,1,3,3,4,11,7,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4074,0.6667,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12460,461.4815,0.281467,21,0.7778,19,0.7037,2,72.0,2.6667,10464,6884,254.963,0.197771,9800.0,,183.0,36.0,147,71,19,6.7778,3512.0,3886.0,73.0,2913.0,2493.0,46.0,599.0,1393.0,27.0,5954.0,6607.0,110.0,4479.0,4769.0,80.0,1475.0,1838.0,30.0
61778,ESPORTSTMNT06/1310169,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1310169?gameHash=b916947565bcd14e,EM,2020,Summer,0,2020-08-17 15:28:04,1,10.16,3,Blue,mid,Vetheo,LDLC OL,Akali,Ashe,Lucian,Ezreal,Ekko,Tahm Kench,1620,1,2,0,1,11,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4074,0.6667,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4584,169.7778,0.103551,11,0.4074,5,0.1852,4,22.0,0.8148,10306,6726,249.1111,0.19323099999999999,9200.0,,233.0,218.0,15,12,1,8.6296,3251.0,4585.0,85.0,3079.0,4392.0,82.0,172.0,193.0,3.0,5170.0,7302.0,137.0,5620.0,7479.0,148.0,-450.0,-177.0,-11.0
61779,ESPORTSTMNT06/1310169,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1310169?gameHash=b916947565bcd14e,EM,2020,Summer,0,2020-08-17 15:28:04,1,10.16,4,Blue,bot,Exakick,LDLC OL,Kalista,Ashe,Lucian,Ezreal,Ekko,Tahm Kench,1620,1,3,1,4,11,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4074,0.6667,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,8813,326.4074,0.19908299999999998,12,0.4444,10,0.3704,7,40.0,1.4815,12780,9200,340.7407,0.264311,11700.0,,264.0,239.0,25,17,5,9.7778,3783.0,3218.0,69.0,2992.0,2807.0,68.0,791.0,411.0,1.0,6627.0,5883.0,135.0,4757.0,5298.0,116.0,1870.0,585.0,19.0
61780,ESPORTSTMNT06/1310169,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1310169?gameHash=b916947565bcd14e,EM,2020,Summer,0,2020-08-17 15:28:04,1,10.16,5,Blue,sup,YellOwStaR,LDLC OL,Bard,Ashe,Lucian,Ezreal,Ekko,Tahm Kench,1620,1,1,2,6,11,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4074,0.6667,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4376,162.0741,0.09885239999999999,48,1.7778,8,0.2963,9,65.0,2.4074,7834,4254,157.5556,0.122209,7325.0,,33.0,33.0,0,0,0,1.2222,2407.0,2534.0,12.0,2015.0,1805.0,3.0,392.0,729.0,9.0,3933.0,3955.0,24.0,2922.0,3133.0,6.0,1011.0,822.0,18.0
61781,ESPORTSTMNT06/1310169,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1310169?gameHash=b916947565bcd14e,EM,2020,Summer,0,2020-08-17 15:28:04,1,10.16,6,Red,top,Oscarinin,G2 Arctic,Neeko,Zoe,LeBlanc,Caitlyn,Thresh,Nautilus,1620,0,0,5,3,7,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2593,0.6667,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,10081,373.3704,0.22151700000000002,13,0.4815,4,0.1481,6,29.0,1.0741,9779,6199,229.5926,0.24630900000000003,9550.0,,248.0,236.0,12,12,0,9.1852,3194.0,4554.0,81.0,3560.0,4998.0,64.0,-366.0,-444.0,17.0,4781.0,7205.0,130.0,5781.0,7101.0,103.0,-1000.0,104.0,27.0
61782,ESPORTSTMNT06/1310169,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1310169?gameHash=b916947565bcd14e,EM,2020,Summer,0,2020-08-17 15:28:04,1,10.16,7,Red,jng,Nasser,G2 Arctic,Sejuani,Zoe,LeBlanc,Caitlyn,Thresh,Nautilus,1620,0,1,0,4,7,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2593,0.6667,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5982,221.5556,0.131447,12,0.4444,18,0.6667,15,30.0,1.1111,7831,4251,157.4444,0.168902,7500.0,,155.0,47.0,108,78,9,5.7407,2913.0,2493.0,46.0,3512.0,3886.0,73.0,-599.0,-1393.0,-27.0,4479.0,4769.0,80.0,5954.0,6607.0,110.0,-1475.0,-1838.0,-30.0
61783,ESPORTSTMNT06/1310169,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1310169?gameHash=b916947565bcd14e,EM,2020,Summer,0,2020-08-17 15:28:04,1,10.16,8,Red,mid,FeeNiixZ,G2 Arctic,Syndra,Zoe,LeBlanc,Caitlyn,Thresh,Nautilus,1620,0,6,0,0,7,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2593,0.6667,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13334,493.8519,0.292997,12,0.4444,2,0.0741,7,18.0,0.6667,10807,7227,267.6667,0.287157,10475.0,,230.0,222.0,8,8,0,8.5185,3079.0,4392.0,82.0,3251.0,4585.0,85.0,-172.0,-193.0,-3.0,5620.0,7479.0,148.0,5170.0,7302.0,137.0,450.0,177.0,11.0
61784,ESPORTSTMNT06/1310169,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1310169?gameHash=b916947565bcd14e,EM,2020,Summer,0,2020-08-17 15:28:04,1,10.16,9,Red,bot,Supa,G2 Arctic,Senna,Zoe,LeBlanc,Caitlyn,Thresh,Nautilus,1620,0,0,3,4,7,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2593,0.6667,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,11245,416.4815,0.247094,8,0.2963,5,0.1852,3,15.0,0.5556,9002,5422,200.8148,0.21543400000000001,8325.0,,198.0,198.0,0,0,0,7.3333,2992.0,2807.0,68.0,3783.0,3218.0,69.0,-791.0,-411.0,-1.0,4757.0,5298.0,116.0,6627.0,5883.0,135.0,-1870.0,-585.0,-19.0
61785,ESPORTSTMNT06/1310169,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1310169?gameHash=b916947565bcd14e,EM,2020,Summer,0,2020-08-17 15:28:04,1,10.16,10,Red,sup,Aesenar,G2 Arctic,Lux,Zoe,LeBlanc,Caitlyn,Thresh,Nautilus,1620,0,0,3,6,7,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2593,0.6667,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4867,180.2593,0.106946,33,1.2222,15,0.5556,16,55.0,2.037,5649,2069,76.6296,0.0821982,5125.0,,18.0,18.0,0,0,0,0.6667,2015.0,1805.0,3.0,2407.0,2534.0,12.0,-392.0,-729.0,-9.0,2922.0,3133.0,6.0,3933.0,3955.0,24.0,-1011.0,-822.0,-18.0
61786,ESPORTSTMNT06/1310169,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1310169?gameHash=b916947565bcd14e,EM,2020,Summer,0,2020-08-17 15:28:04,1,10.16,100,Blue,team,,LDLC OL,,Ashe,Lucian,Ezreal,Ekko,Tahm Kench,1620,1,11,7,18,11,7,1.0,0.0,0.0,0.0,1.0,,,,0.4074,0.6667,1.0,3.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,11.0,1.0,1.0,1.0,3.0,0.0,44268,1639.5556,,100,3.7037,45,1.6667,26,218.0,8.0741,52708,34806,1289.1111,,48458.0,0.16734300000000002,,728.0,187,100,25,33.8889,16513.0,19221.0,303.0,14193.0,16051.0,280.0,2320.0,3170.0,23.0,27465.0,30848.0,509.0,22559.0,27884.0,480.0,4906.0,2964.0,29.0
61787,ESPORTSTMNT06/1310169,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1310169?gameHash=b916947565bcd14e,EM,2020,Summer,0,2020-08-17 15:28:04,1,10.16,200,Red,team,,G2 Arctic,,Zoe,LeBlanc,Caitlyn,Thresh,Nautilus,1620,0,7,11,17,7,11,1.0,0.0,0.0,0.0,0.0,,,,0.2593,0.6667,0.0,1.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,11.0,0.0,0.0,0.0,3.0,45509,1685.5185,,78,2.8889,44,1.6296,47,147.0,5.4444,43068,25166,932.0741,,40975.0,-0.16734300000000002,,721.0,128,98,9,31.4444,14193.0,16051.0,280.0,16513.0,19221.0,303.0,-2320.0,-3170.0,-23.0,22559.0,27884.0,480.0,27465.0,30848.0,509.0,-4906.0,-2964.0,-29.0
61896,ESPORTSTMNT06/1310185,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1310185?gameHash=40d2bdfba814d46d,EM,2020,Summer,0,2020-08-17 18:12:35,1,10.16,1,Blue,top,Oscarinin,G2 Arctic,Jayce,Sett,Cho'Gath,Sona,Sejuani,Olaf,1884,0,1,3,2,5,17,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1592,0.7006,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,18328,583.6943,0.294227,16,0.5096,3,0.0955,6,28.0,0.8917,12188,8069,256.9745,0.280436,12200.0,,268.0,248.0,20,12,0,8.535,2847.0,3660.0,67.0,4082.0,4568.0,74.0,-1235.0,-908.0,-7.0,6241.0,7014.0,128.0,6120.0,6577.0,113.0,121.0,437.0,15.0
