,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
1968,ESPORTSTMNT04/1130306,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130306?gameHash=d0e60bf49b6bf008&amp;tab=overview,TRA,2020,,0,2020-02-03 16:36:49,1,10.02,1,Blue,top,S10er,Beşiktaş Academy,Renekton,Rumble,Lucian,Elise,Gangplank,Ornn,2107,1,3,1,2,12,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3417,0.5695,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,7979,227.214,0.178079,15,0.4271,4,0.1139,4,35.0,0.9967,13205,8631,245.7807,0.21551599999999999,11375.0,,275.0,263.0,12,4,4,7.831,2997.0,4559.0,79.0,3083.0,5067.0,79.0,-86.0,-508.0,0.0,4483.0,7042.0,118.0,4758.0,7569.0,127.0,-275.0,-527.0,-9.0
1969,ESPORTSTMNT04/1130306,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130306?gameHash=d0e60bf49b6bf008&amp;tab=overview,TRA,2020,,0,2020-02-03 16:36:49,1,10.02,2,Blue,jng,Chain,Beşiktaş Academy,Jarvan IV,Rumble,Lucian,Elise,Gangplank,Ornn,2107,1,0,1,11,12,8,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3417,0.5695,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,4678,133.2131,0.104406,12,0.3417,20,0.5695,13,52.0,1.4808,10399,5825,165.8757,0.145451,9875.0,,166.0,27.0,139,85,7,4.7271,3097.0,3248.0,57.0,2842.0,2668.0,52.0,255.0,580.0,5.0,4243.0,4478.0,82.0,4612.0,4580.0,78.0,-369.0,-102.0,4.0
1970,ESPORTSTMNT04/1130306,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130306?gameHash=d0e60bf49b6bf008&amp;tab=overview,TRA,2020,,0,2020-02-03 16:36:49,1,10.02,3,Blue,mid,stillnumb,Beşiktaş Academy,Irelia,Rumble,Lucian,Elise,Gangplank,Ornn,2107,1,5,3,5,12,8,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3417,0.5695,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,17661,502.9236,0.39416599999999996,8,0.2278,9,0.2563,4,29.0,0.8258,15447,10873,309.6251,0.271498,14333.0,,320.0,308.0,12,4,0,9.1125,3946.0,4715.0,85.0,2681.0,3672.0,60.0,1265.0,1043.0,25.0,5846.0,7484.0,141.0,4408.0,6362.0,99.0,1438.0,1122.0,42.0
1971,ESPORTSTMNT04/1130306,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130306?gameHash=d0e60bf49b6bf008&amp;tab=overview,TRA,2020,,0,2020-02-03 16:36:49,1,10.02,4,Blue,bot,Rate,Beşiktaş Academy,Cassiopeia,Rumble,Lucian,Elise,Gangplank,Ornn,2107,1,2,0,4,12,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3417,0.5695,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10252,291.9411,0.228809,19,0.5411,8,0.2278,8,36.0,1.0252,14790,10216,290.916,0.25509299999999996,13685.0,,333.0,299.0,34,20,4,9.4827,3368.0,3642.0,90.0,3409.0,3450.0,96.0,-41.0,192.0,-6.0,4776.0,5733.0,130.0,5261.0,5503.0,146.0,-485.0,230.0,-16.0
1972,ESPORTSTMNT04/1130306,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130306?gameHash=d0e60bf49b6bf008&amp;tab=overview,TRA,2020,,0,2020-02-03 16:36:49,1,10.02,5,Blue,sup,madlifeonur,Beşiktaş Academy,Thresh,Rumble,Lucian,Elise,Gangplank,Ornn,2107,1,2,3,7,12,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3417,0.5695,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4236,120.6265,0.0945409,46,1.3099,11,0.3132,13,85.0,2.4205,9077,4503,128.2297,0.11244100000000001,8175.0,,34.0,34.0,0,0,0,0.9682,2039.0,2349.0,14.0,2111.0,2523.0,14.0,-72.0,-174.0,0.0,2980.0,3393.0,21.0,3290.0,3682.0,21.0,-310.0,-289.0,0.0
1973,ESPORTSTMNT04/1130306,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130306?gameHash=d0e60bf49b6bf008&amp;tab=overview,TRA,2020,,0,2020-02-03 16:36:49,1,10.02,6,Red,top,Splendor,Galakticos Academy,Aatrox,Sett,Akali,Yasuo,Aphelios,Senna,2107,0,0,4,2,8,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2278,0.5695,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,9380,267.1096,0.179203,16,0.4556,7,0.1993,5,44.0,1.253,11199,6625,188.6569,0.20033299999999998,9975.0,,252.0,241.0,11,8,0,7.1761,3083.0,5067.0,79.0,2997.0,4559.0,79.0,86.0,508.0,0.0,4758.0,7569.0,127.0,4483.0,7042.0,118.0,275.0,527.0,9.0
1974,ESPORTSTMNT04/1130306,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130306?gameHash=d0e60bf49b6bf008&amp;tab=overview,TRA,2020,,0,2020-02-03 16:36:49,1,10.02,7,Red,jng,Faith,Galakticos Academy,Gragas,Sett,Akali,Yasuo,Aphelios,Senna,2107,0,1,2,6,8,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2278,0.5695,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,9391,267.4229,0.17941300000000002,29,0.8258,3,0.0854,15,46.0,1.3099,9527,4953,141.0441,0.149774,9725.0,,149.0,23.0,126,99,0,4.243,2842.0,2668.0,52.0,3097.0,3248.0,57.0,-255.0,-580.0,-5.0,4612.0,4580.0,78.0,4243.0,4478.0,82.0,369.0,102.0,-4.0
1975,ESPORTSTMNT04/1130306,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130306?gameHash=d0e60bf49b6bf008&amp;tab=overview,TRA,2020,,0,2020-02-03 16:36:49,1,10.02,8,Red,mid,Scold,Galakticos Academy,Syndra,Sett,Akali,Yasuo,Aphelios,Senna,2107,0,2,3,3,8,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2278,0.5695,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14602,415.814,0.278968,13,0.3702,2,0.057,5,23.0,0.655,12744,8170,232.6531,0.24705100000000002,11475.0,,287.0,269.0,18,16,2,8.1728,2681.0,3672.0,60.0,3946.0,4715.0,85.0,-1265.0,-1043.0,-25.0,4408.0,6362.0,99.0,5846.0,7484.0,141.0,-1438.0,-1122.0,-42.0
1976,ESPORTSTMNT04/1130306,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130306?gameHash=d0e60bf49b6bf008&amp;tab=overview,TRA,2020,,0,2020-02-03 16:36:49,1,10.02,9,Red,bot,Coldraa,Galakticos Academy,Miss Fortune,Sett,Akali,Yasuo,Aphelios,Senna,2107,0,4,1,2,8,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2278,0.5695,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,16145,459.7532,0.308446,11,0.3132,11,0.3132,3,55.0,1.5662,14975,10401,296.1841,0.314513,14375.0,,339.0,300.0,39,25,6,9.6535,3409.0,3450.0,96.0,3368.0,3642.0,90.0,41.0,-192.0,6.0,5261.0,5503.0,146.0,4776.0,5733.0,130.0,485.0,-230.0,16.0
1977,ESPORTSTMNT04/1130306,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130306?gameHash=d0e60bf49b6bf008&amp;tab=overview,TRA,2020,,0,2020-02-03 16:36:49,1,10.02,10,Red,sup,LAXER,Galakticos Academy,Leona,Sett,Akali,Yasuo,Aphelios,Senna,2107,0,1,2,4,8,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2278,0.5695,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2825,80.4461,0.05397090000000001,48,1.3669,18,0.5126,17,99.0,2.8192,7495,2921,83.1799,0.0883298,7125.0,,39.0,39.0,0,0,0,1.1106,2111.0,2523.0,14.0,2039.0,2349.0,14.0,72.0,174.0,0.0,3290.0,3682.0,21.0,2980.0,3393.0,21.0,310.0,289.0,0.0
