,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
1560,ESPORTSTMNT04/1130182,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130182?gameHash=ccb50f6e86e4c3df,TCL,2020,Winter,0,2020-02-01 13:39:54,1,10.02,1,Blue,top,Rare,Beşiktaş Esports,Hecarim,Irelia,Lucian,Akali,LeBlanc,Orianna,2057,0,2,3,2,7,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2042,0.6125,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,10145,295.9164,0.205631,17,0.4959,2,0.0583,6,29.0,0.8459,12113,7641,222.878,0.25602199999999997,12183.0,,267.0,257.0,10,3,0,7.788,2710.0,4102.0,60.0,3247.0,4211.0,78.0,-537.0,-109.0,-18.0,4235.0,6534.0,103.0,5218.0,7154.0,130.0,-983.0,-620.0,-27.0
1561,ESPORTSTMNT04/1130182,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130182?gameHash=ccb50f6e86e4c3df,TCL,2020,Winter,0,2020-02-01 13:39:54,1,10.02,2,Blue,jng,Kireas,Beşiktaş Esports,Lee Sin,Irelia,Lucian,Akali,LeBlanc,Orianna,2057,0,2,3,2,7,14,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2042,0.6125,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6788,197.9971,0.137587,18,0.525,15,0.4375,11,63.0,1.8376,10089,5617,163.8405,0.18820599999999998,9700.0,,192.0,30.0,162,123,0,5.6004,2968.0,2886.0,60.0,2726.0,2651.0,55.0,242.0,235.0,5.0,5025.0,5122.0,100.0,4054.0,4371.0,86.0,971.0,751.0,14.0
1562,ESPORTSTMNT04/1130182,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130182?gameHash=ccb50f6e86e4c3df,TCL,2020,Winter,0,2020-02-01 13:39:54,1,10.02,3,Blue,mid,stillnumb,Beşiktaş Esports,Rumble,Irelia,Lucian,Akali,LeBlanc,Orianna,2057,0,1,3,3,7,14,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2042,0.6125,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15154,442.0224,0.307159,19,0.5542,2,0.0583,9,30.0,0.8751,10898,6426,187.438,0.21531199999999998,10975.0,,261.0,255.0,6,6,0,7.613,3276.0,4875.0,93.0,3281.0,4745.0,87.0,-5.0,130.0,6.0,5013.0,7804.0,142.0,5234.0,7210.0,134.0,-221.0,594.0,8.0
1563,ESPORTSTMNT04/1130182,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130182?gameHash=ccb50f6e86e4c3df,TCL,2020,Winter,0,2020-02-01 13:39:54,1,10.02,4,Blue,bot,Husky Rider,Beşiktaş Esports,Aphelios,Irelia,Lucian,Akali,LeBlanc,Orianna,2057,0,1,3,2,7,14,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2042,0.6125,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6438,187.788,0.130493,14,0.4084,9,0.2625,6,28.0,0.8167,12044,7572,220.8653,0.25371,12000.0,,282.0,270.0,12,12,0,8.2256,2890.0,2814.0,68.0,3580.0,3126.0,100.0,-690.0,-312.0,-32.0,4855.0,4867.0,111.0,5216.0,5019.0,140.0,-361.0,-152.0,-29.0
1564,ESPORTSTMNT04/1130182,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130182?gameHash=ccb50f6e86e4c3df,TCL,2020,Winter,0,2020-02-01 13:39:54,1,10.02,5,Blue,sup,EliWood,Beşiktaş Esports,Maokai,Irelia,Lucian,Akali,LeBlanc,Orianna,2057,0,1,2,4,7,14,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2042,0.6125,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10811,315.3427,0.21913000000000002,50,1.4584,7,0.2042,13,80.0,2.3335,7061,2589,75.5177,0.0867505,7025.0,,43.0,43.0,0,0,0,1.2543,2088.0,2597.0,15.0,2113.0,3158.0,14.0,-25.0,-561.0,1.0,3127.0,3748.0,20.0,3128.0,4207.0,26.0,-1.0,-459.0,-6.0
1565,ESPORTSTMNT04/1130182,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130182?gameHash=ccb50f6e86e4c3df,TCL,2020,Winter,0,2020-02-01 13:39:54,1,10.02,6,Red,top,Luana,Galakticos,Aatrox,Yasuo,Sett,Syndra,Thresh,Braum,2057,1,3,1,6,14,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4084,0.6125,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,14251,415.683,0.292148,7,0.2042,3,0.0875,3,20.0,0.5834,15368,10896,317.8221,0.270593,12925.0,,315.0,291.0,24,5,9,9.1881,3247.0,4211.0,78.0,2710.0,4102.0,60.0,537.0,109.0,18.0,5218.0,7154.0,130.0,4235.0,6534.0,103.0,983.0,620.0,27.0
1566,ESPORTSTMNT04/1130182,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130182?gameHash=ccb50f6e86e4c3df,TCL,2020,Winter,0,2020-02-01 13:39:54,1,10.02,7,Red,jng,Trix,Galakticos,Jarvan IV,Yasuo,Sett,Syndra,Thresh,Braum,2057,1,1,2,13,14,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4084,0.6125,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4139,120.7292,0.0848503,18,0.525,8,0.2333,17,47.0,1.3709,9903,5431,158.4152,0.134876,8790.0,,151.0,24.0,127,90,0,4.4045,2726.0,2651.0,55.0,2968.0,2886.0,60.0,-242.0,-235.0,-5.0,4054.0,4371.0,86.0,5025.0,5122.0,100.0,-971.0,-751.0,-14.0
1567,ESPORTSTMNT04/1130182,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130182?gameHash=ccb50f6e86e4c3df,TCL,2020,Winter,0,2020-02-01 13:39:54,1,10.02,8,Red,mid,xKenzuke,Galakticos,Cassiopeia,Yasuo,Sett,Syndra,Thresh,Braum,2057,1,3,2,6,14,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4084,0.6125,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13473,392.9898,0.276199,22,0.6417,5,0.1458,11,49.0,1.4293,13556,9084,264.9684,0.22559400000000002,11775.0,,289.0,241.0,48,40,7,8.4298,3281.0,4745.0,87.0,3276.0,4875.0,93.0,5.0,-130.0,-6.0,5234.0,7210.0,134.0,5013.0,7804.0,142.0,221.0,-594.0,-8.0
1568,ESPORTSTMNT04/1130182,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130182?gameHash=ccb50f6e86e4c3df,TCL,2020,Winter,0,2020-02-01 13:39:54,1,10.02,9,Red,bot,Emtest,Galakticos,Miss Fortune,Yasuo,Sett,Syndra,Thresh,Braum,2057,1,6,1,4,14,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4084,0.6125,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12705,370.5882,0.260455,18,0.525,11,0.3209,8,55.0,1.6043,15285,10813,315.4011,0.268532,12100.0,,325.0,301.0,24,19,0,9.4798,3580.0,3126.0,100.0,2890.0,2814.0,68.0,690.0,312.0,32.0,5216.0,5019.0,140.0,4855.0,4867.0,111.0,361.0,152.0,29.0
1569,ESPORTSTMNT04/1130182,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130182?gameHash=ccb50f6e86e4c3df,TCL,2020,Winter,0,2020-02-01 13:39:54,1,10.02,10,Red,sup,Tarky,Galakticos,Leona,Yasuo,Sett,Syndra,Thresh,Braum,2057,1,1,1,11,14,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4084,0.6125,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4212,122.8585,0.08634689999999999,46,1.3418,27,0.7876,13,117.0,3.4127,8515,4043,117.929,0.100406,7400.0,,58.0,58.0,0,0,0,1.6918,2113.0,3158.0,14.0,2088.0,2597.0,15.0,25.0,561.0,-1.0,3128.0,4207.0,26.0,3127.0,3748.0,20.0,1.0,459.0,6.0
