,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
30240,ESPORTSTMNT04/1220209,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1220209?gameHash=dd8aa7487409f883,TCL,2020,Summer,0,2020-06-06 14:01:43,1,10.11,1,Blue,top,Ragner,Galatasaray Esports,Ornn,Sett,Karthus,Kalista,Corki,Renekton,2257,1,1,1,8,11,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2924,0.4253,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9331,248.0549,0.148179,17,0.4519,7,0.1861,6,34.0,0.9039,12683,7803,207.4346,0.19006199999999998,11900.0,,256.0,242.0,14,8,0,6.8055,3473.0,4674.0,82.0,3169.0,4506.0,82.0,304.0,168.0,0.0,4683.0,6621.0,108.0,5034.0,6725.0,121.0,-351.0,-104.0,-13.0
30241,ESPORTSTMNT04/1220209,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1220209?gameHash=dd8aa7487409f883,TCL,2020,Summer,0,2020-06-06 14:01:43,1,10.11,2,Blue,jng,Roulette,Galatasaray Esports,Trundle,Sett,Karthus,Kalista,Corki,Renekton,2257,1,0,0,8,11,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2924,0.4253,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3911,103.9699,0.062108000000000003,13,0.3456,9,0.2393,13,61.0,1.6216,10979,6099,162.1356,0.148558,10325.0,,163.0,25.0,138,104,4,4.3332,2720.0,2629.0,54.0,3452.0,4130.0,75.0,-732.0,-1501.0,-21.0,3915.0,4229.0,71.0,5001.0,6096.0,107.0,-1086.0,-1867.0,-36.0
30242,ESPORTSTMNT04/1220209,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1220209?gameHash=dd8aa7487409f883,TCL,2020,Summer,0,2020-06-06 14:01:43,1,10.11,3,Blue,mid,Kofte,Galatasaray Esports,LeBlanc,Sett,Karthus,Kalista,Corki,Renekton,2257,1,2,0,6,11,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2924,0.4253,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14341,381.2406,0.22774,17,0.4519,11,0.2924,11,42.0,1.1165,15876,10996,292.3172,0.267835,14910.0,,315.0,291.0,24,16,4,8.3739,3218.0,4808.0,87.0,3272.0,4494.0,89.0,-54.0,314.0,-2.0,5093.0,7577.0,130.0,4846.0,6135.0,120.0,247.0,1442.0,10.0
30243,ESPORTSTMNT04/1220209,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1220209?gameHash=dd8aa7487409f883,TCL,2020,Summer,0,2020-06-06 14:01:43,1,10.11,4,Blue,bot,Padden,Galatasaray Esports,Aphelios,Sett,Karthus,Kalista,Corki,Renekton,2257,1,8,0,1,11,5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2924,0.4253,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,30427,808.8702,0.483191,16,0.4253,14,0.3722,6,46.0,1.2229,17676,12796,340.1684,0.311678,15430.0,,382.0,336.0,46,42,0,10.1551,3254.0,3063.0,88.0,3541.0,2923.0,79.0,-287.0,140.0,9.0,5103.0,5738.0,132.0,5847.0,5186.0,131.0,-744.0,552.0,1.0
30244,ESPORTSTMNT04/1220209,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1220209?gameHash=dd8aa7487409f883,TCL,2020,Summer,0,2020-06-06 14:01:43,1,10.11,5,Blue,sup,Tolerant,Galatasaray Esports,Nautilus,Sett,Karthus,Kalista,Corki,Renekton,2257,1,0,4,6,11,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2924,0.4253,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4961,131.883,0.0787823,74,1.9672,11,0.2924,29,112.0,2.9774,8241,3361,89.3487,0.0818675,7550.0,,37.0,37.0,0,0,0,0.9836,2112.0,2840.0,14.0,2134.0,2563.0,14.0,-22.0,277.0,0.0,2890.0,3272.0,15.0,3211.0,4009.0,23.0,-321.0,-737.0,-8.0
30245,ESPORTSTMNT04/1220209,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1220209?gameHash=dd8aa7487409f883,TCL,2020,Summer,0,2020-06-06 14:01:43,1,10.11,6,Red,top,Oncan,5 Ronin,Mordekaiser,Varus,Syndra,Yuumi,Azir,Zoe,2257,0,1,2,2,5,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1329,0.4253,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,16820,447.1422,0.260013,13,0.3456,3,0.0798,7,32.0,0.8507,12650,7770,206.5574,0.22110300000000002,11925.0,,277.0,250.0,27,24,0,7.3638,3169.0,4506.0,82.0,3473.0,4674.0,82.0,-304.0,-168.0,0.0,5034.0,6725.0,121.0,4683.0,6621.0,108.0,351.0,104.0,13.0
30246,ESPORTSTMNT04/1220209,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1220209?gameHash=dd8aa7487409f883,TCL,2020,Summer,0,2020-06-06 14:01:43,1,10.11,7,Red,jng,Robin,5 Ronin,Kindred,Varus,Syndra,Yuumi,Azir,Zoe,2257,0,1,2,2,5,11,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1329,0.4253,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11080,294.5503,0.171281,8,0.2127,28,0.7444,7,75.0,1.9938,13157,8277,220.0354,0.23553000000000002,11800.0,,271.0,96.0,175,105,6,7.2043,3452.0,4130.0,75.0,2720.0,2629.0,54.0,732.0,1501.0,21.0,5001.0,6096.0,107.0,3915.0,4229.0,71.0,1086.0,1867.0,36.0
30247,ESPORTSTMNT04/1220209,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1220209?gameHash=dd8aa7487409f883,TCL,2020,Summer,0,2020-06-06 14:01:43,1,10.11,8,Red,mid,Umut,5 Ronin,Karma,Varus,Syndra,Yuumi,Azir,Zoe,2257,0,0,3,3,5,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1329,0.4253,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10213,271.502,0.157878,22,0.5848,8,0.2127,9,51.0,1.3558,10653,5773,153.4692,0.164277,9875.0,,216.0,200.0,16,16,0,5.7421,3272.0,4494.0,89.0,3218.0,4808.0,87.0,54.0,-314.0,2.0,4846.0,6135.0,120.0,5093.0,7577.0,130.0,-247.0,-1442.0,-10.0
30248,ESPORTSTMNT04/1220209,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1220209?gameHash=dd8aa7487409f883,TCL,2020,Summer,0,2020-06-06 14:01:43,1,10.11,9,Red,bot,Husky Rider,5 Ronin,Ezreal,Varus,Syndra,Yuumi,Azir,Zoe,2257,0,2,2,3,5,11,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1329,0.4253,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,22087,587.1599,0.341434,15,0.3988,9,0.2393,6,37.0,0.9836,15167,10287,273.4692,0.292725,15133.0,,345.0,309.0,36,19,10,9.1715,3541.0,2923.0,79.0,3254.0,3063.0,88.0,287.0,-140.0,-9.0,5847.0,5186.0,131.0,5103.0,5738.0,132.0,744.0,-552.0,-1.0
30249,ESPORTSTMNT04/1220209,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1220209?gameHash=dd8aa7487409f883,TCL,2020,Summer,0,2020-06-06 14:01:43,1,10.11,10,Red,sup,Brolia,5 Ronin,Braum,Varus,Syndra,Yuumi,Azir,Zoe,2257,0,1,2,4,5,11,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1329,0.4253,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4489,119.3354,0.0693936,71,1.8875,8,0.2127,22,95.0,2.5255,7915,3035,80.6823,0.0863658,7500.0,,34.0,34.0,0,0,0,0.9039,2134.0,2563.0,14.0,2112.0,2840.0,14.0,22.0,-277.0,0.0,3211.0,4009.0,23.0,2890.0,3272.0,15.0,321.0,737.0,8.0
