,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
23496,6136-7647,complete,https://lpl.qq.com/es/stats.shtml?bmid=6136,LDL,2020,Spring,0,2020-04-18 07:11:00,1,10.06,1,Blue,top,Punk,Gama Dream,Mordekaiser,Gragas,Renekton,Elise,Nidalee,Sylas,1830,1,5,2,7,15,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4918,0.8852,,,,,,,,,,,,,,,,,,,,,,,,,,19820,649.8361,0.299089,13,0.4262,2,0.0656,6,29.0,0.9508,12978,8969,294.0656,0.252589,12200.0,,243.0,222.0,21,11,4,7.9672,3099.0,4512.0,82.0,3936.0,4662.0,81.0,-837.0,-150.0,1.0,4855.0,6659.0,120.0,5771.0,7385.0,123.0,-916.0,-726.0,-3.0
23497,6136-7647,complete,https://lpl.qq.com/es/stats.shtml?bmid=6136,LDL,2020,Spring,0,2020-04-18 07:11:00,1,10.06,2,Blue,jng,Bandao,Gama Dream,Lee Sin,Gragas,Renekton,Elise,Nidalee,Sylas,1830,1,3,3,10,15,12,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4918,0.8852,,,,,,,,,,,,,,,,,,,,,,,,,,6727,220.5574,0.101512,20,0.6557,5,0.1639,13,42.0,1.377,10070,6061,198.7213,0.170695,8750.0,,154.0,22.0,132,88,8,5.0492,3280.0,3204.0,61.0,2721.0,2820.0,45.0,559.0,384.0,16.0,4569.0,4712.0,85.0,4362.0,4649.0,71.0,207.0,63.0,14.0
23498,6136-7647,complete,https://lpl.qq.com/es/stats.shtml?bmid=6136,LDL,2020,Spring,0,2020-04-18 07:11:00,1,10.06,3,Blue,mid,Till,Gama Dream,LeBlanc,Gragas,Renekton,Elise,Nidalee,Sylas,1830,1,1,2,13,15,12,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4918,0.8852,,,,,,,,,,,,,,,,,,,,,,,,,,17841,584.9508,0.269225,11,0.3607,7,0.2295,6,25.0,0.8197,10969,6960,228.1967,0.196012,10185.0,,226.0,206.0,20,16,4,7.4098,3116.0,4053.0,71.0,2978.0,3700.0,60.0,138.0,353.0,11.0,4776.0,6797.0,122.0,5615.0,6270.0,102.0,-839.0,527.0,20.0
23499,6136-7647,complete,https://lpl.qq.com/es/stats.shtml?bmid=6136,LDL,2020,Spring,0,2020-04-18 07:11:00,1,10.06,4,Blue,bot,River,Gama Dream,Varus,Gragas,Renekton,Elise,Nidalee,Sylas,1830,1,6,2,7,15,12,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4918,0.8852,,,,,,,,,,,,,,,,,,,,,,,,,,19104,626.3607,0.28828400000000004,9,0.2951,10,0.3279,4,32.0,1.0492,14343,10334,338.8197,0.29103,12900.0,,278.0,260.0,18,17,0,9.1148,3374.0,3210.0,85.0,3998.0,3372.0,88.0,-624.0,-162.0,-3.0,5258.0,5113.0,136.0,6748.0,6032.0,150.0,-1490.0,-919.0,-14.0
23500,6136-7647,complete,https://lpl.qq.com/es/stats.shtml?bmid=6136,LDL,2020,Spring,0,2020-04-18 07:11:00,1,10.06,5,Blue,sup,yuWWuu,Gama Dream,Thresh,Gragas,Renekton,Elise,Nidalee,Sylas,1830,1,0,3,13,15,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4918,0.8852,,,,,,,,,,,,,,,,,,,,,,,,,,2776,91.0164,0.0418905,45,1.4754,8,0.2623,15,73.0,2.3934,7193,3184,104.3934,0.089673,6325.0,,30.0,30.0,0,0,0,0.9836,1993.0,2232.0,12.0,2392.0,3141.0,13.0,-399.0,-909.0,-1.0,3204.0,3430.0,21.0,3785.0,4885.0,23.0,-581.0,-1455.0,-2.0
23501,6136-7647,complete,https://lpl.qq.com/es/stats.shtml?bmid=6136,LDL,2020,Spring,0,2020-04-18 07:11:00,1,10.06,6,Red,top,Sleepy,EDG Youth Team,Aatrox,Rumble,Wukong,Trundle,Pantheon,Zoe,1830,0,4,3,5,12,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3934,0.8852,,,,,,,,,,,,,,,,,,,,,,,,,,12157,398.5902,0.26201599999999997,13,0.4262,3,0.0984,4,24.0,0.7869,11205,7196,235.9344,0.233279,10650.0,,236.0,212.0,24,19,0,7.7377,3936.0,4662.0,81.0,3099.0,4512.0,82.0,837.0,150.0,-1.0,5771.0,7385.0,123.0,4855.0,6659.0,120.0,916.0,726.0,3.0
23502,6136-7647,complete,https://lpl.qq.com/es/stats.shtml?bmid=6136,LDL,2020,Spring,0,2020-04-18 07:11:00,1,10.06,7,Red,jng,Youdang,EDG Youth Team,Sejuani,Rumble,Wukong,Trundle,Pantheon,Zoe,1830,0,0,4,7,12,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3934,0.8852,,,,,,,,,,,,,,,,,,,,,,,,,,7197,235.9672,0.155114,10,0.3279,9,0.2951,9,42.0,1.377,8537,4528,148.459,0.146791,8525.0,,142.0,28.0,114,88,2,4.6557,2721.0,2820.0,45.0,3280.0,3204.0,61.0,-559.0,-384.0,-16.0,4362.0,4649.0,71.0,4569.0,4712.0,85.0,-207.0,-63.0,-14.0
23503,6136-7647,complete,https://lpl.qq.com/es/stats.shtml?bmid=6136,LDL,2020,Spring,0,2020-04-18 07:11:00,1,10.06,8,Red,mid,0909,EDG Youth Team,Irelia,Rumble,Wukong,Trundle,Pantheon,Zoe,1830,0,3,4,6,12,15,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3934,0.8852,,,,,,,,,,,,,,,,,,,,,,,,,,8918,292.3934,0.192207,14,0.459,3,0.0984,9,31.0,1.0164,11110,7101,232.8197,0.2302,11158.0,,229.0,220.0,9,8,1,7.5082,2978.0,3700.0,60.0,3116.0,4053.0,71.0,-138.0,-353.0,-11.0,5615.0,6270.0,102.0,4776.0,6797.0,122.0,839.0,-527.0,-20.0
23504,6136-7647,complete,https://lpl.qq.com/es/stats.shtml?bmid=6136,LDL,2020,Spring,0,2020-04-18 07:11:00,1,10.06,9,Red,bot,GENTLE,EDG Youth Team,Kalista,Rumble,Wukong,Trundle,Pantheon,Zoe,1830,0,5,2,4,12,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3934,0.8852,,,,,,,,,,,,,,,,,,,,,,,,,,13957,457.6066,0.30080999999999997,10,0.3279,21,0.6885,2,50.0,1.6393,13068,9059,297.0164,0.293672,11400.0,,276.0,244.0,32,17,0,9.0492,3998.0,3372.0,88.0,3374.0,3210.0,85.0,624.0,162.0,3.0,6748.0,6032.0,150.0,5258.0,5113.0,136.0,1490.0,919.0,14.0
23505,6136-7647,complete,https://lpl.qq.com/es/stats.shtml?bmid=6136,LDL,2020,Spring,0,2020-04-18 07:11:00,1,10.06,10,Red,sup,Sloth,EDG Youth Team,Taric,Rumble,Wukong,Trundle,Pantheon,Zoe,1830,0,0,2,10,12,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3934,0.8852,,,,,,,,,,,,,,,,,,,,,,,,,,4169,136.6885,0.089853,37,1.2131,11,0.3607,16,77.0,2.5246,6972,2963,97.1475,0.09605810000000001,6950.0,,34.0,34.0,0,0,0,1.1148,2392.0,3141.0,13.0,1993.0,2232.0,12.0,399.0,909.0,1.0,3785.0,4885.0,23.0,3204.0,3430.0,21.0,581.0,1455.0,2.0
