,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
564,ESPORTSTMNT01/1270566,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1270566?gameHash=ee8fd7e6aa706acb&amp;tab=overview,LFL,2020,Spring,0,2020-01-21 21:16:27,1,10.01,1,Blue,top,Katare,Solary,Malphite,Elise,Rumble,Qiyana,LeBlanc,Kennen,1282,0,2,4,2,5,18,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.234,1.0764,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6344,296.9111,0.267623,9,0.4212,3,0.1404,4,19.0,0.8892,6388,3497,163.6661,0.21955,6225.0,,122.0,119.0,3,2,0,5.7098,3046.0,3840.0,59.0,3634.0,4744.0,76.0,-588.0,-904.0,-17.0,4390.0,5676.0,94.0,5271.0,7030.0,112.0,-881.0,-1354.0,-18.0
565,ESPORTSTMNT01/1270566,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1270566?gameHash=ee8fd7e6aa706acb&amp;tab=overview,LFL,2020,Spring,0,2020-01-21 21:16:27,1,10.01,2,Blue,jng,Manaty,Solary,Gragas,Elise,Rumble,Qiyana,LeBlanc,Kennen,1282,0,0,4,3,5,18,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.234,1.0764,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,5852,273.8846,0.24686799999999998,4,0.1872,6,0.2808,3,18.0,0.8424,5563,2672,125.0546,0.167756,4560.0,,102.0,10.0,92,66,9,4.7738,2638.0,2499.0,44.0,3199.0,3009.0,57.0,-561.0,-510.0,-13.0,4079.0,4209.0,78.0,5027.0,4568.0,85.0,-948.0,-359.0,-7.0
566,ESPORTSTMNT01/1270566,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1270566?gameHash=ee8fd7e6aa706acb&amp;tab=overview,LFL,2020,Spring,0,2020-01-21 21:16:27,1,10.01,3,Blue,mid,Tonerre,Solary,Azir,Elise,Rumble,Qiyana,LeBlanc,Kennen,1282,0,1,4,1,5,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.234,1.0764,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5381,251.8409,0.22699899999999998,6,0.2808,6,0.2808,2,17.0,0.7956,6984,4093,191.5601,0.256967,6550.0,,171.0,163.0,8,8,0,8.0031,3047.0,4922.0,79.0,3417.0,4987.0,93.0,-370.0,-65.0,-14.0,4562.0,7253.0,120.0,6270.0,7826.0,144.0,-1708.0,-573.0,-24.0
567,ESPORTSTMNT01/1270566,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1270566?gameHash=ee8fd7e6aa706acb&amp;tab=overview,LFL,2020,Spring,0,2020-01-21 21:16:27,1,10.01,4,Blue,bot,Wakz,Solary,Senna,Elise,Rumble,Qiyana,LeBlanc,Kennen,1282,0,1,3,3,5,18,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.234,1.0764,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3970,185.8034,0.167475,9,0.4212,2,0.0936,2,16.0,0.7488,6871,3980,186.2715,0.249873,6450.0,,152.0,148.0,4,4,0,7.1139,3362.0,2693.0,63.0,3721.0,3691.0,94.0,-359.0,-998.0,-31.0,5095.0,4698.0,111.0,5815.0,6288.0,150.0,-720.0,-1590.0,-39.0
568,ESPORTSTMNT01/1270566,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1270566?gameHash=ee8fd7e6aa706acb&amp;tab=overview,LFL,2020,Spring,0,2020-01-21 21:16:27,1,10.01,5,Blue,sup,Hantera,Solary,Braum,Elise,Rumble,Qiyana,LeBlanc,Kennen,1282,0,1,3,3,5,18,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.234,1.0764,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2158,100.9984,0.09103560000000001,21,0.9828,0,0.0,4,31.0,1.4509,4577,1686,78.908,0.10585499999999999,4500.0,,26.0,26.0,0,0,0,1.2168,2038.0,2455.0,11.0,2171.0,2528.0,11.0,-133.0,-73.0,0.0,2914.0,3590.0,16.0,3422.0,3617.0,19.0,-508.0,-27.0,-3.0
569,ESPORTSTMNT01/1270566,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1270566?gameHash=ee8fd7e6aa706acb&amp;tab=overview,LFL,2020,Spring,0,2020-01-21 21:16:27,1,10.01,6,Red,top,Shemek,GamersOrigin,Vladimir,Akali,Yasuo,Ornn,Mordekaiser,Cassiopeia,1282,1,4,0,2,18,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8424,1.0764,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6713,314.181,0.172815,7,0.3276,0,0.0,2,12.0,0.5616,8954,6063,283.7598,0.213772,6750.0,,173.0,149.0,24,17,4,8.0967,3634.0,4744.0,76.0,3046.0,3840.0,59.0,588.0,904.0,17.0,5271.0,7030.0,112.0,4390.0,5676.0,94.0,881.0,1354.0,18.0
570,ESPORTSTMNT01/1270566,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1270566?gameHash=ee8fd7e6aa706acb&amp;tab=overview,LFL,2020,Spring,0,2020-01-21 21:16:27,1,10.01,7,Red,jng,bluerzor,GamersOrigin,Jarvan IV,Akali,Yasuo,Ornn,Mordekaiser,Cassiopeia,1282,1,5,1,9,18,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8424,1.0764,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,4031,188.6583,0.103771,6,0.2808,11,0.5148,6,34.0,1.5913,8134,5243,245.3822,0.18486,5800.0,,114.0,17.0,97,44,13,5.3354,3199.0,3009.0,57.0,2638.0,2499.0,44.0,561.0,510.0,13.0,5027.0,4568.0,85.0,4079.0,4209.0,78.0,948.0,359.0,7.0
571,ESPORTSTMNT01/1270566,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1270566?gameHash=ee8fd7e6aa706acb&amp;tab=overview,LFL,2020,Spring,0,2020-01-21 21:16:27,1,10.01,8,Red,mid,toucouille,GamersOrigin,Lucian,Akali,Yasuo,Ornn,Mordekaiser,Cassiopeia,1282,1,6,0,7,18,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8424,1.0764,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12114,566.9579,0.311855,10,0.468,1,0.0468,4,16.0,0.7488,10882,7991,373.9938,0.28174899999999997,8500.0,,206.0,205.0,1,1,0,9.6412,3417.0,4987.0,93.0,3047.0,4922.0,79.0,370.0,65.0,14.0,6270.0,7826.0,144.0,4562.0,7253.0,120.0,1708.0,573.0,24.0
572,ESPORTSTMNT01/1270566,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1270566?gameHash=ee8fd7e6aa706acb&amp;tab=overview,LFL,2020,Spring,0,2020-01-21 21:16:27,1,10.01,9,Red,bot,SMILEY,GamersOrigin,Aphelios,Akali,Yasuo,Ornn,Mordekaiser,Cassiopeia,1282,1,3,2,10,18,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8424,1.0764,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11078,518.4711,0.28518499999999997,7,0.3276,3,0.1404,3,23.0,1.0764,9376,6485,303.5101,0.22865,7725.0,,192.0,184.0,8,4,4,8.986,3721.0,3691.0,94.0,3362.0,2693.0,63.0,359.0,998.0,31.0,5815.0,6288.0,150.0,5095.0,4698.0,111.0,720.0,1590.0,39.0
573,ESPORTSTMNT01/1270566,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1270566?gameHash=ee8fd7e6aa706acb&amp;tab=overview,LFL,2020,Spring,0,2020-01-21 21:16:27,1,10.01,10,Red,sup,HustlinbeasT,GamersOrigin,Nautilus,Akali,Yasuo,Ornn,Mordekaiser,Cassiopeia,1282,1,0,2,13,18,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8424,1.0764,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4909,229.7504,0.12637400000000001,26,1.2168,4,0.1872,9,44.0,2.0593,5471,2580,120.7488,0.0909691,4475.0,,25.0,25.0,0,0,0,1.17,2171.0,2528.0,11.0,2038.0,2455.0,11.0,133.0,73.0,0.0,3422.0,3617.0,19.0,2914.0,3590.0,16.0,508.0,27.0,3.0
