,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
2244,ESPORTSTMNT01/1302651,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302651?gameHash=555c7cd73dff952d,LCK,2020,Spring,0,2020-02-05 11:33:06,1,10.02,1,Blue,top,SoHwan,KT Rolster,Aatrox,Irelia,Gragas,Akali,Nautilus,LeBlanc,1748,1,3,0,2,11,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3776,0.4462,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9618,330.1373,0.228212,16,0.5492,4,0.1373,11,38.0,1.3043,11924,8082,277.4142,0.239592,10725.0,,263.0,241.0,22,7,4,9.0275,3419.0,4528.0,84.0,3032.0,4370.0,77.0,387.0,158.0,7.0,4835.0,6880.0,124.0,4717.0,7416.0,129.0,118.0,-536.0,-5.0
2245,ESPORTSTMNT01/1302651,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302651?gameHash=555c7cd73dff952d,LCK,2020,Spring,0,2020-02-05 11:33:06,1,10.02,2,Blue,jng,bonO,KT Rolster,Jarvan IV,Irelia,Gragas,Akali,Nautilus,LeBlanc,1748,1,0,0,11,11,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3776,0.4462,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5397,185.2517,0.128058,12,0.4119,21,0.7208,11,63.0,2.1625,9446,5604,192.357,0.16613499999999998,7625.0,,159.0,38.0,121,75,11,5.4577,3119.0,3157.0,67.0,3123.0,2569.0,46.0,-4.0,588.0,21.0,4642.0,4795.0,100.0,4453.0,4342.0,75.0,189.0,453.0,25.0
2246,ESPORTSTMNT01/1302651,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302651?gameHash=555c7cd73dff952d,LCK,2020,Spring,0,2020-02-05 11:33:06,1,10.02,3,Blue,mid,Kuro,KT Rolster,Ornn,Irelia,Gragas,Akali,Nautilus,LeBlanc,1748,1,1,0,7,11,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3776,0.4462,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4274,146.7048,0.101412,16,0.5492,4,0.1373,6,26.0,0.8924,9804,5962,204.6453,0.176748,8900.0,,210.0,202.0,8,4,0,7.2082,2976.0,4856.0,74.0,3203.0,4537.0,81.0,-227.0,319.0,-7.0,4919.0,8053.0,132.0,5143.0,7432.0,142.0,-224.0,621.0,-10.0
2247,ESPORTSTMNT01/1302651,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302651?gameHash=555c7cd73dff952d,LCK,2020,Spring,0,2020-02-05 11:33:06,1,10.02,4,Blue,bot,Aiming,KT Rolster,Aphelios,Irelia,Gragas,Akali,Nautilus,LeBlanc,1748,1,6,1,4,11,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3776,0.4462,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,17996,617.7117,0.42700200000000005,15,0.5149,14,0.4805,6,41.0,1.4073,14443,10601,363.8787,0.314263,11300.0,,268.0,244.0,24,20,4,9.1991,2962.0,2610.0,72.0,3870.0,2970.0,88.0,-908.0,-360.0,-16.0,5536.0,4639.0,119.0,5847.0,5531.0,152.0,-311.0,-892.0,-33.0
2248,ESPORTSTMNT01/1302651,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302651?gameHash=555c7cd73dff952d,LCK,2020,Spring,0,2020-02-05 11:33:06,1,10.02,5,Blue,sup,TusiN,KT Rolster,Tahm Kench,Irelia,Gragas,Akali,Nautilus,LeBlanc,1748,1,1,1,9,11,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3776,0.4462,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4860,166.8192,0.115316,42,1.4416,8,0.2746,13,66.0,2.2654,7325,3483,119.5538,0.10326199999999999,5475.0,,32.0,32.0,0,0,0,1.0984,2069.0,2716.0,12.0,2123.0,2459.0,12.0,-54.0,257.0,0.0,3217.0,4394.0,23.0,3087.0,3739.0,18.0,130.0,655.0,5.0
2249,ESPORTSTMNT01/1302651,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302651?gameHash=555c7cd73dff952d,LCK,2020,Spring,0,2020-02-05 11:33:06,1,10.02,6,Red,top,Rascal,Gen.G,Mordekaiser,Olaf,Sett,Elise,Rumble,Blitzcrank,1748,0,0,3,0,2,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0686,0.4462,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10613,364.2906,0.269865,15,0.5149,3,0.103,8,22.0,0.7551,8948,5106,175.2632,0.21305100000000002,8600.0,,225.0,216.0,9,9,0,7.7231,3032.0,4370.0,77.0,3419.0,4528.0,84.0,-387.0,-158.0,-7.0,4717.0,7416.0,129.0,4835.0,6880.0,124.0,-118.0,536.0,5.0
2250,ESPORTSTMNT01/1302651,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302651?gameHash=555c7cd73dff952d,LCK,2020,Spring,0,2020-02-05 11:33:06,1,10.02,7,Red,jng,Clid,Gen.G,Lee Sin,Olaf,Sett,Elise,Rumble,Blitzcrank,1748,0,1,3,1,2,11,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0686,0.4462,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2907,99.7826,0.0739187,17,0.5835,9,0.3089,11,38.0,1.3043,7653,3811,130.8124,0.159021,7050.0,,124.0,14.0,110,65,12,4.2563,3123.0,2569.0,46.0,3119.0,3157.0,67.0,4.0,-588.0,-21.0,4453.0,4342.0,75.0,4642.0,4795.0,100.0,-189.0,-453.0,-25.0
2251,ESPORTSTMNT01/1302651,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302651?gameHash=555c7cd73dff952d,LCK,2020,Spring,0,2020-02-05 11:33:06,1,10.02,8,Red,mid,Bdd,Gen.G,Syndra,Olaf,Sett,Elise,Rumble,Blitzcrank,1748,0,0,3,2,2,11,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0686,0.4462,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10179,349.3936,0.25883,13,0.4462,2,0.0686,7,21.0,0.7208,8978,5136,176.2929,0.214302,9210.0,,210.0,202.0,8,5,0,7.2082,3203.0,4537.0,81.0,2976.0,4856.0,74.0,227.0,-319.0,7.0,5143.0,7432.0,142.0,4919.0,8053.0,132.0,224.0,-621.0,10.0
2252,ESPORTSTMNT01/1302651,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302651?gameHash=555c7cd73dff952d,LCK,2020,Spring,0,2020-02-05 11:33:06,1,10.02,9,Red,bot,Ruler,Gen.G,Miss Fortune,Olaf,Sett,Elise,Rumble,Blitzcrank,1748,0,1,1,1,2,11,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0686,0.4462,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,13951,478.8673,0.354744,12,0.4119,20,0.6865,5,53.0,1.8192,11868,8026,275.492,0.334878,11225.0,,319.0,286.0,33,29,0,10.9497,3870.0,2970.0,88.0,2962.0,2610.0,72.0,908.0,360.0,16.0,5847.0,5531.0,152.0,5536.0,4639.0,119.0,311.0,892.0,33.0
2253,ESPORTSTMNT01/1302651,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302651?gameHash=555c7cd73dff952d,LCK,2020,Spring,0,2020-02-05 11:33:06,1,10.02,10,Red,sup,Kellin,Gen.G,Thresh,Olaf,Sett,Elise,Rumble,Blitzcrank,1748,0,0,1,2,2,11,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0686,0.4462,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1677,57.5629,0.0426425,48,1.6476,5,0.1716,18,63.0,2.1625,5729,1887,64.7712,0.07874869999999999,5600.0,,25.0,25.0,0,0,0,0.8581,2123.0,2459.0,12.0,2069.0,2716.0,12.0,54.0,-257.0,0.0,3087.0,3739.0,18.0,3217.0,4394.0,23.0,-130.0,-655.0,-5.0
