,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
2412,ESPORTSTMNT01/1293370,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293370?gameHash=8a70038d2eba61de,LCK,2020,Spring,0,2020-02-06 10:47:18,1,10.02,1,Blue,top,Sword,Griffin,Ornn,Rumble,Mordekaiser,Elise,Karthus,Braum,3068,0,2,3,5,11,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2151,0.4107,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10759,210.4107,0.153863,21,0.4107,21,0.4107,2,47.0,0.9192,15577,9043,176.8514,0.202164,14750.0,,294.0,290.0,4,4,0,5.7497,2920.0,4247.0,67.0,3328.0,4768.0,91.0,-408.0,-521.0,-24.0,4709.0,6988.0,117.0,5316.0,7139.0,138.0,-607.0,-151.0,-21.0
2413,ESPORTSTMNT01/1293370,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293370?gameHash=8a70038d2eba61de,LCK,2020,Spring,0,2020-02-06 10:47:18,1,10.02,2,Blue,jng,Tarzan,Griffin,Lee Sin,Rumble,Mordekaiser,Elise,Karthus,Braum,3068,0,1,2,7,11,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2151,0.4107,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7819,152.914,0.111818,37,0.7236,26,0.5085,20,68.0,1.3299,14675,8141,159.2112,0.181998,14625.0,,264.0,58.0,206,152,12,5.163,2950.0,2894.0,58.0,3007.0,2997.0,62.0,-57.0,-103.0,-4.0,4292.0,4750.0,90.0,4563.0,4460.0,86.0,-271.0,290.0,4.0
2414,ESPORTSTMNT01/1293370,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293370?gameHash=8a70038d2eba61de,LCK,2020,Spring,0,2020-02-06 10:47:18,1,10.02,3,Blue,mid,Ucal,Griffin,Sett,Rumble,Mordekaiser,Elise,Karthus,Braum,3068,0,3,4,6,11,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2151,0.4107,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,15864,310.2477,0.226868,21,0.4107,27,0.528,9,64.0,1.2516,16704,10170,198.8918,0.22735999999999998,16725.0,,335.0,330.0,5,0,4,6.5515,2953.0,4254.0,72.0,3380.0,4369.0,66.0,-427.0,-115.0,6.0,4627.0,7104.0,127.0,4894.0,6878.0,108.0,-267.0,226.0,19.0
2415,ESPORTSTMNT01/1293370,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293370?gameHash=8a70038d2eba61de,LCK,2020,Spring,0,2020-02-06 10:47:18,1,10.02,4,Blue,bot,Viper,Griffin,Senna,Rumble,Mordekaiser,Elise,Karthus,Braum,3068,0,3,0,8,11,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2151,0.4107,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,29053,568.1812,0.41548199999999996,20,0.3911,16,0.3129,8,53.0,1.0365,19722,13188,257.914,0.29483200000000004,22110.0,,438.0,381.0,57,57,0,8.5658,3219.0,3384.0,82.0,3485.0,3393.0,79.0,-266.0,-9.0,3.0,4997.0,5820.0,137.0,5256.0,6193.0,134.0,-259.0,-373.0,3.0
2416,ESPORTSTMNT01/1293370,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293370?gameHash=8a70038d2eba61de,LCK,2020,Spring,0,2020-02-06 10:47:18,1,10.02,5,Blue,sup,Kabbie,Griffin,Thresh,Rumble,Mordekaiser,Elise,Karthus,Braum,3068,0,2,1,9,11,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2151,0.4107,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6431,125.7692,0.0919687,108,2.1121,23,0.4498,36,149.0,2.914,10723,4189,81.9231,0.09364489999999999,9750.0,,46.0,46.0,0,0,0,0.8996,1984.0,1991.0,12.0,1994.0,2288.0,10.0,-10.0,-297.0,2.0,2899.0,2923.0,20.0,3009.0,3457.0,18.0,-110.0,-534.0,2.0
2417,ESPORTSTMNT01/1293370,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293370?gameHash=8a70038d2eba61de,LCK,2020,Spring,0,2020-02-06 10:47:18,1,10.02,6,Red,top,Kiin,Afreeca Freecs,Lucian,Taliyah,Yasuo,Akali,Tahm Kench,Rek'Sai,3068,1,0,2,9,10,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1956,0.4107,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,36171,707.3859,0.278119,25,0.4889,21,0.4107,7,97.0,1.897,20302,13768,269.2568,0.264863,19925.0,,475.0,385.0,90,68,3,9.2894,3328.0,4768.0,91.0,2920.0,4247.0,67.0,408.0,521.0,24.0,5316.0,7139.0,138.0,4709.0,6988.0,117.0,607.0,151.0,21.0
2418,ESPORTSTMNT01/1293370,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293370?gameHash=8a70038d2eba61de,LCK,2020,Spring,0,2020-02-06 10:47:18,1,10.02,7,Red,jng,Spirit,Afreeca Freecs,Gragas,Taliyah,Yasuo,Akali,Tahm Kench,Rek'Sai,3068,1,3,1,7,10,11,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1956,0.4107,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,19810,387.4185,0.152319,83,1.6232,33,0.6454,26,169.0,3.3051,14668,8134,159.0743,0.156476,12850.0,,221.0,50.0,171,89,13,4.322,3007.0,2997.0,62.0,2950.0,2894.0,58.0,57.0,103.0,4.0,4563.0,4460.0,86.0,4292.0,4750.0,90.0,271.0,-290.0,-4.0
2419,ESPORTSTMNT01/1293370,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293370?gameHash=8a70038d2eba61de,LCK,2020,Spring,0,2020-02-06 10:47:18,1,10.02,8,Red,mid,Fly,Afreeca Freecs,Pantheon,Taliyah,Yasuo,Akali,Tahm Kench,Rek'Sai,3068,1,2,3,6,10,11,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1956,0.4107,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,12963,253.5137,0.0996725,24,0.4694,11,0.2151,10,59.0,1.1538,16913,10379,202.9791,0.199665,16250.0,,317.0,302.0,15,5,1,6.1995,3380.0,4369.0,66.0,2953.0,4254.0,72.0,427.0,115.0,-6.0,4894.0,6878.0,108.0,4627.0,7104.0,127.0,267.0,-226.0,-19.0
2420,ESPORTSTMNT01/1293370,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293370?gameHash=8a70038d2eba61de,LCK,2020,Spring,0,2020-02-06 10:47:18,1,10.02,9,Red,bot,SS,Afreeca Freecs,Aphelios,Taliyah,Yasuo,Akali,Tahm Kench,Rek'Sai,3068,1,5,1,2,10,11,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1956,0.4107,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,53965,1055.3781,0.414937,14,0.2738,26,0.5085,5,85.0,1.6623,22371,15837,309.7197,0.304666,21575.0,,489.0,436.0,53,46,3,9.5632,3485.0,3393.0,79.0,3219.0,3384.0,82.0,266.0,9.0,-3.0,5256.0,6193.0,134.0,4997.0,5820.0,137.0,259.0,373.0,-3.0
2421,ESPORTSTMNT01/1293370,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293370?gameHash=8a70038d2eba61de,LCK,2020,Spring,0,2020-02-06 10:47:18,1,10.02,10,Red,sup,Jelly,Afreeca Freecs,Blitzcrank,Taliyah,Yasuo,Akali,Tahm Kench,Rek'Sai,3068,1,0,4,7,10,11,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1956,0.4107,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7147,139.7718,0.054953300000000004,92,1.7992,13,0.2542,30,129.0,2.5228,10398,3864,75.5671,0.07432960000000001,9700.0,,39.0,39.0,0,0,0,0.7627,1994.0,2288.0,10.0,1984.0,1991.0,12.0,10.0,297.0,-2.0,3009.0,3457.0,18.0,2899.0,2923.0,20.0,110.0,534.0,-2.0
