,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
2556,ESPORTSTMNT01/1293885,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293885?gameHash=1ffaffd98da7e806,LCK,2020,Spring,0,2020-02-07 07:23:45,1,10.02,1,Blue,top,CuVee,Hanwha Life Esports,Sett,Rek'Sai,LeBlanc,Lucian,Ryze,Nautilus,2245,1,7,0,9,20,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5345,0.6949,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,22012,588.294,0.27426500000000004,21,0.5612,16,0.4276,8,51.0,1.363,15504,10649,284.6058,0.225077,13800.0,,269.0,253.0,16,4,0,7.1893,4766.0,5154.0,84.0,2653.0,3891.0,57.0,2113.0,1263.0,27.0,6989.0,7135.0,119.0,4580.0,6814.0,118.0,2409.0,321.0,1.0
2557,ESPORTSTMNT01/1293885,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293885?gameHash=1ffaffd98da7e806,LCK,2020,Spring,0,2020-02-07 07:23:45,1,10.02,2,Blue,jng,Haru,Hanwha Life Esports,Diana,Rek'Sai,LeBlanc,Lucian,Ryze,Nautilus,2245,1,2,1,9,20,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5345,0.6949,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,18061,482.6993,0.225037,15,0.4009,14,0.3742,16,53.0,1.4165,15225,10370,277.1492,0.21917899999999998,13750.0,,294.0,64.0,230,148,26,7.8575,3847.0,3578.0,68.0,2930.0,2773.0,57.0,917.0,805.0,11.0,6125.0,6654.0,120.0,4261.0,4501.0,91.0,1864.0,2153.0,29.0
2558,ESPORTSTMNT01/1293885,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293885?gameHash=1ffaffd98da7e806,LCK,2020,Spring,0,2020-02-07 07:23:45,1,10.02,3,Blue,mid,Tempt,Hanwha Life Esports,Rumble,Rek'Sai,LeBlanc,Lucian,Ryze,Nautilus,2245,1,6,2,8,20,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5345,0.6949,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,18166,485.5056,0.226345,24,0.6414,3,0.0802,14,40.0,1.069,14653,9798,261.8619,0.207089,12900.0,,296.0,286.0,10,6,0,7.9109,3328.0,4960.0,87.0,3226.0,4915.0,85.0,102.0,45.0,2.0,5562.0,7598.0,140.0,4971.0,7683.0,137.0,591.0,-85.0,3.0
2559,ESPORTSTMNT01/1293885,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293885?gameHash=1ffaffd98da7e806,LCK,2020,Spring,0,2020-02-07 07:23:45,1,10.02,4,Blue,bot,Vsta,Hanwha Life Esports,Miss Fortune,Rek'Sai,LeBlanc,Lucian,Ryze,Nautilus,2245,1,4,2,7,20,6,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5345,0.6949,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,18152,485.1314,0.226171,19,0.5078,19,0.5078,10,61.0,1.6303,16542,11687,312.3474,0.24701700000000001,16060.0,,384.0,352.0,32,28,0,10.2628,3272.0,2449.0,62.0,3861.0,3321.0,93.0,-589.0,-872.0,-31.0,5077.0,4701.0,115.0,6308.0,6023.0,146.0,-1231.0,-1322.0,-31.0
2560,ESPORTSTMNT01/1293885,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293885?gameHash=1ffaffd98da7e806,LCK,2020,Spring,0,2020-02-07 07:23:45,1,10.02,5,Blue,sup,Lehends,Hanwha Life Esports,Shen,Rek'Sai,LeBlanc,Lucian,Ryze,Nautilus,2245,1,1,1,13,20,6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5345,0.6949,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3867,103.3497,0.0481821,101,2.6993,17,0.4543,20,140.0,3.7416,9664,4809,128.5256,0.101638,8800.0,,61.0,57.0,4,4,0,1.6303,2729.0,3211.0,25.0,2255.0,2878.0,14.0,474.0,333.0,11.0,4038.0,4720.0,33.0,3372.0,3982.0,19.0,666.0,738.0,14.0
2561,ESPORTSTMNT01/1293885,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293885?gameHash=1ffaffd98da7e806,LCK,2020,Spring,0,2020-02-07 07:23:45,1,10.02,6,Red,top,Roach,T1,Mordekaiser,Akali,Elise,Pantheon,Lee Sin,Gragas,2245,0,3,6,0,6,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1604,0.6949,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12578,336.1604,0.268514,16,0.4276,7,0.1871,4,32.0,0.8552,12977,8122,217.069,0.227025,12910.0,,307.0,275.0,32,29,0,8.2049,2653.0,3891.0,57.0,4766.0,5154.0,84.0,-2113.0,-1263.0,-27.0,4580.0,6814.0,118.0,6989.0,7135.0,119.0,-2409.0,-321.0,-1.0
2562,ESPORTSTMNT01/1293885,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293885?gameHash=1ffaffd98da7e806,LCK,2020,Spring,0,2020-02-07 07:23:45,1,10.02,7,Red,jng,Cuzz,T1,Jarvan IV,Akali,Elise,Pantheon,Lee Sin,Gragas,2245,0,0,2,4,6,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1604,0.6949,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3155,84.3207,0.06735260000000001,13,0.3474,26,0.6949,14,68.0,1.8174,10697,5842,156.1336,0.16329200000000002,10670.0,,223.0,70.0,153,111,0,5.9599,2930.0,2773.0,57.0,3847.0,3578.0,68.0,-917.0,-805.0,-11.0,4261.0,4501.0,91.0,6125.0,6654.0,120.0,-1864.0,-2153.0,-29.0
2563,ESPORTSTMNT01/1293885,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293885?gameHash=1ffaffd98da7e806,LCK,2020,Spring,0,2020-02-07 07:23:45,1,10.02,8,Red,mid,Faker,T1,Aatrox,Akali,Elise,Pantheon,Lee Sin,Gragas,2245,0,0,3,1,6,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1604,0.6949,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8144,217.657,0.17385699999999998,18,0.4811,15,0.4009,9,49.0,1.3096,12769,7914,211.51,0.22121100000000002,12775.0,,335.0,313.0,22,10,2,8.9532,3226.0,4915.0,85.0,3328.0,4960.0,87.0,-102.0,-45.0,-2.0,4971.0,7683.0,137.0,5562.0,7598.0,140.0,-591.0,85.0,-3.0
2564,ESPORTSTMNT01/1293885,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293885?gameHash=1ffaffd98da7e806,LCK,2020,Spring,0,2020-02-07 07:23:45,1,10.02,9,Red,bot,Teddy,T1,Aphelios,Akali,Elise,Pantheon,Lee Sin,Gragas,2245,0,3,4,2,6,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1604,0.6949,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,20360,544.1425,0.434643,11,0.294,17,0.4543,0,37.0,0.9889,15954,11099,296.6325,0.310242,16000.0,,409.0,355.0,54,50,0,10.931,3861.0,3321.0,93.0,3272.0,2449.0,62.0,589.0,872.0,31.0,6308.0,6023.0,146.0,5077.0,4701.0,115.0,1231.0,1322.0,31.0
2565,ESPORTSTMNT01/1293885,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293885?gameHash=1ffaffd98da7e806,LCK,2020,Spring,0,2020-02-07 07:23:45,1,10.02,10,Red,sup,Effort,T1,Leona,Akali,Elise,Pantheon,Lee Sin,Gragas,2245,0,0,5,4,6,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1604,0.6949,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2606,69.6481,0.055632600000000004,74,1.9777,23,0.6147,21,118.0,3.1537,7654,2799,74.8062,0.07823,7875.0,,44.0,44.0,0,0,0,1.1759,2255.0,2878.0,14.0,2729.0,3211.0,25.0,-474.0,-333.0,-11.0,3372.0,3982.0,19.0,4038.0,4720.0,33.0,-666.0,-738.0,-14.0
