,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
28812,ESPORTSTMNT01/1390256,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1390256?gameHash=aefadf8501588f27,BRCC,2020,,0,2020-05-13 19:47:15,1,10.08,1,Blue,top,Kennedys,Havan Liberty Academy,Jayce,Syndra,Sejuani,Sett,Camille,Fiora,1748,1,2,1,4,9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3089,0.3776,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,24519,841.6133,0.33776,14,0.4805,5,0.1716,5,26.0,0.8924,10905,7063,242.4371,0.212261,9625.0,,210.0,206.0,4,0,0,7.2082,3183.0,4641.0,77.0,2767.0,4093.0,68.0,416.0,548.0,9.0,4678.0,6105.0,100.0,4241.0,6052.0,105.0,437.0,53.0,-5.0
28813,ESPORTSTMNT01/1390256,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1390256?gameHash=aefadf8501588f27,BRCC,2020,,0,2020-05-13 19:47:15,1,10.08,2,Blue,jng,enel1,Havan Liberty Academy,Trundle,Syndra,Sejuani,Sett,Camille,Fiora,1748,1,0,1,7,9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3089,0.3776,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,2968,101.8764,0.040885500000000005,12,0.4119,17,0.5835,12,52.0,1.7849,8387,4545,156.0069,0.136594,7150.0,,123.0,26.0,97,45,12,4.222,2688.0,2151.0,43.0,3372.0,3014.0,60.0,-684.0,-863.0,-17.0,4033.0,3564.0,61.0,5223.0,4928.0,89.0,-1190.0,-1364.0,-28.0
28814,ESPORTSTMNT01/1390256,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1390256?gameHash=aefadf8501588f27,BRCC,2020,,0,2020-05-13 19:47:15,1,10.08,3,Blue,mid,Thunder,Havan Liberty Academy,Corki,Syndra,Sejuani,Sett,Camille,Fiora,1748,1,4,0,3,9,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3089,0.3776,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,14103,484.0847,0.194275,18,0.6178,9,0.3089,8,44.0,1.5103,13616,9774,335.492,0.293727,11683.0,,257.0,203.0,54,41,6,8.8215,3516.0,4690.0,80.0,2807.0,4652.0,70.0,709.0,38.0,10.0,5577.0,6494.0,117.0,5261.0,6966.0,116.0,316.0,-472.0,1.0
28815,ESPORTSTMNT01/1390256,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1390256?gameHash=aefadf8501588f27,BRCC,2020,,0,2020-05-13 19:47:15,1,10.08,4,Blue,bot,Beenie,Havan Liberty Academy,Varus,Syndra,Sejuani,Sett,Camille,Fiora,1748,1,2,0,6,9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3089,0.3776,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,26173,898.3867,0.36054400000000003,15,0.5149,14,0.4805,6,45.0,1.5446,12513,8671,297.6316,0.26058200000000004,11350.0,,252.0,238.0,14,0,8,8.6499,3453.0,3462.0,88.0,3161.0,2563.0,70.0,292.0,899.0,18.0,6471.0,5601.0,137.0,4721.0,4404.0,105.0,1750.0,1197.0,32.0
28816,ESPORTSTMNT01/1390256,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1390256?gameHash=aefadf8501588f27,BRCC,2020,,0,2020-05-13 19:47:15,1,10.08,5,Blue,sup,Gyeong,Havan Liberty Academy,Tahm Kench,Syndra,Sejuani,Sett,Camille,Fiora,1748,1,1,0,5,9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3089,0.3776,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4830,165.7895,0.0665353,47,1.6133,7,0.2403,16,67.0,2.2998,7064,3222,110.595,0.09683689999999999,6150.0,,27.0,27.0,0,0,0,0.9268,2087.0,2377.0,15.0,2353.0,2251.0,15.0,-266.0,126.0,0.0,3612.0,3431.0,17.0,3407.0,3425.0,20.0,205.0,6.0,-3.0
28817,ESPORTSTMNT01/1390256,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1390256?gameHash=aefadf8501588f27,BRCC,2020,,0,2020-05-13 19:47:15,1,10.08,6,Red,top,unknown player,unknown team,Aatrox,Lee Sin,Thresh,Senna,LeBlanc,Renekton,1748,0,0,2,0,2,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0686,0.3776,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4788,164.3478,0.136757,10,0.3432,7,0.2403,2,25.0,0.8581,7934,4092,140.4577,0.18196600000000002,7700.0,,175.0,167.0,8,5,0,6.0069,2767.0,4093.0,68.0,3183.0,4641.0,77.0,-416.0,-548.0,-9.0,4241.0,6052.0,105.0,4678.0,6105.0,100.0,-437.0,-53.0,5.0
28818,ESPORTSTMNT01/1390256,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1390256?gameHash=aefadf8501588f27,BRCC,2020,,0,2020-05-13 19:47:15,1,10.08,7,Red,jng,unknown player,unknown team,Ekko,Lee Sin,Thresh,Senna,LeBlanc,Renekton,1748,0,2,3,0,2,9,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0686,0.3776,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,8338,286.2014,0.238154,32,1.0984,15,0.5149,12,65.0,2.2311,9019,5177,177.7002,0.230208,9050.0,,167.0,56.0,111,85,7,5.7323,3372.0,3014.0,60.0,2688.0,2151.0,43.0,684.0,863.0,17.0,5223.0,4928.0,89.0,4033.0,3564.0,61.0,1190.0,1364.0,28.0
28819,ESPORTSTMNT01/1390256,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1390256?gameHash=aefadf8501588f27,BRCC,2020,,0,2020-05-13 19:47:15,1,10.08,8,Red,mid,unknown player,unknown team,Viktor,Lee Sin,Thresh,Senna,LeBlanc,Renekton,1748,0,0,2,0,2,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0686,0.3776,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,11541,396.1442,0.32963899999999996,15,0.5149,6,0.2059,7,23.0,0.7895,9475,5633,193.3524,0.25048400000000004,8925.0,,214.0,197.0,17,13,0,7.3455,2807.0,4652.0,70.0,3516.0,4690.0,80.0,-709.0,-38.0,-10.0,5261.0,6966.0,116.0,5577.0,6494.0,117.0,-316.0,472.0,-1.0
28820,ESPORTSTMNT01/1390256,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1390256?gameHash=aefadf8501588f27,BRCC,2020,,0,2020-05-13 19:47:15,1,10.08,9,Red,bot,unknown player,unknown team,Aphelios,Lee Sin,Thresh,Senna,LeBlanc,Renekton,1748,0,0,1,2,2,9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0686,0.3776,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9886,339.3364,0.282368,11,0.3776,4,0.1373,4,23.0,0.7895,9456,5614,192.7002,0.249639,9550.0,,229.0,213.0,16,12,0,7.8604,3161.0,2563.0,70.0,3453.0,3462.0,88.0,-292.0,-899.0,-18.0,4721.0,4404.0,105.0,6471.0,5601.0,137.0,-1750.0,-1197.0,-32.0
28821,ESPORTSTMNT01/1390256,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1390256?gameHash=aefadf8501588f27,BRCC,2020,,0,2020-05-13 19:47:15,1,10.08,10,Red,sup,unknown player,unknown team,Taric,Lee Sin,Thresh,Senna,LeBlanc,Renekton,1748,0,0,1,2,2,9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0686,0.3776,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,458,15.7208,0.0130816,35,1.2014,9,0.3089,12,60.0,2.0595,5814,1972,67.6888,0.0877032,5400.0,,34.0,34.0,0,0,0,1.167,2353.0,2251.0,15.0,2087.0,2377.0,15.0,266.0,-126.0,0.0,3407.0,3425.0,20.0,3612.0,3431.0,17.0,-205.0,-6.0,3.0
