,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
2016,ESPORTSTMNT01/1292341,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1292341?gameHash=7335d6ca06763dc0&amp;tab=overview,BRCC,2020,,0,2020-02-04 00:19:17,1,10.02,1,Blue,top,Ayel,RED Canids,Ornn,Elise,Rumble,Sett,Mordekaiser,Irelia,2781,0,1,5,12,17,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3668,0.8198,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,20665,445.8468,0.21195999999999998,28,0.6041,6,0.1294,12,46.0,0.9924,14116,8167,176.2028,0.168222,13100.0,,279.0,275.0,4,4,0,6.0194,3244.0,4080.0,65.0,3393.0,4237.0,80.0,-149.0,-157.0,-15.0,4763.0,6610.0,111.0,5237.0,7270.0,134.0,-474.0,-660.0,-23.0
2017,ESPORTSTMNT01/1292341,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1292341?gameHash=7335d6ca06763dc0&amp;tab=overview,BRCC,2020,,0,2020-02-04 00:19:17,1,10.02,2,Blue,jng,Revolta,RED Canids,Gragas,Elise,Rumble,Sett,Mordekaiser,Irelia,2781,0,3,4,7,17,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3668,0.8198,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13263,286.1489,0.13603800000000002,59,1.2729,20,0.4315,16,102.0,2.2006,13703,7754,167.2923,0.159716,14500.0,,218.0,45.0,173,118,4,4.7033,2787.0,2922.0,53.0,3868.0,4039.0,61.0,-1081.0,-1117.0,-8.0,4214.0,4766.0,90.0,5048.0,5584.0,86.0,-834.0,-818.0,4.0
2018,ESPORTSTMNT01/1292341,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1292341?gameHash=7335d6ca06763dc0&amp;tab=overview,BRCC,2020,,0,2020-02-04 00:19:17,1,10.02,3,Blue,mid,Sky,RED Canids,Lucian,Elise,Rumble,Sett,Mordekaiser,Irelia,2781,0,6,4,6,17,21,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3668,0.8198,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,24383,526.0626,0.25009499999999996,16,0.3452,14,0.302,4,96.0,2.0712,20221,14272,307.918,0.293969,18300.0,,413.0,371.0,42,42,0,8.9105,3313.0,4693.0,88.0,3432.0,4357.0,69.0,-119.0,336.0,19.0,5082.0,7347.0,143.0,5497.0,6961.0,121.0,-415.0,386.0,22.0
2019,ESPORTSTMNT01/1292341,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1292341?gameHash=7335d6ca06763dc0&amp;tab=overview,BRCC,2020,,0,2020-02-04 00:19:17,1,10.02,4,Blue,bot,TitaN,RED Canids,Xayah,Elise,Rumble,Sett,Mordekaiser,Irelia,2781,0,5,5,9,17,21,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3668,0.8198,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,31328,675.9008,0.321329,24,0.5178,23,0.4962,11,74.0,1.5965,19454,13505,291.37,0.278171,18175.0,,437.0,413.0,24,16,4,9.4283,3240.0,2729.0,69.0,3235.0,3360.0,82.0,5.0,-631.0,-13.0,4848.0,4779.0,114.0,5049.0,5416.0,139.0,-201.0,-637.0,-25.0
2020,ESPORTSTMNT01/1292341,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1292341?gameHash=7335d6ca06763dc0&amp;tab=overview,BRCC,2020,,0,2020-02-04 00:19:17,1,10.02,5,Blue,sup,Woodboy,RED Canids,Rakan,Elise,Rumble,Sett,Mordekaiser,Irelia,2781,0,2,3,12,17,21,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3668,0.8198,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7856,169.493,0.0805785,86,1.8554,26,0.5609,29,141.0,3.0421,10800,4851,104.6602,0.0999213,10575.0,,47.0,47.0,0,0,0,1.014,2746.0,2490.0,13.0,2108.0,2524.0,14.0,638.0,-34.0,-1.0,3744.0,3690.0,21.0,3126.0,3990.0,23.0,618.0,-300.0,-2.0
2021,ESPORTSTMNT01/1292341,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1292341?gameHash=7335d6ca06763dc0&amp;tab=overview,BRCC,2020,,0,2020-02-04 00:19:17,1,10.02,6,Red,top,Hidan,Havan Liberty Gaming,Aatrox,Akali,Aphelios,Thresh,Yasuo,Braum,2781,1,5,3,9,21,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4531,0.8198,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,18844,406.5588,0.202853,18,0.3883,10,0.2157,5,41.0,0.8846,19657,13708,295.7497,0.24412199999999998,19025.0,,372.0,321.0,51,34,5,8.0259,3393.0,4237.0,80.0,3244.0,4080.0,65.0,149.0,157.0,15.0,5237.0,7270.0,134.0,4763.0,6610.0,111.0,474.0,660.0,23.0
2022,ESPORTSTMNT01/1292341,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1292341?gameHash=7335d6ca06763dc0&amp;tab=overview,BRCC,2020,,0,2020-02-04 00:19:17,1,10.02,7,Red,jng,CarioK,Havan Liberty Gaming,Olaf,Akali,Aphelios,Thresh,Yasuo,Braum,2781,1,7,5,9,21,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4531,0.8198,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,19134,412.8155,0.205974,24,0.5178,27,0.5825,19,63.0,1.3592,16061,10112,218.1661,0.180083,15800.0,,241.0,54.0,187,126,16,5.1996,3868.0,4039.0,61.0,2787.0,2922.0,53.0,1081.0,1117.0,8.0,5048.0,5584.0,86.0,4214.0,4766.0,90.0,834.0,818.0,-4.0
2023,ESPORTSTMNT01/1292341,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1292341?gameHash=7335d6ca06763dc0&amp;tab=overview,BRCC,2020,,0,2020-02-04 00:19:17,1,10.02,8,Red,mid,dyNquedo,Havan Liberty Gaming,Diana,Akali,Aphelios,Thresh,Yasuo,Braum,2781,1,3,2,13,21,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4531,0.8198,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,25081,541.1219,0.269993,25,0.5394,10,0.2157,9,44.0,0.9493,19165,13216,285.1348,0.23536100000000001,17625.0,,372.0,346.0,26,17,4,8.0259,3432.0,4357.0,69.0,3313.0,4693.0,88.0,119.0,-336.0,-19.0,5497.0,6961.0,121.0,5082.0,7347.0,143.0,415.0,-386.0,-22.0
2024,ESPORTSTMNT01/1292341,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1292341?gameHash=7335d6ca06763dc0&amp;tab=overview,BRCC,2020,,0,2020-02-04 00:19:17,1,10.02,9,Red,bot,flare,Havan Liberty Gaming,Varus,Akali,Aphelios,Thresh,Yasuo,Braum,2781,1,5,3,6,21,17,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4531,0.8198,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,23910,515.8576,0.257387,20,0.4315,23,0.4962,9,63.0,1.3592,20306,14357,309.7519,0.25568,17825.0,,458.0,394.0,64,39,12,9.8813,3235.0,3360.0,82.0,3240.0,2729.0,69.0,-5.0,631.0,13.0,5049.0,5416.0,139.0,4848.0,4779.0,114.0,201.0,637.0,25.0
2025,ESPORTSTMNT01/1292341,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1292341?gameHash=7335d6ca06763dc0&amp;tab=overview,BRCC,2020,,0,2020-02-04 00:19:17,1,10.02,10,Red,sup,esA,Havan Liberty Gaming,Leona,Akali,Aphelios,Thresh,Yasuo,Braum,2781,1,1,4,13,21,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4531,0.8198,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5926,127.8533,0.0637925,104,2.2438,31,0.6688,35,164.0,3.5383,10708,4759,102.6753,0.08475369999999999,9875.0,,56.0,56.0,0,0,0,1.2082,2108.0,2524.0,14.0,2746.0,2490.0,13.0,-638.0,34.0,1.0,3126.0,3990.0,23.0,3744.0,3690.0,21.0,-618.0,300.0,2.0
