,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
540,ESPORTSTMNT01/1270513,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1270513?gameHash=b7c952dddaadb200&amp;tab=overview,LFL,2020,Spring,0,2020-01-21 18:55:54,1,10.01,1,Blue,top,Agresivoo,Misfits Premier,Irelia,Mordekaiser,Tristana,Thresh,Ornn,Braum,2053,1,3,2,6,23,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6722,0.9937,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,13934,407.2284,0.155013,11,0.3215,3,0.0877,0,23.0,0.6722,12590,8126,237.4866,0.20698899999999998,12558.0,,260.0,236.0,24,17,0,7.5986,3280.0,4700.0,88.0,2859.0,4043.0,54.0,421.0,657.0,34.0,4823.0,6914.0,133.0,4579.0,6466.0,100.0,244.0,448.0,33.0
541,ESPORTSTMNT01/1270513,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1270513?gameHash=b7c952dddaadb200&amp;tab=overview,LFL,2020,Spring,0,2020-01-21 18:55:54,1,10.01,2,Blue,jng,Kirei,Misfits Premier,Qiyana,Mordekaiser,Tristana,Thresh,Ornn,Braum,2053,1,8,3,5,23,11,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6722,0.9937,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,18782,548.9138,0.208947,37,1.0813,16,0.4676,12,83.0,2.4257,12632,8168,238.7141,0.20805900000000002,10875.0,,182.0,18.0,164,108,17,5.319,3196.0,2868.0,60.0,2845.0,2658.0,55.0,351.0,210.0,5.0,4728.0,4316.0,88.0,4880.0,5226.0,85.0,-152.0,-910.0,3.0
542,ESPORTSTMNT01/1270513,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1270513?gameHash=b7c952dddaadb200&amp;tab=overview,LFL,2020,Spring,0,2020-01-21 18:55:54,1,10.01,3,Blue,mid,Decay,Misfits Premier,Rumble,Mordekaiser,Tristana,Thresh,Ornn,Braum,2053,1,5,0,10,23,11,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6722,0.9937,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,25449,743.7604,0.283116,20,0.5845,3,0.0877,8,39.0,1.1398,12733,8269,241.6659,0.210632,11880.0,,231.0,231.0,0,0,0,6.7511,3276.0,4833.0,92.0,3688.0,5178.0,109.0,-412.0,-345.0,-17.0,5053.0,7851.0,145.0,5964.0,8744.0,173.0,-911.0,-893.0,-28.0
543,ESPORTSTMNT01/1270513,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1270513?gameHash=b7c952dddaadb200&amp;tab=overview,LFL,2020,Spring,0,2020-01-21 18:55:54,1,10.01,4,Blue,bot,Jezu,Misfits Premier,Miss Fortune,Mordekaiser,Tristana,Thresh,Ornn,Braum,2053,1,4,3,10,23,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6722,0.9937,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,22395,654.5056,0.24914099999999997,9,0.263,8,0.2338,3,36.0,1.0521,14286,9822,287.0531,0.250189,13175.0,,291.0,275.0,16,8,0,8.5046,3037.0,3176.0,71.0,3166.0,3069.0,85.0,-129.0,107.0,-14.0,5202.0,5831.0,130.0,4596.0,4446.0,118.0,606.0,1385.0,12.0
544,ESPORTSTMNT01/1270513,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1270513?gameHash=b7c952dddaadb200&amp;tab=overview,LFL,2020,Spring,0,2020-01-21 18:55:54,1,10.01,5,Blue,sup,Doss,Misfits Premier,Leona,Mordekaiser,Tristana,Thresh,Ornn,Braum,2053,1,3,3,12,23,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6722,0.9937,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9329,272.6449,0.10378399999999999,37,1.0813,18,0.5261,12,96.0,2.8057,9337,4873,142.416,0.12412999999999999,8300.0,,41.0,41.0,0,0,0,1.1982,2256.0,2716.0,14.0,2033.0,2594.0,13.0,223.0,122.0,1.0,3723.0,4380.0,21.0,2892.0,3819.0,23.0,831.0,561.0,-2.0
545,ESPORTSTMNT01/1270513,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1270513?gameHash=b7c952dddaadb200&amp;tab=overview,LFL,2020,Spring,0,2020-01-21 18:55:54,1,10.01,6,Red,top,Vince,IZI Dream,Renekton,Akali,Lucian,Senna,Elise,Rek'Sai,2053,0,3,3,2,11,23,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3215,0.9937,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,11787,344.4812,0.19929000000000002,17,0.4968,11,0.3215,7,40.0,1.169,10777,6313,184.5007,0.212702,10375.0,,212.0,211.0,1,1,0,6.1958,2859.0,4043.0,54.0,3280.0,4700.0,88.0,-421.0,-657.0,-34.0,4579.0,6466.0,100.0,4823.0,6914.0,133.0,-244.0,-448.0,-33.0
546,ESPORTSTMNT01/1270513,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1270513?gameHash=b7c952dddaadb200&amp;tab=overview,LFL,2020,Spring,0,2020-01-21 18:55:54,1,10.01,7,Red,jng,Bloody,IZI Dream,Lee Sin,Akali,Lucian,Senna,Elise,Rek'Sai,2053,0,1,4,4,11,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3215,0.9937,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7302,213.4048,0.12345899999999999,23,0.6722,5,0.1461,15,39.0,1.1398,9934,5470,159.8636,0.1843,9600.0,,156.0,21.0,135,89,11,4.5592,2845.0,2658.0,55.0,3196.0,2868.0,60.0,-351.0,-210.0,-5.0,4880.0,5226.0,85.0,4728.0,4316.0,88.0,152.0,910.0,-3.0
547,ESPORTSTMNT01/1270513,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1270513?gameHash=b7c952dddaadb200&amp;tab=overview,LFL,2020,Spring,0,2020-01-21 18:55:54,1,10.01,8,Red,mid,Sebekx,IZI Dream,Cassiopeia,Akali,Lucian,Senna,Elise,Rek'Sai,2053,0,5,4,3,11,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3215,0.9937,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,20570,601.169,0.347789,12,0.3507,3,0.0877,3,30.0,0.8768,13362,8898,260.0487,0.299793,12875.0,,282.0,259.0,23,19,0,8.2416,3688.0,5178.0,109.0,3276.0,4833.0,92.0,412.0,345.0,17.0,5964.0,8744.0,173.0,5053.0,7851.0,145.0,911.0,893.0,28.0
548,ESPORTSTMNT01/1270513,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1270513?gameHash=b7c952dddaadb200&amp;tab=overview,LFL,2020,Spring,0,2020-01-21 18:55:54,1,10.01,9,Red,bot,LaFleur,IZI Dream,Varus,Akali,Lucian,Senna,Elise,Rek'Sai,2053,0,2,6,5,11,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3215,0.9937,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13878,405.5918,0.23464400000000002,15,0.4384,14,0.4092,9,37.0,1.0813,11044,6580,192.3039,0.22169699999999998,10150.0,,242.0,234.0,8,8,0,7.0726,3166.0,3069.0,85.0,3037.0,3176.0,71.0,129.0,-107.0,14.0,4596.0,4446.0,118.0,5202.0,5831.0,130.0,-606.0,-1385.0,-12.0
549,ESPORTSTMNT01/1270513,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1270513?gameHash=b7c952dddaadb200&amp;tab=overview,LFL,2020,Spring,0,2020-01-21 18:55:54,1,10.01,10,Red,sup,Nolan,IZI Dream,Nautilus,Akali,Lucian,Senna,Elise,Rek'Sai,2053,0,0,6,6,11,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3215,0.9937,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5608,163.8967,0.0948178,50,1.4613,9,0.263,13,77.0,2.2504,6883,2419,70.6965,0.0815083,6575.0,,51.0,51.0,0,0,0,1.4905,2033.0,2594.0,13.0,2256.0,2716.0,14.0,-223.0,-122.0,-1.0,2892.0,3819.0,23.0,3723.0,4380.0,21.0,-831.0,-561.0,2.0
