,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
720,ESPORTSTMNT02/1260533,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1260533?gameHash=29876547d2a8fe5e&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-25 00:16:51,1,10.01,1,Blue,top,Dhokla,TSM Academy,Aatrox,Elise,Ornn,Mordekaiser,Senna,Miss Fortune,1877,0,1,4,5,10,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3197,0.895,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,6710,214.4912,0.12576600000000002,14,0.4475,7,0.2238,5,30.0,0.959,9596,5491,175.5248,0.20316700000000001,9975.0,,211.0,197.0,14,7,4,6.7448,3166.0,4530.0,77.0,3250.0,4347.0,71.0,-84.0,183.0,6.0,5166.0,7171.0,120.0,5508.0,7265.0,111.0,-342.0,-94.0,9.0
721,ESPORTSTMNT02/1260533,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1260533?gameHash=29876547d2a8fe5e&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-25 00:16:51,1,10.01,2,Blue,jng,Spica,TSM Academy,Gragas,Elise,Ornn,Mordekaiser,Senna,Miss Fortune,1877,0,2,3,2,10,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3197,0.895,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8028,256.6223,0.15047,14,0.4475,8,0.2557,7,47.0,1.5024,8748,4643,148.4177,0.171793,8210.0,,155.0,21.0,134,106,0,4.9547,2860.0,3020.0,58.0,3423.0,3365.0,67.0,-563.0,-345.0,-9.0,4911.0,5318.0,90.0,5059.0,5301.0,100.0,-148.0,17.0,-10.0
722,ESPORTSTMNT02/1260533,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1260533?gameHash=29876547d2a8fe5e&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-25 00:16:51,1,10.01,3,Blue,mid,Evolved,TSM Academy,LeBlanc,Elise,Ornn,Mordekaiser,Senna,Miss Fortune,1877,0,2,2,2,10,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3197,0.895,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,11337,362.3974,0.21249,14,0.4475,3,0.0959,10,23.0,0.7352,10708,6603,211.0709,0.24430900000000003,9735.0,,240.0,236.0,4,4,0,7.6718,3013.0,4198.0,73.0,3291.0,4904.0,86.0,-278.0,-706.0,-13.0,4924.0,6997.0,117.0,4981.0,6815.0,116.0,-57.0,182.0,1.0
723,ESPORTSTMNT02/1260533,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1260533?gameHash=29876547d2a8fe5e&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-25 00:16:51,1,10.01,4,Blue,bot,Lost,TSM Academy,Aphelios,Elise,Ornn,Mordekaiser,Senna,Miss Fortune,1877,0,5,4,2,10,18,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3197,0.895,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,22558,721.0868,0.422807,8,0.2557,4,0.1279,3,23.0,0.7352,12180,8075,258.1247,0.298769,11275.0,,255.0,242.0,13,13,0,8.1513,3301.0,2619.0,67.0,3680.0,3314.0,88.0,-379.0,-695.0,-21.0,5312.0,4999.0,114.0,5487.0,5729.0,141.0,-175.0,-730.0,-27.0
724,ESPORTSTMNT02/1260533,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1260533?gameHash=29876547d2a8fe5e&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-25 00:16:51,1,10.01,5,Blue,sup,Treatz,TSM Academy,Leona,Elise,Ornn,Mordekaiser,Senna,Miss Fortune,1877,0,0,5,6,10,18,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3197,0.895,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4720,150.8791,0.0884674,51,1.6303,8,0.2557,13,81.0,2.5892,6320,2215,70.8045,0.08196210000000001,5875.0,,27.0,27.0,0,0,0,0.8631,2208.0,2201.0,11.0,2202.0,2604.0,12.0,6.0,-403.0,-1.0,3393.0,3335.0,16.0,3071.0,3582.0,15.0,322.0,-247.0,1.0
725,ESPORTSTMNT02/1260533,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1260533?gameHash=29876547d2a8fe5e&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-25 00:16:51,1,10.01,6,Red,top,Allorim,Immortals Academy,Urgot,Rumble,Akali,Lucian,Cassiopeia,Zoe,1877,1,8,0,3,18,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5754,0.895,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,13727,438.796,0.21586,10,0.3197,14,0.4475,3,36.0,1.1508,14306,10201,326.0842,0.27400399999999997,13325.0,,266.0,260.0,6,2,4,8.5029,3250.0,4347.0,71.0,3166.0,4530.0,77.0,84.0,-183.0,-6.0,5508.0,7265.0,111.0,5166.0,7171.0,120.0,342.0,94.0,-9.0
726,ESPORTSTMNT02/1260533,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1260533?gameHash=29876547d2a8fe5e&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-25 00:16:51,1,10.01,7,Red,jng,Potluck,Immortals Academy,Lee Sin,Rumble,Akali,Lucian,Cassiopeia,Zoe,1877,1,4,4,10,18,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5754,0.895,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9640,308.1513,0.151591,14,0.4475,9,0.2877,9,43.0,1.3745,11326,7221,230.8258,0.193962,10950.0,,192.0,33.0,159,103,9,6.1375,3423.0,3365.0,67.0,2860.0,3020.0,58.0,563.0,345.0,9.0,5059.0,5301.0,100.0,4911.0,5318.0,90.0,148.0,-17.0,10.0
727,ESPORTSTMNT02/1260533,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1260533?gameHash=29876547d2a8fe5e&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-25 00:16:51,1,10.01,8,Red,mid,Insanity,Immortals Academy,Nautilus,Rumble,Akali,Lucian,Cassiopeia,Zoe,1877,1,1,3,12,18,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5754,0.895,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,10914,348.8759,0.171625,15,0.4795,1,0.032,8,24.0,0.7672,10415,6310,201.7048,0.169493,9900.0,,193.0,193.0,0,0,0,6.1694,3291.0,4904.0,86.0,3013.0,4198.0,73.0,278.0,706.0,13.0,4981.0,6815.0,116.0,4924.0,6997.0,117.0,57.0,-182.0,-1.0
728,ESPORTSTMNT02/1260533,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1260533?gameHash=29876547d2a8fe5e&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-25 00:16:51,1,10.01,9,Red,bot,Apollo,Immortals Academy,Ezreal,Rumble,Akali,Lucian,Cassiopeia,Zoe,1877,1,4,0,9,18,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5754,0.895,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,24648,787.8956,0.387596,15,0.4795,13,0.4156,7,42.0,1.3426,14009,9904,316.5903,0.26602600000000004,12033.0,,311.0,289.0,22,8,6,9.9414,3680.0,3314.0,88.0,3301.0,2619.0,67.0,379.0,695.0,21.0,5487.0,5729.0,141.0,5312.0,4999.0,114.0,175.0,730.0,27.0
729,ESPORTSTMNT02/1260533,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1260533?gameHash=29876547d2a8fe5e&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-25 00:16:51,1,10.01,10,Red,sup,Gate,Immortals Academy,Braum,Rumble,Akali,Lucian,Cassiopeia,Zoe,1877,1,1,3,13,18,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5754,0.895,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4663,149.057,0.0733268,31,0.9909,4,0.1279,7,62.0,1.9819,7698,3593,114.8535,0.0965152,6745.0,,24.0,24.0,0,0,0,0.7672,2202.0,2604.0,12.0,2208.0,2201.0,11.0,-6.0,403.0,1.0,3071.0,3582.0,15.0,3393.0,3335.0,16.0,-322.0,247.0,-1.0
