,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
900,ESPORTSTMNT02/1270607,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270607?gameHash=e51fbfc18213ad87&amp;tab=overview,LCS,2020,Spring,0,2020-01-26 00:44:16,1,10.01,1,Blue,top,sOAZ,Immortals,Aatrox,Rumble,Elise,Braum,Camille,Tahm Kench,2312,0,0,3,2,8,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2076,0.7526,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9832,255.1557,0.238722,20,0.519,5,0.1298,7,34.0,0.8824,11469,6477,168.0882,0.189005,11400.0,,276.0,254.0,22,14,0,7.1626,2984.0,4734.0,74.0,3253.0,4106.0,69.0,-269.0,628.0,5.0,4518.0,7128.0,113.0,5394.0,7319.0,134.0,-876.0,-191.0,-21.0
901,ESPORTSTMNT02/1270607,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270607?gameHash=e51fbfc18213ad87&amp;tab=overview,LCS,2020,Spring,0,2020-01-26 00:44:16,1,10.01,2,Blue,jng,Xmithie,Immortals,Trundle,Rumble,Elise,Braum,Camille,Tahm Kench,2312,0,0,7,5,8,21,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2076,0.7526,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3231,83.8495,0.078449,8,0.2076,12,0.3114,8,51.0,1.3235,9595,4603,119.455,0.134319,8720.0,,158.0,22.0,136,108,2,4.1003,2806.0,2409.0,50.0,2982.0,3098.0,57.0,-176.0,-689.0,-7.0,4396.0,3838.0,76.0,4563.0,4648.0,86.0,-167.0,-810.0,-10.0
902,ESPORTSTMNT02/1270607,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270607?gameHash=e51fbfc18213ad87&amp;tab=overview,LCS,2020,Spring,0,2020-01-26 00:44:16,1,10.01,3,Blue,mid,Eika,Immortals,Lucian,Rumble,Elise,Braum,Camille,Tahm Kench,2312,0,4,5,1,8,21,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2076,0.7526,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12656,328.4429,0.307289,18,0.4671,9,0.2336,6,46.0,1.1938,14932,9940,257.9585,0.290059,15200.0,,339.0,315.0,24,24,0,8.7976,3864.0,4615.0,90.0,2732.0,3736.0,66.0,1132.0,879.0,24.0,5759.0,7364.0,144.0,4942.0,6715.0,131.0,817.0,649.0,13.0
903,ESPORTSTMNT02/1270607,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270607?gameHash=e51fbfc18213ad87&amp;tab=overview,LCS,2020,Spring,0,2020-01-26 00:44:16,1,10.01,4,Blue,bot,Altec,Immortals,Cassiopeia,Rumble,Elise,Braum,Camille,Tahm Kench,2312,0,4,3,3,8,21,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2076,0.7526,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10614,275.4498,0.257709,19,0.4931,10,0.2595,7,52.0,1.3495,15282,10290,267.0415,0.300273,14575.0,,324.0,305.0,19,16,2,8.4083,3368.0,3090.0,76.0,3177.0,3511.0,76.0,191.0,-421.0,0.0,5342.0,4803.0,113.0,4379.0,5601.0,108.0,963.0,-798.0,5.0
904,ESPORTSTMNT02/1270607,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270607?gameHash=e51fbfc18213ad87&amp;tab=overview,LCS,2020,Spring,0,2020-01-26 00:44:16,1,10.01,5,Blue,sup,Hakuho,Immortals,Thresh,Rumble,Elise,Braum,Camille,Tahm Kench,2312,0,0,3,6,8,21,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2076,0.7526,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4853,125.9429,0.11783099999999999,53,1.3754,19,0.4931,19,111.0,2.8806,7951,2959,76.7907,0.0863449,7655.0,,41.0,41.0,0,0,0,1.064,2107.0,2062.0,11.0,2440.0,2512.0,16.0,-333.0,-450.0,-5.0,3500.0,3003.0,18.0,3270.0,3017.0,18.0,230.0,-14.0,0.0
905,ESPORTSTMNT02/1270607,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270607?gameHash=e51fbfc18213ad87&amp;tab=overview,LCS,2020,Spring,0,2020-01-26 00:44:16,1,10.01,6,Red,top,V1per,FlyQuest,Riven,Akali,Ornn,Qiyana,LeBlanc,Gragas,2312,1,8,0,5,21,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.545,0.7526,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,19697,511.1678,0.23720500000000003,11,0.2855,15,0.3893,4,52.0,1.3495,17957,12965,336.4619,0.284122,15300.0,,358.0,325.0,33,7,7,9.2907,3253.0,4106.0,69.0,2984.0,4734.0,74.0,269.0,-628.0,-5.0,5394.0,7319.0,134.0,4518.0,7128.0,113.0,876.0,191.0,21.0
906,ESPORTSTMNT02/1270607,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270607?gameHash=e51fbfc18213ad87&amp;tab=overview,LCS,2020,Spring,0,2020-01-26 00:44:16,1,10.01,7,Red,jng,Santorin,FlyQuest,Lee Sin,Akali,Ornn,Qiyana,LeBlanc,Gragas,2312,1,4,3,12,21,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.545,0.7526,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9942,258.0104,0.119728,21,0.545,12,0.3114,16,55.0,1.4273,12754,7762,201.436,0.1701,11475.0,,199.0,16.0,183,119,16,5.1644,2982.0,3098.0,57.0,2806.0,2409.0,50.0,176.0,689.0,7.0,4563.0,4648.0,86.0,4396.0,3838.0,76.0,167.0,810.0,10.0
907,ESPORTSTMNT02/1270607,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270607?gameHash=e51fbfc18213ad87&amp;tab=overview,LCS,2020,Spring,0,2020-01-26 00:44:16,1,10.01,8,Red,mid,PowerOfEvil,FlyQuest,Viktor,Akali,Ornn,Qiyana,LeBlanc,Gragas,2312,1,5,2,9,21,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.545,0.7526,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,32365,839.9221,0.389761,16,0.4152,10,0.2595,4,45.0,1.1678,17072,12080,313.4948,0.264727,15000.0,,366.0,335.0,31,21,7,9.4983,2732.0,3736.0,66.0,3864.0,4615.0,90.0,-1132.0,-879.0,-24.0,4942.0,6715.0,131.0,5759.0,7364.0,144.0,-817.0,-649.0,-13.0
908,ESPORTSTMNT02/1270607,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270607?gameHash=e51fbfc18213ad87&amp;tab=overview,LCS,2020,Spring,0,2020-01-26 00:44:16,1,10.01,9,Red,bot,WildTurtle,FlyQuest,Senna,Akali,Ornn,Qiyana,LeBlanc,Gragas,2312,1,3,3,12,21,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.545,0.7526,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,17039,442.1886,0.205195,17,0.4412,8,0.2076,9,41.0,1.064,14322,9330,242.128,0.20446199999999998,13225.0,,291.0,267.0,24,20,0,7.5519,3177.0,3511.0,76.0,3368.0,3090.0,76.0,-191.0,421.0,0.0,4379.0,5601.0,108.0,5342.0,4803.0,113.0,-963.0,798.0,-5.0
909,ESPORTSTMNT02/1270607,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270607?gameHash=e51fbfc18213ad87&amp;tab=overview,LCS,2020,Spring,0,2020-01-26 00:44:16,1,10.01,10,Red,sup,IgNar,FlyQuest,Blitzcrank,Akali,Ornn,Qiyana,LeBlanc,Gragas,2312,1,1,0,9,21,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.545,0.7526,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3995,103.6765,0.0481105,77,1.9983,14,0.3633,21,121.0,3.1401,8487,3495,90.7007,0.07658989999999999,7825.0,,38.0,38.0,0,0,0,0.9862,2440.0,2512.0,16.0,2107.0,2062.0,11.0,333.0,450.0,5.0,3270.0,3017.0,18.0,3500.0,3003.0,18.0,-230.0,14.0,0.0
