,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
4956,ESPORTSTMNT02/1281241,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281241?gameHash=b806abd6f8dcadaf&amp;tab=overview,LLA,2020,Opening,0,2020-02-15 20:25:39,1,10.03,1,Blue,top,Jirall,Isurus,Sett,Rumble,Elise,Ornn,Gragas,Lissandra,2405,1,6,1,3,16,5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3992,0.5239,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,16340,407.6507,0.22045,12,0.2994,13,0.3243,6,48.0,1.1975,16735,11553,288.2245,0.269142,13753.0,,323.0,315.0,8,3,0,8.0582,3678.0,4825.0,87.0,2849.0,4644.0,68.0,829.0,181.0,19.0,5482.0,7250.0,126.0,4483.0,7222.0,116.0,999.0,28.0,10.0
4957,ESPORTSTMNT02/1281241,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281241?gameHash=b806abd6f8dcadaf&amp;tab=overview,LLA,2020,Opening,0,2020-02-15 20:25:39,1,10.03,2,Blue,jng,Oddie,Isurus,Karthus,Rumble,Elise,Ornn,Gragas,Lissandra,2405,1,6,3,7,16,5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3992,0.5239,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13586,338.9439,0.183295,18,0.4491,6,0.1497,7,57.0,1.422,13619,8437,210.4865,0.196552,12925.0,,246.0,46.0,200,149,4,6.1372,3194.0,3446.0,64.0,2932.0,2970.0,56.0,262.0,476.0,8.0,5342.0,5991.0,102.0,4166.0,4354.0,81.0,1176.0,1637.0,21.0
4958,ESPORTSTMNT02/1281241,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281241?gameHash=b806abd6f8dcadaf&amp;tab=overview,LLA,2020,Opening,0,2020-02-15 20:25:39,1,10.03,3,Blue,mid,Seiya,Isurus,LeBlanc,Rumble,Elise,Ornn,Gragas,Lissandra,2405,1,1,0,12,16,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3992,0.5239,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,20410,509.1892,0.275361,15,0.3742,20,0.499,10,62.0,1.5468,12562,7380,184.1164,0.171928,11150.0,,266.0,238.0,28,21,0,6.6362,3073.0,4584.0,80.0,3177.0,4703.0,86.0,-104.0,-119.0,-6.0,4613.0,6829.0,117.0,5189.0,7387.0,136.0,-576.0,-558.0,-19.0
4959,ESPORTSTMNT02/1281241,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281241?gameHash=b806abd6f8dcadaf&amp;tab=overview,LLA,2020,Opening,0,2020-02-15 20:25:39,1,10.03,4,Blue,bot,Warangelus,Isurus,Xayah,Rumble,Elise,Ornn,Gragas,Lissandra,2405,1,3,0,9,16,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3992,0.5239,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,18534,462.3867,0.250051,13,0.3243,8,0.1996,8,31.0,0.7734,17038,11856,295.7838,0.27620100000000003,15050.0,,392.0,333.0,59,41,15,9.7796,3065.0,3143.0,73.0,3528.0,3129.0,101.0,-463.0,14.0,-28.0,4893.0,5311.0,122.0,5342.0,5189.0,151.0,-449.0,122.0,-29.0
4960,ESPORTSTMNT02/1281241,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281241?gameHash=b806abd6f8dcadaf&amp;tab=overview,LLA,2020,Opening,0,2020-02-15 20:25:39,1,10.03,5,Blue,sup,Slow,Isurus,Rakan,Rumble,Elise,Ornn,Gragas,Lissandra,2405,1,0,1,14,16,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3992,0.5239,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5251,131.0021,0.0708436,58,1.447,24,0.5988,19,127.0,3.1684,8881,3699,92.2827,0.0861762,7725.0,,49.0,48.0,1,0,0,1.2225,2123.0,2859.0,15.0,2060.0,3069.0,11.0,63.0,-210.0,4.0,3315.0,4331.0,25.0,3130.0,4350.0,21.0,185.0,-19.0,4.0
4961,ESPORTSTMNT02/1281241,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281241?gameHash=b806abd6f8dcadaf&amp;tab=overview,LLA,2020,Opening,0,2020-02-15 20:25:39,1,10.03,6,Red,top,Straight,Infinity Esports,Aatrox,Syndra,Aphelios,Soraka,Rek'Sai,Sejuani,2405,0,0,2,1,5,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1247,0.5239,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11529,287.6258,0.172175,23,0.5738,9,0.2245,9,52.0,1.2973,14448,9266,231.1684,0.236413,14075.0,,338.0,302.0,36,24,0,8.4324,2849.0,4644.0,68.0,3678.0,4825.0,87.0,-829.0,-181.0,-19.0,4483.0,7222.0,116.0,5482.0,7250.0,126.0,-999.0,-28.0,-10.0
4962,ESPORTSTMNT02/1281241,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281241?gameHash=b806abd6f8dcadaf&amp;tab=overview,LLA,2020,Opening,0,2020-02-15 20:25:39,1,10.03,7,Red,jng,SolidSnake,Infinity Esports,Lee Sin,Syndra,Aphelios,Soraka,Rek'Sai,Sejuani,2405,0,1,4,2,5,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1247,0.5239,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4950,123.4927,0.0739236,24,0.5988,9,0.2245,12,52.0,1.2973,11642,6460,161.1642,0.164822,11275.0,,200.0,18.0,182,126,3,4.9896,2932.0,2970.0,56.0,3194.0,3446.0,64.0,-262.0,-476.0,-8.0,4166.0,4354.0,81.0,5342.0,5991.0,102.0,-1176.0,-1637.0,-21.0
4963,ESPORTSTMNT02/1281241,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281241?gameHash=b806abd6f8dcadaf&amp;tab=overview,LLA,2020,Opening,0,2020-02-15 20:25:39,1,10.03,8,Red,mid,Cotopaco,Infinity Esports,Zoe,Syndra,Aphelios,Soraka,Rek'Sai,Sejuani,2405,0,2,5,2,5,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1247,0.5239,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,26797,668.5322,0.400188,18,0.4491,6,0.1497,6,45.0,1.1227,13173,7991,199.3597,0.20388299999999998,12350.0,,268.0,248.0,20,16,0,6.6861,3177.0,4703.0,86.0,3073.0,4584.0,80.0,104.0,119.0,6.0,5189.0,7387.0,136.0,4613.0,6829.0,117.0,576.0,558.0,19.0
4964,ESPORTSTMNT02/1281241,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281241?gameHash=b806abd6f8dcadaf&amp;tab=overview,LLA,2020,Opening,0,2020-02-15 20:25:39,1,10.03,9,Red,bot,WhiteLotus,Infinity Esports,Senna,Syndra,Aphelios,Soraka,Rek'Sai,Sejuani,2405,0,1,1,4,5,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1247,0.5239,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,19833,494.7942,0.296187,18,0.4491,7,0.1746,3,46.0,1.1476,16643,11461,285.9293,0.29241500000000004,16025.0,,373.0,353.0,20,18,0,9.3056,3528.0,3129.0,101.0,3065.0,3143.0,73.0,463.0,-14.0,28.0,5342.0,5189.0,151.0,4893.0,5311.0,122.0,449.0,-122.0,29.0
4965,ESPORTSTMNT02/1281241,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281241?gameHash=b806abd6f8dcadaf&amp;tab=overview,LLA,2020,Opening,0,2020-02-15 20:25:39,1,10.03,10,Red,sup,Genthix,Infinity Esports,Tahm Kench,Syndra,Aphelios,Soraka,Rek'Sai,Sejuani,2405,0,1,4,1,5,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1247,0.5239,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3852,96.0998,0.057526,54,1.3472,15,0.3742,13,98.0,2.4449,9198,4016,100.1913,0.102467,9075.0,,41.0,41.0,0,0,0,1.0229,2060.0,3069.0,11.0,2123.0,2859.0,15.0,-63.0,210.0,-4.0,3130.0,4350.0,21.0,3315.0,4331.0,25.0,-185.0,19.0,-4.0
