,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
30840,6263-7834,complete,https://lpl.qq.com/es/stats.shtml?bmid=6263,LDL,2020,Summer,0,2020-06-10 07:17:00,1,10.11,1,Blue,top,Xiaoxu,Royal Club,Renekton,LeBlanc,Lee Sin,Yuumi,Leona,Thresh,1894,1,8,2,12,27,13,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8553,1.2672,,,,,,,,,,,,,,,,,,,,,,,,,,18508,586.3147,0.23665999999999998,11,0.3485,3,0.095,4,27.0,0.8553,16125,11986,379.7043,0.28779699999999997,14010.0,,284.0,273.0,11,5,0,8.9968,4572.0,4609.0,89.0,3005.0,4289.0,78.0,1567.0,320.0,11.0,7043.0,7957.0,145.0,4495.0,6192.0,116.0,2548.0,1765.0,29.0
30841,6263-7834,complete,https://lpl.qq.com/es/stats.shtml?bmid=6263,LDL,2020,Summer,0,2020-06-10 07:17:00,1,10.11,2,Blue,jng,Aria,Royal Club,Trundle,LeBlanc,Lee Sin,Yuumi,Leona,Thresh,1894,1,7,1,18,27,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8553,1.2672,,,,,,,,,,,,,,,,,,,,,,,,,,8389,265.755,0.107269,13,0.4118,15,0.4752,11,58.0,1.8374,12559,8420,266.7371,0.20217100000000002,10825.0,,116.0,28.0,88,35,6,3.6748,4294.0,3148.0,48.0,3183.0,2580.0,48.0,1111.0,568.0,0.0,6572.0,5415.0,70.0,4622.0,4520.0,79.0,1950.0,895.0,-9.0
30842,6263-7834,complete,https://lpl.qq.com/es/stats.shtml?bmid=6263,LDL,2020,Summer,0,2020-06-10 07:17:00,1,10.11,3,Blue,mid,Yuekai,Royal Club,Zoe,LeBlanc,Lee Sin,Yuumi,Leona,Thresh,1894,1,3,3,8,27,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8553,1.2672,,,,,,,,,,,,,,,,,,,,,,,,,,17973,569.3664,0.229819,11,0.3485,6,0.1901,2,16.0,0.5069,11755,7616,241.2672,0.182865,10775.0,,220.0,180.0,40,28,9,6.9694,3775.0,4554.0,78.0,3237.0,3947.0,71.0,538.0,607.0,7.0,5834.0,7017.0,125.0,4439.0,5620.0,98.0,1395.0,1397.0,27.0
30843,6263-7834,complete,https://lpl.qq.com/es/stats.shtml?bmid=6263,LDL,2020,Summer,0,2020-06-10 07:17:00,1,10.11,4,Blue,bot,Such,Royal Club,Ezreal,LeBlanc,Lee Sin,Yuumi,Leona,Thresh,1894,1,8,3,8,27,13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8553,1.2672,,,,,,,,,,,,,,,,,,,,,,,,,,30232,957.7191,0.386574,13,0.4118,10,0.3168,4,46.0,1.4572,13825,9686,306.8427,0.23256999999999997,12250.0,,251.0,222.0,29,18,11,7.9514,3381.0,3400.0,77.0,3606.0,3422.0,80.0,-225.0,-22.0,-3.0,5300.0,5809.0,125.0,5958.0,6447.0,128.0,-658.0,-638.0,-3.0
30844,6263-7834,complete,https://lpl.qq.com/es/stats.shtml?bmid=6263,LDL,2020,Summer,0,2020-06-10 07:17:00,1,10.11,5,Blue,sup,Lele,Royal Club,Tahm Kench,LeBlanc,Lee Sin,Yuumi,Leona,Thresh,1894,1,1,4,13,27,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8553,1.2672,,,,,,,,,,,,,,,,,,,,,,,,,,3103,98.2999,0.0396778,36,1.1404,4,0.1267,6,49.0,1.5523,8079,3940,124.8152,0.09459780000000001,7300.0,,30.0,30.0,0,0,0,0.9504,2345.0,2138.0,12.0,2336.0,2215.0,13.0,9.0,-77.0,-1.0,4045.0,4064.0,21.0,3420.0,3546.0,28.0,625.0,518.0,-7.0
30845,6263-7834,complete,https://lpl.qq.com/es/stats.shtml?bmid=6263,LDL,2020,Summer,0,2020-06-10 07:17:00,1,10.11,6,Red,top,yaoyang,JingNetGame,Jax,Wukong,Sett,Varus,Karma,Jayce,1894,0,4,10,2,13,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4118,1.2672,,,,,,,,,,,,,,,,,,,,,,,,,,21119,669.0285,0.292389,8,0.2534,2,0.0634,0,16.0,0.5069,13067,8928,282.83,0.273408,12633.0,,221.0,190.0,31,9,8,7.0011,3005.0,4289.0,78.0,4572.0,4609.0,89.0,-1567.0,-320.0,-11.0,4495.0,6192.0,116.0,7043.0,7957.0,145.0,-2548.0,-1765.0,-29.0
30846,6263-7834,complete,https://lpl.qq.com/es/stats.shtml?bmid=6263,LDL,2020,Summer,0,2020-06-10 07:17:00,1,10.11,7,Red,jng,Bandao,JingNetGame,Elise,Wukong,Sett,Varus,Karma,Jayce,1894,0,1,6,2,13,27,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4118,1.2672,,,,,,,,,,,,,,,,,,,,,,,,,,12571,398.2365,0.174044,30,0.9504,13,0.4118,11,67.0,2.1225,9076,4937,156.3992,0.15118399999999999,9050.0,,157.0,42.0,115,77,7,4.9736,3183.0,2580.0,48.0,4294.0,3148.0,48.0,-1111.0,-568.0,0.0,4622.0,4520.0,79.0,6572.0,5415.0,70.0,-1950.0,-895.0,9.0
30847,6263-7834,complete,https://lpl.qq.com/es/stats.shtml?bmid=6263,LDL,2020,Summer,0,2020-06-10 07:17:00,1,10.11,8,Red,mid,Punk,JingNetGame,Pantheon,Wukong,Sett,Varus,Karma,Jayce,1894,0,4,4,2,13,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4118,1.2672,,,,,,,,,,,,,,,,,,,,,,,,,,8429,267.0222,0.116698,19,0.6019,4,0.1267,10,34.0,1.0771,9867,5728,181.4572,0.17540799999999998,8900.0,,180.0,176.0,4,0,4,5.7022,3237.0,3947.0,71.0,3775.0,4554.0,78.0,-538.0,-607.0,-7.0,4439.0,5620.0,98.0,5834.0,7017.0,125.0,-1395.0,-1397.0,-27.0
30848,6263-7834,complete,https://lpl.qq.com/es/stats.shtml?bmid=6263,LDL,2020,Summer,0,2020-06-10 07:17:00,1,10.11,9,Red,bot,Yifan,JingNetGame,Aphelios,Wukong,Sett,Varus,Karma,Jayce,1894,0,4,4,6,13,27,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4118,1.2672,,,,,,,,,,,,,,,,,,,,,,,,,,22083,699.5671,0.305736,12,0.3801,6,0.1901,4,37.0,1.1721,14028,9889,313.2735,0.302838,14350.0,,305.0,269.0,36,36,0,9.6621,3606.0,3422.0,80.0,3381.0,3400.0,77.0,225.0,22.0,3.0,5958.0,6447.0,128.0,5300.0,5809.0,125.0,658.0,638.0,3.0
30849,6263-7834,complete,https://lpl.qq.com/es/stats.shtml?bmid=6263,LDL,2020,Summer,0,2020-06-10 07:17:00,1,10.11,10,Red,sup,yuWWuu,JingNetGame,Galio,Wukong,Sett,Varus,Karma,Jayce,1894,0,0,3,9,13,27,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4118,1.2672,,,,,,,,,,,,,,,,,,,,,,,,,,8027,254.2872,0.111133,50,1.5839,13,0.4118,15,86.0,2.7244,7312,3173,100.5174,0.09716169999999999,6475.0,,44.0,44.0,0,0,0,1.3939,2336.0,2215.0,13.0,2345.0,2138.0,12.0,-9.0,77.0,1.0,3420.0,3546.0,28.0,4045.0,4064.0,21.0,-625.0,-518.0,7.0
