,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
18840,ESPORTSTMNT06/1180167,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180167?gameHash=7fb2e99195f221b2,EM,2020,Spring,0,2020-04-06 15:24:23,1,10.07,1,Blue,top,Godux,PIGSPORTS,Ornn,Rumble,Gragas,Zoe,Yuumi,Azir,2040,0,2,3,2,6,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1765,0.7059,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,11447,336.6765,0.168153,10,0.2941,3,0.0882,2,16.0,0.4706,10050,5613,165.0882,0.20189200000000002,9800.0,,204.0,204.0,0,0,0,6.0,2896.0,4613.0,71.0,3479.0,4800.0,94.0,-583.0,-187.0,-23.0,4708.0,7370.0,106.0,6646.0,7361.0,140.0,-1938.0,9.0,-34.0
18841,ESPORTSTMNT06/1180167,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180167?gameHash=7fb2e99195f221b2,EM,2020,Spring,0,2020-04-06 15:24:23,1,10.07,2,Blue,jng,Twiizt,PIGSPORTS,Graves,Rumble,Gragas,Zoe,Yuumi,Azir,2040,0,3,3,2,6,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1765,0.7059,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12664,372.4706,0.18603,8,0.2353,9,0.2647,8,36.0,1.0588,11343,6906,203.1176,0.248401,10950.0,,216.0,85.0,131,97,5,6.3529,2974.0,3115.0,59.0,3253.0,2589.0,48.0,-279.0,526.0,11.0,4443.0,4662.0,81.0,5478.0,4344.0,79.0,-1035.0,318.0,2.0
18842,ESPORTSTMNT06/1180167,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180167?gameHash=7fb2e99195f221b2,EM,2020,Spring,0,2020-04-06 15:24:23,1,10.07,3,Blue,mid,mag1cian,PIGSPORTS,Orianna,Rumble,Gragas,Zoe,Yuumi,Azir,2040,0,1,3,3,6,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1765,0.7059,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,14621,430.0294,0.21477800000000002,16,0.4706,11,0.3235,6,42.0,1.2353,12906,8469,249.0882,0.304622,11610.0,,322.0,294.0,28,28,0,9.4706,3347.0,4707.0,91.0,3505.0,4708.0,91.0,-158.0,-1.0,0.0,5619.0,7288.0,147.0,6072.0,7644.0,147.0,-453.0,-356.0,0.0
18843,ESPORTSTMNT06/1180167,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180167?gameHash=7fb2e99195f221b2,EM,2020,Spring,0,2020-04-06 15:24:23,1,10.07,4,Blue,bot,Klydex,PIGSPORTS,Senna,Rumble,Gragas,Zoe,Yuumi,Azir,2040,0,0,2,4,6,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1765,0.7059,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,16680,490.5882,0.245024,25,0.7353,21,0.6176,1,72.0,2.1176,7572,3135,92.2059,0.112759,7275.0,,42.0,42.0,0,0,0,1.2353,2172.0,2700.0,7.0,3468.0,3127.0,80.0,-1296.0,-427.0,-73.0,3451.0,4229.0,8.0,5612.0,5064.0,121.0,-2161.0,-835.0,-113.0
18844,ESPORTSTMNT06/1180167,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180167?gameHash=7fb2e99195f221b2,EM,2020,Spring,0,2020-04-06 15:24:23,1,10.07,5,Blue,sup,bAZZILISKS,PIGSPORTS,Maokai,Rumble,Gragas,Zoe,Yuumi,Azir,2040,0,0,7,1,6,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1765,0.7059,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12663,372.4412,0.186015,10,0.2941,3,0.0882,1,14.0,0.4118,8116,3679,108.2059,0.132326,8075.0,,163.0,163.0,0,0,0,4.7941,2841.0,2579.0,66.0,2195.0,2472.0,13.0,646.0,107.0,53.0,4167.0,4155.0,95.0,3360.0,3778.0,19.0,807.0,377.0,76.0
18845,ESPORTSTMNT06/1180167,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180167?gameHash=7fb2e99195f221b2,EM,2020,Spring,0,2020-04-06 15:24:23,1,10.07,6,Red,top,iBo,K1ck Neosurf,Renekton,Urgot,Syndra,Jarvan IV,Lee Sin,Cassiopeia,2040,1,1,2,7,18,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5294,0.7059,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,19999,588.2059,0.175367,15,0.4412,3,0.0882,5,34.0,1.0,15089,10652,313.2941,0.241921,14775.0,,289.0,248.0,41,17,9,8.5,3479.0,4800.0,94.0,2896.0,4613.0,71.0,583.0,187.0,23.0,6646.0,7361.0,140.0,4708.0,7370.0,106.0,1938.0,-9.0,34.0
18846,ESPORTSTMNT06/1180167,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180167?gameHash=7fb2e99195f221b2,EM,2020,Spring,0,2020-04-06 15:24:23,1,10.07,7,Red,jng,Shlatan,K1ck Neosurf,Elise,Urgot,Syndra,Jarvan IV,Lee Sin,Cassiopeia,2040,1,4,1,8,18,6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5294,0.7059,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,19671,578.5588,0.172491,27,0.7941,9,0.2647,12,58.0,1.7059,12018,7581,222.9706,0.172174,11100.0,,166.0,34.0,132,77,12,4.8824,3253.0,2589.0,48.0,2974.0,3115.0,59.0,279.0,-526.0,-11.0,5478.0,4344.0,79.0,4443.0,4662.0,81.0,1035.0,-318.0,-2.0
18847,ESPORTSTMNT06/1180167,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180167?gameHash=7fb2e99195f221b2,EM,2020,Spring,0,2020-04-06 15:24:23,1,10.07,8,Red,mid,Matislaw,K1ck Neosurf,Corki,Urgot,Syndra,Jarvan IV,Lee Sin,Cassiopeia,2040,1,8,2,2,18,6,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5294,0.7059,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,30345,892.5,0.26608899999999996,15,0.4412,6,0.1765,8,30.0,0.8824,15815,11378,334.6471,0.25841,14383.0,,306.0,276.0,30,17,3,9.0,3505.0,4708.0,91.0,3347.0,4707.0,91.0,158.0,1.0,0.0,6072.0,7644.0,147.0,5619.0,7288.0,147.0,453.0,356.0,0.0
18848,ESPORTSTMNT06/1180167,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180167?gameHash=7fb2e99195f221b2,EM,2020,Spring,0,2020-04-06 15:24:23,1,10.07,9,Red,bot,Puki Style,K1ck Neosurf,Ezreal,Urgot,Syndra,Jarvan IV,Lee Sin,Cassiopeia,2040,1,5,0,9,18,6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5294,0.7059,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,37157,1092.8529,0.325821,17,0.5,9,0.2647,7,45.0,1.3235,15370,10933,321.5588,0.24830300000000002,14158.0,,309.0,271.0,38,16,14,9.0882,3468.0,3127.0,80.0,2172.0,2700.0,7.0,1296.0,427.0,73.0,5612.0,5064.0,121.0,3451.0,4229.0,8.0,2161.0,835.0,113.0
18849,ESPORTSTMNT06/1180167,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180167?gameHash=7fb2e99195f221b2,EM,2020,Spring,0,2020-04-06 15:24:23,1,10.07,10,Red,sup,Raxxo,K1ck Neosurf,Braum,Urgot,Syndra,Jarvan IV,Lee Sin,Cassiopeia,2040,1,0,1,12,18,6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5294,0.7059,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6869,202.0294,0.0602327,46,1.3529,9,0.2647,15,71.0,2.0882,7924,3487,102.5588,0.0791915,7225.0,,30.0,30.0,0,0,0,0.8824,2195.0,2472.0,13.0,2841.0,2579.0,66.0,-646.0,-107.0,-53.0,3360.0,3778.0,19.0,4167.0,4155.0,95.0,-807.0,-377.0,-76.0
18850,ESPORTSTMNT06/1180167,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180167?gameHash=7fb2e99195f221b2,EM,2020,Spring,0,2020-04-06 15:24:23,1,10.07,100,Blue,team,,PIGSPORTS,,Rumble,Gragas,Zoe,Yuumi,Azir,2040,0,6,18,12,6,18,0.0,0.0,0.0,0.0,0.0,,,,0.1765,0.7059,0.0,3.0,2.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,11.0,1.0,0.0,0.0,3.0,68075,2002.2059,,69,2.0294,47,1.3824,18,180.0,5.2941,49987,27801,817.6765,,47710.0,-0.254794,,788.0,159,125,5,27.8529,14230.0,17714.0,294.0,15900.0,17696.0,326.0,-1670.0,18.0,-32.0,22388.0,27704.0,437.0,27168.0,28191.0,506.0,-4780.0,-487.0,-69.0
