,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
576,ESPORTSTMNT01/1270591,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1270591?gameHash=73f2675ff7fc5920&amp;tab=overview,LFL,2020,Spring,0,2020-01-21 22:16:13,1,10.01,1,Blue,top,Doxy,Vitality.Bee,Rumble,Mordekaiser,Leona,Aphelios,Gragas,LeBlanc,1812,1,6,2,11,23,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.7616,1.0927,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,17260,571.5232,0.300555,15,0.4967,3,0.0993,10,26.0,0.8609,11125,7153,236.8543,0.19154300000000002,11200.0,,186.0,177.0,9,3,5,6.1589,3608.0,4682.0,75.0,2861.0,4032.0,67.0,747.0,650.0,8.0,5227.0,6965.0,112.0,4653.0,6342.0,100.0,574.0,623.0,12.0
577,ESPORTSTMNT01/1270591,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1270591?gameHash=73f2675ff7fc5920&amp;tab=overview,LFL,2020,Spring,0,2020-01-21 22:16:13,1,10.01,2,Blue,jng,Nji,Vitality.Bee,Jarvan IV,Mordekaiser,Leona,Aphelios,Gragas,LeBlanc,1812,1,2,2,18,23,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7616,1.0927,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5070,167.8808,0.088286,13,0.4305,16,0.5298,13,50.0,1.6556,9745,5773,191.1589,0.154589,8325.0,,118.0,24.0,94,65,0,3.9073,2954.0,2948.0,52.0,3225.0,3502.0,69.0,-271.0,-554.0,-17.0,4262.0,4558.0,76.0,4956.0,5589.0,100.0,-694.0,-1031.0,-24.0
578,ESPORTSTMNT01/1270591,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1270591?gameHash=73f2675ff7fc5920&amp;tab=overview,LFL,2020,Spring,0,2020-01-21 22:16:13,1,10.01,3,Blue,mid,Saken,Vitality.Bee,Cassiopeia,Mordekaiser,Leona,Aphelios,Gragas,LeBlanc,1812,1,11,3,7,23,10,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7616,1.0927,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,14898,493.3113,0.259425,22,0.7285,9,0.298,12,48.0,1.5894,15176,11204,370.9934,0.30002199999999996,13950.0,,261.0,236.0,25,13,1,8.6424,3253.0,4398.0,89.0,3832.0,5587.0,104.0,-579.0,-1189.0,-15.0,5600.0,6833.0,139.0,5776.0,7929.0,142.0,-176.0,-1096.0,-3.0
579,ESPORTSTMNT01/1270591,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1270591?gameHash=73f2675ff7fc5920&amp;tab=overview,LFL,2020,Spring,0,2020-01-21 22:16:13,1,10.01,4,Blue,bot,Lucker,Vitality.Bee,Miss Fortune,Mordekaiser,Leona,Aphelios,Gragas,LeBlanc,1812,1,3,1,14,23,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7616,1.0927,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,17143,567.649,0.298518,10,0.3311,8,0.2649,4,30.0,0.9934,13513,9541,315.9272,0.25549,12150.0,,301.0,272.0,29,13,4,9.9669,3218.0,3298.0,82.0,3131.0,2945.0,83.0,87.0,353.0,-1.0,5312.0,5552.0,135.0,5304.0,4884.0,126.0,8.0,668.0,9.0
580,ESPORTSTMNT01/1270591,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1270591?gameHash=73f2675ff7fc5920&amp;tab=overview,LFL,2020,Spring,0,2020-01-21 22:16:13,1,10.01,5,Blue,sup,Steeelback,Vitality.Bee,Rakan,Mordekaiser,Leona,Aphelios,Gragas,LeBlanc,1812,1,1,2,17,23,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7616,1.0927,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3056,101.1921,0.0532154,52,1.7219,8,0.2649,18,80.0,2.649,7645,3673,121.6225,0.0983547,6600.0,,27.0,27.0,0,0,0,0.894,2042.0,2081.0,14.0,1955.0,2524.0,13.0,87.0,-443.0,1.0,3296.0,3303.0,20.0,3348.0,4540.0,27.0,-52.0,-1237.0,-7.0
581,ESPORTSTMNT01/1270591,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1270591?gameHash=73f2675ff7fc5920&amp;tab=overview,LFL,2020,Spring,0,2020-01-21 22:16:13,1,10.01,6,Red,top,Bando,LDLC OL,Camille,Akali,Qiyana,Lucian,Renekton,Gangplank,1812,0,2,6,2,10,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3311,1.0927,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9441,312.6159,0.20815300000000003,12,0.3974,3,0.0993,3,24.0,0.7947,11329,7357,243.6093,0.251539,9758.0,,232.0,216.0,16,12,4,7.6821,2861.0,4032.0,67.0,3608.0,4682.0,75.0,-747.0,-650.0,-8.0,4653.0,6342.0,100.0,5227.0,6965.0,112.0,-574.0,-623.0,-12.0
582,ESPORTSTMNT01/1270591,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1270591?gameHash=73f2675ff7fc5920&amp;tab=overview,LFL,2020,Spring,0,2020-01-21 22:16:13,1,10.01,7,Red,jng,TynX,LDLC OL,Rek'Sai,Akali,Qiyana,Lucian,Renekton,Gangplank,1812,0,2,3,1,10,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3311,1.0927,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5039,166.8543,0.111099,10,0.3311,11,0.3642,11,43.0,1.4238,9376,5404,178.9404,0.184765,9100.0,,168.0,26.0,142,87,12,5.5629,3225.0,3502.0,69.0,2954.0,2948.0,52.0,271.0,554.0,17.0,4956.0,5589.0,100.0,4262.0,4558.0,76.0,694.0,1031.0,24.0
583,ESPORTSTMNT01/1270591,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1270591?gameHash=73f2675ff7fc5920&amp;tab=overview,LFL,2020,Spring,0,2020-01-21 22:16:13,1,10.01,8,Red,mid,Vetheo,LDLC OL,Zoe,Akali,Qiyana,Lucian,Renekton,Gangplank,1812,0,4,4,4,10,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3311,1.0927,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,19120,633.1126,0.421554,10,0.3311,4,0.1325,4,19.0,0.6291,10973,7001,231.8212,0.239367,10300.0,,244.0,228.0,16,16,0,8.0795,3832.0,5587.0,104.0,3253.0,4398.0,89.0,579.0,1189.0,15.0,5776.0,7929.0,142.0,5600.0,6833.0,139.0,176.0,1096.0,3.0
584,ESPORTSTMNT01/1270591,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1270591?gameHash=73f2675ff7fc5920&amp;tab=overview,LFL,2020,Spring,0,2020-01-21 22:16:13,1,10.01,9,Red,bot,Monk,LDLC OL,Varus,Akali,Qiyana,Lucian,Renekton,Gangplank,1812,0,2,4,2,10,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3311,1.0927,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7810,258.6093,0.172193,11,0.3642,5,0.1656,4,25.0,0.8278,11188,7216,238.9404,0.246718,9720.0,,244.0,228.0,16,16,0,8.0795,3131.0,2945.0,83.0,3218.0,3298.0,82.0,-87.0,-353.0,1.0,5304.0,4884.0,126.0,5312.0,5552.0,135.0,-8.0,-668.0,-9.0
585,ESPORTSTMNT01/1270591,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1270591?gameHash=73f2675ff7fc5920&amp;tab=overview,LFL,2020,Spring,0,2020-01-21 22:16:13,1,10.01,10,Red,sup,YellOwStaR,LDLC OL,Braum,Akali,Qiyana,Lucian,Renekton,Gangplank,1812,0,0,6,5,10,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3311,1.0927,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3946,130.6623,0.08700060000000001,39,1.2914,8,0.2649,9,62.0,2.053,6242,2270,75.1656,0.0776105,5825.0,,38.0,38.0,0,0,0,1.2583,1955.0,2524.0,13.0,2042.0,2081.0,14.0,-87.0,443.0,-1.0,3348.0,4540.0,27.0,3296.0,3303.0,20.0,52.0,1237.0,7.0
