,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
23532,6137-7649,complete,https://lpl.qq.com/es/stats.shtml?bmid=6137,LDL,2020,Spring,0,2020-04-18 07:16:00,1,10.06,1,Blue,top,Clowz,WanZhen Esports Club,Sett,Nocturne,Irelia,Wukong,Fizz,Pantheon,2053,0,2,5,3,12,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3507,0.9644,,,,,,,,,,,,,,,,,,,,,,,,,,10097,295.0901,0.195929,17,0.4968,4,0.1169,6,26.0,0.7599,10316,5852,171.0278,0.174787,9970.0,,217.0,209.0,8,3,0,6.3419,3001.0,4884.0,76.0,3255.0,5065.0,82.0,-254.0,-181.0,-6.0,4630.0,7220.0,120.0,4962.0,7667.0,130.0,-332.0,-447.0,-10.0
23533,6137-7649,complete,https://lpl.qq.com/es/stats.shtml?bmid=6137,LDL,2020,Spring,0,2020-04-18 07:16:00,1,10.06,2,Blue,jng,sixsix9,WanZhen Esports Club,Lee Sin,Nocturne,Irelia,Wukong,Fizz,Pantheon,2053,0,6,2,4,12,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3507,0.9644,,,,,,,,,,,,,,,,,,,,,,,,,,7162,209.3132,0.138976,21,0.6137,7,0.2046,13,33.0,0.9644,11645,7181,209.8685,0.214479,11000.0,,155.0,18.0,137,110,1,4.53,3728.0,3486.0,59.0,3572.0,3891.0,72.0,156.0,-405.0,-13.0,5802.0,5493.0,92.0,5539.0,5837.0,106.0,263.0,-344.0,-14.0
23534,6137-7649,complete,https://lpl.qq.com/es/stats.shtml?bmid=6137,LDL,2020,Spring,0,2020-04-18 07:16:00,1,10.06,3,Blue,mid,Truth,WanZhen Esports Club,Syndra,Nocturne,Irelia,Wukong,Fizz,Pantheon,2053,0,2,2,5,12,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3507,0.9644,,,,,,,,,,,,,,,,,,,,,,,,,,17501,511.4759,0.33960100000000004,13,0.3799,2,0.0585,7,22.0,0.643,11991,7527,219.9805,0.224813,12150.0,,269.0,251.0,18,14,0,7.8617,3224.0,4869.0,90.0,3508.0,5052.0,84.0,-284.0,-183.0,6.0,5519.0,7711.0,146.0,5085.0,7129.0,118.0,434.0,582.0,28.0
23535,6137-7649,complete,https://lpl.qq.com/es/stats.shtml?bmid=6137,LDL,2020,Spring,0,2020-04-18 07:16:00,1,10.06,4,Blue,bot,Mine,WanZhen Esports Club,Kalista,Nocturne,Irelia,Wukong,Fizz,Pantheon,2053,0,2,6,7,12,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3507,0.9644,,,,,,,,,,,,,,,,,,,,,,,,,,11076,323.7019,0.21492600000000003,22,0.643,10,0.2923,1,40.0,1.169,14184,9720,284.0721,0.29031,14575.0,,300.0,262.0,38,34,0,8.7677,3477.0,2848.0,69.0,3178.0,2315.0,17.0,299.0,533.0,52.0,6541.0,5159.0,129.0,5224.0,3768.0,31.0,1317.0,1391.0,98.0
23536,6137-7649,complete,https://lpl.qq.com/es/stats.shtml?bmid=6137,LDL,2020,Spring,0,2020-04-18 07:16:00,1,10.06,5,Blue,sup,1874,WanZhen Esports Club,Blitzcrank,Nocturne,Irelia,Wukong,Fizz,Pantheon,2053,0,0,6,10,12,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3507,0.9644,,,,,,,,,,,,,,,,,,,,,,,,,,5698,166.527,0.110568,59,1.7243,12,0.3507,20,92.0,2.6887,7665,3201,93.5509,0.09561080000000001,7250.0,,38.0,38.0,0,0,0,1.1106,2296.0,2106.0,15.0,2960.0,3003.0,60.0,-664.0,-897.0,-45.0,4034.0,3640.0,23.0,5379.0,4855.0,100.0,-1345.0,-1215.0,-77.0
23537,6137-7649,complete,https://lpl.qq.com/es/stats.shtml?bmid=6137,LDL,2020,Spring,0,2020-04-18 07:16:00,1,10.06,6,Red,top,Garvey,LGD Gaming Young Team,Aatrox,Aphelios,Varus,Renekton,LeBlanc,Zoe,2053,1,4,2,8,21,12,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6137,0.9644,,,,,,,,,,,,,,,,,,,,,,,,,,15033,439.3473,0.20999600000000002,16,0.4676,2,0.0585,9,28.0,0.8183,13017,8553,249.9659,0.20914000000000002,12125.0,,259.0,226.0,33,13,3,7.5694,3255.0,5065.0,82.0,3001.0,4884.0,76.0,254.0,181.0,6.0,4962.0,7667.0,130.0,4630.0,7220.0,120.0,332.0,447.0,10.0
23538,6137-7649,complete,https://lpl.qq.com/es/stats.shtml?bmid=6137,LDL,2020,Spring,0,2020-04-18 07:16:00,1,10.06,7,Red,jng,Flora,LGD Gaming Young Team,Nidalee,Aphelios,Varus,Renekton,LeBlanc,Zoe,2053,1,9,2,12,21,12,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6137,0.9644,,,,,,,,,,,,,,,,,,,,,,,,,,20282,592.7521,0.28331999999999996,17,0.4968,15,0.4384,15,58.0,1.6951,14870,10406,304.1208,0.254448,12825.0,,246.0,39.0,207,152,20,7.1895,3572.0,3891.0,72.0,3728.0,3486.0,59.0,-156.0,405.0,13.0,5539.0,5837.0,106.0,5802.0,5493.0,92.0,-263.0,344.0,14.0
23539,6137-7649,complete,https://lpl.qq.com/es/stats.shtml?bmid=6137,LDL,2020,Spring,0,2020-04-18 07:16:00,1,10.06,8,Red,mid,Xzz,LGD Gaming Young Team,Qiyana,Aphelios,Varus,Renekton,LeBlanc,Zoe,2053,1,4,3,9,21,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6137,0.9644,,,,,,,,,,,,,,,,,,,,,,,,,,13218,386.303,0.184642,13,0.3799,5,0.1461,9,34.0,0.9937,12494,8030,234.681,0.196352,11625.0,,248.0,235.0,13,6,0,7.2479,3508.0,5052.0,84.0,3224.0,4869.0,90.0,284.0,183.0,-6.0,5085.0,7129.0,118.0,5519.0,7711.0,146.0,-434.0,-582.0,-28.0
23540,6137-7649,complete,https://lpl.qq.com/es/stats.shtml?bmid=6137,LDL,2020,Spring,0,2020-04-18 07:16:00,1,10.06,9,Red,bot,Ylj,LGD Gaming Young Team,Senna,Aphelios,Varus,Renekton,LeBlanc,Zoe,2053,1,4,1,15,21,12,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6137,0.9644,,,,,,,,,,,,,,,,,,,,,,,,,,13967,408.1929,0.195105,57,1.6659,49,1.4321,16,143.0,4.1792,11917,7453,217.8178,0.18224300000000002,10200.0,,117.0,96.0,21,8,0,3.4194,3178.0,2315.0,17.0,3477.0,2848.0,69.0,-299.0,-533.0,-52.0,5224.0,3768.0,31.0,6541.0,5159.0,129.0,-1317.0,-1391.0,-98.0
23541,6137-7649,complete,https://lpl.qq.com/es/stats.shtml?bmid=6137,LDL,2020,Spring,0,2020-04-18 07:16:00,1,10.06,10,Red,sup,L7,LGD Gaming Young Team,Nautilus,Aphelios,Varus,Renekton,LeBlanc,Zoe,2053,1,0,4,18,21,12,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6137,0.9644,,,,,,,,,,,,,,,,,,,,,,,,,,9087,265.5723,0.126936,17,0.4968,2,0.0585,7,30.0,0.8768,10918,6454,188.6215,0.157816,9925.0,,187.0,187.0,0,0,0,5.4652,2960.0,3003.0,60.0,2296.0,2106.0,15.0,664.0,897.0,45.0,5379.0,4855.0,100.0,4034.0,3640.0,23.0,1345.0,1215.0,77.0
23542,6137-7649,complete,https://lpl.qq.com/es/stats.shtml?bmid=6137,LDL,2020,Spring,0,2020-04-18 07:16:00,1,10.06,100,Blue,team,,WanZhen Esports Club,,Nocturne,Irelia,Wukong,Fizz,Pantheon,2053,0,12,21,29,12,21,0.0,0.0,0.0,0.0,0.0,,,,0.3507,0.9644,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,2.0,0.0,,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,1.0,51534,1506.1081,,132,3.8578,35,1.0229,47,213.0,6.225,55801,33482,978.529,,54945.0,-0.0314389,,,201,161,1,,15726.0,18193.0,309.0,16473.0,19326.0,315.0,-747.0,-1133.0,-6.0,26526.0,29223.0,510.0,26189.0,29256.0,485.0,337.0,-33.0,25.0
23543,6137-7649,complete,https://lpl.qq.com/es/stats.shtml?bmid=6137,LDL,2020,Spring,0,2020-04-18 07:16:00,1,10.06,200,Red,team,,LGD Gaming Young Team,,Aphelios,Varus,Renekton,LeBlanc,Zoe,2053,1,21,12,62,21,12,3.0,2.0,0.0,0.0,1.0,,,,0.6137,0.9644,1.0,4.0,0.0,4.0,0.0,1.0,2.0,0.0,1.0,,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,1.0,7.0,3.0,1.0,1.0,1.0,0.0,71587,2092.1676,,120,3.5071,73,2.1335,56,293.0,8.5631,63216,40897,1195.2362,,56700.0,0.0314389,,,274,179,23,,16473.0,19326.0,315.0,15726.0,18193.0,309.0,747.0,1133.0,6.0,26189.0,29256.0,485.0,26526.0,29223.0,510.0,-337.0,33.0,-25.0
23592,6137-7650,complete,https://lpl.qq.com/es/stats.shtml?bmid=6137,LDL,2020,Spring,0,2020-04-18 08:12:00,2,10.06,1,Blue,top,Garvey,LGD Gaming Young Team,Wukong,Varus,Renekton,Thresh,Olaf,Zoe,1977,0,1,4,1,2,16,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0607,0.5463,,,,,,,,,,,,,,,,,,,,,,,,,,12682,384.8862,0.225847,12,0.3642,3,0.091,6,27.0,0.8194,10725,6416,194.7193,0.233596,11008.0,,238.0,218.0,20,12,0,7.2231,3228.0,4514.0,66.0,3269.0,4875.0,73.0,-41.0,-361.0,-7.0,4728.0,6928.0,107.0,5606.0,8231.0,125.0,-878.0,-1303.0,-18.0
23593,6137-7650,complete,https://lpl.qq.com/es/stats.shtml?bmid=6137,LDL,2020,Spring,0,2020-04-18 08:12:00,2,10.06,2,Blue,jng,Flora,LGD Gaming Young Team,Rek'Sai,Varus,Renekton,Thresh,Olaf,Zoe,1977,0,0,4,1,2,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0607,0.5463,,,,,,,,,,,,,,,,,,,,,,,,,,5642,171.2291,0.100475,10,0.3035,5,0.1517,9,34.0,1.0319,7603,3294,99.9697,0.11993499999999999,7250.0,,131.0,12.0,119,90,11,3.9757,2987.0,3145.0,58.0,3256.0,3310.0,63.0,-269.0,-165.0,-5.0,4477.0,5128.0,94.0,4965.0,5274.0,97.0,-488.0,-146.0,-3.0
23594,6137-7650,complete,https://lpl.qq.com/es/stats.shtml?bmid=6137,LDL,2020,Spring,0,2020-04-18 08:12:00,2,10.06,3,Blue,mid,Xzz,LGD Gaming Young Team,Cassiopeia,Varus,Renekton,Thresh,Olaf,Zoe,1977,0,0,4,1,2,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0607,0.5463,,,,,,,,,,,,,,,,,,,,,,,,,,14745,447.4962,0.262586,18,0.5463,4,0.1214,9,28.0,0.8498,11515,7206,218.695,0.262357,11125.0,,294.0,268.0,26,24,0,8.9226,3562.0,5085.0,93.0,3473.0,4831.0,88.0,89.0,254.0,5.0,5301.0,7747.0,144.0,5433.0,7717.0,143.0,-132.0,30.0,1.0
23595,6137-7650,complete,https://lpl.qq.com/es/stats.shtml?bmid=6137,LDL,2020,Spring,0,2020-04-18 08:12:00,2,10.06,4,Blue,bot,Ylj,LGD Gaming Young Team,Miss Fortune,Varus,Renekton,Thresh,Olaf,Zoe,1977,0,0,2,1,2,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0607,0.5463,,,,,,,,,,,,,,,,,,,,,,,,,,18010,546.5857,0.320731,7,0.2124,7,0.2124,1,23.0,0.698,12290,7981,242.2155,0.290572,12375.0,,310.0,288.0,22,18,0,9.4082,3254.0,2941.0,87.0,2297.0,2910.0,8.0,957.0,31.0,79.0,5522.0,5192.0,147.0,3661.0,4414.0,11.0,1861.0,778.0,136.0
23596,6137-7650,complete,https://lpl.qq.com/es/stats.shtml?bmid=6137,LDL,2020,Spring,0,2020-04-18 08:12:00,2,10.06,5,Blue,sup,L7,LGD Gaming Young Team,Nautilus,Varus,Renekton,Thresh,Olaf,Zoe,1977,0,1,2,0,2,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0607,0.5463,,,,,,,,,,,,,,,,,,,,,,,,,,5074,153.9909,0.0903603,50,1.5175,9,0.2731,11,79.0,2.3976,6878,2569,77.9666,0.09354,6425.0,,39.0,37.0,2,2,0,1.1836,2075.0,2912.0,14.0,3151.0,3030.0,80.0,-1076.0,-118.0,-66.0,3100.0,4278.0,20.0,5131.0,4697.0,125.0,-2031.0,-419.0,-105.0
23597,6137-7650,complete,https://lpl.qq.com/es/stats.shtml?bmid=6137,LDL,2020,Spring,0,2020-04-18 08:12:00,2,10.06,6,Red,top,Clowz,WanZhen Esports Club,Sett,Nocturne,Taric,Aphelios,Pantheon,Neeko,1977,1,1,2,9,16,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4856,0.5463,,,,,,,,,,,,,,,,,,,,,,,,,,14919,452.7769,0.233584,10,0.3035,2,0.0607,3,24.0,0.7284,13579,9270,281.3354,0.226494,11275.0,,299.0,273.0,26,12,13,9.0744,3269.0,4875.0,73.0,3228.0,4514.0,66.0,41.0,361.0,7.0,5606.0,8231.0,125.0,4728.0,6928.0,107.0,878.0,1303.0,18.0
23598,6137-7650,complete,https://lpl.qq.com/es/stats.shtml?bmid=6137,LDL,2020,Spring,0,2020-04-18 08:12:00,2,10.06,7,Red,jng,sixsix9,WanZhen Esports Club,Lee Sin,Nocturne,Taric,Aphelios,Pantheon,Neeko,1977,1,4,0,7,16,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4856,0.5463,,,,,,,,,,,,,,,,,,,,,,,,,,6982,211.8968,0.10931600000000001,20,0.607,8,0.2428,10,41.0,1.2443,12274,7965,241.7299,0.19460999999999998,11000.0,,204.0,32.0,172,88,13,6.1912,3256.0,3310.0,63.0,2987.0,3145.0,58.0,269.0,165.0,5.0,4965.0,5274.0,97.0,4477.0,5128.0,94.0,488.0,146.0,3.0
23599,6137-7650,complete,https://lpl.qq.com/es/stats.shtml?bmid=6137,LDL,2020,Spring,0,2020-04-18 08:12:00,2,10.06,8,Red,mid,Truth,WanZhen Esports Club,LeBlanc,Nocturne,Taric,Aphelios,Pantheon,Neeko,1977,1,7,0,4,16,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4856,0.5463,,,,,,,,,,,,,,,,,,,,,,,,,,19249,584.1882,0.30137800000000003,9,0.2731,4,0.1214,4,30.0,0.9105,14345,10036,304.5827,0.245209,12400.0,,300.0,272.0,28,16,8,9.1047,3473.0,4831.0,88.0,3562.0,5085.0,93.0,-89.0,-254.0,-5.0,5433.0,7717.0,143.0,5301.0,7747.0,144.0,132.0,-30.0,-1.0
