,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
24204,6140-7665,complete,https://lpl.qq.com/es/stats.shtml?bmid=6140,LDL,2020,Spring,0,2020-04-19 07:11:00,1,10.06,1,Blue,top,Decade,LNG Academy,Aatrox,Taric,LeBlanc,Wukong,Karma,Rumble,1682,1,0,0,6,10,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3567,0.4281,,,,,,,,,,,,,,,,,,,,,,,,,,5354,190.9869,0.17696800000000001,9,0.321,5,0.1784,1,25.0,0.8918,11531,7824,279.0963,0.22491799999999998,9725.0,,265.0,248.0,17,1,11,9.453,3351.0,4967.0,93.0,2953.0,4235.0,69.0,398.0,732.0,24.0,5644.0,7992.0,150.0,4913.0,7379.0,132.0,731.0,613.0,18.0
24205,6140-7665,complete,https://lpl.qq.com/es/stats.shtml?bmid=6140,LDL,2020,Spring,0,2020-04-19 07:11:00,1,10.06,2,Blue,jng,elves,LNG Academy,Lee Sin,Taric,LeBlanc,Wukong,Karma,Rumble,1682,1,2,1,6,10,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3567,0.4281,,,,,,,,,,,,,,,,,,,,,,,,,,6289,224.3401,0.207873,18,0.6421,14,0.4994,10,51.0,1.8193,10219,6512,232.2949,0.187202,10125.0,,183.0,16.0,167,94,14,6.5279,3446.0,3836.0,72.0,3537.0,3360.0,65.0,-91.0,476.0,7.0,5036.0,5976.0,108.0,5132.0,5519.0,104.0,-96.0,457.0,4.0
24206,6140-7665,complete,https://lpl.qq.com/es/stats.shtml?bmid=6140,LDL,2020,Spring,0,2020-04-19 07:11:00,1,10.06,3,Blue,mid,Ohb,LNG Academy,Zoe,Taric,LeBlanc,Wukong,Karma,Rumble,1682,1,3,0,5,10,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3567,0.4281,,,,,,,,,,,,,,,,,,,,,,,,,,9568,341.308,0.316256,15,0.5351,12,0.4281,8,49.0,1.7479,10692,6985,249.1677,0.200799,9875.0,,221.0,209.0,12,12,0,7.8835,3261.0,4988.0,83.0,3480.0,4864.0,96.0,-219.0,124.0,-13.0,5057.0,7777.0,130.0,5015.0,6886.0,137.0,42.0,891.0,-7.0
24207,6140-7665,complete,https://lpl.qq.com/es/stats.shtml?bmid=6140,LDL,2020,Spring,0,2020-04-19 07:11:00,1,10.06,4,Blue,bot,Picachu,LNG Academy,Miss Fortune,Taric,LeBlanc,Wukong,Karma,Rumble,1682,1,5,1,1,10,2,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3567,0.4281,,,,,,,,,,,,,,,,,,,,,,,,,,7116,253.8407,0.235209,11,0.3924,10,0.3567,4,35.0,1.2485,13778,10071,359.2509,0.289511,12450.0,,298.0,250.0,48,44,0,10.6302,3846.0,3336.0,93.0,3600.0,2875.0,82.0,246.0,461.0,11.0,6502.0,5696.0,150.0,5617.0,5166.0,143.0,885.0,530.0,7.0
24208,6140-7665,complete,https://lpl.qq.com/es/stats.shtml?bmid=6140,LDL,2020,Spring,0,2020-04-19 07:11:00,1,10.06,5,Blue,sup,BlueWhale,LNG Academy,Nautilus,Taric,LeBlanc,Wukong,Karma,Rumble,1682,1,0,0,7,10,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3567,0.4281,,,,,,,,,,,,,,,,,,,,,,,,,,1927,68.7396,0.0636941,40,1.4269,9,0.321,10,65.0,2.3187,7101,3394,121.0702,0.0975698,6450.0,,36.0,35.0,1,0,1,1.2842,2400.0,2425.0,13.0,2467.0,2368.0,14.0,-67.0,57.0,-1.0,3583.0,3706.0,20.0,3628.0,4028.0,23.0,-45.0,-322.0,-3.0
24209,6140-7665,complete,https://lpl.qq.com/es/stats.shtml?bmid=6140,LDL,2020,Spring,0,2020-04-19 07:11:00,1,10.06,6,Red,top,Puzzle,Young Miracles,Kennen,Thresh,Renekton,Aphelios,Rakan,Sett,1682,0,0,1,1,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0713,0.4281,,,,,,,,,,,,,,,,,,,,,,,,,,5118,182.5684,0.215123,8,0.2854,3,0.107,4,20.0,0.7134,8850,5143,183.4602,0.209141,8600.0,,219.0,218.0,1,1,0,7.8121,2953.0,4235.0,69.0,3351.0,4967.0,93.0,-398.0,-732.0,-24.0,4913.0,7379.0,132.0,5644.0,7992.0,150.0,-731.0,-613.0,-18.0
24210,6140-7665,complete,https://lpl.qq.com/es/stats.shtml?bmid=6140,LDL,2020,Spring,0,2020-04-19 07:11:00,1,10.06,7,Red,jng,XiaoXuan,Young Miracles,Graves,Thresh,Renekton,Aphelios,Rakan,Sett,1682,0,1,1,1,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0713,0.4281,,,,,,,,,,,,,,,,,,,,,,,,,,4461,159.132,0.18750799999999998,11,0.3924,18,0.6421,9,50.0,1.7836,8757,5050,180.1427,0.20536,8600.0,,162.0,30.0,132,97,7,5.7788,3537.0,3360.0,65.0,3446.0,3836.0,72.0,91.0,-476.0,-7.0,5132.0,5519.0,104.0,5036.0,5976.0,108.0,96.0,-457.0,-4.0
24211,6140-7665,complete,https://lpl.qq.com/es/stats.shtml?bmid=6140,LDL,2020,Spring,0,2020-04-19 07:11:00,1,10.06,8,Red,mid,badboy,Young Miracles,Syndra,Thresh,Renekton,Aphelios,Rakan,Sett,1682,0,0,4,0,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0713,0.4281,,,,,,,,,,,,,,,,,,,,,,,,,,8114,289.4411,0.341053,13,0.4637,4,0.1427,4,29.0,1.0345,8715,5008,178.6445,0.203652,7275.0,,233.0,221.0,12,11,0,8.3115,3480.0,4864.0,96.0,3261.0,4988.0,83.0,219.0,-124.0,13.0,5015.0,6886.0,137.0,5057.0,7777.0,130.0,-42.0,-891.0,7.0
24212,6140-7665,complete,https://lpl.qq.com/es/stats.shtml?bmid=6140,LDL,2020,Spring,0,2020-04-19 07:11:00,1,10.06,9,Red,bot,xing,Young Miracles,Varus,Thresh,Renekton,Aphelios,Rakan,Sett,1682,0,1,1,1,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0713,0.4281,,,,,,,,,,,,,,,,,,,,,,,,,,5660,201.9025,0.237905,13,0.4637,12,0.4281,5,40.0,1.4269,10922,7215,257.3722,0.293398,10425.0,,260.0,235.0,25,21,0,9.2747,3600.0,2875.0,82.0,3846.0,3336.0,93.0,-246.0,-461.0,-11.0,5617.0,5166.0,143.0,6502.0,5696.0,150.0,-885.0,-530.0,-7.0
24213,6140-7665,complete,https://lpl.qq.com/es/stats.shtml?bmid=6140,LDL,2020,Spring,0,2020-04-19 07:11:00,1,10.06,10,Red,sup,MaRco,Young Miracles,Braum,Thresh,Renekton,Aphelios,Rakan,Sett,1682,0,0,3,1,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0713,0.4281,,,,,,,,,,,,,,,,,,,,,,,,,,438,15.6243,0.018410299999999998,44,1.5696,5,0.1784,16,58.0,2.069,5882,2175,77.5862,0.08844969999999999,5800.0,,29.0,28.0,1,0,1,1.0345,2467.0,2368.0,14.0,2400.0,2425.0,13.0,67.0,-57.0,1.0,3628.0,4028.0,23.0,3583.0,3706.0,20.0,45.0,322.0,3.0
