,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
1188,ESPORTSTMNT01/1300935,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1300935?gameHash=67fa5d5bc78168f8&amp;tab=overview,OPL,2020,Split 1,0,2020-01-31 05:12:09,1,10.02,1,Blue,top,Dragku,Avant Gaming,Mordekaiser,Syndra,Jarvan IV,Lucian,LeBlanc,Ryze,1827,0,0,4,0,6,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197,0.624,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,8277,271.8227,0.22379899999999997,11,0.3612,1,0.0328,2,17.0,0.5583,8252,4249,139.5402,0.163993,7800.0,,173.0,150.0,23,10,0,5.6814,2515.0,3950.0,50.0,3358.0,4867.0,82.0,-843.0,-917.0,-32.0,3889.0,5916.0,81.0,5084.0,7310.0,128.0,-1195.0,-1394.0,-47.0
1189,ESPORTSTMNT01/1300935,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1300935?gameHash=67fa5d5bc78168f8&amp;tab=overview,OPL,2020,Split 1,0,2020-01-31 05:12:09,1,10.02,2,Blue,jng,LeeSA,Avant Gaming,Olaf,Syndra,Jarvan IV,Lucian,LeBlanc,Ryze,1827,0,0,2,3,6,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197,0.624,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4978,163.4811,0.134599,9,0.2956,9,0.2956,11,38.0,1.2479,8209,4206,138.1281,0.162333,8200.0,,155.0,28.0,127,63,15,5.0903,2990.0,3243.0,65.0,2937.0,2704.0,54.0,53.0,539.0,11.0,4621.0,5137.0,97.0,4268.0,4231.0,85.0,353.0,906.0,12.0
1190,ESPORTSTMNT01/1300935,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1300935?gameHash=67fa5d5bc78168f8&amp;tab=overview,OPL,2020,Split 1,0,2020-01-31 05:12:09,1,10.02,3,Blue,mid,Chazz,Avant Gaming,Zoe,Syndra,Jarvan IV,Lucian,LeBlanc,Ryze,1827,0,1,2,1,6,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197,0.624,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10510,345.156,0.284177,12,0.3941,5,0.1642,8,39.0,1.2808,9639,5636,185.0903,0.217521,9685.0,,238.0,211.0,27,19,8,7.8161,3346.0,4793.0,90.0,3552.0,4831.0,88.0,-206.0,-38.0,2.0,5115.0,7748.0,147.0,5714.0,8012.0,155.0,-599.0,-264.0,-8.0
1191,ESPORTSTMNT01/1300935,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1300935?gameHash=67fa5d5bc78168f8&amp;tab=overview,OPL,2020,Split 1,0,2020-01-31 05:12:09,1,10.02,4,Blue,bot,Gunkrab,Avant Gaming,Aphelios,Syndra,Jarvan IV,Lucian,LeBlanc,Ryze,1827,0,5,3,1,6,13,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.197,0.624,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10781,354.0558,0.291504,17,0.5583,12,0.3941,8,45.0,1.4778,13064,9061,297.5698,0.34970100000000004,13250.0,,261.0,234.0,27,26,0,8.5714,3920.0,3365.0,82.0,3162.0,2931.0,82.0,758.0,434.0,0.0,6591.0,5571.0,134.0,4764.0,4742.0,131.0,1827.0,829.0,3.0
1192,ESPORTSTMNT01/1300935,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1300935?gameHash=67fa5d5bc78168f8&amp;tab=overview,OPL,2020,Split 1,0,2020-01-31 05:12:09,1,10.02,5,Blue,sup,Api,Avant Gaming,Braum,Syndra,Jarvan IV,Lucian,LeBlanc,Ryze,1827,0,0,2,6,6,13,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.197,0.624,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2438,80.0657,0.06592039999999999,41,1.3465,9,0.2956,16,69.0,2.266,6761,2758,90.5747,0.106451,6400.0,,29.0,29.0,0,0,0,0.9524,2394.0,2561.0,12.0,2055.0,2630.0,11.0,339.0,-69.0,1.0,3852.0,3552.0,18.0,3103.0,3876.0,19.0,749.0,-324.0,-1.0
1193,ESPORTSTMNT01/1300935,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1300935?gameHash=67fa5d5bc78168f8&amp;tab=overview,OPL,2020,Split 1,0,2020-01-31 05:12:09,1,10.02,6,Red,top,Topoon,Legacy Esports,Aatrox,Akali,Rumble,Sett,Senna,Cassiopeia,1827,1,4,0,4,13,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4269,0.624,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,12279,403.2512,0.29736999999999997,12,0.3941,7,0.2299,2,38.0,1.2479,11590,7587,249.1626,0.22812399999999997,11075.0,,188.0,183.0,5,1,0,6.1741,3358.0,4867.0,82.0,2515.0,3950.0,50.0,843.0,917.0,32.0,5084.0,7310.0,128.0,3889.0,5916.0,81.0,1195.0,1394.0,47.0
1194,ESPORTSTMNT01/1300935,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1300935?gameHash=67fa5d5bc78168f8&amp;tab=overview,OPL,2020,Split 1,0,2020-01-31 05:12:09,1,10.02,7,Red,jng,Babip,Legacy Esports,Lee Sin,Akali,Rumble,Sett,Senna,Cassiopeia,1827,1,0,1,6,13,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4269,0.624,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3276,107.5862,0.07933739999999999,16,0.5255,8,0.2627,11,45.0,1.4778,8580,4577,150.312,0.137624,8000.0,,137.0,17.0,120,84,13,4.4992,2937.0,2704.0,54.0,2990.0,3243.0,65.0,-53.0,-539.0,-11.0,4268.0,4231.0,85.0,4621.0,5137.0,97.0,-353.0,-906.0,-12.0
1195,ESPORTSTMNT01/1300935,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1300935?gameHash=67fa5d5bc78168f8&amp;tab=overview,OPL,2020,Split 1,0,2020-01-31 05:12:09,1,10.02,8,Red,mid,EMENES,Legacy Esports,Orianna,Akali,Rumble,Sett,Senna,Cassiopeia,1827,1,7,0,3,13,6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4269,0.624,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14359,471.5599,0.34774299999999997,15,0.4926,5,0.1642,6,33.0,1.0837,14198,10195,334.8112,0.30653800000000003,13000.0,,295.0,271.0,24,17,2,9.688,3552.0,4831.0,88.0,3346.0,4793.0,90.0,206.0,38.0,-2.0,5714.0,8012.0,155.0,5115.0,7748.0,147.0,599.0,264.0,8.0
1196,ESPORTSTMNT01/1300935,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1300935?gameHash=67fa5d5bc78168f8&amp;tab=overview,OPL,2020,Split 1,0,2020-01-31 05:12:09,1,10.02,9,Red,bot,Raes,Legacy Esports,Miss Fortune,Akali,Rumble,Sett,Senna,Cassiopeia,1827,1,2,3,5,13,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4269,0.624,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6995,229.7209,0.169403,10,0.3284,10,0.3284,2,33.0,1.0837,11666,7663,251.6585,0.230409,10750.0,,262.0,246.0,16,8,4,8.6043,3162.0,2931.0,82.0,3920.0,3365.0,82.0,-758.0,-434.0,0.0,4764.0,4742.0,131.0,6591.0,5571.0,134.0,-1827.0,-829.0,-3.0
1197,ESPORTSTMNT01/1300935,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1300935?gameHash=67fa5d5bc78168f8&amp;tab=overview,OPL,2020,Split 1,0,2020-01-31 05:12:09,1,10.02,10,Red,sup,Isles,Legacy Esports,Rakan,Akali,Rumble,Sett,Senna,Cassiopeia,1827,1,0,2,8,13,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4269,0.624,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4383,143.9409,0.106146,44,1.445,11,0.3612,10,75.0,2.4631,7239,3236,106.2726,0.0973048,6450.0,,30.0,30.0,0,0,0,0.9852,2055.0,2630.0,11.0,2394.0,2561.0,12.0,-339.0,69.0,-1.0,3103.0,3876.0,19.0,3852.0,3552.0,18.0,-749.0,324.0,1.0
