,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
8076,ESPORTSTMNT02/1287051,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1287051?gameHash=03de6144388b070e&amp;tab=overview,PCS,2020,Spring,0,2020-02-29 12:36:01,1,10.03,1,Blue,top,Kurd,Liyab Esports,Fiora,Elise,Soraka,Sett,Yuumi,Irelia,2222,1,9,1,4,22,5,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5941,0.7291,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,24705,667.1017,0.329036,14,0.378,9,0.243,3,44.0,1.1881,18105,13297,359.0549,0.292157,14908.0,,373.0,302.0,71,13,36,10.072,3690.0,5073.0,92.0,2901.0,4487.0,72.0,789.0,586.0,20.0,6068.0,8643.0,149.0,4445.0,7007.0,117.0,1623.0,1636.0,32.0
8077,ESPORTSTMNT02/1287051,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1287051?gameHash=03de6144388b070e&amp;tab=overview,PCS,2020,Spring,0,2020-02-29 12:36:01,1,10.03,2,Blue,jng,DoeDoii,Liyab Esports,Lee Sin,Elise,Soraka,Sett,Yuumi,Irelia,2222,1,2,2,10,22,5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5941,0.7291,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6914,186.6967,0.09208480000000001,28,0.7561,8,0.216,15,60.0,1.6202,11712,6904,186.4266,0.151687,9500.0,,184.0,21.0,163,74,26,4.9685,3006.0,2903.0,52.0,2642.0,2738.0,50.0,364.0,165.0,2.0,4616.0,5690.0,94.0,4008.0,4284.0,78.0,608.0,1406.0,16.0
8078,ESPORTSTMNT02/1287051,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1287051?gameHash=03de6144388b070e&amp;tab=overview,PCS,2020,Spring,0,2020-02-29 12:36:01,1,10.03,3,Blue,mid,Rex,Liyab Esports,LeBlanc,Elise,Soraka,Sett,Yuumi,Irelia,2222,1,6,1,9,22,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5941,0.7291,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,19713,532.3042,0.262549,9,0.243,15,0.405,5,47.0,1.2691,14151,9343,252.2862,0.20527800000000002,10825.0,,265.0,241.0,24,16,4,7.1557,3114.0,4943.0,83.0,2989.0,4764.0,73.0,125.0,179.0,10.0,4901.0,7523.0,132.0,4673.0,7363.0,121.0,228.0,160.0,11.0
8079,ESPORTSTMNT02/1287051,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1287051?gameHash=03de6144388b070e&amp;tab=overview,PCS,2020,Spring,0,2020-02-29 12:36:01,1,10.03,4,Blue,bot,Exosen,Liyab Esports,Miss Fortune,Elise,Soraka,Sett,Yuumi,Irelia,2222,1,4,1,13,22,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5941,0.7291,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,19151,517.1287,0.255064,9,0.243,10,0.27,0,30.0,0.8101,16416,11608,313.4473,0.25504499999999997,14600.0,,364.0,302.0,62,47,8,9.829,3169.0,3129.0,82.0,3290.0,3144.0,89.0,-121.0,-15.0,-7.0,5446.0,5506.0,129.0,4895.0,4765.0,138.0,551.0,741.0,-9.0
8080,ESPORTSTMNT02/1287051,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1287051?gameHash=03de6144388b070e&amp;tab=overview,PCS,2020,Spring,0,2020-02-29 12:36:01,1,10.03,5,Blue,sup,Hamezz,Liyab Esports,Morgana,Elise,Soraka,Sett,Yuumi,Irelia,2222,1,1,0,19,22,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5941,0.7291,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4600,124.2124,0.0612655,54,1.4581,15,0.405,16,110.0,2.9703,9170,4362,117.7858,0.0958332,7150.0,,46.0,46.0,0,0,0,1.2421,2004.0,2433.0,15.0,2015.0,2593.0,3.0,-11.0,-160.0,12.0,2945.0,3433.0,22.0,2938.0,4268.0,5.0,7.0,-835.0,17.0
8081,ESPORTSTMNT02/1287051,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1287051?gameHash=03de6144388b070e&amp;tab=overview,PCS,2020,Spring,0,2020-02-29 12:36:01,1,10.03,6,Red,top,3z,Hong Kong Attitude,Mordekaiser,Ornn,Aphelios,Senna,Thresh,Gangplank,2222,0,1,6,2,5,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.135,0.7291,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,15537,419.541,0.274972,16,0.432,4,0.108,5,30.0,0.8101,11700,6892,186.1026,0.232683,11525.0,,273.0,247.0,26,19,0,7.3717,2901.0,4487.0,72.0,3690.0,5073.0,92.0,-789.0,-586.0,-20.0,4445.0,7007.0,117.0,6068.0,8643.0,149.0,-1623.0,-1636.0,-32.0
8082,ESPORTSTMNT02/1287051,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1287051?gameHash=03de6144388b070e&amp;tab=overview,PCS,2020,Spring,0,2020-02-29 12:36:01,1,10.03,7,Red,jng,Holo,Hong Kong Attitude,Jarvan IV,Ornn,Aphelios,Senna,Thresh,Gangplank,2222,0,0,6,3,5,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.135,0.7291,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2621,70.7741,0.0463861,22,0.5941,12,0.324,24,46.0,1.2421,8348,3540,95.5896,0.11950699999999999,8295.0,,130.0,14.0,116,92,0,3.5104,2642.0,2738.0,50.0,3006.0,2903.0,52.0,-364.0,-165.0,-2.0,4008.0,4284.0,78.0,4616.0,5690.0,94.0,-608.0,-1406.0,-16.0
8083,ESPORTSTMNT02/1287051,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1287051?gameHash=03de6144388b070e&amp;tab=overview,PCS,2020,Spring,0,2020-02-29 12:36:01,1,10.03,8,Red,mid,JimieN,Hong Kong Attitude,Rumble,Ornn,Aphelios,Senna,Thresh,Gangplank,2222,0,1,3,3,5,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.135,0.7291,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9695,261.7912,0.17158099999999998,22,0.5941,3,0.081,7,35.0,0.9451,10795,5987,161.6652,0.202127,10875.0,,230.0,230.0,0,0,0,6.2106,2989.0,4764.0,73.0,3114.0,4943.0,83.0,-125.0,-179.0,-10.0,4673.0,7363.0,121.0,4901.0,7523.0,132.0,-228.0,-160.0,-11.0
8084,ESPORTSTMNT02/1287051,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1287051?gameHash=03de6144388b070e&amp;tab=overview,PCS,2020,Spring,0,2020-02-29 12:36:01,1,10.03,9,Red,bot,MnM,Hong Kong Attitude,Ezreal,Ornn,Aphelios,Senna,Thresh,Gangplank,2222,0,3,2,2,5,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.135,0.7291,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,22459,606.4536,0.397476,19,0.5131,5,0.135,7,42.0,1.1341,15694,10886,293.9514,0.36753600000000003,14425.0,,346.0,325.0,21,19,0,9.3429,3290.0,3144.0,89.0,3169.0,3129.0,82.0,121.0,15.0,7.0,4895.0,4765.0,138.0,5446.0,5506.0,129.0,-551.0,-741.0,9.0
8085,ESPORTSTMNT02/1287051,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1287051?gameHash=03de6144388b070e&amp;tab=overview,PCS,2020,Spring,0,2020-02-29 12:36:01,1,10.03,10,Red,sup,Wing,Hong Kong Attitude,Karma,Ornn,Aphelios,Senna,Thresh,Gangplank,2222,0,0,5,5,5,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.135,0.7291,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6192,167.2007,0.10958499999999999,44,1.1881,9,0.243,12,79.0,2.1332,7123,2315,62.5113,0.0781468,7100.0,,20.0,20.0,0,0,0,0.5401,2015.0,2593.0,3.0,2004.0,2433.0,15.0,11.0,160.0,-12.0,2938.0,4268.0,5.0,2945.0,3433.0,22.0,-7.0,835.0,-17.0
