,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
6456,ESPORTSTMNT05/1400884,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400884?gameHash=82a9502d8acae490,LCL,2020,Spring,0,2020-02-22 16:02:01,1,10.03,1,Blue,top,DREAMPYLLA,RoX,Ornn,Soraka,Yuumi,Mordekaiser,Syndra,Vladimir,2170,1,3,4,10,21,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5806,0.9401,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12613,348.7465,0.13885799999999998,17,0.47,7,0.1935,5,30.0,0.8295,13154,8452,233.6959,0.196718,12875.0,,242.0,227.0,15,13,0,6.6912,3632.0,4803.0,81.0,2708.0,3641.0,59.0,924.0,1162.0,22.0,5180.0,6920.0,119.0,4394.0,6222.0,104.0,786.0,698.0,15.0
6457,ESPORTSTMNT05/1400884,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400884?gameHash=82a9502d8acae490,LCL,2020,Spring,0,2020-02-22 16:02:01,1,10.03,2,Blue,jng,Four,RoX,Sejuani,Soraka,Yuumi,Mordekaiser,Syndra,Vladimir,2170,1,2,3,11,21,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5806,0.9401,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9743,269.3917,0.10726199999999998,17,0.47,24,0.6636,16,61.0,1.6866,11226,6524,180.3871,0.151842,10000.0,,160.0,50.0,110,78,6,4.424,3155.0,2861.0,54.0,2750.0,2227.0,40.0,405.0,634.0,14.0,4482.0,4276.0,78.0,4197.0,4067.0,75.0,285.0,209.0,3.0
6458,ESPORTSTMNT05/1400884,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400884?gameHash=82a9502d8acae490,LCL,2020,Spring,0,2020-02-22 16:02:01,1,10.03,3,Blue,mid,Phlaty,RoX,Irelia,Soraka,Yuumi,Mordekaiser,Syndra,Vladimir,2170,1,6,4,8,21,14,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5806,0.9401,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,18571,513.4839,0.20445,12,0.3318,6,0.1659,5,28.0,0.7742,16873,12171,336.5253,0.283281,14253.0,,342.0,302.0,40,28,4,9.4562,3574.0,4584.0,78.0,3107.0,4378.0,74.0,467.0,206.0,4.0,5881.0,7625.0,145.0,5457.0,7394.0,132.0,424.0,231.0,13.0
6459,ESPORTSTMNT05/1400884,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400884?gameHash=82a9502d8acae490,LCL,2020,Spring,0,2020-02-22 16:02:01,1,10.03,4,Blue,bot,Shiganari,RoX,Senna,Soraka,Yuumi,Mordekaiser,Syndra,Vladimir,2170,1,6,1,11,21,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5806,0.9401,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,43162,1193.4194,0.475174,35,0.9677,11,0.3041,2,65.0,1.7972,14533,9831,271.8249,0.22881500000000002,13400.0,,147.0,128.0,19,9,0,4.0645,3041.0,3050.0,31.0,3064.0,3387.0,75.0,-23.0,-337.0,-44.0,4591.0,5240.0,62.0,4847.0,5515.0,120.0,-256.0,-275.0,-58.0
6460,ESPORTSTMNT05/1400884,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400884?gameHash=82a9502d8acae490,LCL,2020,Spring,0,2020-02-22 16:02:01,1,10.03,5,Blue,sup,Lekcyc,RoX,Tahm Kench,Soraka,Yuumi,Mordekaiser,Syndra,Vladimir,2170,1,4,2,12,21,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5806,0.9401,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6745,186.4977,0.0742563,25,0.6912,11,0.3041,16,48.0,1.3272,10689,5987,165.5392,0.139343,8500.0,,123.0,119.0,4,0,0,3.4009,2747.0,3164.0,53.0,1972.0,2539.0,12.0,775.0,625.0,41.0,3648.0,4465.0,71.0,3307.0,4305.0,22.0,341.0,160.0,49.0
6461,ESPORTSTMNT05/1400884,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400884?gameHash=82a9502d8acae490,LCL,2020,Spring,0,2020-02-22 16:02:01,1,10.03,6,Red,top,Shellkunchik,M19,Sett,Pantheon,Braum,Aphelios,Gragas,Karthus,2170,0,2,5,5,13,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3594,0.9401,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11079,306.3318,0.131846,15,0.4147,3,0.0829,4,60.0,1.659,11589,6887,190.424,0.207835,11550.0,,227.0,201.0,26,7,0,6.2765,2708.0,3641.0,59.0,3632.0,4803.0,81.0,-924.0,-1162.0,-22.0,4394.0,6222.0,104.0,5180.0,6920.0,119.0,-786.0,-698.0,-15.0
6462,ESPORTSTMNT05/1400884,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400884?gameHash=82a9502d8acae490,LCL,2020,Spring,0,2020-02-22 16:02:01,1,10.03,7,Red,jng,NNS 1,M19,Jarvan IV,Pantheon,Braum,Aphelios,Gragas,Karthus,2170,0,2,5,8,13,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3594,0.9401,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6983,193.0783,0.0831013,39,1.0783,20,0.553,15,75.0,2.0737,9360,4658,128.7926,0.14056400000000002,9075.0,,139.0,40.0,99,91,0,3.8433,2750.0,2227.0,40.0,3155.0,2861.0,54.0,-405.0,-634.0,-14.0,4197.0,4067.0,75.0,4482.0,4276.0,78.0,-285.0,-209.0,-3.0
6463,ESPORTSTMNT05/1400884,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400884?gameHash=82a9502d8acae490,LCL,2020,Spring,0,2020-02-22 16:02:01,1,10.03,8,Red,mid,Griffon,M19,Corki,Pantheon,Braum,Aphelios,Gragas,Karthus,2170,0,8,4,4,13,21,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3594,0.9401,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,38267,1058.0737,0.45539700000000005,16,0.4424,3,0.0829,9,33.0,0.9124,15202,10500,290.3226,0.316873,15208.0,,301.0,257.0,44,28,0,8.3226,3107.0,4378.0,74.0,3574.0,4584.0,78.0,-467.0,-206.0,-4.0,5457.0,7394.0,132.0,5881.0,7625.0,145.0,-424.0,-231.0,-13.0
6464,ESPORTSTMNT05/1400884,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400884?gameHash=82a9502d8acae490,LCL,2020,Spring,0,2020-02-22 16:02:01,1,10.03,9,Red,bot,Valhalla,M19,Miss Fortune,Pantheon,Braum,Aphelios,Gragas,Karthus,2170,0,1,2,9,13,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3594,0.9401,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,21148,584.7373,0.251672,7,0.1935,8,0.2212,5,20.0,0.553,13293,8591,237.5392,0.259261,12325.0,,321.0,286.0,35,34,0,8.8756,3064.0,3387.0,75.0,3041.0,3050.0,31.0,23.0,337.0,44.0,4847.0,5515.0,120.0,4591.0,5240.0,62.0,256.0,275.0,58.0
6465,ESPORTSTMNT05/1400884,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400884?gameHash=82a9502d8acae490,LCL,2020,Spring,0,2020-02-22 16:02:01,1,10.03,10,Red,sup,Miracle,M19,Nautilus,Pantheon,Braum,Aphelios,Gragas,Karthus,2170,0,0,5,10,13,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3594,0.9401,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6553,181.1889,0.077984,47,1.2995,8,0.2212,13,77.0,2.129,7203,2501,69.1521,0.07546699999999999,6725.0,,30.0,30.0,0,0,0,0.8295,1972.0,2539.0,12.0,2747.0,3164.0,53.0,-775.0,-625.0,-41.0,3307.0,4305.0,22.0,3648.0,4465.0,71.0,-341.0,-160.0,-49.0
6466,ESPORTSTMNT05/1400884,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400884?gameHash=82a9502d8acae490,LCL,2020,Spring,0,2020-02-22 16:02:01,1,10.03,100,Blue,team,,RoX,,Soraka,Yuumi,Mordekaiser,Syndra,Vladimir,2170,1,21,14,52,21,14,3.0,1.0,0.0,0.0,1.0,,,,0.5806,0.9401,1.0,2.0,3.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,10.0,2.0,1.0,1.0,2.0,0.0,90834,2511.5392,,106,2.9309,59,1.6313,44,232.0,6.4147,66475,42963,1187.9171,,59028.0,0.07277610000000001,,826.0,188,128,10,28.0369,16149.0,18462.0,297.0,13601.0,16172.0,260.0,2548.0,2290.0,37.0,23782.0,28526.0,475.0,22202.0,27503.0,453.0,1580.0,1023.0,22.0
6467,ESPORTSTMNT05/1400884,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400884?gameHash=82a9502d8acae490,LCL,2020,Spring,0,2020-02-22 16:02:01,1,10.03,200,Red,team,,M19,,Pantheon,Braum,Aphelios,Gragas,Karthus,2170,0,13,21,36,13,21,3.0,1.0,0.0,0.0,0.0,,,,0.3594,0.9401,0.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,10.0,0.0,0.0,0.0,2.0,84030,2323.4101,,124,3.4286,42,1.1613,46,265.0,7.3272,56647,33135,916.1751,,54883.0,-0.07277610000000001,,814.0,204,160,0,28.1475,13601.0,16172.0,260.0,16149.0,18462.0,297.0,-2548.0,-2290.0,-37.0,22202.0,27503.0,453.0,23782.0,28526.0,475.0,-1580.0,-1023.0,-22.0
6912,ESPORTSTMNT05/1400952,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400952?gameHash=26cd7c7d91582a3b,LCL,2020,Spring,0,2020-02-23 15:03:27,1,10.03,1,Blue,top,Doxy,Gambit Esports,Soraka,Miss Fortune,Sejuani,Syndra,Corki,Ryze,2062,1,0,2,12,20,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.582,0.902,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7761,225.8293,0.10231599999999999,14,0.4074,6,0.1746,8,37.0,1.0766,11000,6518,189.6605,0.15880899999999998,9400.0,,208.0,208.0,0,0,0,6.0524,3297.0,4855.0,86.0,3034.0,4681.0,74.0,263.0,174.0,12.0,5024.0,7806.0,136.0,4712.0,7206.0,124.0,312.0,600.0,12.0
6913,ESPORTSTMNT05/1400952,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400952?gameHash=26cd7c7d91582a3b,LCL,2020,Spring,0,2020-02-23 15:03:27,1,10.03,2,Blue,jng,Diamondprox,Gambit Esports,Lee Sin,Miss Fortune,Sejuani,Syndra,Corki,Ryze,2062,1,2,3,6,20,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.582,0.902,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6944,202.0563,0.0915455,22,0.6402,10,0.291,11,44.0,1.2803,10806,6324,184.0155,0.154082,10850.0,,173.0,45.0,128,80,12,5.0339,2850.0,2878.0,54.0,2814.0,2828.0,53.0,36.0,50.0,1.0,4314.0,4304.0,74.0,4140.0,4678.0,83.0,174.0,-374.0,-9.0
