,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
636,ESPORTSTMNT05/1390161,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390161?gameHash=c77bd1d7e54d4801&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 16:17:25,1,10.01,1,Blue,top,Wunder,G2 Esports,Aatrox,Irelia,Rumble,Pantheon,LeBlanc,Thresh,2059,1,4,3,9,21,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6119,1.0199,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,20688,602.8558,0.229339,15,0.4371,4,0.1166,5,37.0,1.0782,13645,9169,267.188,0.230748,13575.0,,262.0,214.0,48,27,4,7.6348,3115.0,4500.0,80.0,3143.0,4814.0,69.0,-28.0,-314.0,11.0,4767.0,7130.0,131.0,5538.0,8084.0,126.0,-771.0,-954.0,5.0
637,ESPORTSTMNT05/1390161,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390161?gameHash=c77bd1d7e54d4801&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 16:17:25,1,10.01,2,Blue,jng,Jankos,G2 Esports,Elise,Irelia,Rumble,Pantheon,LeBlanc,Thresh,2059,1,3,4,8,21,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6119,1.0199,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,17087,497.9213,0.18942,36,1.0491,21,0.6119,10,90.0,2.6226,11239,6763,197.0763,0.170198,10560.0,,195.0,38.0,157,108,12,5.6824,2819.0,2654.0,57.0,3227.0,3177.0,58.0,-408.0,-523.0,-1.0,4397.0,4539.0,96.0,4560.0,4513.0,73.0,-163.0,26.0,23.0
638,ESPORTSTMNT05/1390161,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390161?gameHash=c77bd1d7e54d4801&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 16:17:25,1,10.01,3,Blue,mid,Perkz,G2 Esports,Qiyana,Irelia,Rumble,Pantheon,LeBlanc,Thresh,2059,1,5,1,7,21,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6119,1.0199,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,20485,596.9403,0.22708899999999999,36,1.0491,16,0.4662,9,67.0,1.9524,13172,8696,253.4046,0.218844,12175.0,,260.0,242.0,18,8,4,7.5765,3076.0,4491.0,80.0,3173.0,4817.0,84.0,-97.0,-326.0,-4.0,4836.0,7300.0,129.0,4884.0,7203.0,127.0,-48.0,97.0,2.0
639,ESPORTSTMNT05/1390161,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390161?gameHash=c77bd1d7e54d4801&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 16:17:25,1,10.01,4,Blue,bot,Caps,G2 Esports,Senna,Irelia,Rumble,Pantheon,LeBlanc,Thresh,2059,1,9,0,12,21,14,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6119,1.0199,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,24729,720.6119,0.274136,6,0.1748,7,0.204,1,29.0,0.8451,15834,11358,330.9762,0.28583600000000003,13325.0,,261.0,243.0,18,14,0,7.6056,3051.0,3195.0,76.0,3523.0,2982.0,65.0,-472.0,213.0,11.0,5188.0,5508.0,124.0,5985.0,4882.0,115.0,-797.0,626.0,9.0
640,ESPORTSTMNT05/1390161,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390161?gameHash=c77bd1d7e54d4801&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 16:17:25,1,10.01,5,Blue,sup,Mikyx,G2 Esports,Nautilus,Irelia,Rumble,Pantheon,LeBlanc,Thresh,2059,1,0,6,17,21,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6119,1.0199,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,7218,210.3351,0.08001599999999999,60,1.7484,11,0.3205,20,98.0,2.8558,8226,3750,109.2763,0.0943734,7650.0,,39.0,39.0,0,0,0,1.1365,2054.0,2321.0,13.0,2578.0,2832.0,13.0,-524.0,-511.0,0.0,3178.0,3922.0,23.0,3944.0,4299.0,21.0,-766.0,-377.0,2.0
641,ESPORTSTMNT05/1390161,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390161?gameHash=c77bd1d7e54d4801&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 16:17:25,1,10.01,6,Red,top,Orome,MAD Lions,Ornn,Akali,Yasuo,Diana,Kayle,Rakan,2059,0,0,3,7,14,21,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.408,1.0199,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10195,297.086,0.169968,13,0.3788,6,0.1748,4,27.0,0.7868,11225,6749,196.6683,0.20599499999999998,10960.0,,232.0,231.0,1,1,0,6.7606,3143.0,4814.0,69.0,3115.0,4500.0,80.0,28.0,314.0,-11.0,5538.0,8084.0,126.0,4767.0,7130.0,131.0,771.0,954.0,-5.0
642,ESPORTSTMNT05/1390161,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390161?gameHash=c77bd1d7e54d4801&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 16:17:25,1,10.01,7,Red,jng,Shad0w,MAD Lions,Lee Sin,Akali,Yasuo,Diana,Kayle,Rakan,2059,0,4,1,4,14,21,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.408,1.0199,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8461,246.5566,0.141059,18,0.5245,10,0.2914,10,38.0,1.1073,10539,6063,176.678,0.185056,10025.0,,177.0,25.0,152,116,8,5.1578,3227.0,3177.0,58.0,2819.0,2654.0,57.0,408.0,523.0,1.0,4560.0,4513.0,73.0,4397.0,4539.0,96.0,163.0,-26.0,-23.0
643,ESPORTSTMNT05/1390161,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390161?gameHash=c77bd1d7e54d4801&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 16:17:25,1,10.01,8,Red,mid,Humanoid,MAD Lions,Mordekaiser,Akali,Yasuo,Diana,Kayle,Rakan,2059,0,2,8,2,14,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.408,1.0199,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13858,403.8271,0.23103600000000002,18,0.5245,9,0.2623,7,29.0,0.8451,11247,6771,197.3094,0.206666,10125.0,,239.0,224.0,15,7,0,6.9645,3173.0,4817.0,84.0,3076.0,4491.0,80.0,97.0,326.0,4.0,4884.0,7203.0,127.0,4836.0,7300.0,129.0,48.0,-97.0,-2.0
644,ESPORTSTMNT05/1390161,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390161?gameHash=c77bd1d7e54d4801&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 16:17:25,1,10.01,9,Red,bot,Carzzy,MAD Lions,Aphelios,Akali,Yasuo,Diana,Kayle,Rakan,2059,0,7,6,2,14,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.408,1.0199,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,20798,606.0612,0.34673699999999996,8,0.2331,17,0.4954,3,29.0,0.8451,14341,9865,287.4696,0.301101,14585.0,,283.0,251.0,32,24,4,8.2467,3523.0,2982.0,65.0,3051.0,3195.0,76.0,472.0,-213.0,-11.0,5985.0,4882.0,115.0,5188.0,5508.0,124.0,797.0,-626.0,-9.0
645,ESPORTSTMNT05/1390161,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390161?gameHash=c77bd1d7e54d4801&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 16:17:25,1,10.01,10,Red,sup,Kaiser,MAD Lions,Braum,Akali,Yasuo,Diana,Kayle,Rakan,2059,0,1,3,9,14,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.408,1.0199,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,6670,194.3662,0.1112,54,1.5736,14,0.408,22,78.0,2.2729,7791,3315,96.6003,0.10118200000000001,7400.0,,36.0,36.0,0,0,0,1.0491,2578.0,2832.0,13.0,2054.0,2321.0,13.0,524.0,511.0,0.0,3944.0,4299.0,21.0,3178.0,3922.0,23.0,766.0,377.0,-2.0
