,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
1224,ESPORTSTMNT01/1300964,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1300964?gameHash=e49071347c975500&amp;tab=overview,OPL,2020,Split 1,0,2020-01-31 08:11:43,1,10.02,1,Blue,top,Kweku,MAMMOTH,Poppy,Rumble,Mordekaiser,Lucian,Gangplank,Leona,1954,0,4,4,2,11,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3378,0.9519,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,16630,510.6448,0.239511,10,0.3071,4,0.1228,2,20.0,0.6141,12472,8210,252.0983,0.278198,11900.0,,239.0,235.0,4,1,0,7.3388,3170.0,4696.0,88.0,2789.0,3896.0,62.0,381.0,800.0,26.0,5548.0,7256.0,129.0,4220.0,5879.0,97.0,1328.0,1377.0,32.0
1225,ESPORTSTMNT01/1300964,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1300964?gameHash=e49071347c975500&amp;tab=overview,OPL,2020,Split 1,0,2020-01-31 08:11:43,1,10.02,2,Blue,jng,Bas,MAMMOTH,Gragas,Rumble,Mordekaiser,Lucian,Gangplank,Leona,1954,0,1,4,7,11,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3378,0.9519,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11742,360.5527,0.169113,19,0.5834,10,0.3071,10,48.0,1.4739,9052,4790,147.0829,0.162314,8750.0,,160.0,30.0,130,83,7,4.913,3022.0,2802.0,53.0,2879.0,2523.0,52.0,143.0,279.0,1.0,5055.0,4820.0,91.0,4016.0,3500.0,73.0,1039.0,1320.0,18.0
1226,ESPORTSTMNT01/1300964,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1300964?gameHash=e49071347c975500&amp;tab=overview,OPL,2020,Split 1,0,2020-01-31 08:11:43,1,10.02,3,Blue,mid,Lived,MAMMOTH,LeBlanc,Rumble,Mordekaiser,Lucian,Gangplank,Leona,1954,0,2,4,3,11,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3378,0.9519,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,14328,439.9591,0.206357,7,0.2149,9,0.2764,3,31.0,0.9519,10287,6025,185.0051,0.20416099999999998,10075.0,,224.0,203.0,21,17,0,6.8782,3003.0,4444.0,70.0,3415.0,4679.0,91.0,-412.0,-235.0,-21.0,4566.0,6993.0,106.0,5538.0,7620.0,148.0,-972.0,-627.0,-42.0
1227,ESPORTSTMNT01/1300964,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1300964?gameHash=e49071347c975500&amp;tab=overview,OPL,2020,Split 1,0,2020-01-31 08:11:43,1,10.02,4,Blue,bot,Styled,MAMMOTH,Senna,Rumble,Mordekaiser,Lucian,Gangplank,Leona,1954,0,3,5,7,11,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3378,0.9519,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,20484,628.9867,0.295018,14,0.4299,7,0.2149,6,25.0,0.7677,11839,7577,232.6612,0.256749,11350.0,,250.0,242.0,8,4,4,7.6766,3371.0,2859.0,71.0,3046.0,3316.0,73.0,325.0,-457.0,-2.0,5293.0,4565.0,110.0,4795.0,5262.0,120.0,498.0,-697.0,-10.0
1228,ESPORTSTMNT01/1300964,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1300964?gameHash=e49071347c975500&amp;tab=overview,OPL,2020,Split 1,0,2020-01-31 08:11:43,1,10.02,5,Blue,sup,Nausicaa,MAMMOTH,Braum,Rumble,Mordekaiser,Lucian,Gangplank,Leona,1954,0,1,3,8,11,20,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3378,0.9519,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6249,191.8833,0.0900004,43,1.3204,12,0.3685,17,61.0,1.8731,7171,2909,89.3245,0.0985775,7670.0,,35.0,35.0,0,0,0,1.0747,2231.0,2393.0,12.0,2682.0,2399.0,8.0,-451.0,-6.0,4.0,4086.0,3659.0,21.0,3793.0,3840.0,11.0,293.0,-181.0,10.0
1229,ESPORTSTMNT01/1300964,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1300964?gameHash=e49071347c975500&amp;tab=overview,OPL,2020,Split 1,0,2020-01-31 08:11:43,1,10.02,6,Red,top,Chippys,Dire Wolves,Fiora,Sett,Aphelios,Akali,Yasuo,Irelia,1954,1,7,0,3,20,11,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6141,0.9519,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,17306,531.4023,0.23988099999999998,10,0.3071,3,0.0921,0,17.0,0.522,15421,11159,342.651,0.27660100000000004,14513.0,,305.0,257.0,48,15,18,9.3654,2789.0,3896.0,62.0,3170.0,4696.0,88.0,-381.0,-800.0,-26.0,4220.0,5879.0,97.0,5548.0,7256.0,129.0,-1328.0,-1377.0,-32.0
1230,ESPORTSTMNT01/1300964,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1300964?gameHash=e49071347c975500&amp;tab=overview,OPL,2020,Split 1,0,2020-01-31 08:11:43,1,10.02,7,Red,jng,Udysof,Dire Wolves,Jarvan IV,Sett,Aphelios,Akali,Yasuo,Irelia,1954,1,1,4,12,20,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6141,0.9519,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3375,103.6336,0.0467814,9,0.2764,16,0.4913,6,41.0,1.259,9729,5467,167.871,0.135515,8600.0,,135.0,30.0,105,68,11,4.1453,2879.0,2523.0,52.0,3022.0,2802.0,53.0,-143.0,-279.0,-1.0,4016.0,3500.0,73.0,5055.0,4820.0,91.0,-1039.0,-1320.0,-18.0
1231,ESPORTSTMNT01/1300964,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1300964?gameHash=e49071347c975500&amp;tab=overview,OPL,2020,Split 1,0,2020-01-31 08:11:43,1,10.02,8,Red,mid,Shok,Dire Wolves,Syndra,Sett,Aphelios,Akali,Yasuo,Irelia,1954,1,7,2,4,20,11,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6141,0.9519,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,22319,685.3327,0.309367,14,0.4299,3,0.0921,7,30.0,0.9212,14358,10096,310.0102,0.250253,12725.0,,288.0,250.0,38,33,0,8.8434,3415.0,4679.0,91.0,3003.0,4444.0,70.0,412.0,235.0,21.0,5538.0,7620.0,148.0,4566.0,6993.0,106.0,972.0,627.0,42.0
1232,ESPORTSTMNT01/1300964,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1300964?gameHash=e49071347c975500&amp;tab=overview,OPL,2020,Split 1,0,2020-01-31 08:11:43,1,10.02,9,Red,bot,Decoy,Dire Wolves,Miss Fortune,Sett,Aphelios,Akali,Yasuo,Irelia,1954,1,4,4,9,20,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6141,0.9519,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,16969,521.0542,0.23521,13,0.3992,8,0.2456,5,37.0,1.1361,13454,9192,282.2518,0.227845,12575.0,,271.0,267.0,4,0,4,8.3214,3046.0,3316.0,73.0,3371.0,2859.0,71.0,-325.0,457.0,2.0,4795.0,5262.0,120.0,5293.0,4565.0,110.0,-498.0,697.0,10.0
1233,ESPORTSTMNT01/1300964,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1300964?gameHash=e49071347c975500&amp;tab=overview,OPL,2020,Split 1,0,2020-01-31 08:11:43,1,10.02,10,Red,sup,Cupcake,Dire Wolves,Bard,Sett,Aphelios,Akali,Yasuo,Irelia,1954,1,1,1,10,20,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6141,0.9519,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12175,373.8485,0.16876,61,1.8731,17,0.522,10,119.0,3.654,8691,4429,135.998,0.109786,7650.0,,33.0,33.0,0,0,0,1.0133,2682.0,2399.0,8.0,2231.0,2393.0,12.0,451.0,6.0,-4.0,3793.0,3840.0,11.0,4086.0,3659.0,21.0,-293.0,181.0,-10.0
