,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
8124,ESPORTSTMNT02/1287064,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1287064?gameHash=a1ebba15edc33b98,PCS,2020,Spring,0,2020-02-29 13:46:35,1,10.03,1,Blue,top,Shinsekai,Resurgence,Ornn,Olaf,Yuumi,Senna,Ezreal,Varus,1487,0,1,4,2,4,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1614,0.8473,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7691,310.3295,0.226,11,0.4438,0,0.0,4,14.0,0.5649,6697,3388,136.7048,0.183641,6320.0,,126.0,116.0,10,7,0,5.0841,2638.0,3717.0,49.0,3481.0,4461.0,67.0,-843.0,-744.0,-18.0,4206.0,5549.0,78.0,5687.0,6979.0,113.0,-1481.0,-1430.0,-35.0
8125,ESPORTSTMNT02/1287064,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1287064?gameHash=a1ebba15edc33b98,PCS,2020,Spring,0,2020-02-29 13:46:35,1,10.03,2,Blue,jng,Gengar,Resurgence,Gragas,Olaf,Yuumi,Senna,Ezreal,Varus,1487,0,1,6,2,4,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1614,0.8473,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8876,358.1439,0.260821,17,0.6859,6,0.2421,7,41.0,1.6543,6655,3346,135.0101,0.181364,6425.0,,105.0,7.0,98,77,4,4.2367,2558.0,2147.0,45.0,3137.0,3236.0,58.0,-579.0,-1089.0,-13.0,4239.0,3725.0,61.0,4606.0,5428.0,92.0,-367.0,-1703.0,-31.0
8126,ESPORTSTMNT02/1287064,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1287064?gameHash=a1ebba15edc33b98,PCS,2020,Spring,0,2020-02-29 13:46:35,1,10.03,3,Blue,mid,Raven,Resurgence,LeBlanc,Olaf,Yuumi,Senna,Ezreal,Varus,1487,0,0,2,2,4,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1614,0.8473,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7109,286.846,0.208898,12,0.4842,4,0.1614,8,23.0,0.928,7856,4547,183.4701,0.246464,8150.0,,196.0,192.0,4,4,0,7.9085,3136.0,4399.0,83.0,3144.0,3775.0,61.0,-8.0,624.0,22.0,4813.0,7102.0,130.0,5023.0,6249.0,106.0,-210.0,853.0,24.0
8127,ESPORTSTMNT02/1287064,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1287064?gameHash=a1ebba15edc33b98,PCS,2020,Spring,0,2020-02-29 13:46:35,1,10.03,4,Blue,bot,Mexi,Resurgence,Miss Fortune,Olaf,Yuumi,Senna,Ezreal,Varus,1487,0,2,2,2,4,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1614,0.8473,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,6388,257.7539,0.187711,11,0.4438,9,0.3631,6,25.0,1.0087,8863,5554,224.1022,0.301048,7975.0,,215.0,203.0,12,12,0,8.6752,3167.0,3057.0,84.0,3373.0,2724.0,78.0,-206.0,333.0,6.0,5161.0,4704.0,123.0,6107.0,5286.0,130.0,-946.0,-582.0,-7.0
8128,ESPORTSTMNT02/1287064,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1287064?gameHash=a1ebba15edc33b98,PCS,2020,Spring,0,2020-02-29 13:46:35,1,10.03,5,Blue,sup,Dennis,Resurgence,Thresh,Olaf,Yuumi,Senna,Ezreal,Varus,1487,0,0,3,4,4,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1614,0.8473,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3967,160.0672,0.11657000000000001,28,1.1298,2,0.0807,10,38.0,1.5333,4923,1614,65.1244,0.087482,4650.0,,30.0,30.0,0,0,0,1.2105,2005.0,2785.0,13.0,2262.0,2637.0,14.0,-257.0,148.0,-1.0,3259.0,4381.0,24.0,3904.0,3864.0,20.0,-645.0,517.0,4.0
8129,ESPORTSTMNT02/1287064,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1287064?gameHash=a1ebba15edc33b98,PCS,2020,Spring,0,2020-02-29 13:46:35,1,10.03,6,Red,top,PK,Machi Esports,Sett,Aphelios,Soraka,Elise,Rek'Sai,Jarvan IV,1487,1,3,0,4,17,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6859,0.8473,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7546,304.4788,0.169558,13,0.5245,5,0.2017,7,20.0,0.807,9595,6286,253.6382,0.196579,9325.0,,170.0,170.0,0,0,0,6.8594,3481.0,4461.0,67.0,2638.0,3717.0,49.0,843.0,744.0,18.0,5687.0,6979.0,113.0,4206.0,5549.0,78.0,1481.0,1430.0,35.0
8130,ESPORTSTMNT02/1287064,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1287064?gameHash=a1ebba15edc33b98,PCS,2020,Spring,0,2020-02-29 13:46:35,1,10.03,7,Red,jng,Gemini,Machi Esports,Lee Sin,Aphelios,Soraka,Elise,Rek'Sai,Jarvan IV,1487,1,4,0,7,17,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6859,0.8473,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8874,358.0632,0.199398,14,0.5649,13,0.5245,7,46.0,1.8561,10068,6759,272.7236,0.211371,7500.0,,160.0,27.0,133,48,35,6.456,3137.0,3236.0,58.0,2558.0,2147.0,45.0,579.0,1089.0,13.0,4606.0,5428.0,92.0,4239.0,3725.0,61.0,367.0,1703.0,31.0
8131,ESPORTSTMNT02/1287064,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1287064?gameHash=a1ebba15edc33b98,PCS,2020,Spring,0,2020-02-29 13:46:35,1,10.03,8,Red,mid,M1ssion,Machi Esports,Zoe,Aphelios,Soraka,Elise,Rek'Sai,Jarvan IV,1487,1,4,0,9,17,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6859,0.8473,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14298,576.92,0.321274,9,0.3631,5,0.2017,5,25.0,1.0087,9870,6561,264.7344,0.205179,8150.0,,175.0,162.0,13,13,0,7.0612,3144.0,3775.0,61.0,3136.0,4399.0,83.0,8.0,-624.0,-22.0,5023.0,6249.0,106.0,4813.0,7102.0,130.0,210.0,-853.0,-24.0
8132,ESPORTSTMNT02/1287064,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1287064?gameHash=a1ebba15edc33b98,PCS,2020,Spring,0,2020-02-29 13:46:35,1,10.03,9,Red,bot,Bruce,Machi Esports,Lucian,Aphelios,Soraka,Elise,Rek'Sai,Jarvan IV,1487,1,4,1,5,17,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6859,0.8473,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,9249,373.1944,0.20782399999999998,9,0.3631,19,0.7666,1,36.0,1.4526,11739,8430,340.1479,0.26362800000000003,9850.0,,224.0,212.0,12,8,4,9.0383,3373.0,2724.0,78.0,3167.0,3057.0,84.0,206.0,-333.0,-6.0,6107.0,5286.0,130.0,5161.0,4704.0,123.0,946.0,582.0,7.0
8133,ESPORTSTMNT02/1287064,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1287064?gameHash=a1ebba15edc33b98,PCS,2020,Spring,0,2020-02-29 13:46:35,1,10.03,10,Red,sup,Koala,Machi Esports,Blitzcrank,Aphelios,Soraka,Elise,Rek'Sai,Jarvan IV,1487,1,2,3,8,17,4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6859,0.8473,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4537,183.0666,0.10194600000000001,37,1.4929,6,0.2421,17,56.0,2.2596,7250,3941,159.0182,0.123244,5625.0,,33.0,33.0,0,0,0,1.3315,2262.0,2637.0,14.0,2005.0,2785.0,13.0,257.0,-148.0,1.0,3904.0,3864.0,20.0,3259.0,4381.0,24.0,645.0,-517.0,-4.0
