,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
660,ESPORTSTMNT05/1390196,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390196?gameHash=4bc08e5d10033415&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 19:00:32,1,10.01,1,Blue,top,Finn,Rogue,Irelia,Rumble,Olaf,Lucian,Jax,Mordekaiser,2544,1,2,3,6,14,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3302,0.4481,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,12075,284.7877,0.191109,18,0.4245,5,0.1179,4,49.0,1.1557,17875,12410,292.6887,0.25040500000000004,15983.0,,392.0,343.0,49,21,16,9.2453,3149.0,4636.0,79.0,2837.0,4224.0,63.0,312.0,412.0,16.0,4772.0,6862.0,118.0,4677.0,6490.0,110.0,95.0,372.0,8.0
661,ESPORTSTMNT05/1390196,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390196?gameHash=4bc08e5d10033415&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 19:00:32,1,10.01,2,Blue,jng,Inspired,Rogue,Gragas,Rumble,Olaf,Lucian,Jax,Mordekaiser,2544,1,0,0,9,14,5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3302,0.4481,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9104,214.717,0.144087,51,1.2028,17,0.4009,16,107.0,2.5236,11928,6463,152.4292,0.130405,10900.0,,192.0,27.0,165,111,8,4.5283,2874.0,2746.0,53.0,2771.0,2718.0,58.0,103.0,28.0,-5.0,4222.0,3855.0,72.0,4124.0,4365.0,90.0,98.0,-510.0,-18.0
662,ESPORTSTMNT05/1390196,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390196?gameHash=4bc08e5d10033415&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 19:00:32,1,10.01,3,Blue,mid,Larssen,Rogue,Qiyana,Rumble,Olaf,Lucian,Jax,Mordekaiser,2544,1,5,0,4,14,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3302,0.4481,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,19268,454.434,0.304951,18,0.4245,11,0.2594,5,64.0,1.5094,17058,11593,273.4198,0.23392,15675.0,,385.0,320.0,65,44,10,9.0802,3139.0,4609.0,82.0,3388.0,4573.0,86.0,-249.0,36.0,-4.0,5014.0,7237.0,137.0,5230.0,7382.0,145.0,-216.0,-145.0,-8.0
663,ESPORTSTMNT05/1390196,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390196?gameHash=4bc08e5d10033415&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 19:00:32,1,10.01,4,Blue,bot,Hans sama,Rogue,Aphelios,Rumble,Olaf,Lucian,Jax,Mordekaiser,2544,1,5,1,3,14,5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3302,0.4481,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,17192,405.4717,0.272094,12,0.283,10,0.2358,2,27.0,0.6368,19160,13695,322.9953,0.276334,17100.0,,429.0,383.0,46,30,8,10.1179,3331.0,3194.0,86.0,3026.0,3248.0,67.0,305.0,-54.0,19.0,5612.0,5261.0,142.0,4309.0,4693.0,105.0,1303.0,568.0,37.0
664,ESPORTSTMNT05/1390196,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390196?gameHash=4bc08e5d10033415&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 19:00:32,1,10.01,5,Blue,sup,Vander,Rogue,Braum,Rumble,Olaf,Lucian,Jax,Mordekaiser,2544,1,2,1,8,14,5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3302,0.4481,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,5545,130.7783,0.08775960000000001,78,1.8396,19,0.4481,22,131.0,3.0896,10864,5399,127.3349,0.10893499999999999,9950.0,,38.0,38.0,0,0,0,0.8962,2368.0,2185.0,10.0,2043.0,2201.0,14.0,325.0,-16.0,-4.0,3971.0,3474.0,19.0,2939.0,3567.0,18.0,1032.0,-93.0,1.0
665,ESPORTSTMNT05/1390196,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390196?gameHash=4bc08e5d10033415&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 19:00:32,1,10.01,6,Red,top,Dan Dan,Misfits Gaming,Gangplank,Akali,Pantheon,Draven,Ornn,Vladimir,2544,0,3,4,2,5,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1179,0.4481,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,22112,521.5094,0.43748000000000004,18,0.4245,3,0.0708,5,28.0,0.6604,17700,12235,288.5613,0.31511300000000003,17708.0,,348.0,316.0,32,32,0,8.2075,2837.0,4224.0,63.0,3149.0,4636.0,79.0,-312.0,-412.0,-16.0,4677.0,6490.0,110.0,4772.0,6862.0,118.0,-95.0,-372.0,-8.0
666,ESPORTSTMNT05/1390196,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390196?gameHash=4bc08e5d10033415&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 19:00:32,1,10.01,7,Red,jng,Razork,Misfits Gaming,Jarvan IV,Akali,Pantheon,Draven,Ornn,Vladimir,2544,0,1,5,3,5,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1179,0.4481,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2649,62.4764,0.052409800000000006,18,0.4245,20,0.4717,19,66.0,1.5566,11014,5549,130.8726,0.14290999999999998,10575.0,,199.0,33.0,166,116,4,4.6934,2771.0,2718.0,58.0,2874.0,2746.0,53.0,-103.0,-28.0,5.0,4124.0,4365.0,90.0,4222.0,3855.0,72.0,-98.0,510.0,18.0
667,ESPORTSTMNT05/1390196,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390196?gameHash=4bc08e5d10033415&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 19:00:32,1,10.01,8,Red,mid,FEBIVEN,Misfits Gaming,LeBlanc,Akali,Pantheon,Draven,Ornn,Vladimir,2544,0,0,2,4,5,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1179,0.4481,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12496,294.717,0.24723,10,0.2358,16,0.3774,5,40.0,0.9434,14087,8622,203.3491,0.222057,14075.0,,328.0,296.0,32,26,4,7.7358,3388.0,4573.0,86.0,3139.0,4609.0,82.0,249.0,-36.0,4.0,5230.0,7382.0,145.0,5014.0,7237.0,137.0,216.0,145.0,8.0
668,ESPORTSTMNT05/1390196,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390196?gameHash=4bc08e5d10033415&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 19:00:32,1,10.01,9,Red,bot,Bvoy,Misfits Gaming,Senna,Akali,Pantheon,Draven,Ornn,Vladimir,2544,0,1,1,3,5,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1179,0.4481,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,9888,233.2075,0.195632,16,0.3774,17,0.4009,5,62.0,1.4623,15231,9766,230.3302,0.25152199999999997,15375.0,,330.0,315.0,15,14,0,7.783,3026.0,3248.0,67.0,3331.0,3194.0,86.0,-305.0,54.0,-19.0,4309.0,4693.0,105.0,5612.0,5261.0,142.0,-1303.0,-568.0,-37.0
669,ESPORTSTMNT05/1390196,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390196?gameHash=4bc08e5d10033415&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 19:00:32,1,10.01,10,Red,sup,denyk,Misfits Gaming,Nautilus,Akali,Pantheon,Draven,Ornn,Vladimir,2544,0,0,2,4,5,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1179,0.4481,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,3399,80.1651,0.06724830000000001,72,1.6981,13,0.3066,23,119.0,2.8066,8121,2656,62.6415,0.06839810000000002,7825.0,,37.0,37.0,0,0,0,0.8726,2043.0,2201.0,14.0,2368.0,2185.0,10.0,-325.0,16.0,4.0,2939.0,3567.0,18.0,3971.0,3474.0,19.0,-1032.0,93.0,-1.0
