,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
25356,ESPORTSTMNT06/1190823,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190823?gameHash=04a0c130068c0bb3,EM,2020,Spring,0,2020-04-22 15:45:34,1,10.07,1,Blue,top,beansu,Movistar Riders,Ornn,LeBlanc,Akali,Gragas,Leona,Nautilus,1925,1,4,0,7,13,5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4052,0.561,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7685,239.5325,0.125106,22,0.6857,4,0.1247,11,40.0,1.2468,13492,9289,289.5273,0.23675700000000002,12325.0,,256.0,252.0,4,0,0,7.9792,3583.0,4767.0,82.0,3502.0,4884.0,88.0,81.0,-117.0,-6.0,5324.0,7027.0,120.0,5178.0,6963.0,129.0,146.0,64.0,-9.0
25357,ESPORTSTMNT06/1190823,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190823?gameHash=04a0c130068c0bb3,EM,2020,Spring,0,2020-04-22 15:45:34,1,10.07,2,Blue,jng,Elyoya,Movistar Riders,Trundle,LeBlanc,Akali,Gragas,Leona,Nautilus,1925,1,1,1,10,13,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4052,0.561,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8813,274.6909,0.143469,8,0.2494,12,0.374,9,47.0,1.4649,11470,7267,226.5039,0.185223,10075.0,,202.0,26.0,176,101,0,6.2961,3356.0,4032.0,79.0,3059.0,3073.0,61.0,297.0,959.0,18.0,5321.0,6244.0,111.0,4432.0,4757.0,90.0,889.0,1487.0,21.0
25358,ESPORTSTMNT06/1190823,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190823?gameHash=04a0c130068c0bb3,EM,2020,Spring,0,2020-04-22 15:45:34,1,10.07,3,Blue,mid,Xico,Movistar Riders,Orianna,LeBlanc,Akali,Gragas,Leona,Nautilus,1925,1,4,0,5,13,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4052,0.561,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14567,454.0364,0.237139,14,0.4364,11,0.3429,3,46.0,1.4338,14660,10457,325.9325,0.26652600000000004,12950.0,,330.0,284.0,46,33,8,10.2857,3409.0,4929.0,98.0,3553.0,5045.0,103.0,-144.0,-116.0,-5.0,5542.0,7863.0,156.0,5626.0,8183.0,164.0,-84.0,-320.0,-8.0
25359,ESPORTSTMNT06/1190823,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190823?gameHash=04a0c130068c0bb3,EM,2020,Spring,0,2020-04-22 15:45:34,1,10.07,4,Blue,bot,JaVaaa,Movistar Riders,Varus,LeBlanc,Akali,Gragas,Leona,Nautilus,1925,1,3,2,9,13,5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4052,0.561,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,26008,810.639,0.42339,17,0.5299,14,0.4364,6,50.0,1.5584,13241,9038,281.7039,0.23035999999999998,11380.0,,276.0,251.0,25,13,0,8.6026,3670.0,3375.0,94.0,3299.0,3123.0,89.0,371.0,252.0,5.0,5573.0,5835.0,154.0,5121.0,4970.0,146.0,452.0,865.0,8.0
25360,ESPORTSTMNT06/1190823,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190823?gameHash=04a0c130068c0bb3,EM,2020,Spring,0,2020-04-22 15:45:34,1,10.07,5,Blue,sup,Rhuckz,Movistar Riders,Bard,LeBlanc,Akali,Gragas,Leona,Nautilus,1925,1,1,2,9,13,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4052,0.561,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4355,135.7403,0.070896,38,1.1844,5,0.1558,13,60.0,1.8701,7386,3183,99.2104,0.0811347,6185.0,,9.0,9.0,0,0,0,0.2805,1857.0,2745.0,0.0,1949.0,2669.0,11.0,-92.0,76.0,-11.0,2725.0,4093.0,8.0,2984.0,4463.0,19.0,-259.0,-370.0,-11.0
25361,ESPORTSTMNT06/1190823,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190823?gameHash=04a0c130068c0bb3,EM,2020,Spring,0,2020-04-22 15:45:34,1,10.07,6,Red,top,Sleeping,FC Schalke 04 Evolution,Gangplank,Senna,Kalista,Sett,Tahm Kench,Thresh,1925,0,0,3,1,5,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1558,0.561,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8327,259.5429,0.13938499999999998,16,0.4987,3,0.0935,6,31.0,0.9662,13192,8989,280.1766,0.28525100000000003,13533.0,,301.0,292.0,9,5,0,9.3818,3502.0,4884.0,88.0,3583.0,4767.0,82.0,-81.0,117.0,6.0,5178.0,6963.0,129.0,5324.0,7027.0,120.0,-146.0,-64.0,9.0
25362,ESPORTSTMNT06/1190823,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190823?gameHash=04a0c130068c0bb3,EM,2020,Spring,0,2020-04-22 15:45:34,1,10.07,7,Red,jng,Gilius,FC Schalke 04 Evolution,Lee Sin,Senna,Kalista,Sett,Tahm Kench,Thresh,1925,0,0,3,3,5,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1558,0.561,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8000,249.3506,0.133911,22,0.6857,13,0.4052,13,43.0,1.3403,9290,5087,158.5558,0.161433,9050.0,,177.0,15.0,162,139,4,5.5169,3059.0,3073.0,61.0,3356.0,4032.0,79.0,-297.0,-959.0,-18.0,4432.0,4757.0,90.0,5321.0,6244.0,111.0,-889.0,-1487.0,-21.0
25363,ESPORTSTMNT06/1190823,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190823?gameHash=04a0c130068c0bb3,EM,2020,Spring,0,2020-04-22 15:45:34,1,10.07,8,Red,mid,Sertuss,FC Schalke 04 Evolution,Syndra,Senna,Kalista,Sett,Tahm Kench,Thresh,1925,0,2,3,1,5,13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1558,0.561,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14688,457.8078,0.24586100000000002,18,0.561,8,0.2494,9,42.0,1.3091,11512,7309,227.813,0.23194099999999998,11775.0,,282.0,266.0,16,13,0,8.7896,3553.0,5045.0,103.0,3409.0,4929.0,98.0,144.0,116.0,5.0,5626.0,8183.0,164.0,5542.0,7863.0,156.0,84.0,320.0,8.0
25364,ESPORTSTMNT06/1190823,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190823?gameHash=04a0c130068c0bb3,EM,2020,Spring,0,2020-04-22 15:45:34,1,10.07,9,Red,bot,Neon,FC Schalke 04 Evolution,Ezreal,Senna,Kalista,Sett,Tahm Kench,Thresh,1925,0,3,3,0,5,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1558,0.561,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,22801,710.6805,0.381664,12,0.374,10,0.3117,6,35.0,1.0909,12295,8092,252.2182,0.256787,11783.0,,291.0,279.0,12,12,0,9.0701,3299.0,3123.0,89.0,3670.0,3375.0,94.0,-371.0,-252.0,-5.0,5121.0,4970.0,146.0,5573.0,5835.0,154.0,-452.0,-865.0,-8.0
25365,ESPORTSTMNT06/1190823,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190823?gameHash=04a0c130068c0bb3,EM,2020,Spring,0,2020-04-22 15:45:34,1,10.07,10,Red,sup,Nukes,FC Schalke 04 Evolution,Yuumi,Senna,Kalista,Sett,Tahm Kench,Thresh,1925,0,0,1,3,5,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1558,0.561,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5925,184.6753,0.0991781,46,1.4338,0,0.0,9,66.0,2.0571,6238,2035,63.4286,0.0645872,5975.0,,22.0,22.0,0,0,0,0.6857,1949.0,2669.0,11.0,1857.0,2745.0,0.0,92.0,-76.0,11.0,2984.0,4463.0,19.0,2725.0,4093.0,8.0,259.0,370.0,11.0
