,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
1200,ESPORTSTMNT01/1300941,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1300941?gameHash=f1c97f8b358c25c3&amp;tab=overview,OPL,2020,Split 1,0,2020-01-31 06:04:10,1,10.02,1,Blue,top,Nobody,Gravitas,Ornn,Pantheon,Leona,Rumble,Yasuo,Renekton,2184,0,0,7,8,12,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3297,1.044,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,21018,577.4176,0.24380300000000002,13,0.3571,8,0.2198,4,32.0,0.8791,10315,5584,153.4066,0.180929,10150.0,,212.0,204.0,8,5,0,5.8242,3226.0,4492.0,76.0,3295.0,4688.0,75.0,-69.0,-196.0,1.0,4690.0,6462.0,103.0,4546.0,6358.0,100.0,144.0,104.0,3.0
1201,ESPORTSTMNT01/1300941,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1300941?gameHash=f1c97f8b358c25c3&amp;tab=overview,OPL,2020,Split 1,0,2020-01-31 06:04:10,1,10.02,2,Blue,jng,Praelus,Gravitas,Olaf,Pantheon,Leona,Rumble,Yasuo,Renekton,2184,0,7,5,4,12,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3297,1.044,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,17940,492.8571,0.20809899999999998,14,0.3846,12,0.3297,15,52.0,1.4286,12073,7342,201.7033,0.23789000000000002,11200.0,,162.0,38.0,124,95,1,4.4505,3553.0,3607.0,65.0,4057.0,3318.0,66.0,-504.0,289.0,-1.0,6054.0,5721.0,88.0,6272.0,5310.0,98.0,-218.0,411.0,-10.0
1202,ESPORTSTMNT01/1300941,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1300941?gameHash=f1c97f8b358c25c3&amp;tab=overview,OPL,2020,Split 1,0,2020-01-31 06:04:10,1,10.02,3,Blue,mid,Beats,Gravitas,Qiyana,Pantheon,Leona,Rumble,Yasuo,Renekton,2184,0,1,3,3,12,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3297,1.044,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15499,425.7967,0.179784,14,0.3846,4,0.1099,11,29.0,0.7967,11044,6313,173.4341,0.204549,10925.0,,224.0,198.0,26,26,0,6.1538,2793.0,4583.0,65.0,3244.0,4742.0,87.0,-451.0,-159.0,-22.0,4010.0,6435.0,97.0,5089.0,7323.0,128.0,-1079.0,-888.0,-31.0
1203,ESPORTSTMNT01/1300941,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1300941?gameHash=f1c97f8b358c25c3&amp;tab=overview,OPL,2020,Split 1,0,2020-01-31 06:04:10,1,10.02,4,Blue,bot,Puma,Gravitas,Miss Fortune,Pantheon,Leona,Rumble,Yasuo,Renekton,2184,0,3,3,3,12,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3297,1.044,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,18983,521.511,0.22019699999999998,17,0.467,7,0.1923,7,34.0,0.9341,13591,8860,243.4066,0.287075,13625.0,,325.0,292.0,33,33,0,8.9286,2967.0,3231.0,74.0,3742.0,3435.0,87.0,-775.0,-204.0,-13.0,4817.0,5612.0,128.0,5849.0,5552.0,133.0,-1032.0,60.0,-5.0
1204,ESPORTSTMNT01/1300941,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1300941?gameHash=f1c97f8b358c25c3&amp;tab=overview,OPL,2020,Split 1,0,2020-01-31 06:04:10,1,10.02,5,Blue,sup,Kpop,Gravitas,Zyra,Pantheon,Leona,Rumble,Yasuo,Renekton,2184,0,1,8,4,12,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3297,1.044,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12769,350.7967,0.148117,45,1.2363,17,0.467,16,90.0,2.4725,7495,2764,75.9341,0.08955779999999999,7170.0,,36.0,36.0,0,0,0,0.989,1866.0,2078.0,2.0,2384.0,2928.0,12.0,-518.0,-850.0,-10.0,3011.0,4097.0,9.0,3619.0,4847.0,22.0,-608.0,-750.0,-13.0
1205,ESPORTSTMNT01/1300941,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1300941?gameHash=f1c97f8b358c25c3&amp;tab=overview,OPL,2020,Split 1,0,2020-01-31 06:04:10,1,10.02,6,Red,top,Swip3rR,ORDER,Mordekaiser,Jarvan IV,Lucian,Akali,Nautilus,Rakan,2184,1,3,6,7,26,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7143,1.044,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,18383,505.0275,0.217049,22,0.6044,5,0.1374,10,43.0,1.1813,12829,8098,222.4725,0.174466,12700.0,,223.0,204.0,19,13,0,6.1264,3295.0,4688.0,75.0,3226.0,4492.0,76.0,69.0,196.0,-1.0,4546.0,6358.0,100.0,4690.0,6462.0,103.0,-144.0,-104.0,-3.0
1206,ESPORTSTMNT01/1300941,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1300941?gameHash=f1c97f8b358c25c3&amp;tab=overview,OPL,2020,Split 1,0,2020-01-31 06:04:10,1,10.02,7,Red,jng,Only,ORDER,Lee Sin,Jarvan IV,Lucian,Akali,Nautilus,Rakan,2184,1,10,4,9,26,12,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.7143,1.044,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,13328,366.1538,0.157365,23,0.6319,15,0.4121,13,68.0,1.8681,15824,11093,304.7527,0.23899099999999998,13575.0,,223.0,38.0,185,101,21,6.1264,4057.0,3318.0,66.0,3553.0,3607.0,65.0,504.0,-289.0,1.0,6272.0,5310.0,98.0,6054.0,5721.0,88.0,218.0,-411.0,10.0
1207,ESPORTSTMNT01/1300941,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1300941?gameHash=f1c97f8b358c25c3&amp;tab=overview,OPL,2020,Split 1,0,2020-01-31 06:04:10,1,10.02,8,Red,mid,Haeri,ORDER,LeBlanc,Jarvan IV,Lucian,Akali,Nautilus,Rakan,2184,1,5,0,9,26,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7143,1.044,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,22975,631.1813,0.271268,7,0.1923,5,0.1374,4,30.0,0.8242,13927,9196,252.6374,0.198121,12085.0,,268.0,244.0,24,24,0,7.3626,3244.0,4742.0,87.0,2793.0,4583.0,65.0,451.0,159.0,22.0,5089.0,7323.0,128.0,4010.0,6435.0,97.0,1079.0,888.0,31.0
1208,ESPORTSTMNT01/1300941,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1300941?gameHash=f1c97f8b358c25c3&amp;tab=overview,OPL,2020,Split 1,0,2020-01-31 06:04:10,1,10.02,9,Red,bot,rare7,ORDER,Aphelios,Jarvan IV,Lucian,Akali,Nautilus,Rakan,2184,1,7,2,10,26,12,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7143,1.044,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,23978,658.7363,0.28311,12,0.3297,16,0.4396,5,41.0,1.1264,18382,13651,375.0275,0.294101,15575.0,,375.0,322.0,53,43,3,10.3022,3742.0,3435.0,87.0,2967.0,3231.0,74.0,775.0,204.0,13.0,5849.0,5552.0,133.0,4817.0,5612.0,128.0,1032.0,-60.0,5.0
1209,ESPORTSTMNT01/1300941,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1300941?gameHash=f1c97f8b358c25c3&amp;tab=overview,OPL,2020,Split 1,0,2020-01-31 06:04:10,1,10.02,10,Red,sup,Eyla,ORDER,Braum,Jarvan IV,Lucian,Akali,Nautilus,Rakan,2184,1,1,0,15,26,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7143,1.044,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6031,165.6868,0.07120850000000001,42,1.1538,8,0.2198,9,77.0,2.1154,9109,4378,120.2747,0.0943214,7675.0,,36.0,36.0,0,0,0,0.989,2384.0,2928.0,12.0,1866.0,2078.0,2.0,518.0,850.0,10.0,3619.0,4847.0,22.0,3011.0,4097.0,9.0,608.0,750.0,13.0
