,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
35064,ESPORTSTMNT05/1520179,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1520179?gameHash=1710063b550d8f37&amp;tab=overview,LCL,2020,Summer,0,2020-06-20 13:41:37,1,10.12,1,Blue,top,Shellkunchik,Vega Squadron,Ornn,Kalista,Yuumi,Sett,Ashe,Soraka,1799,0,0,1,2,3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1001,0.4336,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,4610,153.7521,0.148561,11,0.3669,1,0.0334,5,26.0,0.8671,10047,6101,203.4797,0.23846599999999998,9175.0,,228.0,222.0,6,1,1,7.6042,3104.0,4854.0,80.0,3247.0,4703.0,86.0,-143.0,151.0,-6.0,5336.0,7447.0,127.0,4917.0,7272.0,135.0,419.0,175.0,-8.0
35065,ESPORTSTMNT05/1520179,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1520179?gameHash=1710063b550d8f37&amp;tab=overview,LCL,2020,Summer,0,2020-06-20 13:41:37,1,10.12,2,Blue,jng,Rein,Vega Squadron,Trundle,Kalista,Yuumi,Sett,Ashe,Soraka,1799,0,0,1,2,3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1001,0.4336,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2852,95.1195,0.0919081,22,0.7337,10,0.3335,10,48.0,1.6009,7970,4024,134.2079,0.157289,7950.0,,134.0,21.0,113,78,14,4.4691,2921.0,2971.0,54.0,3036.0,3258.0,62.0,-115.0,-287.0,-8.0,4527.0,4538.0,83.0,4647.0,5502.0,105.0,-120.0,-964.0,-22.0
35066,ESPORTSTMNT05/1520179,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1520179?gameHash=1710063b550d8f37&amp;tab=overview,LCL,2020,Summer,0,2020-06-20 13:41:37,1,10.12,3,Blue,mid,Griffon,Vega Squadron,Orianna,Kalista,Yuumi,Sett,Ashe,Soraka,1799,0,1,3,2,3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1001,0.4336,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12059,402.1901,0.38861100000000004,9,0.3002,5,0.1668,6,33.0,1.1006,10103,6157,205.3474,0.240655,10185.0,,262.0,250.0,12,12,0,8.7382,3477.0,4807.0,92.0,4031.0,4944.0,93.0,-554.0,-137.0,-1.0,5645.0,8205.0,163.0,5920.0,8153.0,156.0,-275.0,52.0,7.0
35067,ESPORTSTMNT05/1520179,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1520179?gameHash=1710063b550d8f37&amp;tab=overview,LCL,2020,Summer,0,2020-06-20 13:41:37,1,10.12,4,Blue,bot,Mytant,Vega Squadron,Aphelios,Kalista,Yuumi,Sett,Ashe,Soraka,1799,0,1,2,1,3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1001,0.4336,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10178,339.4553,0.327995,8,0.2668,6,0.2001,4,25.0,0.8338,11208,7262,242.2012,0.283842,10000.0,,277.0,265.0,12,12,0,9.2385,3161.0,3299.0,84.0,3334.0,3568.0,94.0,-173.0,-269.0,-10.0,5199.0,5281.0,134.0,5035.0,5823.0,146.0,164.0,-542.0,-12.0
35068,ESPORTSTMNT05/1520179,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1520179?gameHash=1710063b550d8f37&amp;tab=overview,LCL,2020,Summer,0,2020-06-20 13:41:37,1,10.12,5,Blue,sup,WildHeart,Vega Squadron,Thresh,Kalista,Yuumi,Sett,Ashe,Soraka,1799,0,1,3,1,3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1001,0.4336,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1332,44.4247,0.042924800000000006,41,1.3674,6,0.2001,13,63.0,2.1012,5986,2040,68.0378,0.07974769999999999,5650.0,,29.0,29.0,0,0,0,0.9672,2360.0,2663.0,13.0,1967.0,2274.0,1.0,393.0,389.0,12.0,3514.0,3903.0,20.0,2841.0,3695.0,9.0,673.0,208.0,11.0
35069,ESPORTSTMNT05/1520179,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1520179?gameHash=1710063b550d8f37&amp;tab=overview,LCL,2020,Summer,0,2020-06-20 13:41:37,1,10.12,6,Red,top,Smurf,One Breath Gaming,Mordekaiser,Syndra,Varus,Ezreal,Azir,Lulu,1799,1,1,0,5,10,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3335,0.4336,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,9458,315.4419,0.175271,13,0.4336,6,0.2001,5,33.0,1.1006,11918,7972,265.881,0.215011,11125.0,,269.0,253.0,16,4,1,8.9717,3247.0,4703.0,86.0,3104.0,4854.0,80.0,143.0,-151.0,6.0,4917.0,7272.0,135.0,5336.0,7447.0,127.0,-419.0,-175.0,8.0
35070,ESPORTSTMNT05/1520179,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1520179?gameHash=1710063b550d8f37&amp;tab=overview,LCL,2020,Summer,0,2020-06-20 13:41:37,1,10.12,7,Red,jng,Kreox,One Breath Gaming,Graves,Syndra,Varus,Ezreal,Azir,Lulu,1799,1,2,2,5,10,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3335,0.4336,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13377,446.1479,0.24789699999999998,9,0.3002,16,0.5336,8,57.0,1.9011,11277,7331,244.5025,0.197724,9475.0,,230.0,64.0,166,78,31,7.6709,3036.0,3258.0,62.0,2921.0,2971.0,54.0,115.0,287.0,8.0,4647.0,5502.0,105.0,4527.0,4538.0,83.0,120.0,964.0,22.0
35071,ESPORTSTMNT05/1520179,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1520179?gameHash=1710063b550d8f37&amp;tab=overview,LCL,2020,Summer,0,2020-06-20 13:41:37,1,10.12,8,Red,mid,xTyLk,One Breath Gaming,Cassiopeia,Syndra,Varus,Ezreal,Azir,Lulu,1799,1,2,1,4,10,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3335,0.4336,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14784,493.0739,0.273971,18,0.6003,7,0.2335,11,39.0,1.3007,12414,8468,282.4236,0.228388,12075.0,,275.0,247.0,28,24,4,9.1718,4031.0,4944.0,93.0,3477.0,4807.0,92.0,554.0,137.0,1.0,5920.0,8153.0,156.0,5645.0,8205.0,163.0,275.0,-52.0,-7.0
35072,ESPORTSTMNT05/1520179,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1520179?gameHash=1710063b550d8f37&amp;tab=overview,LCL,2020,Summer,0,2020-06-20 13:41:37,1,10.12,9,Red,bot,Kinzu,One Breath Gaming,Sivir,Syndra,Varus,Ezreal,Azir,Lulu,1799,1,4,0,1,10,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3335,0.4336,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10109,337.154,0.187336,15,0.5003,5,0.1668,6,23.0,0.7671,13882,9936,331.3841,0.267979,11850.0,,330.0,279.0,51,33,15,11.0061,3334.0,3568.0,94.0,3161.0,3299.0,84.0,173.0,269.0,10.0,5035.0,5823.0,146.0,5199.0,5281.0,134.0,-164.0,542.0,12.0
35073,ESPORTSTMNT05/1520179,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1520179?gameHash=1710063b550d8f37&amp;tab=overview,LCL,2020,Summer,0,2020-06-20 13:41:37,1,10.12,10,Red,sup,Jestkui Max,One Breath Gaming,Karma,Syndra,Varus,Ezreal,Azir,Lulu,1799,1,1,0,7,10,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3335,0.4336,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6234,207.9155,0.115526,22,0.7337,6,0.2001,9,51.0,1.7009,7316,3370,112.3958,0.09089839999999999,6600.0,,19.0,15.0,4,4,0,0.6337,1967.0,2274.0,1.0,2360.0,2663.0,13.0,-393.0,-389.0,-12.0,2841.0,3695.0,9.0,3514.0,3903.0,20.0,-673.0,-208.0,-11.0
