,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
34140,ESPORTSTMNT02/1381671,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1381671?gameHash=e427e899242e3fdf,VCS,2020,Summer,0,2020-06-19 09:44:43,1,10.12,1,Blue,top,Hasmed,Saigon Buffalo,Wukong,Sett,Karma,Syndra,Renekton,Pantheon,1593,1,8,0,4,16,2,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6026,0.6403,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12794,481.8832,0.28484899999999996,10,0.3766,3,0.113,2,23.0,0.8663,13826,10301,387.9849,0.272877,12238.0,,255.0,243.0,12,1,8,9.6045,4588.0,4614.0,86.0,2853.0,4179.0,68.0,1735.0,435.0,18.0,6934.0,7428.0,134.0,4304.0,6417.0,107.0,2630.0,1011.0,27.0
34141,ESPORTSTMNT02/1381671,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1381671?gameHash=e427e899242e3fdf,VCS,2020,Summer,0,2020-06-19 09:44:43,1,10.12,2,Blue,jng,Meliodas,Saigon Buffalo,Kindred,Sett,Karma,Syndra,Renekton,Pantheon,1593,1,4,1,7,16,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6026,0.6403,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,7674,289.0395,0.170856,9,0.339,5,0.1883,6,38.0,1.4313,11081,7556,284.5951,0.200159,9675.0,,195.0,23.0,172,113,6,7.3446,3798.0,3460.0,63.0,3118.0,3444.0,68.0,680.0,16.0,-5.0,5385.0,5753.0,104.0,4924.0,5594.0,98.0,461.0,159.0,6.0
34142,ESPORTSTMNT02/1381671,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1381671?gameHash=e427e899242e3fdf,VCS,2020,Summer,0,2020-06-19 09:44:43,1,10.12,3,Blue,mid,Froggy,Saigon Buffalo,Twisted Fate,Sett,Karma,Syndra,Renekton,Pantheon,1593,1,0,0,9,16,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6026,0.6403,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7520,283.2392,0.167427,12,0.452,7,0.2637,5,27.0,1.0169,12021,8496,320.0,0.225061,10725.0,,265.0,257.0,8,4,4,9.9812,3853.0,4862.0,86.0,3319.0,4437.0,80.0,534.0,425.0,6.0,5874.0,7621.0,137.0,5098.0,7041.0,131.0,776.0,580.0,6.0
34143,ESPORTSTMNT02/1381671,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1381671?gameHash=e427e899242e3fdf,VCS,2020,Summer,0,2020-06-19 09:44:43,1,10.12,4,Blue,bot,Style,Saigon Buffalo,Senna,Sett,Karma,Syndra,Renekton,Pantheon,1593,1,2,1,13,16,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6026,0.6403,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9954,374.9153,0.221619,31,1.1676,17,0.6403,7,76.0,2.8625,8889,5364,202.0339,0.14209000000000002,7675.0,,59.0,44.0,15,6,0,2.2222,2695.0,2903.0,13.0,3217.0,3024.0,83.0,-522.0,-121.0,-70.0,4230.0,4681.0,20.0,4902.0,4997.0,130.0,-672.0,-316.0,-110.0
34144,ESPORTSTMNT02/1381671,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1381671?gameHash=e427e899242e3fdf,VCS,2020,Summer,0,2020-06-19 09:44:43,1,10.12,5,Blue,sup,Hinn,Saigon Buffalo,Galio,Sett,Karma,Syndra,Renekton,Pantheon,1593,1,2,0,12,16,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6026,0.6403,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6973,262.6365,0.155249,9,0.339,5,0.1883,7,30.0,1.1299,9558,6033,227.2316,0.159813,8225.0,,159.0,157.0,2,0,1,5.9887,3188.0,3070.0,72.0,2126.0,2687.0,13.0,1062.0,383.0,59.0,5086.0,4980.0,107.0,3109.0,3547.0,20.0,1977.0,1433.0,87.0
34145,ESPORTSTMNT02/1381671,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1381671?gameHash=e427e899242e3fdf,VCS,2020,Summer,0,2020-06-19 09:44:43,1,10.12,6,Red,top,Vin,OverPower Esports,Aatrox,Varus,Aphelios,Kalista,Olaf,Graves,1593,0,0,4,1,1,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0377,0.6403,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4011,151.0734,0.177031,15,0.565,3,0.113,8,25.0,0.9416,7845,4320,162.7119,0.21238,8200.0,,198.0,194.0,4,4,0,7.4576,2853.0,4179.0,68.0,4588.0,4614.0,86.0,-1735.0,-435.0,-18.0,4304.0,6417.0,107.0,6934.0,7428.0,134.0,-2630.0,-1011.0,-27.0
34146,ESPORTSTMNT02/1381671,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1381671?gameHash=e427e899242e3fdf,VCS,2020,Summer,0,2020-06-19 09:44:43,1,10.12,7,Red,jng,DK,OverPower Esports,Nidalee,Varus,Aphelios,Kalista,Olaf,Graves,1593,0,1,3,0,1,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0377,0.6403,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,3654,137.6271,0.161275,20,0.7533,4,0.1507,10,36.0,1.3559,8036,4511,169.9058,0.221771,7200.0,,165.0,13.0,152,110,16,6.2147,3118.0,3444.0,68.0,3798.0,3460.0,63.0,-680.0,-16.0,5.0,4924.0,5594.0,98.0,5385.0,5753.0,104.0,-461.0,-159.0,-6.0
34147,ESPORTSTMNT02/1381671,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1381671?gameHash=e427e899242e3fdf,VCS,2020,Summer,0,2020-06-19 09:44:43,1,10.12,8,Red,mid,PHT,OverPower Esports,Tristana,Varus,Aphelios,Kalista,Olaf,Graves,1593,0,0,4,1,1,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0377,0.6403,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7661,288.5499,0.338129,12,0.452,5,0.1883,4,28.0,1.0546,8231,4706,177.2505,0.23135799999999998,8000.0,,210.0,202.0,8,4,4,7.9096,3319.0,4437.0,80.0,3853.0,4862.0,86.0,-534.0,-425.0,-6.0,5098.0,7041.0,131.0,5874.0,7621.0,137.0,-776.0,-580.0,-6.0
34148,ESPORTSTMNT02/1381671,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1381671?gameHash=e427e899242e3fdf,VCS,2020,Summer,0,2020-06-19 09:44:43,1,10.12,9,Red,bot,Vit,OverPower Esports,Kai'Sa,Varus,Aphelios,Kalista,Olaf,Graves,1593,0,0,2,1,1,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0377,0.6403,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5036,189.6798,0.222271,9,0.339,4,0.1507,1,14.0,0.5273,8814,5289,199.209,0.260021,7925.0,,238.0,226.0,12,12,0,8.9642,3217.0,3024.0,83.0,2695.0,2903.0,13.0,522.0,121.0,70.0,4902.0,4997.0,130.0,4230.0,4681.0,20.0,672.0,316.0,110.0
34149,ESPORTSTMNT02/1381671,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1381671?gameHash=e427e899242e3fdf,VCS,2020,Summer,0,2020-06-19 09:44:43,1,10.12,10,Red,sup,Zin,OverPower Esports,Nautilus,Varus,Aphelios,Kalista,Olaf,Graves,1593,0,0,3,1,1,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0377,0.6403,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2295,86.4407,0.101293,21,0.791,3,0.113,8,35.0,1.3183,5040,1515,57.0621,0.0744702,4900.0,,29.0,29.0,0,0,0,1.0923,2126.0,2687.0,13.0,3188.0,3070.0,72.0,-1062.0,-383.0,-59.0,3109.0,3547.0,20.0,5086.0,4980.0,107.0,-1977.0,-1433.0,-87.0
