,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
34632,ESPORTSTMNT01/1415467,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1415467?gameHash=9fec4190b1bffec9,PCS,2020,Summer,0,2020-06-20 08:35:56,1,10.11,1,Blue,top,Hanabi,PSG Talon,Jayce,Sett,Azir,Syndra,Karma,Ornn,1571,1,3,3,0,15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5729,0.7257,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,17080,652.3234,0.29725,11,0.4201,11,0.4201,4,32.0,1.2222,9975,6495,248.0586,0.174263,9250.0,,219.0,203.0,16,6,1,8.3641,3242.0,4800.0,89.0,3291.0,4673.0,75.0,-49.0,127.0,14.0,5024.0,7421.0,140.0,5089.0,7584.0,128.0,-65.0,-163.0,12.0
34633,ESPORTSTMNT01/1415467,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1415467?gameHash=9fec4190b1bffec9,PCS,2020,Summer,0,2020-06-20 08:35:56,1,10.11,2,Blue,jng,River,PSG Talon,Nidalee,Sett,Azir,Syndra,Karma,Ornn,1571,1,3,0,7,15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5729,0.7257,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,8318,317.683,0.144762,21,0.802,11,0.4201,4,53.0,2.0242,10372,6892,263.2209,0.184915,10050.0,,188.0,22.0,166,90,24,7.1801,3563.0,3799.0,72.0,3413.0,3569.0,63.0,150.0,230.0,9.0,5735.0,6362.0,113.0,4767.0,5137.0,94.0,968.0,1225.0,19.0
34634,ESPORTSTMNT01/1415467,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1415467?gameHash=9fec4190b1bffec9,PCS,2020,Summer,0,2020-06-20 08:35:56,1,10.11,3,Blue,mid,Tank,PSG Talon,Twisted Fate,Sett,Azir,Syndra,Karma,Ornn,1571,1,3,0,8,15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5729,0.7257,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13360,510.2482,0.23251,14,0.5347,7,0.2673,7,33.0,1.2603,13141,9661,368.9752,0.259213,13075.0,,257.0,241.0,16,13,0,9.8154,4015.0,4744.0,88.0,3358.0,4778.0,86.0,657.0,-34.0,2.0,6749.0,7924.0,153.0,5265.0,7711.0,144.0,1484.0,213.0,9.0
34635,ESPORTSTMNT01/1415467,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1415467?gameHash=9fec4190b1bffec9,PCS,2020,Summer,0,2020-06-20 08:35:56,1,10.11,4,Blue,bot,Unified,PSG Talon,Aphelios,Sett,Azir,Syndra,Karma,Ornn,1571,1,6,0,7,15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5729,0.7257,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15877,606.3781,0.276314,12,0.4583,9,0.3437,5,34.0,1.2985,14198,10718,409.3444,0.287575,12675.0,,272.0,240.0,32,16,8,10.3883,3873.0,3353.0,89.0,3233.0,3018.0,83.0,640.0,335.0,6.0,7132.0,5841.0,146.0,4551.0,4572.0,120.0,2581.0,1269.0,26.0
34636,ESPORTSTMNT01/1415467,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1415467?gameHash=9fec4190b1bffec9,PCS,2020,Summer,0,2020-06-20 08:35:56,1,10.11,5,Blue,sup,Kaiwing,PSG Talon,Thresh,Sett,Azir,Syndra,Karma,Ornn,1571,1,0,1,11,15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5729,0.7257,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2825,107.8931,0.049164599999999996,30,1.1458,12,0.4583,7,66.0,2.5207,6985,3505,133.8638,0.0940347,6225.0,,32.0,32.0,0,0,0,1.2222,2177.0,2780.0,14.0,2147.0,2785.0,17.0,30.0,-5.0,-3.0,3800.0,4038.0,24.0,2994.0,3628.0,24.0,806.0,410.0,0.0
34637,ESPORTSTMNT01/1415467,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1415467?gameHash=9fec4190b1bffec9,PCS,2020,Summer,0,2020-06-20 08:35:56,1,10.11,6,Red,top,PK,Machi Esports,Renekton,Varus,Kalista,Yuumi,Gangplank,Quinn,1571,0,0,3,3,4,15,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1528,0.7257,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6252,238.7778,0.190094,12,0.4583,5,0.191,5,28.0,1.0694,8764,5284,201.8078,0.23149299999999998,8775.0,,213.0,209.0,4,0,0,8.1349,3291.0,4673.0,75.0,3242.0,4800.0,89.0,49.0,-127.0,-14.0,5089.0,7584.0,128.0,5024.0,7421.0,140.0,65.0,163.0,-12.0
34638,ESPORTSTMNT01/1415467,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1415467?gameHash=9fec4190b1bffec9,PCS,2020,Summer,0,2020-06-20 08:35:56,1,10.11,7,Red,jng,Gemini,Machi Esports,Graves,Varus,Kalista,Yuumi,Gangplank,Quinn,1571,0,1,4,3,4,15,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1528,0.7257,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,7196,274.8313,0.218797,22,0.8402,12,0.4583,10,42.0,1.6041,7451,3971,151.6614,0.173966,6675.0,,144.0,26.0,118,94,4,5.4997,3413.0,3569.0,63.0,3563.0,3799.0,72.0,-150.0,-230.0,-9.0,4767.0,5137.0,94.0,5735.0,6362.0,113.0,-968.0,-1225.0,-19.0
34639,ESPORTSTMNT01/1415467,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1415467?gameHash=9fec4190b1bffec9,PCS,2020,Summer,0,2020-06-20 08:35:56,1,10.11,8,Red,mid,M1ssion,Machi Esports,Kassadin,Varus,Kalista,Yuumi,Gangplank,Quinn,1571,0,1,1,0,4,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1528,0.7257,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5634,215.175,0.171303,12,0.4583,3,0.1146,5,17.0,0.6493,9493,6013,229.6499,0.263434,9675.0,,246.0,238.0,8,5,0,9.3953,3358.0,4778.0,86.0,4015.0,4744.0,88.0,-657.0,34.0,-2.0,5265.0,7711.0,144.0,6749.0,7924.0,153.0,-1484.0,-213.0,-9.0
34640,ESPORTSTMNT01/1415467,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1415467?gameHash=9fec4190b1bffec9,PCS,2020,Summer,0,2020-06-20 08:35:56,1,10.11,9,Red,bot,Bruce,Machi Esports,Ezreal,Varus,Kalista,Yuumi,Gangplank,Quinn,1571,0,2,5,0,4,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1528,0.7257,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10547,402.8135,0.320685,11,0.4201,7,0.2673,4,14.0,0.5347,9261,5781,220.7893,0.253269,9133.0,,216.0,211.0,5,5,0,8.2495,3233.0,3018.0,83.0,3873.0,3353.0,89.0,-640.0,-335.0,-6.0,4551.0,4572.0,120.0,7132.0,5841.0,146.0,-2581.0,-1269.0,-26.0
34641,ESPORTSTMNT01/1415467,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1415467?gameHash=9fec4190b1bffec9,PCS,2020,Summer,0,2020-06-20 08:35:56,1,10.11,10,Red,sup,Koala,Machi Esports,Bard,Varus,Kalista,Yuumi,Gangplank,Quinn,1571,0,0,2,3,4,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1528,0.7257,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3260,124.5067,0.09912130000000001,62,2.3679,13,0.4965,15,83.0,3.17,5257,1777,67.8676,0.077838,4875.0,,39.0,39.0,0,0,0,1.4895,2147.0,2785.0,17.0,2177.0,2780.0,14.0,-30.0,5.0,3.0,2994.0,3628.0,24.0,3800.0,4038.0,24.0,-806.0,-410.0,0.0
