,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
1476,ESPORTSTMNT04/1130153,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130153?gameHash=00a7861ac0a23aef,TCL,2020,Winter,0,2020-02-01 10:28:29,1,10.02,1,Blue,top,fabFabulous,Royal Youth,Ornn,Olaf,Pantheon,Ryze,Miss Fortune,Lucian,1635,0,0,3,1,4,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1468,0.844,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,8951,328.4771,0.284168,12,0.4404,3,0.1101,5,18.0,0.6606,7250,3639,133.5413,0.195414,6345.0,,168.0,168.0,0,0,0,6.1651,2692.0,3900.0,59.0,3795.0,4386.0,79.0,-1103.0,-486.0,-20.0,4070.0,5848.0,92.0,6811.0,7199.0,128.0,-2741.0,-1351.0,-36.0
1477,ESPORTSTMNT04/1130153,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130153?gameHash=00a7861ac0a23aef,TCL,2020,Winter,0,2020-02-01 10:28:29,1,10.02,2,Blue,jng,Sevi9,Royal Youth,Jarvan IV,Olaf,Pantheon,Ryze,Miss Fortune,Lucian,1635,0,3,8,0,4,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1468,0.844,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3955,145.1376,0.12555999999999998,18,0.6606,2,0.0734,22,21.0,0.7706,7232,3621,132.8807,0.194447,7415.0,,95.0,7.0,88,79,0,3.4862,3226.0,2495.0,43.0,3859.0,3508.0,62.0,-633.0,-1013.0,-19.0,4864.0,3881.0,62.0,6053.0,5579.0,91.0,-1189.0,-1698.0,-29.0
1478,ESPORTSTMNT04/1130153,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130153?gameHash=00a7861ac0a23aef,TCL,2020,Winter,0,2020-02-01 10:28:29,1,10.02,3,Blue,mid,Rhemio,Royal Youth,Cassiopeia,Olaf,Pantheon,Ryze,Miss Fortune,Lucian,1635,0,1,2,0,4,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1468,0.844,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8247,302.6422,0.261818,16,0.5872,0,0.0,8,20.0,0.7339,7703,4092,150.1651,0.21974000000000002,7590.0,,181.0,171.0,10,9,0,6.6422,3027.0,4414.0,77.0,4101.0,4801.0,79.0,-1074.0,-387.0,-2.0,4679.0,6427.0,112.0,6072.0,6883.0,113.0,-1393.0,-456.0,-1.0
1479,ESPORTSTMNT04/1130153,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130153?gameHash=00a7861ac0a23aef,TCL,2020,Winter,0,2020-02-01 10:28:29,1,10.02,4,Blue,bot,HolyPhoenix,Royal Youth,Aphelios,Olaf,Pantheon,Ryze,Miss Fortune,Lucian,1635,0,0,2,2,4,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1468,0.844,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6578,241.3945,0.20883200000000002,7,0.2569,5,0.1835,4,16.0,0.5872,8892,5281,193.7982,0.283589,8025.0,,234.0,226.0,8,8,0,8.5872,3179.0,3375.0,79.0,3952.0,3209.0,82.0,-773.0,166.0,-3.0,4797.0,5336.0,126.0,6721.0,5477.0,135.0,-1924.0,-141.0,-9.0
1480,ESPORTSTMNT04/1130153,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130153?gameHash=00a7861ac0a23aef,TCL,2020,Winter,0,2020-02-01 10:28:29,1,10.02,5,Blue,sup,Japone,Royal Youth,Nautilus,Olaf,Pantheon,Ryze,Miss Fortune,Lucian,1635,0,0,4,4,4,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1468,0.844,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3768,138.2752,0.11962300000000001,37,1.3578,9,0.3303,9,64.0,2.3486,5600,1989,72.9908,0.10680899999999999,4775.0,,33.0,33.0,0,0,0,1.211,2331.0,2494.0,13.0,2226.0,2694.0,14.0,105.0,-200.0,-1.0,3486.0,4024.0,20.0,3470.0,4638.0,23.0,16.0,-614.0,-3.0
1481,ESPORTSTMNT04/1130153,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130153?gameHash=00a7861ac0a23aef,TCL,2020,Winter,0,2020-02-01 10:28:29,1,10.02,6,Red,top,Armut,Papara SuperMassive,Aatrox,Gangplank,Senna,Akali,Braum,LeBlanc,1635,1,5,0,4,19,4,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6972,0.844,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,10723,393.5046,0.21185,11,0.4037,5,0.1835,2,28.0,1.0275,12796,9185,337.0642,0.25652800000000003,10100.0,,241.0,195.0,46,27,16,8.844,3795.0,4386.0,79.0,2692.0,3900.0,59.0,1103.0,486.0,20.0,6811.0,7199.0,128.0,4070.0,5848.0,92.0,2741.0,1351.0,36.0
1482,ESPORTSTMNT04/1130153,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130153?gameHash=00a7861ac0a23aef,TCL,2020,Winter,0,2020-02-01 10:28:29,1,10.02,7,Red,jng,Stomaged,Papara SuperMassive,Sejuani,Gangplank,Senna,Akali,Braum,LeBlanc,1635,1,3,1,13,19,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6972,0.844,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6358,233.3211,0.125612,10,0.367,10,0.367,9,41.0,1.5046,10476,6865,251.9266,0.191733,8725.0,,152.0,21.0,131,57,16,5.578,3859.0,3508.0,62.0,3226.0,2495.0,43.0,633.0,1013.0,19.0,6053.0,5579.0,91.0,4864.0,3881.0,62.0,1189.0,1698.0,29.0
1483,ESPORTSTMNT04/1130153,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130153?gameHash=00a7861ac0a23aef,TCL,2020,Winter,0,2020-02-01 10:28:29,1,10.02,8,Red,mid,Bolulu,Papara SuperMassive,Rumble,Gangplank,Senna,Akali,Braum,LeBlanc,1635,1,5,0,11,19,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6972,0.844,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15890,583.1193,0.313932,19,0.6972,2,0.0734,9,35.0,1.2844,11158,7547,276.9541,0.210781,9600.0,,182.0,170.0,12,5,0,6.6789,4101.0,4801.0,79.0,3027.0,4414.0,77.0,1074.0,387.0,2.0,6072.0,6883.0,113.0,4679.0,6427.0,112.0,1393.0,456.0,1.0
1484,ESPORTSTMNT04/1130153,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130153?gameHash=00a7861ac0a23aef,TCL,2020,Winter,0,2020-02-01 10:28:29,1,10.02,9,Red,bot,Zeitnot,Papara SuperMassive,Varus,Gangplank,Senna,Akali,Braum,LeBlanc,1635,1,5,1,9,19,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6972,0.844,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14334,526.0183,0.28319099999999997,7,0.2569,12,0.4404,2,30.0,1.1009,12428,8817,323.5596,0.24625100000000003,9550.0,,258.0,235.0,23,12,2,9.4679,3952.0,3209.0,82.0,3179.0,3375.0,79.0,773.0,-166.0,3.0,6721.0,5477.0,135.0,4797.0,5336.0,126.0,1924.0,141.0,9.0
1485,ESPORTSTMNT04/1130153,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130153?gameHash=00a7861ac0a23aef,TCL,2020,Winter,0,2020-02-01 10:28:29,1,10.02,10,Red,sup,Dumbledoge,Papara SuperMassive,Leona,Gangplank,Senna,Akali,Braum,LeBlanc,1635,1,1,2,8,19,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6972,0.844,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3311,121.5046,0.0654141,26,0.9541,15,0.5505,7,74.0,2.7156,7002,3391,124.4404,0.0947074,5625.0,,36.0,36.0,0,0,0,1.3211,2226.0,2694.0,14.0,2331.0,2494.0,13.0,-105.0,200.0,1.0,3470.0,4638.0,23.0,3486.0,4024.0,20.0,-16.0,614.0,3.0
