,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
1212,ESPORTSTMNT01/1300956,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1300956?gameHash=657d224d4a32aeb1&amp;tab=overview,OPL,2020,Split 1,0,2020-01-31 07:15:43,1,10.02,1,Blue,top,BioPanther,Pentanet.GG,Aatrox,Lucian,Mordekaiser,Qiyana,Braum,Camille,1716,0,1,2,1,8,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2797,0.8741,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4250,148.6014,0.190754,20,0.6993,2,0.0699,10,38.0,1.3287,9731,5955,208.2168,0.228521,9410.0,,232.0,195.0,37,30,0,8.1119,3130.0,4327.0,76.0,3695.0,4297.0,67.0,-565.0,30.0,9.0,5178.0,6659.0,130.0,5471.0,5703.0,91.0,-293.0,956.0,39.0
1213,ESPORTSTMNT01/1300956,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1300956?gameHash=657d224d4a32aeb1&amp;tab=overview,OPL,2020,Split 1,0,2020-01-31 07:15:43,1,10.02,2,Blue,jng,Souli,Pentanet.GG,Gragas,Lucian,Mordekaiser,Qiyana,Braum,Camille,1716,0,3,4,1,8,17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2797,0.8741,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2790,97.5524,0.125224,24,0.8392,10,0.3497,7,53.0,1.8531,8135,4359,152.4126,0.167273,7820.0,,123.0,31.0,92,71,1,4.3007,2878.0,2887.0,55.0,3596.0,3305.0,62.0,-718.0,-418.0,-7.0,5278.0,4707.0,80.0,6158.0,5699.0,95.0,-880.0,-992.0,-15.0
1214,ESPORTSTMNT01/1300956,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1300956?gameHash=657d224d4a32aeb1&amp;tab=overview,OPL,2020,Split 1,0,2020-01-31 07:15:43,1,10.02,3,Blue,mid,Getback,Pentanet.GG,Ornn,Lucian,Mordekaiser,Qiyana,Braum,Camille,1716,0,1,6,4,8,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2797,0.8741,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5690,198.951,0.255386,12,0.4196,5,0.1748,4,24.0,0.8392,8009,4233,148.007,0.162437,7800.0,,165.0,157.0,8,1,0,5.7692,3086.0,3759.0,62.0,3866.0,4188.0,69.0,-780.0,-429.0,-7.0,4432.0,5500.0,84.0,6245.0,6821.0,117.0,-1813.0,-1321.0,-33.0
1215,ESPORTSTMNT01/1300956,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1300956?gameHash=657d224d4a32aeb1&amp;tab=overview,OPL,2020,Split 1,0,2020-01-31 07:15:43,1,10.02,4,Blue,bot,Praedyth,Pentanet.GG,Miss Fortune,Lucian,Mordekaiser,Qiyana,Braum,Camille,1716,0,0,3,7,8,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2797,0.8741,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,6414,224.2657,0.287881,10,0.3497,7,0.2448,2,35.0,1.2238,11718,7942,277.6923,0.304775,10350.0,,279.0,261.0,18,16,0,9.7552,3453.0,3144.0,80.0,3033.0,2717.0,60.0,420.0,427.0,20.0,5831.0,5291.0,121.0,5623.0,4939.0,101.0,208.0,352.0,20.0
1216,ESPORTSTMNT01/1300956,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1300956?gameHash=657d224d4a32aeb1&amp;tab=overview,OPL,2020,Split 1,0,2020-01-31 07:15:43,1,10.02,5,Blue,sup,Rogue,Pentanet.GG,Leona,Lucian,Mordekaiser,Qiyana,Braum,Camille,1716,0,3,2,4,8,17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2797,0.8741,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3136,109.6503,0.140754,45,1.5734,12,0.4196,14,82.0,2.8671,7346,3570,124.8252,0.136994,6800.0,,37.0,37.0,0,0,0,1.2937,2972.0,2550.0,14.0,2138.0,2320.0,13.0,834.0,230.0,1.0,4797.0,3814.0,26.0,3850.0,3745.0,20.0,947.0,69.0,6.0
1217,ESPORTSTMNT01/1300956,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1300956?gameHash=657d224d4a32aeb1&amp;tab=overview,OPL,2020,Split 1,0,2020-01-31 07:15:43,1,10.02,6,Red,top,Thien,Chiefs Esports Club,Diana,Akali,Rumble,Sett,Renekton,Pantheon,1716,1,7,0,4,17,8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5944,0.8741,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10454,365.5245,0.28997,5,0.1748,7,0.2448,2,22.0,0.7692,12023,8247,288.3566,0.24634299999999998,9500.0,,229.0,179.0,50,45,0,8.007,3695.0,4297.0,67.0,3130.0,4327.0,76.0,565.0,-30.0,-9.0,5471.0,5703.0,91.0,5178.0,6659.0,130.0,293.0,-956.0,-39.0
1218,ESPORTSTMNT01/1300956,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1300956?gameHash=657d224d4a32aeb1&amp;tab=overview,OPL,2020,Split 1,0,2020-01-31 07:15:43,1,10.02,7,Red,jng,Croc,Chiefs Esports Club,Lee Sin,Akali,Rumble,Sett,Renekton,Pantheon,1716,1,2,3,14,17,8,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5944,0.8741,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5622,196.5734,0.155941,19,0.6643,8,0.2797,11,42.0,1.4685,9934,6158,215.3147,0.18394100000000002,8800.0,,160.0,18.0,142,82,18,5.5944,3596.0,3305.0,62.0,2878.0,2887.0,55.0,718.0,418.0,7.0,6158.0,5699.0,95.0,5278.0,4707.0,80.0,880.0,992.0,15.0
1219,ESPORTSTMNT01/1300956,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1300956?gameHash=657d224d4a32aeb1&amp;tab=overview,OPL,2020,Split 1,0,2020-01-31 07:15:43,1,10.02,8,Red,mid,Claire,Chiefs Esports Club,Yasuo,Akali,Rumble,Sett,Renekton,Pantheon,1716,1,5,1,6,17,8,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5944,0.8741,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7116,248.8112,0.197382,12,0.4196,5,0.1748,5,30.0,1.049,12811,9035,315.9091,0.269881,10625.0,,248.0,239.0,9,1,3,8.6713,3866.0,4188.0,69.0,3086.0,3759.0,62.0,780.0,429.0,7.0,6245.0,6821.0,117.0,4432.0,5500.0,84.0,1813.0,1321.0,33.0
1220,ESPORTSTMNT01/1300956,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1300956?gameHash=657d224d4a32aeb1&amp;tab=overview,OPL,2020,Split 1,0,2020-01-31 07:15:43,1,10.02,9,Red,bot,Katsurii,Chiefs Esports Club,Aphelios,Akali,Rumble,Sett,Renekton,Pantheon,1716,1,2,2,8,17,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5944,0.8741,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,9515,332.6923,0.263924,11,0.3846,13,0.4545,2,33.0,1.1538,10639,6863,239.965,0.205,9050.0,,224.0,195.0,29,13,9,7.8322,3033.0,2717.0,60.0,3453.0,3144.0,80.0,-420.0,-427.0,-20.0,5623.0,4939.0,101.0,5831.0,5291.0,121.0,-208.0,-352.0,-20.0
1221,ESPORTSTMNT01/1300956,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1300956?gameHash=657d224d4a32aeb1&amp;tab=overview,OPL,2020,Split 1,0,2020-01-31 07:15:43,1,10.02,10,Red,sup,KoreaCK,Chiefs Esports Club,Nautilus,Akali,Rumble,Sett,Renekton,Pantheon,1716,1,1,2,11,17,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5944,0.8741,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3345,116.958,0.0927826,33,1.1538,9,0.3147,5,61.0,2.1329,6951,3175,111.014,0.0948346,5625.0,,36.0,36.0,0,0,0,1.2587,2138.0,2320.0,13.0,2972.0,2550.0,14.0,-834.0,-230.0,-1.0,3850.0,3745.0,20.0,4797.0,3814.0,26.0,-947.0,-69.0,-6.0
