,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
34272,ESPORTSTMNT02/1381707,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1381707?gameHash=3db61deefaf2b47f,VCS,2020,Summer,0,2020-06-19 13:07:48,1,10.12,1,Blue,top,Stark,Team Flash,Ornn,Varus,Nidalee,LeBlanc,Twisted Fate,Ryze,2468,0,3,5,2,6,15,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1459,0.5105,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15351,373.201,0.201873,7,0.1702,11,0.2674,1,33.0,0.8023,12680,7370,179.1734,0.20818699999999998,12475.0,,243.0,239.0,4,1,0,5.9076,3524.0,4661.0,82.0,2983.0,4606.0,73.0,541.0,55.0,9.0,5509.0,7086.0,125.0,4959.0,7114.0,115.0,550.0,-28.0,10.0
34273,ESPORTSTMNT02/1381707,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1381707?gameHash=3db61deefaf2b47f,VCS,2020,Summer,0,2020-06-19 13:07:48,1,10.12,2,Blue,jng,EGO,Team Flash,Graves,Varus,Nidalee,LeBlanc,Twisted Fate,Ryze,2468,0,3,4,2,6,15,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1459,0.5105,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,10608,257.893,0.1395,8,0.1945,27,0.6564,8,62.0,1.5073,14074,8764,213.0632,0.24756599999999998,13475.0,,302.0,91.0,211,143,16,7.342,3757.0,3421.0,63.0,2669.0,2662.0,48.0,1088.0,759.0,15.0,5390.0,5536.0,102.0,3960.0,4189.0,74.0,1430.0,1347.0,28.0
34274,ESPORTSTMNT02/1381707,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1381707?gameHash=3db61deefaf2b47f,VCS,2020,Summer,0,2020-06-19 13:07:48,1,10.12,3,Blue,mid,Naul,Team Flash,Karma,Varus,Nidalee,LeBlanc,Twisted Fate,Ryze,2468,0,0,2,3,6,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1459,0.5105,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14195,345.0972,0.186671,28,0.6807,14,0.3404,13,60.0,1.4587,11420,6110,148.5413,0.172593,11075.0,,257.0,232.0,25,21,0,6.248,3405.0,4623.0,95.0,3476.0,4966.0,98.0,-71.0,-343.0,-3.0,5271.0,7406.0,153.0,5465.0,8166.0,163.0,-194.0,-760.0,-10.0
34275,ESPORTSTMNT02/1381707,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1381707?gameHash=3db61deefaf2b47f,VCS,2020,Summer,0,2020-06-19 13:07:48,1,10.12,4,Blue,bot,Slayder,Team Flash,Ezreal,Varus,Nidalee,LeBlanc,Twisted Fate,Ryze,2468,0,0,3,2,6,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1459,0.5105,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,24375,592.5851,0.320542,16,0.389,18,0.4376,7,48.0,1.1669,15488,10178,247.4392,0.28751,14983.0,,389.0,347.0,42,34,0,9.4571,3371.0,2992.0,91.0,3692.0,3226.0,93.0,-321.0,-234.0,-2.0,5341.0,4842.0,144.0,5639.0,5224.0,148.0,-298.0,-382.0,-4.0
34276,ESPORTSTMNT02/1381707,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1381707?gameHash=3db61deefaf2b47f,VCS,2020,Summer,0,2020-06-19 13:07:48,1,10.12,5,Blue,sup,Palette,Team Flash,Yuumi,Varus,Nidalee,LeBlanc,Twisted Fate,Ryze,2468,0,0,1,4,6,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1459,0.5105,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11514,279.919,0.15141400000000002,52,1.2642,5,0.1216,15,73.0,1.7747,8289,2979,72.423,0.0841449,7975.0,,27.0,27.0,0,0,0,0.6564,2086.0,2985.0,12.0,2178.0,2692.0,13.0,-92.0,293.0,-1.0,3398.0,4799.0,20.0,3208.0,4219.0,19.0,190.0,580.0,1.0
34277,ESPORTSTMNT02/1381707,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1381707?gameHash=3db61deefaf2b47f,VCS,2020,Summer,0,2020-06-19 13:07:48,1,10.12,6,Red,top,yT,Percent Esports,Sylas,Kalista,Sett,Syndra,Galio,Orianna,2468,1,3,0,10,15,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3647,0.5105,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,19782,480.9238,0.22033899999999998,13,0.316,9,0.2188,7,40.0,0.9724,14433,9123,221.7909,0.216709,14075.0,,281.0,260.0,21,9,1,6.8314,2983.0,4606.0,73.0,3524.0,4661.0,82.0,-541.0,-55.0,-9.0,4959.0,7114.0,115.0,5509.0,7086.0,125.0,-550.0,28.0,-10.0
34278,ESPORTSTMNT02/1381707,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1381707?gameHash=3db61deefaf2b47f,VCS,2020,Summer,0,2020-06-19 13:07:48,1,10.12,7,Red,jng,Eagle,Percent Esports,Trundle,Kalista,Sett,Syndra,Galio,Orianna,2468,1,2,3,9,15,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3647,0.5105,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,6766,164.4895,0.075362,46,1.1183,21,0.5105,17,105.0,2.5527,11068,5758,139.9838,0.136774,10675.0,,160.0,28.0,132,91,7,3.8898,2669.0,2662.0,48.0,3757.0,3421.0,63.0,-1088.0,-759.0,-15.0,3960.0,4189.0,74.0,5390.0,5536.0,102.0,-1430.0,-1347.0,-28.0
34279,ESPORTSTMNT02/1381707,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1381707?gameHash=3db61deefaf2b47f,VCS,2020,Summer,0,2020-06-19 13:07:48,1,10.12,8,Red,mid,Glory,Percent Esports,Zoe,Kalista,Sett,Syndra,Galio,Orianna,2468,1,3,0,11,15,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3647,0.5105,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,29788,724.1815,0.331789,15,0.3647,9,0.2188,5,45.0,1.094,16283,10973,266.7666,0.260656,14785.0,,355.0,327.0,28,24,0,8.6305,3476.0,4966.0,98.0,3405.0,4623.0,95.0,71.0,343.0,3.0,5465.0,8166.0,163.0,5271.0,7406.0,153.0,194.0,760.0,10.0
34280,ESPORTSTMNT02/1381707,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1381707?gameHash=3db61deefaf2b47f,VCS,2020,Summer,0,2020-06-19 13:07:48,1,10.12,9,Red,bot,Bigkoro,Percent Esports,Aphelios,Kalista,Sett,Syndra,Galio,Orianna,2468,1,7,2,7,15,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3647,0.5105,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,28115,683.5089,0.313154,20,0.4862,19,0.4619,6,70.0,1.7018,18224,12914,313.9546,0.306764,14725.0,,383.0,347.0,36,32,0,9.3112,3692.0,3226.0,93.0,3371.0,2992.0,91.0,321.0,234.0,2.0,5639.0,5224.0,148.0,5341.0,4842.0,144.0,298.0,382.0,4.0
34281,ESPORTSTMNT02/1381707,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1381707?gameHash=3db61deefaf2b47f,VCS,2020,Summer,0,2020-06-19 13:07:48,1,10.12,10,Red,sup,Lisa,Percent Esports,Thresh,Kalista,Sett,Syndra,Galio,Orianna,2468,1,0,1,13,15,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3647,0.5105,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5329,129.5543,0.0593562,66,1.6045,10,0.2431,22,104.0,2.5284,8640,3330,80.9562,0.0790965,7800.0,,31.0,31.0,0,0,0,0.7536,2178.0,2692.0,13.0,2086.0,2985.0,12.0,92.0,-293.0,1.0,3208.0,4219.0,19.0,3398.0,4799.0,20.0,-190.0,-580.0,-1.0
