,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
5004,ESPORTSTMNT02/1281294,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281294?gameHash=5dd8e290b3d98b3f&amp;tab=overview,LLA,2020,Opening,0,2020-02-15 23:17:54,1,10.03,1,Blue,top,IceBox,Azules Esports,Aatrox,Rumble,Soraka,Sona,Irelia,LeBlanc,2868,0,0,5,2,13,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.272,0.6904,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,8081,169.0586,0.124699,16,0.3347,8,0.1674,4,42.0,0.8787,15957,9831,205.6695,0.19506300000000001,15680.0,,350.0,314.0,36,18,4,7.3222,2458.0,3782.0,49.0,3620.0,4282.0,72.0,-1162.0,-500.0,-23.0,4000.0,5778.0,88.0,5133.0,6025.0,106.0,-1133.0,-247.0,-18.0
5005,ESPORTSTMNT02/1281294,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281294?gameHash=5dd8e290b3d98b3f&amp;tab=overview,LLA,2020,Opening,0,2020-02-15 23:17:54,1,10.03,2,Blue,jng,koughi,Azules Esports,Elise,Rumble,Soraka,Sona,Irelia,LeBlanc,2868,0,3,3,8,13,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.272,0.6904,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11112,232.4686,0.171471,43,0.8996,16,0.3347,14,89.0,1.8619,15606,9480,198.3264,0.188099,14650.0,,250.0,52.0,198,146,9,5.2301,3229.0,3179.0,59.0,2941.0,2736.0,48.0,288.0,443.0,11.0,5028.0,5104.0,85.0,5154.0,4780.0,79.0,-126.0,324.0,6.0
5006,ESPORTSTMNT02/1281294,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281294?gameHash=5dd8e290b3d98b3f&amp;tab=overview,LLA,2020,Opening,0,2020-02-15 23:17:54,1,10.03,3,Blue,mid,cody,Azules Esports,Syndra,Rumble,Soraka,Sona,Irelia,LeBlanc,2868,0,5,3,2,13,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.272,0.6904,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,20251,423.6611,0.312496,26,0.5439,6,0.1255,10,50.0,1.046,17164,11038,230.9205,0.219013,17150.0,,332.0,290.0,42,38,1,6.9456,3711.0,4935.0,87.0,2984.0,4380.0,72.0,727.0,555.0,15.0,5602.0,7300.0,141.0,4902.0,7131.0,119.0,700.0,169.0,22.0
5007,ESPORTSTMNT02/1281294,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281294?gameHash=5dd8e290b3d98b3f&amp;tab=overview,LLA,2020,Opening,0,2020-02-15 23:17:54,1,10.03,4,Blue,bot,KreshtDoo,Azules Esports,Varus,Rumble,Soraka,Sona,Irelia,LeBlanc,2868,0,5,3,4,13,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.272,0.6904,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,22500,470.7113,0.34720100000000004,27,0.5649,20,0.4184,14,64.0,1.3389,21213,15087,315.6276,0.299354,19150.0,,464.0,421.0,43,33,0,9.7071,3564.0,3044.0,78.0,3615.0,3173.0,80.0,-51.0,-129.0,-2.0,6324.0,5888.0,143.0,6169.0,5369.0,125.0,155.0,519.0,18.0
5008,ESPORTSTMNT02/1281294,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281294?gameHash=5dd8e290b3d98b3f&amp;tab=overview,LLA,2020,Opening,0,2020-02-15 23:17:54,1,10.03,5,Blue,sup,Feitan,Azules Esports,Leona,Rumble,Soraka,Sona,Irelia,LeBlanc,2868,0,0,6,10,13,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.272,0.6904,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2860,59.8326,0.044133099999999995,99,2.0711,28,0.5858,27,170.0,3.5565,11089,4963,103.8285,0.098471,10575.0,,51.0,51.0,0,0,0,1.0669,2222.0,2600.0,11.0,2197.0,2473.0,13.0,25.0,127.0,-2.0,3994.0,3918.0,24.0,4043.0,4285.0,22.0,-49.0,-367.0,2.0
5009,ESPORTSTMNT02/1281294,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281294?gameHash=5dd8e290b3d98b3f&amp;tab=overview,LLA,2020,Opening,0,2020-02-15 23:17:54,1,10.03,6,Red,top,Jauny,Pixel Esports Club,Fiora,Aphelios,Pantheon,Lucian,Camille,Renekton,2868,1,5,2,2,20,13,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4184,0.6904,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,15274,319.5397,0.15501700000000002,20,0.4184,4,0.0837,6,42.0,0.8787,20073,13947,291.7782,0.24051199999999998,18033.0,,425.0,384.0,41,25,6,8.8912,3620.0,4282.0,72.0,2458.0,3782.0,49.0,1162.0,500.0,23.0,5133.0,6025.0,106.0,4000.0,5778.0,88.0,1133.0,247.0,18.0
5010,ESPORTSTMNT02/1281294,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281294?gameHash=5dd8e290b3d98b3f&amp;tab=overview,LLA,2020,Opening,0,2020-02-15 23:17:54,1,10.03,7,Red,jng,QQMore,Pixel Esports Club,Jarvan IV,Aphelios,Pantheon,Lucian,Camille,Renekton,2868,1,1,5,15,20,13,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4184,0.6904,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4467,93.4519,0.045336,29,0.6067,30,0.6276,28,83.0,1.7364,12934,6808,142.4268,0.117399,11600.0,,179.0,51.0,128,70,9,3.7448,2941.0,2736.0,48.0,3229.0,3179.0,59.0,-288.0,-443.0,-11.0,5154.0,4780.0,79.0,5028.0,5104.0,85.0,126.0,-324.0,-6.0
5011,ESPORTSTMNT02/1281294,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281294?gameHash=5dd8e290b3d98b3f&amp;tab=overview,LLA,2020,Opening,0,2020-02-15 23:17:54,1,10.03,8,Red,mid,TopLop,Pixel Esports Club,Corki,Aphelios,Pantheon,Lucian,Camille,Renekton,2868,1,7,3,6,20,13,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4184,0.6904,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,35732,747.5314,0.362647,23,0.4812,18,0.3766,5,66.0,1.3808,21172,15046,314.7699,0.259465,19533.0,,423.0,349.0,74,60,0,8.8494,2984.0,4380.0,72.0,3711.0,4935.0,87.0,-727.0,-555.0,-15.0,4902.0,7131.0,119.0,5602.0,7300.0,141.0,-700.0,-169.0,-22.0
5012,ESPORTSTMNT02/1281294,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281294?gameHash=5dd8e290b3d98b3f&amp;tab=overview,LLA,2020,Opening,0,2020-02-15 23:17:54,1,10.03,9,Red,bot,Kindless,Pixel Esports Club,Miss Fortune,Aphelios,Pantheon,Lucian,Camille,Renekton,2868,1,6,1,9,20,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4184,0.6904,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,35177,735.9205,0.357015,20,0.4184,20,0.4184,7,70.0,1.4644,22778,16652,348.3682,0.28715999999999997,21975.0,,499.0,405.0,94,78,0,10.4393,3615.0,3173.0,80.0,3564.0,3044.0,78.0,51.0,129.0,2.0,6169.0,5369.0,125.0,6324.0,5888.0,143.0,-155.0,-519.0,-18.0
5013,ESPORTSTMNT02/1281294,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281294?gameHash=5dd8e290b3d98b3f&amp;tab=overview,LLA,2020,Opening,0,2020-02-15 23:17:54,1,10.03,10,Red,sup,MadBlade,Pixel Esports Club,Thresh,Aphelios,Pantheon,Lucian,Camille,Renekton,2868,1,1,2,15,20,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4184,0.6904,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7881,164.8745,0.079985,97,2.0293,24,0.5021,27,137.0,2.8661,11662,5536,115.8159,0.09546349999999999,10825.0,,56.0,56.0,0,0,0,1.1715,2197.0,2473.0,13.0,2222.0,2600.0,11.0,-25.0,-127.0,2.0,4043.0,4285.0,22.0,3994.0,3918.0,24.0,49.0,367.0,-2.0
