,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
5028,ESPORTSTMNT02/1281318,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281318?gameHash=6a5ece820013d716&amp;tab=overview,LLA,2020,Opening,0,2020-02-16 00:37:11,1,10.03,1,Blue,top,Aquasonic,XTEN Esports,Sion,Jarvan IV,Elise,Ornn,Lee Sin,Fiora,2488,0,0,2,2,3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0723,0.2653,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,6543,157.7894,0.19034700000000002,19,0.4582,4,0.0965,9,31.0,0.7476,12724,7373,177.8055,0.207679,11375.0,,282.0,272.0,10,4,0,6.8006,2867.0,4674.0,70.0,3328.0,4915.0,91.0,-461.0,-241.0,-21.0,4264.0,7707.0,109.0,5375.0,7923.0,145.0,-1111.0,-216.0,-36.0
5029,ESPORTSTMNT02/1281318,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281318?gameHash=6a5ece820013d716&amp;tab=overview,LLA,2020,Opening,0,2020-02-16 00:37:11,1,10.03,2,Blue,jng,Monsieur,XTEN Esports,Gragas,Jarvan IV,Elise,Ornn,Lee Sin,Fiora,2488,0,0,1,2,3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0723,0.2653,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4363,105.217,0.126927,37,0.8923,12,0.2894,19,73.0,1.7605,9999,4648,112.09,0.130921,9375.0,,181.0,33.0,148,118,0,4.365,2684.0,2711.0,53.0,3302.0,3638.0,73.0,-618.0,-927.0,-20.0,3871.0,4467.0,80.0,5220.0,6351.0,123.0,-1349.0,-1884.0,-43.0
5030,ESPORTSTMNT02/1281318,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281318?gameHash=6a5ece820013d716&amp;tab=overview,LLA,2020,Opening,0,2020-02-16 00:37:11,1,10.03,3,Blue,mid,Frozen,XTEN Esports,Lucian,Jarvan IV,Elise,Ornn,Lee Sin,Fiora,2488,0,1,1,1,3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0723,0.2653,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9380,226.2058,0.272881,22,0.5305,18,0.4341,8,79.0,1.9051,15353,10002,241.2058,0.28173200000000004,15450.0,,389.0,329.0,60,52,0,9.381,3305.0,4780.0,90.0,3118.0,4934.0,79.0,187.0,-154.0,11.0,5270.0,7599.0,151.0,4951.0,7841.0,135.0,319.0,-242.0,16.0
5031,ESPORTSTMNT02/1281318,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281318?gameHash=6a5ece820013d716&amp;tab=overview,LLA,2020,Opening,0,2020-02-16 00:37:11,1,10.03,4,Blue,bot,Focus,XTEN Esports,Kalista,Jarvan IV,Elise,Ornn,Lee Sin,Fiora,2488,0,1,2,2,3,8,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0723,0.2653,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10046,242.2669,0.292256,13,0.3135,13,0.3135,5,43.0,1.037,15794,10443,251.8408,0.29415399999999997,15150.0,,416.0,384.0,32,32,0,10.0322,3369.0,3404.0,96.0,3405.0,3236.0,95.0,-36.0,168.0,1.0,5108.0,5570.0,150.0,5158.0,5402.0,149.0,-50.0,168.0,1.0
5032,ESPORTSTMNT02/1281318,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281318?gameHash=6a5ece820013d716&amp;tab=overview,LLA,2020,Opening,0,2020-02-16 00:37:11,1,10.03,5,Blue,sup,Crecre,XTEN Esports,Thresh,Jarvan IV,Elise,Ornn,Lee Sin,Fiora,2488,0,1,2,2,3,8,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0723,0.2653,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4042,97.4759,0.11758900000000001,63,1.5193,12,0.2894,23,101.0,2.4357,8387,3036,73.2154,0.08551439999999999,8190.0,,35.0,35.0,0,0,0,0.8441,2064.0,2844.0,14.0,2115.0,2905.0,14.0,-51.0,-61.0,0.0,3132.0,4275.0,24.0,3272.0,4356.0,25.0,-140.0,-81.0,-1.0
5033,ESPORTSTMNT02/1281318,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281318?gameHash=6a5ece820013d716&amp;tab=overview,LLA,2020,Opening,0,2020-02-16 00:37:11,1,10.03,6,Red,top,Acce,Rainbow7,Aatrox,Pantheon,Sett,Aphelios,Soraka,Mordekaiser,2488,1,2,1,4,8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1929,0.2653,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,12348,297.7814,0.20261600000000002,20,0.4823,12,0.2894,6,56.0,1.3505,16203,10852,261.7042,0.228377,14550.0,,354.0,343.0,11,1,3,8.537,3328.0,4915.0,91.0,2867.0,4674.0,70.0,461.0,241.0,21.0,5375.0,7923.0,145.0,4264.0,7707.0,109.0,1111.0,216.0,36.0
5034,ESPORTSTMNT02/1281318,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281318?gameHash=6a5ece820013d716&amp;tab=overview,LLA,2020,Opening,0,2020-02-16 00:37:11,1,10.03,7,Red,jng,Josedeodo,Rainbow7,Karthus,Pantheon,Sett,Aphelios,Soraka,Mordekaiser,2488,1,0,0,6,8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1929,0.2653,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13678,329.8553,0.224439,12,0.2894,22,0.5305,11,64.0,1.5434,14122,8771,211.5193,0.184582,13515.0,,298.0,66.0,232,166,7,7.1865,3302.0,3638.0,73.0,2684.0,2711.0,53.0,618.0,927.0,20.0,5220.0,6351.0,123.0,3871.0,4467.0,80.0,1349.0,1884.0,43.0
5035,ESPORTSTMNT02/1281318,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281318?gameHash=6a5ece820013d716&amp;tab=overview,LLA,2020,Opening,0,2020-02-16 00:37:11,1,10.03,8,Red,mid,Leza,Rainbow7,Rumble,Pantheon,Sett,Aphelios,Soraka,Mordekaiser,2488,1,3,0,5,8,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1929,0.2653,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,17247,415.9244,0.283002,25,0.6029,11,0.2653,12,80.0,1.9293,16293,10942,263.8746,0.230271,14750.0,,346.0,335.0,11,6,0,8.3441,3118.0,4934.0,79.0,3305.0,4780.0,90.0,-187.0,154.0,-11.0,4951.0,7841.0,135.0,5270.0,7599.0,151.0,-319.0,242.0,-16.0
5036,ESPORTSTMNT02/1281318,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281318?gameHash=6a5ece820013d716&amp;tab=overview,LLA,2020,Opening,0,2020-02-16 00:37:11,1,10.03,9,Red,bot,Renyu,Rainbow7,Miss Fortune,Pantheon,Sett,Aphelios,Soraka,Mordekaiser,2488,1,3,2,3,8,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1929,0.2653,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11956,288.328,0.196183,22,0.5305,18,0.4341,8,67.0,1.6158,18129,12778,308.1511,0.268909,16400.0,,443.0,385.0,58,42,8,10.6833,3405.0,3236.0,95.0,3369.0,3404.0,96.0,36.0,-168.0,-1.0,5158.0,5402.0,149.0,5108.0,5570.0,150.0,50.0,-168.0,-1.0
5037,ESPORTSTMNT02/1281318,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281318?gameHash=6a5ece820013d716&amp;tab=overview,LLA,2020,Opening,0,2020-02-16 00:37:11,1,10.03,10,Red,sup,Shadow,Rainbow7,Nautilus,Pantheon,Sett,Aphelios,Soraka,Mordekaiser,2488,1,0,0,7,8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1929,0.2653,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5714,137.7974,0.0937597,65,1.5675,25,0.6029,18,129.0,3.1109,9526,4175,100.6833,0.08786000000000001,8800.0,,54.0,54.0,0,0,0,1.3023,2115.0,2905.0,14.0,2064.0,2844.0,14.0,51.0,61.0,0.0,3272.0,4356.0,25.0,3132.0,4275.0,24.0,140.0,81.0,1.0
