,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
3120,ESPORTSTMNT01/1304169,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304169?gameHash=ee6bc6a087a6bc36&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 11:59:33,1,10.02,1,Blue,top,apaMEN,Sengoku Gaming,Ornn,Elise,Sett,Soraka,Leona,Nautilus,2380,1,3,1,3,15,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3782,0.4538,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,12688,319.8655,0.16350499999999998,22,0.5546,5,0.1261,9,33.0,0.8319,16563,11432,288.2017,0.249617,15775.0,,380.0,362.0,18,3,8,9.5798,3289.0,4983.0,88.0,3488.0,5347.0,81.0,-199.0,-364.0,7.0,5200.0,7815.0,136.0,4912.0,7451.0,115.0,288.0,364.0,21.0
3121,ESPORTSTMNT01/1304169,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304169?gameHash=ee6bc6a087a6bc36&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 11:59:33,1,10.02,2,Blue,jng,Blank,Sengoku Gaming,Qiyana,Elise,Sett,Soraka,Leona,Nautilus,2380,1,4,1,9,15,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3782,0.4538,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13721,345.9076,0.176817,67,1.6891,43,1.084,15,151.0,3.8067,12430,7299,184.0084,0.159375,11400.0,,213.0,56.0,157,104,4,5.3697,2699.0,2390.0,48.0,2821.0,2695.0,56.0,-122.0,-305.0,-8.0,4341.0,4100.0,73.0,4170.0,4237.0,83.0,171.0,-137.0,-10.0
3122,ESPORTSTMNT01/1304169,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304169?gameHash=ee6bc6a087a6bc36&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 11:59:33,1,10.02,3,Blue,mid,Pirean,Sengoku Gaming,Zoe,Elise,Sett,Soraka,Leona,Nautilus,2380,1,3,0,9,15,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3782,0.4538,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,26277,662.4454,0.338621,17,0.4286,5,0.1261,6,56.0,1.4118,16608,11477,289.3361,0.25059899999999996,15600.0,,364.0,313.0,51,25,8,9.1765,3864.0,5064.0,102.0,3183.0,4716.0,79.0,681.0,348.0,23.0,6353.0,8409.0,160.0,4933.0,7818.0,132.0,1420.0,591.0,28.0
3123,ESPORTSTMNT01/1304169,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304169?gameHash=ee6bc6a087a6bc36&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 11:59:33,1,10.02,4,Blue,bot,Yutorimoyashi,Sengoku Gaming,Senna,Elise,Sett,Soraka,Leona,Nautilus,2380,1,5,1,7,15,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3782,0.4538,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,12306,310.2353,0.158582,15,0.3782,6,0.1513,5,33.0,0.8319,16802,11671,294.2269,0.254835,14925.0,,340.0,308.0,32,23,4,8.5714,3289.0,3520.0,87.0,3209.0,2691.0,70.0,80.0,829.0,17.0,5181.0,5459.0,124.0,4998.0,4454.0,115.0,183.0,1005.0,9.0
3124,ESPORTSTMNT01/1304169,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304169?gameHash=ee6bc6a087a6bc36&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 11:59:33,1,10.02,5,Blue,sup,Enty,Sengoku Gaming,Rumble,Elise,Sett,Soraka,Leona,Nautilus,2380,1,0,0,10,15,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3782,0.4538,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12608,317.8487,0.162474,61,1.5378,13,0.3277,16,102.0,2.5714,9050,3919,98.7983,0.0855739,8400.0,,47.0,47.0,0,0,0,1.1849,2038.0,2669.0,14.0,2052.0,2645.0,14.0,-14.0,24.0,0.0,2994.0,3426.0,20.0,3056.0,4104.0,23.0,-62.0,-678.0,-3.0
3125,ESPORTSTMNT01/1304169,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304169?gameHash=ee6bc6a087a6bc36&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 11:59:33,1,10.02,6,Red,top,Cogcog,Rascal Jester,Aatrox,Akali,Aphelios,Lucian,Lee Sin,Rek'Sai,2380,0,1,2,0,3,15,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0756,0.4538,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,9574,241.3613,0.280384,21,0.5294,12,0.3025,8,50.0,1.2605,12459,7328,184.7395,0.21791999999999997,12150.0,,287.0,244.0,43,30,0,7.2353,3488.0,5347.0,81.0,3289.0,4983.0,88.0,199.0,364.0,-7.0,4912.0,7451.0,115.0,5200.0,7815.0,136.0,-288.0,-364.0,-21.0
3126,ESPORTSTMNT01/1304169,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304169?gameHash=ee6bc6a087a6bc36&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 11:59:33,1,10.02,7,Red,jng,hachamecha,Rascal Jester,Jarvan IV,Akali,Aphelios,Lucian,Lee Sin,Rek'Sai,2380,0,0,5,2,3,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0756,0.4538,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3496,88.1345,0.102384,9,0.2269,36,0.9076,10,63.0,1.5882,9530,4399,110.8992,0.13082,9400.0,,179.0,40.0,139,100,4,4.5126,2821.0,2695.0,56.0,2699.0,2390.0,48.0,122.0,305.0,8.0,4170.0,4237.0,83.0,4341.0,4100.0,73.0,-171.0,137.0,10.0
3127,ESPORTSTMNT01/1304169,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304169?gameHash=ee6bc6a087a6bc36&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 11:59:33,1,10.02,8,Red,mid,Ninja,Rascal Jester,Mordekaiser,Akali,Aphelios,Lucian,Lee Sin,Rek'Sai,2380,0,0,3,1,3,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0756,0.4538,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,6795,171.3025,0.198998,16,0.4034,7,0.1765,6,26.0,0.6555,13082,7951,200.4454,0.23644600000000002,12830.0,,322.0,306.0,16,11,0,8.1176,3183.0,4716.0,79.0,3864.0,5064.0,102.0,-681.0,-348.0,-23.0,4933.0,7818.0,132.0,6353.0,8409.0,160.0,-1420.0,-591.0,-28.0
3128,ESPORTSTMNT01/1304169,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304169?gameHash=ee6bc6a087a6bc36&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 11:59:33,1,10.02,9,Red,bot,Art,Rascal Jester,Miss Fortune,Akali,Aphelios,Lucian,Lee Sin,Rek'Sai,2380,0,2,1,0,3,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0756,0.4538,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,11885,299.6218,0.348064,17,0.4286,11,0.2773,7,45.0,1.1345,17012,11881,299.521,0.353313,16225.0,,455.0,419.0,36,36,0,11.4706,3209.0,2691.0,70.0,3289.0,3520.0,87.0,-80.0,-829.0,-17.0,4998.0,4454.0,115.0,5181.0,5459.0,124.0,-183.0,-1005.0,-9.0
3129,ESPORTSTMNT01/1304169,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304169?gameHash=ee6bc6a087a6bc36&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 11:59:33,1,10.02,10,Red,sup,viviD,Rascal Jester,Thresh,Akali,Aphelios,Lucian,Lee Sin,Rek'Sai,2380,0,0,4,2,3,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0756,0.4538,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2396,60.4034,0.0701693,69,1.7395,17,0.4286,28,97.0,2.4454,7199,2068,52.1345,0.0615023,6700.0,,43.0,43.0,0,0,0,1.084,2052.0,2645.0,14.0,2038.0,2669.0,14.0,14.0,-24.0,0.0,3056.0,4104.0,23.0,2994.0,3426.0,20.0,62.0,678.0,3.0
3130,ESPORTSTMNT01/1304169,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304169?gameHash=ee6bc6a087a6bc36&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 11:59:33,1,10.02,100,Blue,team,,Sengoku Gaming,,Elise,Sett,Soraka,Leona,Nautilus,2380,1,15,3,38,15,3,1.0,0.0,0.0,0.0,0.0,,,,0.3782,0.4538,0.0,4.0,2.0,4.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,11.0,1.0,1.0,1.0,3.0,0.0,77600,1956.3025,,182,4.5882,72,1.8151,51,375.0,9.4538,71453,45799,1154.5966,,66100.0,0.142539,,1086.0,258,155,24,33.8824,15179.0,18626.0,339.0,14753.0,18094.0,300.0,426.0,532.0,39.0,24069.0,29209.0,513.0,22069.0,28064.0,468.0,2000.0,1145.0,45.0
