,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
28776,ESPORTSTMNT01/1380261,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1380261?gameHash=6ffd20c50e02d075,BRCC,2020,,0,2020-05-13 16:57:36,1,10.08,1,Blue,top,Zen,unknown team,Aatrox,Senna,Trundle,Sejuani,Irelia,Camille,1696,0,0,5,3,5,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1769,0.7075,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,7114,251.6745,0.21279,10,0.3538,2,0.0708,2,18.0,0.6368,7963,4228,149.5755,0.186649,6960.0,,183.0,179.0,4,4,0,6.4741,2701.0,3644.0,62.0,3406.0,4555.0,74.0,-705.0,-911.0,-12.0,4164.0,6025.0,98.0,5575.0,7550.0,129.0,-1411.0,-1525.0,-31.0
28777,ESPORTSTMNT01/1380261,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1380261?gameHash=6ffd20c50e02d075,BRCC,2020,,0,2020-05-13 16:57:36,1,10.08,2,Blue,jng,unknown player,unknown team,Lee Sin,Senna,Trundle,Sejuani,Irelia,Camille,1696,0,1,4,1,5,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1769,0.7075,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4111,145.4363,0.122966,15,0.5307,2,0.0708,9,23.0,0.8137,7633,3898,137.9009,0.172079,6600.0,,132.0,20.0,112,82,4,4.6698,2856.0,2906.0,57.0,3041.0,2838.0,47.0,-185.0,68.0,10.0,4033.0,4357.0,79.0,5136.0,5249.0,87.0,-1103.0,-892.0,-8.0
28778,ESPORTSTMNT01/1380261,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1380261?gameHash=6ffd20c50e02d075,BRCC,2020,,0,2020-05-13 16:57:36,1,10.08,3,Blue,mid,unknown player,unknown team,LeBlanc,Senna,Trundle,Sejuani,Irelia,Camille,1696,0,1,1,4,5,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1769,0.7075,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,7620,269.5755,0.227925,29,1.0259,16,0.566,11,60.0,2.1226,9104,5369,189.941,0.237025,8900.0,,227.0,218.0,9,4,0,8.0307,2720.0,4032.0,66.0,3251.0,4562.0,84.0,-531.0,-530.0,-18.0,4372.0,6922.0,121.0,5431.0,7298.0,134.0,-1059.0,-376.0,-13.0
28779,ESPORTSTMNT01/1380261,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1380261?gameHash=6ffd20c50e02d075,BRCC,2020,,0,2020-05-13 16:57:36,1,10.08,4,Blue,bot,Steal,unknown team,Aphelios,Senna,Trundle,Sejuani,Irelia,Camille,1696,0,3,2,1,5,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1769,0.7075,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,12439,440.059,0.372069,14,0.4953,3,0.1061,6,31.0,1.0967,11012,7277,257.441,0.321264,10475.0,,256.0,249.0,7,7,0,9.0566,2849.0,2775.0,67.0,3016.0,2548.0,74.0,-167.0,227.0,-7.0,4646.0,5352.0,124.0,4708.0,4300.0,114.0,-62.0,1052.0,10.0
28780,ESPORTSTMNT01/1380261,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1380261?gameHash=6ffd20c50e02d075,BRCC,2020,,0,2020-05-13 16:57:36,1,10.08,5,Blue,sup,scamber,unknown team,Nautilus,Senna,Trundle,Sejuani,Irelia,Camille,1696,0,0,3,3,5,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1769,0.7075,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2148,75.9906,0.06424980000000001,40,1.4151,9,0.3184,13,60.0,2.1226,5615,1880,66.5094,0.0829835,5225.0,,38.0,38.0,0,0,0,1.3443,2009.0,2501.0,12.0,2328.0,2555.0,12.0,-319.0,-54.0,0.0,2917.0,3266.0,21.0,3469.0,3725.0,23.0,-552.0,-459.0,-2.0
28781,ESPORTSTMNT01/1380261,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1380261?gameHash=6ffd20c50e02d075,BRCC,2020,,0,2020-05-13 16:57:36,1,10.08,6,Red,top,Kiari,Rensga eSports,Poppy,Kalista,Renekton,Sett,Azir,Mordekaiser,1696,1,3,0,4,15,5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5307,0.7075,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,9961,352.3939,0.184617,14,0.4953,4,0.1415,7,33.0,1.1675,11978,8243,291.6156,0.237697,11575.0,,236.0,216.0,20,12,5,8.3491,3406.0,4555.0,74.0,2701.0,3644.0,62.0,705.0,911.0,12.0,5575.0,7550.0,129.0,4164.0,6025.0,98.0,1411.0,1525.0,31.0
28782,ESPORTSTMNT01/1380261,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1380261?gameHash=6ffd20c50e02d075,BRCC,2020,,0,2020-05-13 16:57:36,1,10.08,7,Red,jng,Erasus,Rensga eSports,Graves,Kalista,Renekton,Sett,Azir,Mordekaiser,1696,1,2,2,11,15,5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5307,0.7075,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14230,503.4198,0.26373800000000003,9,0.3184,4,0.1415,11,29.0,1.0259,11325,7590,268.5142,0.21886599999999998,10650.0,,174.0,21.0,153,81,22,6.1557,3041.0,2838.0,47.0,2856.0,2906.0,57.0,185.0,-68.0,-10.0,5136.0,5249.0,87.0,4033.0,4357.0,79.0,1103.0,892.0,8.0
28783,ESPORTSTMNT01/1380261,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1380261?gameHash=6ffd20c50e02d075,BRCC,2020,,0,2020-05-13 16:57:36,1,10.08,8,Red,mid,Blacky,Rensga eSports,Syndra,Kalista,Renekton,Sett,Azir,Mordekaiser,1696,1,5,1,4,15,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5307,0.7075,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,13789,487.8184,0.255565,13,0.4599,8,0.283,8,42.0,1.4858,11440,7705,272.5825,0.22218200000000002,11410.0,,212.0,193.0,19,8,9,7.5,3251.0,4562.0,84.0,2720.0,4032.0,66.0,531.0,530.0,18.0,5431.0,7298.0,134.0,4372.0,6922.0,121.0,1059.0,376.0,13.0
28784,ESPORTSTMNT01/1380261,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1380261?gameHash=6ffd20c50e02d075,BRCC,2020,,0,2020-05-13 16:57:36,1,10.08,9,Red,bot,bydeki,Rensga eSports,Varus,Kalista,Renekton,Sett,Azir,Mordekaiser,1696,1,4,1,7,15,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5307,0.7075,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,12502,442.2877,0.231712,13,0.4599,12,0.4245,6,39.0,1.3797,11338,7603,268.9741,0.219241,11050.0,,213.0,203.0,10,0,4,7.5354,3016.0,2548.0,74.0,2849.0,2775.0,67.0,167.0,-227.0,7.0,4708.0,4300.0,114.0,4646.0,5352.0,124.0,62.0,-1052.0,-10.0
28785,ESPORTSTMNT01/1380261,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1380261?gameHash=6ffd20c50e02d075,BRCC,2020,,0,2020-05-13 16:57:36,1,10.08,10,Red,sup,Zirigui,Rensga eSports,Leona,Kalista,Renekton,Sett,Azir,Mordekaiser,1696,1,1,1,8,15,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5307,0.7075,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3473,122.8656,0.0643685,42,1.4858,13,0.4599,12,77.0,2.7241,7273,3538,125.1651,0.102015,6950.0,,35.0,35.0,0,0,0,1.2382,2328.0,2555.0,12.0,2009.0,2501.0,12.0,319.0,54.0,0.0,3469.0,3725.0,23.0,2917.0,3266.0,21.0,552.0,459.0,2.0
